   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_135.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0332227, 270, 0, 0, 16.4924, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0253318, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0174408, 4, 0, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00954993, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00165901, 4, 0, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00623191, 2, 9.41858e-23, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.87172e-25, 0, 0, 1.14573e-27, 0, 1.51405e-27, 0, 9.34959e-23, 0, 0, 0
0.0141228, 2, 2.43774e-22, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77856e-24, 0, 0, 3.00292e-27, 0, 4.02109e-27, 0, 2.41988e-22, 0, 0, 0
0.0220137, 2, 6.17539e-22, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.50551e-24, 0, 0, 7.7043e-27, 0, 1.04344e-26, 0, 6.13015e-22, 0, 0, 0
0.0299047, 2, 1.53357e-21, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11888e-23, 0, 0, 1.93795e-26, 0, 2.65058e-26, 0, 1.52234e-21, 0, 0, 0
0.0377956, 2, 3.73839e-21, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72749e-23, 0, 0, 4.78574e-26, 0, 6.60178e-26, 0, 3.711e-21, 0, 0, 0
0.0456865, 2, 8.95554e-21, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.53388e-23, 0, 0, 1.16158e-25, 0, 1.61438e-25, 0, 8.88993e-21, 0, 0, 0
0.0535774, 2, 2.11036e-20, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53969e-22, 0, 0, 2.77377e-25, 0, 3.88041e-25, 0, 2.09489e-20, 0, 0, 0
0.0614683, 2, 4.89599e-20, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57206e-22, 0, 0, 6.52204e-25, 0, 9.17695e-25, 0, 4.86011e-20, 0, 0, 0
0.0693593, 4, 1.1191e-19, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.16483e-22, 0, 0, 1.51118e-24, 0, 2.13719e-24, 0, 1.1109e-19, 0, 0, 0
0.0772502, 4, 2.52188e-19, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83993e-21, 0, 0, 3.45267e-24, 0, 4.905e-24, 0, 2.5034e-19, 0, 0, 0
0.0851411, 0, 5.60604e-19, 0, 1.41421, -5.60604e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0901e-21, 0, 0, 7.78311e-24, 0, 1.11013e-23, 0, 5.56495e-19, 0, 0, 0
0.093032, 2, 1.22995e-18, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.97357e-21, 0, 0, 1.73196e-23, 0, 2.47919e-23, 0, 1.22093e-18, 0, 0, 0
0.100923, 6, 2.66451e-18, 0, 2.82843, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.944e-20, 0, 0, 3.80642e-23, 0, 5.46602e-23, 0, 2.64498e-18, 0, 0, 0
0.108814, 0, 5.70195e-18, 0, 1.41421, -5.70195e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16007e-20, 0, 0, 8.26544e-23, 0, 1.19033e-22, 0, 5.66014e-18, 0, 0, 0
0.116705, 0, 1.20578e-17, 0, 1.41421, -1.20578e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.79718e-20, 0, 0, 1.77401e-22, 0, 2.56144e-22, 0, 1.19694e-17, 0, 0, 0
0.124596, 0, 2.52052e-17, 0, 1.41421, -2.52052e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83894e-19, 0, 0, 3.76474e-22, 0, 5.44869e-22, 0, 2.50204e-17, 0, 0, 0
0.132487, 0, 5.20985e-17, 0, 1.41421, -5.20985e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80103e-19, 0, 0, 7.90202e-22, 0, 1.14616e-21, 0, 5.17165e-17, 0, 0, 0
0.140378, 0, 1.0651e-16, 0, 1.41421, -1.0651e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7708e-19, 0, 0, 1.64093e-21, 0, 2.38498e-21, 0, 1.05729e-16, 0, 0, 0
0.148268, 0, 2.15422e-16, 0, 1.41421, -2.15422e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57169e-18, 0, 0, 3.37211e-21, 0, 4.91064e-21, 0, 2.13842e-16, 0, 0, 0
0.156159, 0, 4.35872e-16, 0, 1.41421, -4.35872e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18005e-18, 0, 0, 6.95743e-21, 0, 1.01546e-20, 0, 4.32674e-16, 0, 0, 0
0.16405, 0, 8.62283e-16, 0, 1.41421, -8.62283e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29107e-18, 0, 0, 1.39903e-20, 0, 2.04571e-20, 0, 8.55957e-16, 0, 0, 0
0.171941, 0, 1.68892e-15, 0, 1.41421, -1.68892e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2322e-17, 0, 0, 2.78626e-20, 0, 4.08173e-20, 0, 1.67653e-15, 0, 0, 0
0.179832, 0, 3.27571e-15, 0, 1.41421, -3.27571e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38989e-17, 0, 0, 5.49673e-20, 0, 8.06773e-20, 0, 3.25167e-15, 0, 0, 0
