   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_200.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.189404, 0, 6.04768e-15, 0, 1.41421, -6.04768e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.87985e-20, 1.03822e-19, 0, 6.04751e-15, 0, 0, 0
0.197289, 0, 1.16296e-14, 0, 1.41421, -1.16296e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34718e-19, 2.03472e-19, 0, 1.16293e-14, 0, 0, 0
0.205173, 0, 2.21453e-14, 0, 1.41421, -2.21453e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61324e-19, 3.95093e-19, 0, 2.21446e-14, 0, 0, 0
0.213057, 0, 4.17632e-14, 0, 1.41421, -4.17632e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02233e-19, 7.60244e-19, 0, 4.17619e-14, 0, 0, 0
0.220941, 0, 7.80114e-14, 0, 1.41421, -7.80114e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.56456e-19, 1.44991e-18, 0, 7.8009e-14, 0, 0, 0
0.228825, 0, 1.44352e-13, 0, 1.41421, -1.44352e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80533e-18, 2.74121e-18, 0, 1.44348e-13, 0, 0, 0
0.236709, 0, 2.65306e-13, 0, 1.41421, -2.65306e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39202e-18, 5.16163e-18, 0, 2.65297e-13, 0, 0, 0
0.244593, 0, 4.81715e-13, 0, 1.41421, -4.81715e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2889e-18, 9.58976e-18, 0, 4.81699e-13, 0, 0, 0
0.252477, 0, 8.66728e-13, 0, 1.41421, -8.66728e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15618e-17, 1.76712e-17, 0, 8.66699e-13, 0, 0, 0
0.260362, 0, 1.54546e-12, 0, 1.41421, -1.54546e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10803e-17, 3.23031e-17, 0, 1.54541e-12, 0, 0, 0
0.268246, 0, 2.73116e-12, 0, 1.41421, -2.73116e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81241e-17, 5.85864e-17, 0, 2.73106e-12, 0, 0, 0
0.27613, 0, 4.78386e-12, 0, 1.41421, -4.78386e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8403e-17, 1.05438e-16, 0, 4.78369e-12, 0, 0, 0
0.284014, 0, 8.30579e-12, 0, 1.41421, -8.30579e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21784e-16, 1.88328e-16, 0, 8.30548e-12, 0, 0, 0
0.291898, 0, 1.42949e-11, 0, 1.41421, -1.42949e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.152e-16, 3.33912e-16, 0, 1.42944e-11, 0, 0, 0
0.299782, 0, 2.43895e-11, 0, 1.41421, -2.43895e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77525e-16, 5.87801e-16, 0, 2.43886e-11, 0, 0, 0
0.307666, 0, 4.12544e-11, 0, 1.41421, -4.12544e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5769e-16, 1.02755e-15, 0, 4.12527e-11, 0, 0, 0
0.31555, 0, 6.91841e-11, 0, 1.41421, -6.91841e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13818e-15, 1.78423e-15, 0, 6.91812e-11, 0, 0, 0
0.323434, 0, 1.15036e-10, 1.37327e-43, 1.41421, -1.15036e-10, 0, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.95733e-15, 3.07815e-15, 1.37327e-43, 1.15031e-10, 1.37327e-43, 1.37327e-43, 1.37327e-43
0.331318, 0, 1.89658e-10, 2.43125e-42, 1.41421, -1.89658e-10, 0, 2.43125e-42, 2.43125e-42, 2.43125e-42, 2.43125e-42, 2.43125e-42, 2.43125e-42, 2.43125e-42, 2.43125e-42, 2.43125e-42, 2.43125e-42, 2.43125e-42, 3.34629e-15, 5.27769e-15, 2.43125e-42, 1.89649e-10, 2.43125e-42, 2.43125e-42, 2.43125e-42
0.339203, 0, 3.10056e-10, 3.58606e-41, 1.41421, -3.10056e-10, 0, 3.58606e-41, 3.58606e-41, 3.58606e-41, 3.58606e-41, 3.58606e-41, 3.58606e-41, 3.58606e-41, 3.58606e-41, 3.58606e-41, 3.58606e-41, 3.58606e-41, 5.6898e-15, 8.99612e-15, 3.58606e-41, 3.10042e-10, 3.58606e-41, 3.58606e-41, 3.58606e-41
0.347087, 0, 5.02649e-10, 4.67821e-40, 1.41421, -5.02649e-10, 0, 4.67821e-40, 4.67821e-40, 4.67821e-40, 4.67821e-40, 4.67821e-40, 4.67821e-40, 4.67821e-40, 4.67821e-40, 4.67821e-40, 4.67821e-40, 4.67821e-40, 9.62666e-15, 1.52503e-14, 4.67821e-40, 5.02624e-10, 4.67821e-40, 4.67821e-40, 4.67821e-40
0.354971, 0, 8.08094e-10, 5.45853e-39, 1.41421, -8.08094e-10, 0, 5.45853e-39, 5.45853e-39, 5.45853e-39, 5.45853e-39, 5.45853e-39, 5.45853e-39, 5.45853e-39, 5.45853e-39, 5.45853e-39, 5.45853e-39, 5.45853e-39, 1.62153e-14, 2.57209e-14, 5.45853e-39, 8.08053e-10, 5.45853e-39, 5.45853e-39, 5.45853e-39
0.362855, 0, 1.28841e-09, 5.74783e-38, 1.41421, -1.28841e-09, 0, 5.74783e-38, 5.74783e-38, 5.74783e-38, 5.74783e-38, 5.74783e-38, 5.74783e-38, 5.74783e-38, 5.74783e-38, 5.74783e-38, 5.74783e-38, 5.74783e-38, 2.72074e-14, 4.31783e-14, 5.74783e-38, 1.28834e-09, 5.74783e-38, 5.74783e-38, 5.74783e-38
0.370739, 0, 2.03734e-09, 5.48963e-37, 1.41421, -2.03734e-09, 0, 5.48963e-37, 5.48963e-37, 5.48963e-37, 5.48963e-37, 5.48963e-37, 5.48963e-37, 5.48963e-37, 5.48963e-37, 5.48963e-37, 5.48963e-37, 5.48963e-37, 4.54993e-14, 7.21801e-14, 5.48963e-37, 2.03722e-09, 5.48963e-37, 5.48963e-37, 5.48963e-37
0.378623, 0, 3.19528e-09, 4.78708e-36, 1.41421, -3.19528e-09, 0, 4.78708e-36, 4.78708e-36, 4.78708e-36, 4.78708e-36, 4.78708e-36, 4.78708e-36, 4.78708e-36, 4.78708e-36, 4.78708e-36, 4.78708e-36, 4.78708e-36, 7.58799e-14, 1.20214e-13, 4.78708e-36, 3.19508e-09, 4.78708e-36, 4.78708e-36, 4.78708e-36
0.386507, 0, 4.97065e-09, 3.82759e-35, 1.41421, -4.97065e-09, 0, 3.82759e-35, 3.82759e-35, 3.82759e-35, 3.82759e-35, 3.82759e-35, 3.82759e-35, 3.82759e-35, 3.82759e-35, 3.82759e-35, 3.82759e-35, 3.82759e-35, 1.26267e-13, 1.99571e-13, 3.82759e-35, 4.97033e-09, 3.82759e-35, 3.82759e-35, 3.82759e-35
0.394391, 0, 7.67009e-09, 2.81898e-34, 1.41421, -7.67009e-09, 0, 2.81898e-34, 2.81898e-34, 2.81898e-34, 2.81898e-34, 2.81898e-34, 2.81898e-34, 2.81898e-34, 2.81898e-34, 2.81898e-34, 2.81898e-34, 2.81898e-34, 2.09755e-13, 3.3042e-13, 2.81898e-34, 7.66955e-09, 2.81898e-34, 2.81898e-34, 2.81898e-34
0.402276, 0, 1.17407e-08, 1.95399e-33, 1.41421, -1.17407e-08, 0, 1.95399e-33, 1.95399e-33, 1.95399e-33, 1.95399e-33, 1.95399e-33, 1.95399e-33, 1.95399e-33, 1.95399e-33, 1.95399e-33, 1.95399e-33, 1.95399e-33, 3.48002e-13, 5.45849e-13, 1.95399e-33, 1.17398e-08, 1.95399e-33, 1.95399e-33, 1.95399e-33
0.41016, 0, 1.78286e-08, 1.20959e-32, 1.41421, -1.78286e-08, 0, 1.20959e-32, 1.20959e-32, 1.20959e-32, 1.20959e-32, 1.20959e-32, 1.20959e-32, 1.20959e-32, 1.20959e-32, 1.20959e-32, 1.20959e-32, 1.20959e-32, 5.76823e-13, 9.00142e-13, 1.20959e-32, 1.78271e-08, 1.20959e-32, 1.20959e-32, 1.20959e-32
0.418044, 0, 2.68594e-08, 7.43796e-32, 1.41421, -2.68594e-08, 0, 7.43796e-32, 7.43796e-32, 7.43796e-32, 7.43796e-32, 7.43796e-32, 7.43796e-32, 7.43796e-32, 7.43796e-32, 7.43796e-32, 7.43796e-32, 7.43796e-32, 9.55417e-13, 1.48235e-12, 7.43796e-32, 2.6857e-08, 7.43796e-32, 7.43796e-32, 7.43796e-32
