   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_192.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0309727, 384, 0, 0, 19.6469, 384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0230885, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0152043, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0073201, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000564108, 0, 3.67385e-24, 0, 1.41421, -3.67385e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.308e-28, 0, 0, 2.39546e-29, 4.69538e-28, 0, 3.67323e-24, 0, 0, 0
0.00844831, 0, 1.06939e-23, 0, 1.41421, -1.06939e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80732e-28, 0, 0, 7.07058e-29, 1.41792e-27, 0, 1.06921e-23, 0, 0, 0
0.0163325, 0, 3.01199e-23, 0, 1.41421, -3.01199e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07234e-27, 0, 0, 2.01976e-28, 4.125e-27, 0, 3.01145e-23, 0, 0, 0
0.0242167, 0, 8.23959e-23, 0, 1.41421, -8.23959e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93349e-27, 0, 0, 5.6044e-28, 1.16168e-26, 0, 8.23808e-23, 0, 0, 0
0.0321009, 0, 2.19568e-22, 0, 1.41421, -2.19568e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.81709e-27, 0, 0, 1.51498e-27, 3.17867e-26, 0, 2.19527e-22, 0, 0, 0
0.0399851, 0, 5.71297e-22, 0, 1.41421, -5.71297e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03394e-26, 0, 0, 3.99897e-27, 8.47513e-26, 0, 5.71188e-22, 0, 0, 0
0.0478693, 0, 1.45418e-21, 0, 1.41421, -1.45418e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.17716e-26, 0, 0, 1.03274e-26, 2.20699e-25, 0, 1.4539e-21, 0, 0, 0
0.0557536, 0, 3.62685e-21, 0, 1.41421, -3.62685e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29122e-25, 0, 0, 2.61358e-26, 5.62402e-25, 0, 3.62613e-21, 0, 0, 0
0.0636378, 0, 8.87526e-21, 0, 1.41421, -8.87526e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15974e-25, 0, 0, 6.49035e-26, 1.40468e-24, 0, 8.87347e-21, 0, 0, 0
0.071522, 0, 2.1355e-20, 0, 1.41421, -2.1355e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.60273e-25, 0, 0, 1.58598e-25, 3.44889e-24, 0, 2.13507e-20, 0, 0, 0
0.0794062, 0, 5.30789e-20, 0, 1.41421, -5.30789e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88968e-24, 0, 0, 4.03388e-25, 8.81472e-24, 0, 5.30678e-20, 0, 0, 0
0.0872904, 0, 1.22847e-19, 0, 1.41421, -1.22847e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37352e-24, 0, 0, 9.47817e-25, 2.07718e-23, 0, 1.22821e-19, 0, 0, 0
0.0951746, 0, 2.80158e-19, 0, 1.41421, -2.80158e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.97396e-24, 0, 0, 2.1947e-24, 4.8212e-23, 0, 2.80098e-19, 0, 0, 0
0.103059, 0, 6.29937e-19, 0, 1.41421, -6.29937e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24264e-23, 0, 0, 5.01118e-24, 1.10294e-22, 0, 6.29799e-19, 0, 0, 0
0.110943, 0, 1.39725e-18, 0, 1.41421, -1.39725e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97433e-23, 0, 0, 1.12889e-23, 2.48842e-22, 0, 1.39694e-18, 0, 0, 0
0.118827, 0, 3.05869e-18, 0, 1.41421, -3.05869e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08892e-22, 0, 0, 2.51028e-23, 5.53998e-22, 0, 3.058e-18, 0, 0, 0
0.126711, 0, 6.61092e-18, 0, 1.41421, -6.61092e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35354e-22, 0, 0, 5.51231e-23, 1.21762e-21, 0, 6.60942e-18, 0, 0, 0
0.134596, 0, 1.4113e-17, 0, 1.41421, -1.4113e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02431e-22, 0, 0, 1.19579e-22, 2.64317e-21, 0, 1.41097e-17, 0, 0, 0
0.14248, 0, 2.97678e-17, 0, 1.41421, -2.97678e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05975e-21, 0, 0, 2.56354e-22, 5.66913e-21, 0, 2.97608e-17, 0, 0, 0
0.150364, 0, 6.20556e-17, 0, 1.41421, -6.20556e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2092e-21, 0, 0, 5.43281e-22, 1.20184e-20, 0, 6.20409e-17, 0, 0, 0
