   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_97.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0339536, 194, 0, 0, 14, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0260585, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0181635, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0102684, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00237336, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00552169, 0, 1.25052e-23, 0, 1.41421, -1.25052e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.21581e-26, 0, 0, 0, 0, 1.2423e-23, 0, 0, 0
0.0134167, 0, 3.56696e-23, 0, 1.41421, -3.56696e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34346e-25, 0, 0, 0, 0, 3.54353e-23, 0, 0, 0
0.0213118, 0, 9.87953e-23, 0, 1.41421, -9.87953e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.49077e-25, 0, 0, 0, 0, 9.81462e-23, 0, 0, 0
0.0292069, 0, 2.6649e-22, 0, 1.41421, -2.6649e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75082e-24, 0, 0, 0, 0, 2.64739e-22, 0, 0, 0
0.0371019, 0, 7.01707e-22, 0, 1.41421, -7.01707e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61016e-24, 0, 0, 0, 0, 6.97097e-22, 0, 0, 0
0.0449969, 0, 1.80716e-21, 0, 1.41421, -1.80716e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18729e-23, 0, 0, 0, 0, 1.79528e-21, 0, 0, 0
