   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_123.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0318328, 246, 0, 0, 15.748, 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0239437, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0160546, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00816556, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000276469, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00761262, 2, 3.1625e-23, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96847e-25, 0, 0, 2.96205e-28, 3.87275e-27, 0, 3.1424e-23, 0, 0, 0
0.0155017, 0, 1.01579e-22, 0, 1.41421, -1.01579e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.32265e-25, 0, 0, 9.79268e-28, 1.3178e-26, 0, 1.00933e-22, 0, 0, 0
0.0233908, 2, 2.71354e-22, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.689e-24, 0, 0, 2.65566e-27, 3.61913e-26, 0, 2.69626e-22, 0, 0, 0
0.0312799, 0, 7.07032e-22, 0, 1.41421, -7.07032e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40079e-24, 0, 0, 7.02243e-27, 9.67002e-26, 0, 7.02527e-22, 0, 0, 0
0.039169, 2, 1.80085e-21, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1209e-23, 0, 0, 1.81491e-26, 2.52083e-25, 0, 1.78937e-21, 0, 0, 0
0.047058, 2, 4.49192e-21, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7959e-23, 0, 0, 4.59292e-26, 6.42563e-25, 0, 4.46328e-21, 0, 0, 0
0.0549471, 2, 1.09886e-20, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.83961e-23, 0, 0, 1.13988e-25, 1.60442e-24, 0, 1.09185e-20, 0, 0, 0
