   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_229.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.179241, 0, 6.91958e-16, 0, 1.41421, -6.91958e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99357e-18, 0, 0, 0, 3.98556e-20, 0, 6.86925e-16, 0, 0, 0
0.187128, 0, 1.37895e-15, 0, 1.41421, -1.37895e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.95127e-18, 0, 0, 0, 8.09422e-20, 0, 1.36892e-15, 0, 0, 0
0.195015, 0, 2.71933e-15, 0, 1.41421, -2.71933e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96241e-17, 0, 0, 0, 1.62725e-19, 0, 2.69954e-15, 0, 0, 0
0.202902, 0, 5.30752e-15, 0, 1.41421, -5.30752e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83018e-17, 0, 0, 0, 3.23907e-19, 0, 5.26889e-15, 0, 0, 0
0.21079, 0, 1.02542e-14, 0, 1.41421, -1.02542e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.39992e-17, 0, 0, 0, 6.38495e-19, 0, 1.01796e-14, 0, 0, 0
0.218677, 0, 1.96133e-14, 0, 1.41421, -1.96133e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41539e-16, 0, 0, 0, 1.24666e-18, 0, 1.94705e-14, 0, 0, 0
0.226564, 0, 3.71445e-14, 0, 1.41421, -3.71445e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6805e-16, 0, 0, 0, 2.41139e-18, 0, 3.6874e-14, 0, 0, 0
0.234451, 0, 6.96598e-14, 0, 1.41421, -6.96598e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02693e-16, 0, 0, 0, 4.62162e-18, 0, 6.91525e-14, 0, 0, 0
0.242338, 0, 1.29378e-13, 0, 1.41421, -1.29378e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.3364e-16, 0, 0, 0, 8.77802e-18, 0, 1.28436e-13, 0, 0, 0
0.250226, 0, 2.37999e-13, 0, 1.41421, -2.37999e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71748e-15, 0, 0, 0, 1.65252e-17, 0, 2.36265e-13, 0, 0, 0
0.258113, 0, 4.33673e-13, 0, 1.41421, -4.33673e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12953e-15, 0, 0, 0, 3.08397e-17, 0, 4.30512e-13, 0, 0, 0
0.266, 0, 7.82819e-13, 0, 1.41421, -7.82819e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64911e-15, 0, 0, 0, 5.70635e-17, 0, 7.77112e-13, 0, 0, 0
0.273887, 0, 1.39993e-12, 0, 1.41421, -1.39993e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01025e-14, 0, 0, 0, 1.04705e-16, 0, 1.38973e-12, 0, 0, 0
0.281774, 0, 2.48046e-12, 0, 1.41421, -2.48046e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79003e-14, 0, 0, 0, 1.90555e-16, 0, 2.46237e-12, 0, 0, 0
0.289661, 0, 4.3548e-12, 0, 1.41421, -4.3548e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14272e-14, 0, 0, 0, 3.44018e-16, 0, 4.32303e-12, 0, 0, 0
0.297549, 0, 7.5761e-12, 0, 1.41421, -7.5761e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46761e-14, 0, 0, 0, 6.16217e-16, 0, 7.5208e-12, 0, 0, 0
0.305436, 0, 1.30613e-11, 0, 1.41421, -1.30613e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.42673e-14, 0, 0, 0, 1.09537e-15, 0, 1.2966e-11, 0, 0, 0
0.313323, 0, 2.23165e-11, 0, 1.41421, -2.23165e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61075e-13, 0, 0, 0, 1.93269e-15, 0, 2.21534e-11, 0, 0, 0
0.32121, 0, 3.77903e-11, 0, 1.41421, -3.77903e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72789e-13, 0, 0, 0, 3.38559e-15, 0, 3.75141e-11, 0, 0, 0
0.329097, 0, 6.34278e-11, 8.54792e-44, 1.41421, -6.34278e-11, 0, 8.54792e-44, 8.54792e-44, 8.54792e-44, 8.54792e-44, 8.54792e-44, 8.54792e-44, 8.54792e-44, 8.54792e-44, 8.54792e-44, 8.54792e-44, 4.57913e-13, 8.54792e-44, 8.54792e-44, 8.54792e-44, 5.88978e-15, 8.54792e-44, 6.2964e-11, 8.54792e-44, 8.54792e-44, 8.54792e-44
0.336984, 0, 1.05522e-10, 1.57786e-42, 1.41421, -1.05522e-10, 0, 1.57786e-42, 1.57786e-42, 1.57786e-42, 1.57786e-42, 1.57786e-42, 1.57786e-42, 1.57786e-42, 1.57786e-42, 1.57786e-42, 1.57786e-42, 7.61947e-13, 1.57786e-42, 1.57786e-42, 1.57786e-42, 1.01784e-14, 1.57786e-42, 1.0475e-10, 1.57786e-42, 1.57786e-42, 1.57786e-42
0.344872, 0, 1.7402e-10, 2.41093e-41, 1.41421, -1.7402e-10, 0, 2.41093e-41, 2.41093e-41, 2.41093e-41, 2.41093e-41, 2.41093e-41, 2.41093e-41, 2.41093e-41, 2.41093e-41, 2.41093e-41, 2.41093e-41, 1.25684e-12, 2.41093e-41, 2.41093e-41, 2.41093e-41, 1.74792e-14, 2.41093e-41, 1.72746e-10, 2.41093e-41, 2.41093e-41, 2.41093e-41
0.352759, 0, 2.84491e-10, 3.23742e-40, 1.41421, -2.84491e-10, 0, 3.23742e-40, 3.23742e-40, 3.23742e-40, 3.23742e-40, 3.23742e-40, 3.23742e-40, 3.23742e-40, 3.23742e-40, 3.23742e-40, 3.23742e-40, 2.05531e-12, 3.23742e-40, 3.23742e-40, 3.23742e-40, 2.98387e-14, 3.23742e-40, 2.82406e-10, 3.23742e-40, 3.23742e-40, 3.23742e-40
0.360646, 0, 4.61074e-10, 3.88651e-39, 1.41421, -4.61074e-10, 0, 3.88651e-39, 3.88651e-39, 3.88651e-39, 3.88651e-39, 3.88651e-39, 3.88651e-39, 3.88651e-39, 3.88651e-39, 3.88651e-39, 3.88651e-39, 3.3323e-12, 3.88651e-39, 3.88651e-39, 3.88651e-39, 5.06567e-14, 3.88651e-39, 4.57691e-10, 3.88651e-39, 3.88651e-39, 3.88651e-39
0.368533, 0, 7.40855e-10, 4.20551e-38, 1.41421, -7.40855e-10, 0, 4.20551e-38, 4.20551e-38, 4.20551e-38, 4.20551e-38, 4.20551e-38, 4.20551e-38, 4.20551e-38, 4.20551e-38, 4.20551e-38, 4.20551e-38, 5.35694e-12, 4.20551e-38, 4.20551e-38, 4.20551e-38, 8.55629e-14, 4.20551e-38, 7.35413e-10, 4.20551e-38, 4.20551e-38, 4.20551e-38
0.37642, 0, 1.18026e-09, 4.12103e-37, 1.41421, -1.18026e-09, 0, 4.12103e-37, 4.12103e-37, 4.12103e-37, 4.12103e-37, 4.12103e-37, 4.12103e-37, 4.12103e-37, 4.12103e-37, 4.12103e-37, 4.12103e-37, 8.53931e-12, 4.12103e-37, 4.12103e-37, 4.12103e-37, 1.43859e-13, 4.12103e-37, 1.17157e-09, 4.12103e-37, 4.12103e-37, 4.12103e-37
0.384308, 0, 1.86433e-09, 3.68214e-36, 1.41421, -1.86433e-09, 0, 3.68214e-36, 3.68214e-36, 3.68214e-36, 3.68214e-36, 3.68214e-36, 3.68214e-36, 3.68214e-36, 3.68214e-36, 3.68214e-36, 3.68214e-36, 1.34989e-11, 3.68214e-36, 3.68214e-36, 3.68214e-36, 2.40889e-13, 3.68214e-36, 1.85059e-09, 3.68214e-36, 3.68214e-36, 3.68214e-36
0.392195, 0, 2.92011e-09, 3.01392e-35, 1.41421, -2.92011e-09, 0, 3.01392e-35, 3.01392e-35, 3.01392e-35, 3.01392e-35, 3.01392e-35, 3.01392e-35, 3.01392e-35, 3.01392e-35, 3.01392e-35, 3.01392e-35, 2.11631e-11, 3.01392e-35, 3.01392e-35, 3.01392e-35, 4.01943e-13, 3.01392e-35, 2.89854e-09, 3.01392e-35, 3.01392e-35, 3.01392e-35
0.400082, 0, 4.53553e-09, 2.26994e-34, 1.41421, -4.53553e-09, 0, 2.26994e-34, 2.26994e-34, 2.26994e-34, 2.26994e-34, 2.26994e-34, 2.26994e-34, 2.26994e-34, 2.26994e-34, 2.26994e-34, 2.26994e-34, 3.29086e-11, 2.26994e-34, 2.26994e-34, 2.26994e-34, 6.68683e-13, 2.26994e-34, 4.50195e-09, 2.26994e-34, 2.26994e-34, 2.26994e-34
0.407969, 0, 6.9861e-09, 1.57969e-33, 1.41421, -6.9861e-09, 0, 1.57969e-33, 1.57969e-33, 1.57969e-33, 1.57969e-33, 1.57969e-33, 1.57969e-33, 1.57969e-33, 1.57969e-33, 1.57969e-33, 1.57969e-33, 5.07604e-11, 1.57969e-33, 1.57969e-33, 1.57969e-33, 1.10974e-12, 1.57969e-33, 6.93423e-09, 1.57969e-33, 1.57969e-33, 1.57969e-33
0.415856, 0, 1.06725e-08, 2.22533e-32, 1.41421, -1.06725e-08, 0, 2.22533e-32, 2.22533e-32, 2.22533e-32, 2.22533e-32, 2.22533e-32, 2.22533e-32, 2.22533e-32, 2.22533e-32, 2.22533e-32, 2.22533e-32, 7.76789e-11, 2.22533e-32, 2.22533e-32, 2.22533e-32, 1.84072e-12, 2.22533e-32, 1.0593e-08, 2.22533e-32, 2.22533e-32, 2.22533e-32
0.423743, 0, 1.617e-08, 1.19816e-31, 1.41421, -1.617e-08, 0, 1.19816e-31, 1.19816e-31, 1.19816e-31, 1.19816e-31, 1.19816e-31, 1.19816e-31, 1.19816e-31, 1.19816e-31, 1.19816e-31, 1.19816e-31, 1.17933e-10, 1.19816e-31, 1.19816e-31, 1.19816e-31, 3.04436e-12, 1.19816e-31, 1.6049e-08, 1.19816e-31, 1.19816e-31, 1.19816e-31
0.431631, 0, 2.43006e-08, 6.3574e-31, 1.41421, -2.43006e-08, 0, 6.3574e-31, 6.3574e-31, 6.3574e-31, 6.3574e-31, 6.3574e-31, 6.3574e-31, 6.3574e-31, 6.3574e-31, 6.3574e-31, 6.3574e-31, 1.77667e-10, 6.3574e-31, 6.3574e-31, 6.3574e-31, 5.02959e-12, 6.3574e-31, 2.4118e-08, 6.3574e-31, 6.3574e-31, 6.3574e-31
0.439518, 0, 3.62259e-08, 3.23003e-30, 1.41421, -3.62259e-08, 0, 3.23003e-30, 3.23003e-30, 3.23003e-30, 3.23003e-30, 3.23003e-30, 3.23003e-30, 3.23003e-30, 3.23003e-30, 3.23003e-30, 3.23003e-30, 2.65627e-10, 3.23003e-30, 3.23003e-30, 3.23003e-30, 8.30253e-12, 3.23003e-30, 3.5952e-08, 3.23003e-30, 3.23003e-30, 3.23003e-30
0.447405, 0, 5.35731e-08, 1.55507e-29, 1.41421, -5.35731e-08, 0, 1.55507e-29, 1.55507e-29, 1.55507e-29, 1.55507e-29, 1.55507e-29, 1.55507e-29, 1.55507e-29, 1.55507e-29, 1.55507e-29, 1.55507e-29, 3.94178e-10, 1.55507e-29, 1.55507e-29, 1.55507e-29, 1.36958e-11, 1.55507e-29, 5.31653e-08, 1.55507e-29, 1.55507e-29, 1.55507e-29
0.455292, 0, 7.86022e-08, 7.19824e-29, 1.41421, -7.86022e-08, 0, 7.19824e-29, 7.19824e-29, 7.19824e-29, 7.19824e-29, 7.19824e-29, 7.19824e-29, 7.19824e-29, 7.19824e-29, 7.19824e-29, 7.19824e-29, 5.80672e-10, 7.19824e-29, 7.19824e-29, 7.19824e-29, 2.25763e-11, 7.19824e-29, 7.7999e-08, 7.19824e-29, 7.19824e-29, 7.19824e-29
0.463179, 0, 1.14424e-07, 3.20942e-28, 1.41421, -1.14424e-07, 0, 3.20942e-28, 3.20942e-28, 3.20942e-28, 3.20942e-28, 3.20942e-28, 3.20942e-28, 3.20942e-28, 3.20942e-28, 3.20942e-28, 3.20942e-28, 8.49288e-10, 3.20942e-28, 3.20942e-28, 3.20942e-28, 3.71816e-11, 3.20942e-28, 1.13538e-07, 3.20942e-28, 3.20942e-28, 3.20942e-28
0.471067, 0, 1.65285e-07, 1.36858e-27, 1.41421, -1.65285e-07, 0, 1.36858e-27, 1.36858e-27, 1.36858e-27, 1.36858e-27, 1.36858e-27, 1.36858e-27, 1.36858e-27, 1.36858e-27, 1.36858e-27, 1.36858e-27, 1.23348e-09, 1.36858e-27, 1.36858e-27, 1.36858e-27, 6.11606e-11, 1.36858e-27, 1.6399e-07, 1.36858e-27, 1.36858e-27, 1.36858e-27
0.478954, 0, 2.3693e-07, 5.57536e-27, 1.41421, -2.3693e-07, 0, 5.57536e-27, 5.57536e-27, 5.57536e-27, 5.57536e-27, 5.57536e-27, 5.57536e-27, 5.57536e-27, 5.57536e-27, 5.57536e-27, 5.57536e-27, 1.77923e-09, 5.57536e-27, 5.57536e-27, 5.57536e-27, 1.00433e-10, 5.57536e-27, 2.3505e-07, 5.57536e-27, 5.57536e-27, 5.57536e-27
0.486841, 0, 3.37067e-07, 2.17064e-26, 1.41421, -3.37067e-07, 0, 2.17064e-26, 2.17064e-26, 2.17064e-26, 2.17064e-26, 2.17064e-26, 2.17064e-26, 2.10579e-12, 2.17064e-26, 2.17064e-26, 2.17064e-26, 2.54933e-09, 2.17064e-26, 2.17064e-26, 2.17064e-26, 1.64546e-10, 2.17064e-26, 3.34351e-07, 2.17064e-26, 2.17064e-26, 2.17064e-26
0.494728, 0, 4.75954e-07, 8.08804e-26, 1.41421, -4.75954e-07, 0, 8.08804e-26, 8.08804e-26, 8.08804e-26, 8.08804e-26, 8.08804e-26, 8.08804e-26, 7.45842e-12, 8.08804e-26, 8.08804e-26, 8.08804e-26, 3.62895e-09, 8.08804e-26, 8.08804e-26, 8.08804e-26, 2.6879e-10, 8.08804e-26, 4.72049e-07, 8.08804e-26, 8.08804e-26, 8.08804e-26
0.502615, 0, 6.67127e-07, 2.89909e-25, 1.41421, -6.67127e-07, 0, 2.89909e-25, 2.89909e-25, 2.89909e-25, 2.89909e-25, 2.89909e-25, 2.89909e-25, 2.05954e-11, 2.89909e-25, 2.89909e-25, 2.89909e-25, 5.13295e-09, 2.89909e-25, 2.89909e-25, 2.89909e-25, 4.37456e-10, 2.89909e-25, 6.61536e-07, 2.89909e-25, 2.89909e-25, 2.89909e-25
0.510502, 0, 9.29504e-07, 8.63276e-11, 1.41421, -9.29504e-07, 8.63276e-11, 8.63475e-11, 8.63522e-11, 4.82982e-10, 9.53674e-11, 8.6857e-11, 9.67223e-11, 2.37696e-10, 1.64917e-10, 8.85918e-11, 4.2529e-10, 7.30161e-09, 8.72332e-11, 8.79922e-11, 8.64082e-11, 7.95123e-10, 8.63292e-11, 9.20514e-07, 8.63276e-11, 8.63276e-11, 1.62188e-10
0.51839, 0, 1.28672e-06, 3.06658e-10, 1.41421, -1.28672e-06, 3.06658e-10, 3.06728e-10, 3.06745e-10, 1.70342e-09, 3.38491e-10, 3.08523e-10, 3.43262e-10, 7.81359e-10, 5.83399e-10, 3.14631e-10, 1.50027e-09, 1.03874e-08, 3.09847e-10, 3.1252e-10, 3.08162e-10, 1.44914e-09, 3.06664e-10, 1.2718e-06, 3.06658e-10, 3.06658e-10, 5.73791e-10
0.526277, 0, 1.77099e-06, 8.46644e-10, 1.41421, -1.77099e-06, 8.46644e-10, 8.46836e-10, 8.46882e-10, 4.68349e-09, 9.34086e-10, 8.51765e-10, 9.47192e-10, 2.09687e-09, 1.60684e-09, 8.68545e-10, 4.12543e-09, 1.48472e-08, 8.55404e-10, 8.62745e-10, 8.52135e-10, 2.67728e-09, 8.4666e-10, 1.74505e-06, 8.46644e-10, 8.46644e-10, 1.58044e-09
0.534164, 0, 2.42622e-06, 2.12944e-09, 1.41421, -2.42622e-06, 2.12944e-09, 2.12993e-09, 2.13004e-09, 1.17499e-08, 2.3487e-09, 2.14229e-09, 2.38156e-09, 5.18951e-09, 4.03555e-09, 2.18436e-09, 1.03506e-08, 2.14602e-08, 2.15141e-09, 2.16982e-09, 2.14515e-09, 5.04329e-09, 2.12948e-09, 2.37871e-06, 2.12944e-09, 2.12944e-09, 3.96937e-09
0.542051, 0, 3.31348e-06, 5.09224e-09, 1.41421, -3.31348e-06, 5.09224e-09, 5.09339e-09, 5.09366e-09, 2.80526e-08, 5.61551e-09, 5.12289e-09, 5.69394e-09, 1.22643e-08, 9.64137e-09, 5.2233e-09, 2.47131e-08, 3.16292e-08, 5.14466e-09, 5.18859e-09, 5.13276e-09, 9.6972e-09, 5.09233e-09, 3.22216e-06, 5.09224e-09, 5.09224e-09, 9.48342e-09
0.549938, 0, 4.52152e-06, 1.17538e-08, 1.41421, -4.52152e-06, 1.17538e-08, 1.17565e-08, 1.17571e-08, 6.46765e-08, 1.296e-08, 1.18245e-08, 1.31407e-08, 2.80376e-08, 2.22394e-08, 1.20559e-08, 5.69791e-08, 4.79771e-08, 1.18747e-08, 1.19759e-08, 1.18524e-08, 1.89816e-08, 1.17541e-08, 4.33961e-06, 1.17538e-08, 1.17538e-08, 2.18754e-08
0.557826, 0, 6.18754e-06, 2.63429e-08, 1.41421, -6.18754e-06, 2.63429e-08, 2.63488e-08, 2.63502e-08, 1.44822e-07, 2.9043e-08, 2.6501e-08, 2.94477e-08, 6.46519e-08, 4.98172e-08, 2.70192e-08, 1.2759e-07, 7.55113e-08, 2.66134e-08, 2.68401e-08, 2.65731e-08, 3.75911e-08, 2.63434e-08, 5.81531e-06, 2.63429e-08, 2.63429e-08, 4.90021e-08
0.565713, 0, 8.54248e-06, 5.74736e-08, 1.41421, -8.54248e-06, 5.74736e-08, 5.74865e-08, 5.74896e-08, 3.15708e-07, 6.33588e-08, 5.78183e-08, 6.42409e-08, 1.58177e-07, 1.08638e-07, 5.89476e-08, 2.78149e-07, 1.23844e-07, 5.80632e-08, 5.85573e-08, 5.79943e-08, 7.48296e-08, 5.74747e-08, 7.7619e-06, 5.74736e-08, 5.74736e-08, 1.06861e-07
0.5736, 0, 1.19598e-05, 1.22212e-07, 1.41421, -1.19598e-05, 1.22212e-07, 1.22239e-07, 1.22246e-07, 6.70793e-07, 1.34714e-07, 1.22944e-07, 1.36588e-07, 3.65602e-07, 2.30902e-07, 1.25343e-07, 5.91004e-07, 2.11312e-07, 1.23464e-07, 1.24514e-07, 1.23357e-07, 1.48761e-07, 1.22214e-07, 1.03342e-05, 1.22212e-07, 1.22212e-07, 2.27128e-07
0.581487, 0, 1.70882e-05, 2.53431e-07, 1.41421, -1.70882e-05, 2.53431e-07, 2.53488e-07, 2.53501e-07, 1.38993e-06, 2.79332e-07, 2.54948e-07, 2.83214e-07, 8.06168e-07, 4.78605e-07, 2.59918e-07, 1.22463e-06, 3.72401e-07, 2.56026e-07, 2.582e-07, 2.55883e-07, 2.93692e-07, 2.53435e-07, 1.37523e-05, 2.53431e-07, 2.53431e-07, 4.70787e-07
0.589374, 0, 2.50698e-05, 5.12705e-07, 1.41421, -2.50698e-05, 5.12705e-07, 5.1282e-07, 5.12848e-07, 2.80961e-06, 5.65052e-07, 5.15771e-07, 5.72898e-07, 1.72117e-06, 9.67792e-07, 5.25817e-07, 2.47554e-06, 6.70716e-07, 5.1795e-07, 5.22344e-07, 5.17829e-07, 5.73232e-07, 5.12715e-07, 1.83397e-05, 5.12705e-07, 5.12705e-07, 9.51991e-07
0.597261, 0, 3.79228e-05, 1.01216e-06, 1.41421, -3.79228e-05, 1.01216e-06, 1.01239e-06, 1.01245e-06, 5.54194e-06, 1.1154e-06, 1.01821e-06, 1.13087e-06, 3.59038e-06, 1.90965e-06, 1.03802e-06, 4.8831e-06, 1.22094e-06, 1.02251e-06, 1.03117e-06, 1.02261e-06, 1.10239e-06, 1.01218e-06, 2.45869e-05, 1.01216e-06, 1.01216e-06, 1.87849e-06
0.605149, 0, 5.91614e-05, 1.95033e-06, 1.41421, -5.91614e-05, 1.95033e-06, 1.95077e-06, 1.95087e-06, 1.06693e-05, 2.14904e-06, 1.96197e-06, 2.17882e-06, 7.31539e-06, 3.67782e-06, 2.0001e-06, 9.40113e-06, 2.22482e-06, 1.97024e-06, 1.98692e-06, 1.97113e-06, 2.08374e-06, 1.95037e-06, 3.32568e-05, 1.95033e-06, 1.95033e-06, 3.61784e-06
