   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_263.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.197334, 0, 1.23784e-14, 0, 1.41421, -1.23784e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43433e-17, 0, 0, 0, 0, 1.2364e-14, 0, 0, 0
0.205217, 0, 2.31754e-14, 0, 1.41421, -2.31754e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68541e-17, 0, 0, 0, 0, 2.31486e-14, 0, 0, 0
0.2131, 0, 4.29897e-14, 0, 1.41421, -4.29897e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98135e-17, 0, 0, 0, 0, 4.29399e-14, 0, 0, 0
0.220984, 0, 7.90172e-14, 0, 1.41421, -7.90172e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.15596e-17, 0, 0, 0, 0, 7.89256e-14, 0, 0, 0
0.228867, 0, 1.43927e-13, 0, 1.41421, -1.43927e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66772e-16, 0, 0, 0, 0, 1.4376e-13, 0, 0, 0
0.23675, 0, 2.59816e-13, 0, 1.41421, -2.59816e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01056e-16, 0, 0, 0, 0, 2.59515e-13, 0, 0, 0
0.244634, 0, 4.64865e-13, 0, 1.41421, -4.64865e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38655e-16, 0, 0, 0, 0, 4.64326e-13, 0, 0, 0
0.252517, 0, 8.24449e-13, 0, 1.41421, -8.24449e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.55322e-16, 0, 0, 0, 0, 8.23493e-13, 0, 0, 0
0.260401, 0, 1.44946e-12, 0, 1.41421, -1.44946e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67956e-15, 0, 0, 0, 0, 1.44778e-12, 0, 0, 0
0.268284, 0, 2.52628e-12, 0, 1.41421, -2.52628e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92739e-15, 0, 0, 0, 0, 2.52335e-12, 0, 0, 0
0.276167, 0, 4.3654e-12, 0, 1.41421, -4.3654e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05864e-15, 0, 0, 0, 0, 4.36034e-12, 0, 0, 0
0.284051, 0, 7.4792e-12, 0, 1.41421, -7.4792e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.66726e-15, 0, 0, 0, 0, 7.47053e-12, 0, 0, 0
0.291934, 0, 1.27058e-11, 0, 1.41421, -1.27058e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47249e-14, 0, 0, 0, 0, 1.26911e-11, 0, 0, 0
0.299817, 0, 2.14037e-11, 0, 1.41421, -2.14037e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48068e-14, 0, 0, 0, 0, 2.13789e-11, 0, 0, 0
0.307701, 0, 3.5755e-11, 0, 1.41421, -3.5755e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1444e-14, 0, 0, 0, 0, 3.57136e-11, 0, 0, 0
0.315584, 0, 5.92336e-11, 0, 1.41421, -5.92336e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.86673e-14, 0, 0, 0, 0, 5.91649e-11, 0, 0, 0
0.323467, 0, 9.73202e-11, 1.66755e-43, 1.41421, -9.73202e-11, 1.66755e-43, 0, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.12839e-13, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 9.72074e-11, 1.66755e-43, 1.66755e-43, 1.66755e-43
0.331351, 0, 1.58585e-10, 2.94693e-42, 1.41421, -1.58585e-10, 2.94693e-42, 0, 2.94693e-42, 2.94693e-42, 2.94693e-42, 2.94693e-42, 2.94693e-42, 2.94693e-42, 2.94693e-42, 2.94693e-42, 1.83915e-13, 2.94693e-42, 2.94693e-42, 2.94693e-42, 2.94693e-42, 1.58402e-10, 2.94693e-42, 2.94693e-42, 2.94693e-42
0.339234, 0, 2.56312e-10, 4.32889e-41, 1.41421, -2.56312e-10, 4.32889e-41, 0, 4.32889e-41, 4.32889e-41, 4.32889e-41, 4.32889e-41, 4.32889e-41, 4.32889e-41, 4.32889e-41, 4.32889e-41, 2.97334e-13, 4.32889e-41, 4.32889e-41, 4.32889e-41, 4.32889e-41, 2.56015e-10, 4.32889e-41, 4.32889e-41, 4.32889e-41
0.347117, 0, 4.109e-10, 5.62813e-40, 1.41421, -4.109e-10, 5.62813e-40, 0, 5.62813e-40, 5.62813e-40, 5.62813e-40, 5.62813e-40, 5.62813e-40, 5.62813e-40, 5.62813e-40, 5.62813e-40, 4.76837e-13, 5.62813e-40, 5.62813e-40, 5.62813e-40, 5.62813e-40, 4.10424e-10, 5.62813e-40, 5.62813e-40, 5.62813e-40
0.355001, 0, 6.53415e-10, 6.54087e-39, 1.41421, -6.53415e-10, 6.54087e-39, 0, 6.54087e-39, 6.54087e-39, 6.54087e-39, 6.54087e-39, 6.54087e-39, 6.54087e-39, 6.54087e-39, 6.54087e-39, 7.58611e-13, 6.54087e-39, 6.54087e-39, 6.54087e-39, 6.54087e-39, 6.52656e-10, 6.54087e-39, 6.54087e-39, 6.54087e-39
0.362884, 0, 1.03073e-09, 6.86115e-38, 1.41421, -1.03073e-09, 6.86115e-38, 0, 6.86115e-38, 6.86115e-38, 6.86115e-38, 6.86115e-38, 6.86115e-38, 6.86115e-38, 6.86115e-38, 6.86115e-38, 1.19735e-12, 6.86115e-38, 6.86115e-38, 6.86115e-38, 6.86115e-38, 1.02953e-09, 6.86115e-38, 6.86115e-38, 6.86115e-38
0.370768, 0, 1.61297e-09, 6.5277e-37, 1.41421, -1.61297e-09, 6.5277e-37, 0, 6.5277e-37, 6.5277e-37, 6.5277e-37, 6.5277e-37, 6.5277e-37, 6.5277e-37, 6.5277e-37, 6.5277e-37, 1.87502e-12, 6.5277e-37, 6.5277e-37, 6.5277e-37, 6.5277e-37, 1.61109e-09, 6.5277e-37, 6.5277e-37, 6.5277e-37
0.378651, 0, 2.50409e-09, 5.67261e-36, 1.41421, -2.50409e-09, 5.67261e-36, 0, 5.67261e-36, 5.67261e-36, 5.67261e-36, 5.67261e-36, 5.67261e-36, 5.67261e-36, 5.67261e-36, 5.67261e-36, 2.91343e-12, 5.67261e-36, 5.67261e-36, 5.67261e-36, 5.67261e-36, 2.50118e-09, 5.67261e-36, 5.67261e-36, 5.67261e-36
0.386534, 0, 3.85691e-09, 4.51985e-35, 1.41421, -3.85691e-09, 4.51985e-35, 0, 4.51985e-35, 4.51985e-35, 4.51985e-35, 4.51985e-35, 4.51985e-35, 4.51985e-35, 4.51985e-35, 4.51985e-35, 4.49213e-12, 4.51985e-35, 4.51985e-35, 4.51985e-35, 4.51985e-35, 3.85241e-09, 4.51985e-35, 4.51985e-35, 4.51985e-35
0.394418, 0, 5.89442e-09, 9.38491e-34, 1.41421, -5.89442e-09, 9.38491e-34, 0, 9.38491e-34, 9.38491e-34, 9.38491e-34, 9.38491e-34, 9.38491e-34, 9.38491e-34, 9.38491e-34, 9.38491e-34, 6.87416e-12, 9.38491e-34, 9.38491e-34, 9.38491e-34, 9.38491e-34, 5.88754e-09, 9.38491e-34, 9.38491e-34, 9.38491e-34
0.402301, 0, 8.93767e-09, 5.64989e-33, 1.41421, -8.93767e-09, 5.64989e-33, 0, 5.64989e-33, 5.64989e-33, 5.64989e-33, 5.64989e-33, 5.64989e-33, 5.64989e-33, 5.64989e-33, 5.64989e-33, 1.04394e-11, 5.64989e-33, 5.64989e-33, 5.64989e-33, 5.64989e-33, 8.92723e-09, 5.64989e-33, 5.64989e-33, 5.64989e-33
0.410184, 0, 1.34475e-08, 3.42128e-32, 1.41421, -1.34475e-08, 3.42128e-32, 0, 3.42128e-32, 3.42128e-32, 3.42128e-32, 3.42128e-32, 3.42128e-32, 3.42128e-32, 3.42128e-32, 3.42128e-32, 1.57361e-11, 3.42128e-32, 3.42128e-32, 3.42128e-32, 3.42128e-32, 1.34317e-08, 3.42128e-32, 3.42128e-32, 3.42128e-32
0.418068, 0, 2.00779e-08, 1.85848e-31, 1.41421, -2.00779e-08, 1.85848e-31, 0, 1.85848e-31, 1.85848e-31, 1.85848e-31, 1.85848e-31, 1.85848e-31, 1.85848e-31, 1.85848e-31, 1.85848e-31, 2.3547e-11, 1.85848e-31, 1.85848e-31, 1.85848e-31, 1.85848e-31, 2.00543e-08, 1.85848e-31, 1.85848e-31, 1.85848e-31
0.425951, 0, 2.97494e-08, 9.83653e-31, 1.41421, -2.97494e-08, 9.83653e-31, 0, 9.83653e-31, 9.83653e-31, 9.83653e-31, 9.83653e-31, 9.83653e-31, 9.83653e-31, 9.83653e-31, 9.83653e-31, 3.49815e-11, 9.83653e-31, 9.83653e-31, 9.83653e-31, 9.83653e-31, 2.97144e-08, 9.83653e-31, 9.83653e-31, 9.83653e-31
0.433834, 0, 4.37474e-08, 4.95969e-30, 1.41421, -4.37474e-08, 4.95969e-30, 0, 4.95969e-30, 4.95969e-30, 4.95969e-30, 4.95969e-30, 4.95969e-30, 4.95969e-30, 4.95969e-30, 4.95969e-30, 5.16009e-11, 4.95969e-30, 4.95969e-30, 4.95969e-30, 4.95969e-30, 4.36958e-08, 4.95969e-30, 4.95969e-30, 4.95969e-30
0.441718, 0, 6.38507e-08, 2.36495e-29, 1.41421, -6.38507e-08, 2.36495e-29, 0, 2.36495e-29, 2.36495e-29, 2.36495e-29, 2.36495e-29, 2.36495e-29, 2.36495e-29, 2.36495e-29, 2.36495e-29, 7.55874e-11, 2.36495e-29, 2.36495e-29, 2.36495e-29, 2.36495e-29, 6.37751e-08, 2.36495e-29, 2.36495e-29, 2.36495e-29
0.449601, 0, 9.25016e-08, 1.08687e-28, 1.41421, -9.25016e-08, 1.08687e-28, 0, 1.08687e-28, 1.08687e-28, 1.08687e-28, 1.08687e-28, 1.08687e-28, 1.08687e-28, 1.08687e-28, 1.08687e-28, 1.09969e-10, 1.08687e-28, 1.08687e-28, 1.08687e-28, 1.08687e-28, 9.23916e-08, 1.08687e-28, 1.08687e-28, 1.08687e-28
0.457485, 0, 1.33026e-07, 4.78379e-28, 1.41421, -1.33026e-07, 4.78379e-28, 0, 4.78379e-28, 4.78379e-28, 4.78379e-28, 4.78379e-28, 4.78379e-28, 4.78379e-28, 4.78379e-28, 4.78379e-28, 1.58923e-10, 4.78379e-28, 4.78379e-28, 4.78379e-28, 4.78379e-28, 1.32867e-07, 4.78379e-28, 4.78379e-28, 4.78379e-28
0.465368, 0, 1.89913e-07, 2.00851e-27, 1.41421, -1.89913e-07, 2.00851e-27, 0, 2.00851e-27, 2.00851e-27, 2.00851e-27, 2.00851e-27, 2.00851e-27, 2.00851e-27, 2.00851e-27, 2.00851e-27, 2.28168e-10, 2.00851e-27, 2.00851e-27, 2.00851e-27, 2.00851e-27, 1.89684e-07, 2.00851e-27, 2.00851e-27, 2.00851e-27
0.473251, 0, 2.69178e-07, 8.04842e-27, 1.41421, -2.69178e-07, 8.04842e-27, 0, 8.04842e-27, 8.04842e-27, 8.04842e-27, 8.04842e-27, 8.04842e-27, 8.04842e-27, 8.04842e-27, 8.04842e-27, 3.25493e-10, 8.04842e-27, 8.04842e-27, 8.04842e-27, 8.04842e-27, 2.68853e-07, 8.04842e-27, 8.04842e-27, 8.04842e-27
0.481135, 0, 3.78817e-07, 3.08135e-26, 1.41421, -3.78817e-07, 3.08135e-26, 0, 3.08135e-26, 3.08135e-26, 3.08135e-26, 3.08135e-26, 9.57448e-13, 3.08135e-26, 3.08135e-26, 3.08135e-26, 4.61437e-10, 3.08135e-26, 3.08135e-26, 3.08135e-26, 3.08135e-26, 3.78354e-07, 3.08135e-26, 3.08135e-26, 3.08135e-26
0.489018, 0, 5.29363e-07, 1.12912e-25, 1.41421, -5.29363e-07, 1.12912e-25, 0, 1.12912e-25, 1.12912e-25, 1.12912e-25, 1.12912e-25, 3.32139e-12, 1.12912e-25, 1.12912e-25, 1.12912e-25, 6.50168e-10, 1.12912e-25, 1.12912e-25, 1.12912e-25, 1.12912e-25, 5.2871e-07, 1.12912e-25, 1.12912e-25, 1.12912e-25
0.496901, 0, 7.34602e-07, 3.99288e-25, 1.41421, -7.34602e-07, 3.99288e-25, 0, 3.99288e-25, 3.99288e-25, 3.99288e-25, 3.99288e-25, 8.9699e-12, 3.99288e-25, 3.99288e-25, 3.99288e-25, 9.10635e-10, 3.99288e-25, 3.99288e-25, 3.99288e-25, 3.99288e-25, 7.33683e-07, 3.99288e-25, 3.99288e-25, 3.99288e-25
