   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_346.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.578834, 0, 2.85917e-05, 2.45029e-07, 1.41421, -2.85917e-05, 2.45029e-07, 2.4512e-07, 2.45082e-07, 2.38685e-06, 2.93491e-07, 2.46443e-07, 2.73161e-07, 8.03131e-07, 4.70104e-07, 3.98582e-06, 3.6509e-07, 2.46106e-07, 2.52774e-07, 2.47817e-07, 2.52328e-07, 2.45032e-07, 2.15247e-05, 2.45029e-07, 2.45029e-07, 4.29071e-07
0.586722, 0, 4.2039e-05, 4.83797e-07, 1.41421, -4.2039e-05, 4.83797e-07, 4.83971e-07, 4.83899e-07, 4.62281e-06, 5.77448e-07, 4.86529e-07, 5.38161e-07, 1.65242e-06, 9.18749e-07, 7.71279e-06, 6.41162e-07, 4.85878e-07, 4.98764e-07, 4.87963e-07, 4.98414e-07, 4.83802e-07, 2.83675e-05, 4.83797e-07, 4.83797e-07, 8.39453e-07
0.59461, 0, 6.35058e-05, 9.33794e-07, 1.41421, -6.35058e-05, 9.33794e-07, 9.34124e-07, 9.33987e-07, 8.75418e-06, 1.11074e-06, 9.38956e-07, 1.03651e-06, 3.30897e-06, 1.75561e-06, 1.45925e-05, 1.13909e-06, 9.37727e-07, 9.62074e-07, 9.39975e-07, 9.62425e-07, 9.33804e-07, 3.76e-05, 9.33794e-07, 9.33794e-07, 1.60578e-06
0.602498, 0, 9.83988e-05, 1.76224e-06, 1.41421, -9.83988e-05, 1.76224e-06, 1.76285e-06, 1.76259e-06, 1.62117e-05, 2.08918e-06, 1.77177e-06, 1.95202e-06, 6.51323e-06, 3.28067e-06, 2.69989e-05, 2.02888e-06, 1.7695e-06, 1.81449e-06, 1.77134e-06, 1.8171e-06, 1.76225e-06, 5.02843e-05, 1.76224e-06, 1.76224e-06, 3.00384e-06
0.610386, 0, 0.00015564, 3.25214e-06, 1.41421, -0.00015564, 3.25214e-06, 3.25324e-06, 3.25279e-06, 2.93635e-05, 3.84295e-06, 3.26937e-06, 3.5951e-06, 1.26049e-05, 5.99607e-06, 4.8857e-05, 3.59698e-06, 3.26527e-06, 3.34656e-06, 3.26546e-06, 3.35504e-06, 3.25217e-06, 6.80621e-05, 3.25214e-06, 3.25214e-06, 5.49583e-06
0.618274, 0, 0.000249717, 5.87002e-06, 1.41421, -0.000249717, 5.87002e-06, 5.87197e-06, 5.87116e-06, 5.20271e-05, 6.91439e-06, 5.90049e-06, 6.47627e-06, 2.39887e-05, 1.07205e-05, 8.64857e-05, 6.31424e-06, 5.89323e-06, 6.03693e-06, 5.88938e-06, 6.05893e-06, 5.87008e-06, 9.34817e-05, 5.87002e-06, 5.87002e-06, 9.8362e-06
0.626162, 0, 0.000403657, 1.03643e-05, 1.41421, -0.000403657, 1.03643e-05, 1.03677e-05, 1.03663e-05, 9.01904e-05, 1.21705e-05, 1.0417e-05, 1.14128e-05, 4.49002e-05, 1.87529e-05, 0.000149784, 1.09345e-05, 1.04045e-05, 1.0653e-05, 1.03923e-05, 1.07039e-05, 1.03644e-05, 0.000130448, 1.03643e-05, 1.03643e-05, 1.72236e-05
0.63405, 0, 0.000653324, 1.79036e-05, 1.41421, -0.000653324, 1.79036e-05, 1.79093e-05, 1.79069e-05, 0.000152992, 2.09602e-05, 1.79928e-05, 1.96779e-05, 8.26571e-05, 3.20995e-05, 0.000253842, 1.8633e-05, 1.79715e-05, 1.83921e-05, 1.79437e-05, 1.85014e-05, 1.79038e-05, 0.000184887, 1.79036e-05, 1.79036e-05, 2.95114e-05
0.641938, 0, 0.0010534, 3.0263e-05, 1.41421, -0.0010534, 3.0263e-05, 3.02724e-05, 3.02685e-05, 0.000253999, 3.53254e-05, 3.04107e-05, 3.32017e-05, 0.000149656, 5.37744e-05, 0.000421029, 3.11934e-05, 3.03755e-05, 3.10721e-05, 3.03202e-05, 3.12938e-05, 3.02633e-05, 0.00026566, 3.0263e-05, 3.0263e-05, 4.94881e-05
0.649826, 0, 0.00168538, 5.00645e-05, 1.41421, -0.00168538, 5.00645e-05, 5.00798e-05, 5.00735e-05, 0.000412788, 5.82717e-05, 5.03039e-05, 5.48287e-05, 0.000266471, 8.81815e-05, 0.00068358, 5.12481e-05, 5.02469e-05, 5.13762e-05, 5.01457e-05, 5.1806e-05, 5.00649e-05, 0.000385713, 5.00645e-05, 5.00645e-05, 8.12326e-05
