   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_32.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0278571, 64, 0, 0, 8.12404, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0199561, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0120552, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00415424, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00374669, 0, 2.681e-21, 0, 1.41421, -2.681e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41806e-26, 0, 2.68094e-21, 0, 0, 0
0.0116476, 0, 6.77651e-21, 0, 1.41421, -6.77651e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40078e-25, 0, 6.77637e-21, 0, 0, 0
0.0195486, 0, 1.5619e-20, 0, 1.41421, -1.5619e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27342e-25, 0, 1.56186e-20, 0, 0, 0
0.0274495, 0, 3.54529e-20, 0, 1.41421, -3.54529e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53388e-25, 0, 3.54522e-20, 0, 0, 0
0.0353504, 0, 7.93112e-20, 0, 1.41421, -7.93112e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70907e-24, 0, 7.93095e-20, 0, 0, 0
0.0432514, 0, 1.74982e-19, 0, 1.41421, -1.74982e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82402e-24, 0, 1.74978e-19, 0, 0, 0
0.0511523, 0, 3.80959e-19, 0, 1.41421, -3.80959e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.44428e-24, 0, 3.80951e-19, 0, 0, 0
0.0590532, 0, 8.18877e-19, 0, 1.41421, -8.18877e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84127e-23, 0, 8.18858e-19, 0, 0, 0
0.0669542, 0, 1.73864e-18, 0, 1.41421, -1.73864e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96631e-23, 0, 1.7386e-18, 0, 0, 0
0.0748551, 0, 3.64785e-18, 0, 1.41421, -3.64785e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.44425e-23, 0, 3.64776e-18, 0, 0, 0
