   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_231.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0320811, 462, 0, 0, 21.5407, 462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.024196, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0163109, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00842577, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000540648, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00734447, 0, 8.77263e-24, 0, 1.41421, -8.77263e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08617e-27, 0, 0, 6.77862e-29, 0, 0, 8.77148e-24, 0, 0, 0
0.0152296, 0, 2.46376e-23, 0, 1.41421, -2.46376e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05045e-27, 0, 0, 1.92833e-28, 0, 0, 2.46343e-23, 0, 0, 0
0.0231147, 0, 6.72112e-23, 0, 1.41421, -6.72112e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.32162e-27, 0, 0, 5.32932e-28, 0, 0, 6.72023e-23, 0, 0, 0
0.0309998, 0, 1.78621e-22, 0, 1.41421, -1.78621e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21156e-26, 0, 0, 1.43507e-27, 0, 0, 1.78597e-22, 0, 0, 0
0.038885, 0, 4.63542e-22, 0, 1.41421, -4.63542e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.73926e-26, 0, 0, 3.77394e-27, 0, 0, 4.63481e-22, 0, 0, 0
0.0467701, 0, 1.17691e-21, 0, 1.41421, -1.17691e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45717e-25, 0, 0, 9.71126e-27, 0, 0, 1.17676e-21, 0, 0, 0
0.0546552, 0, 2.92812e-21, 0, 1.41421, -2.92812e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6254e-25, 0, 0, 2.44909e-26, 0, 0, 2.92774e-21, 0, 0, 0
0.0625403, 0, 7.62819e-21, 0, 1.41421, -7.62819e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.44468e-25, 0, 0, 6.52534e-26, 0, 0, 7.62718e-21, 0, 0, 0
0.0704254, 0, 1.81813e-20, 0, 1.41421, -1.81813e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25107e-24, 0, 0, 1.57719e-25, 0, 0, 1.81788e-20, 0, 0, 0
