   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_204.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0314613, 408, 0, 0, 20.2485, 408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0235769, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0156925, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00780818, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7.61738e-05, 0, 9.5368e-24, 0, 1.41421, -9.5368e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86567e-25, 0, 0, 0, 3.24365e-27, 0, 9.24699e-24, 0, 0, 0
0.00796053, 0, 2.59762e-23, 0, 1.41421, -2.59762e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.80541e-25, 0, 0, 0, 8.97695e-27, 0, 2.51866e-23, 0, 0, 0
0.0158449, 0, 6.89139e-23, 0, 1.41421, -6.89139e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07074e-24, 0, 0, 0, 2.41876e-26, 0, 6.68189e-23, 0, 0, 0
0.0237292, 0, 1.78521e-22, 0, 1.41421, -1.78521e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3642e-24, 0, 0, 0, 6.36151e-26, 0, 1.73093e-22, 0, 0, 0
0.0316136, 0, 4.52479e-22, 0, 1.41421, -4.52479e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35961e-23, 0, 0, 0, 1.6366e-25, 0, 4.3872e-22, 0, 0, 0
0.039498, 0, 1.12398e-21, 0, 1.41421, -1.12398e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37731e-23, 0, 0, 0, 4.12572e-25, 0, 1.0898e-21, 0, 0, 0
0.0473823, 0, 2.74015e-21, 0, 1.41421, -2.74015e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.23347e-23, 0, 0, 0, 1.02061e-24, 0, 2.65679e-21, 0, 0, 0
0.0552667, 0, 6.56373e-21, 0, 1.41421, -6.56373e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97223e-22, 0, 0, 0, 2.48054e-24, 0, 6.36402e-21, 0, 0, 0
0.063151, 0, 1.54642e-20, 0, 1.41421, -1.54642e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.64658e-22, 0, 0, 0, 5.92953e-24, 0, 1.49937e-20, 0, 0, 0
0.0710354, 0, 3.58662e-20, 0, 1.41421, -3.58662e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07767e-21, 0, 0, 0, 1.39531e-23, 0, 3.47745e-20, 0, 0, 0
0.0789197, 0, 8.19494e-20, 0, 1.41421, -8.19494e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46233e-21, 0, 0, 0, 3.23475e-23, 0, 7.94547e-20, 0, 0, 0
0.0868041, 0, 1.84587e-19, 0, 1.41421, -1.84587e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54623e-21, 0, 0, 0, 7.39317e-23, 0, 1.78967e-19, 0, 0, 0
0.0946885, 0, 4.10113e-19, 0, 1.41421, -4.10113e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23225e-20, 0, 0, 0, 1.6669e-22, 0, 3.97624e-19, 0, 0, 0
0.102573, 0, 8.99236e-19, 0, 1.41421, -8.99236e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70188e-20, 0, 0, 0, 3.70945e-22, 0, 8.71847e-19, 0, 0, 0
0.110457, 0, 1.94676e-18, 0, 1.41421, -1.94676e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84928e-20, 0, 0, 0, 8.15166e-22, 0, 1.88746e-18, 0, 0, 0
0.118342, 0, 4.16292e-18, 0, 1.41421, -4.16292e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25079e-19, 0, 0, 0, 1.76973e-21, 0, 4.03607e-18, 0, 0, 0
0.126226, 0, 8.79606e-18, 0, 1.41421, -8.79606e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64284e-19, 0, 0, 0, 3.79725e-21, 0, 8.52798e-18, 0, 0, 0
0.13411, 0, 1.83708e-17, 0, 1.41421, -1.83708e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5196e-19, 0, 0, 0, 8.05542e-21, 0, 1.78108e-17, 0, 0, 0
0.141995, 0, 3.79352e-17, 0, 1.41421, -3.79352e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13978e-18, 0, 0, 0, 1.69007e-20, 0, 3.67785e-17, 0, 0, 0
0.149879, 0, 7.7473e-17, 0, 1.41421, -7.7473e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32769e-18, 0, 0, 0, 3.50793e-20, 0, 7.51102e-17, 0, 0, 0
0.157763, 0, 1.56516e-16, 0, 1.41421, -1.56516e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7025e-18, 0, 0, 0, 7.20525e-20, 0, 1.51741e-16, 0, 0, 0
0.165648, 0, 3.12869e-16, 0, 1.41421, -3.12869e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.40003e-18, 0, 0, 0, 1.46491e-19, 0, 3.03322e-16, 0, 0, 0
0.173532, 0, 6.18942e-16, 0, 1.41421, -6.18942e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85957e-17, 0, 0, 0, 2.94875e-19, 0, 6.00051e-16, 0, 0, 0
0.181416, 0, 1.212e-15, 0, 1.41421, -1.212e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64134e-17, 0, 0, 0, 5.87802e-19, 0, 1.175e-15, 0, 0, 0
0.189301, 0, 2.34959e-15, 0, 1.41421, -2.34959e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05906e-17, 0, 0, 0, 1.16059e-18, 0, 2.27784e-15, 0, 0, 0
0.197185, 0, 4.51012e-15, 0, 1.41421, -4.51012e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.355e-16, 0, 0, 0, 2.27022e-18, 0, 4.37235e-15, 0, 0, 0
0.205069, 0, 8.57338e-15, 0, 1.41421, -8.57338e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57571e-16, 0, 0, 0, 4.40026e-18, 0, 8.31141e-15, 0, 0, 0
0.212954, 0, 1.61413e-14, 0, 1.41421, -1.61413e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84929e-16, 0, 0, 0, 8.45253e-18, 0, 1.5648e-14, 0, 0, 0
0.220838, 0, 3.01026e-14, 0, 1.41421, -3.01026e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.04351e-16, 0, 0, 0, 1.60942e-17, 0, 2.91822e-14, 0, 0, 0
0.228723, 0, 5.57825e-14, 0, 1.41421, -5.57825e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67581e-15, 0, 0, 0, 3.05362e-17, 0, 5.40762e-14, 0, 0, 0
0.236607, 0, 1.02065e-13, 0, 1.41421, -1.02065e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06618e-15, 0, 0, 0, 5.71242e-17, 0, 9.89417e-14, 0, 0, 0
0.244491, 0, 1.8505e-13, 0, 1.41421, -1.8505e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5591e-15, 0, 0, 0, 1.0598e-16, 0, 1.79385e-13, 0, 0, 0
