   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_186.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0286904, 372, 0, 0, 19.3391, 372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0208084, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0129263, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00504427, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00283777, 0, 1.42443e-22, 0, 1.41421, -1.42443e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12673e-25, 0, 0, 0, 3.87836e-27, 0, 1.42327e-22, 0, 0, 0
0.0107198, 0, 3.65083e-22, 0, 1.41421, -3.65083e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8878e-25, 0, 0, 0, 1.02562e-26, 0, 3.64784e-22, 0, 0, 0
0.0186018, 0, 9.1585e-22, 0, 1.41421, -9.1585e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24436e-25, 0, 0, 0, 2.64869e-26, 0, 9.15099e-22, 0, 0, 0
0.0264839, 0, 2.25232e-21, 0, 1.41421, -2.25232e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78158e-24, 0, 0, 0, 6.69339e-26, 0, 2.25047e-21, 0, 0, 0
0.0343659, 0, 5.43731e-21, 0, 1.41421, -5.43731e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3009e-24, 0, 0, 0, 1.65786e-25, 0, 5.43284e-21, 0, 0, 0
0.042248, 0, 1.28997e-20, 0, 1.41421, -1.28997e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02036e-23, 0, 0, 0, 4.03043e-25, 0, 1.28891e-20, 0, 0, 0
0.05013, 0, 3.01049e-20, 0, 1.41421, -3.01049e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38128e-23, 0, 0, 0, 9.62883e-25, 0, 3.00801e-20, 0, 0, 0
0.0580121, 0, 6.91717e-20, 0, 1.41421, -6.91717e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47145e-23, 0, 0, 0, 2.26285e-24, 0, 6.91147e-20, 0, 0, 0
0.0658941, 0, 1.56594e-19, 0, 1.41421, -1.56594e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23865e-22, 0, 0, 0, 5.23582e-24, 0, 1.56465e-19, 0, 0, 0
0.0737761, 0, 3.49616e-19, 0, 1.41421, -3.49616e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76544e-22, 0, 0, 0, 1.19447e-23, 0, 3.49327e-19, 0, 0, 0
0.0816582, 0, 7.95346e-19, 0, 1.41421, -7.95346e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29113e-22, 0, 0, 0, 2.79635e-23, 0, 7.94689e-19, 0, 0, 0
0.0895402, 0, 1.72263e-18, 0, 1.41421, -1.72263e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36259e-21, 0, 0, 0, 6.17945e-23, 0, 1.72121e-18, 0, 0, 0
0.0974223, 0, 3.68548e-18, 0, 1.41421, -3.68548e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91518e-21, 0, 0, 0, 1.34855e-22, 0, 3.68243e-18, 0, 0, 0
0.105304, 0, 7.79155e-18, 0, 1.41421, -7.79155e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.16305e-21, 0, 0, 0, 2.90763e-22, 0, 7.78509e-18, 0, 0, 0
0.113186, 0, 1.62827e-17, 0, 1.41421, -1.62827e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28795e-20, 0, 0, 0, 6.19642e-22, 0, 1.62692e-17, 0, 0, 0
0.121068, 0, 3.36463e-17, 0, 1.41421, -3.36463e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66139e-20, 0, 0, 0, 1.30566e-21, 0, 3.36184e-17, 0, 0, 0
0.12895, 0, 6.87656e-17, 0, 1.41421, -6.87656e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43929e-20, 0, 0, 0, 2.72114e-21, 0, 6.87085e-17, 0, 0, 0
0.136832, 0, 1.39039e-16, 0, 1.41421, -1.39039e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09979e-19, 0, 0, 0, 5.61095e-21, 0, 1.38924e-16, 0, 0, 0
0.144715, 0, 2.78185e-16, 0, 1.41421, -2.78185e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20041e-19, 0, 0, 0, 1.145e-20, 0, 2.77953e-16, 0, 0, 0
0.152597, 0, 5.50869e-16, 0, 1.41421, -5.50869e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35731e-19, 0, 0, 0, 2.313e-20, 0, 5.5041e-16, 0, 0, 0
0.160479, 0, 1.07986e-15, 0, 1.41421, -1.07986e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54153e-19, 0, 0, 0, 4.62644e-20, 0, 1.07896e-15, 0, 0, 0
0.168361, 0, 2.09586e-15, 0, 1.41421, -2.09586e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65779e-18, 0, 0, 0, 9.16474e-20, 0, 2.09411e-15, 0, 0, 0
0.176243, 0, 4.02813e-15, 0, 1.41421, -4.02813e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18619e-18, 0, 0, 0, 1.79842e-19, 0, 4.02477e-15, 0, 0, 0
0.184125, 0, 7.66756e-15, 0, 1.41421, -7.66756e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06491e-18, 0, 0, 0, 3.49658e-19, 0, 7.66115e-15, 0, 0, 0
0.192007, 0, 1.44571e-14, 0, 1.41421, -1.44571e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14353e-17, 0, 0, 0, 6.73697e-19, 0, 1.4445e-14, 0, 0, 0
0.199889, 0, 2.70043e-14, 0, 1.41421, -2.70043e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13599e-17, 0, 0, 0, 1.28657e-18, 0, 2.69816e-14, 0, 0, 0
0.207771, 0, 4.99761e-14, 0, 1.41421, -4.99761e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95301e-17, 0, 0, 0, 2.43576e-18, 0, 4.99342e-14, 0, 0, 0
0.215653, 0, 9.16467e-14, 0, 1.41421, -9.16467e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24907e-17, 0, 0, 0, 4.57229e-18, 0, 9.15697e-14, 0, 0, 0
0.223535, 0, 1.66549e-13, 0, 1.41421, -1.66549e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31737e-16, 0, 0, 0, 8.51152e-18, 0, 1.66409e-13, 0, 0, 0
0.231417, 0, 2.99968e-13, 0, 1.41421, -2.99968e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3727e-16, 0, 0, 0, 1.57153e-17, 0, 2.99715e-13, 0, 0, 0
0.239299, 0, 5.35499e-13, 0, 1.41421, -5.35499e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.23573e-16, 0, 0, 0, 2.87838e-17, 0, 5.35047e-13, 0, 0, 0
0.247181, 0, 9.47602e-13, 0, 1.41421, -9.47602e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49548e-16, 0, 0, 0, 5.23056e-17, 0, 9.468e-13, 0, 0, 0
0.255063, 0, 1.6623e-12, 0, 1.41421, -1.6623e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31489e-15, 0, 0, 0, 9.43165e-17, 0, 1.66089e-12, 0, 0, 0
0.262945, 0, 2.89096e-12, 0, 1.41421, -2.89096e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28682e-15, 0, 0, 0, 1.68797e-16, 0, 2.8885e-12, 0, 0, 0
0.270827, 0, 4.9848e-12, 0, 1.41421, -4.9848e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94322e-15, 0, 0, 0, 2.99866e-16, 0, 4.98056e-12, 0, 0, 0
0.278709, 0, 8.5223e-12, 0, 1.41421, -8.5223e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.74186e-15, 0, 0, 0, 5.28874e-16, 0, 8.51503e-12, 0, 0, 0
0.286591, 0, 1.44475e-11, 0, 1.41421, -1.44475e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14299e-14, 0, 0, 0, 9.2622e-16, 0, 1.44351e-11, 0, 0, 0
0.294473, 0, 2.42873e-11, 0, 1.41421, -2.42873e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92161e-14, 0, 0, 0, 1.61101e-15, 0, 2.42665e-11, 0, 0, 0
0.302355, 0, 4.04893e-11, 0, 1.41421, -4.04893e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.20386e-14, 0, 0, 0, 2.7835e-15, 0, 4.04545e-11, 0, 0, 0
0.310237, 0, 6.69414e-11, 0, 1.41421, -6.69414e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29774e-14, 0, 0, 0, 4.77849e-15, 0, 6.68837e-11, 0, 0, 0
0.318119, 0, 1.09765e-10, 0, 1.41421, -1.09765e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.68843e-14, 0, 0, 0, 8.15278e-15, 0, 1.0967e-10, 0, 0, 0
0.326001, 0, 1.78514e-10, 4.49817e-43, 1.41421, -1.78514e-10, 4.49817e-43, 0, 4.49817e-43, 4.49817e-43, 4.49817e-43, 4.49817e-43, 4.49817e-43, 4.49817e-43, 4.49817e-43, 4.49817e-43, 4.49817e-43, 1.41335e-13, 4.49817e-43, 4.49817e-43, 4.49817e-43, 1.38279e-14, 4.49817e-43, 1.78359e-10, 4.49817e-43, 4.49817e-43, 4.49817e-43
0.333884, 0, 2.87961e-10, 7.69593e-42, 1.41421, -2.87961e-10, 7.69593e-42, 0, 7.69593e-42, 7.69593e-42, 7.69593e-42, 7.69593e-42, 7.69593e-42, 7.69593e-42, 7.69593e-42, 7.69593e-42, 7.69593e-42, 2.28057e-13, 7.69593e-42, 7.69593e-42, 7.69593e-42, 2.33224e-14, 7.69593e-42, 2.8771e-10, 7.69593e-42, 7.69593e-42, 7.69593e-42
0.341766, 0, 4.60756e-10, 1.09003e-40, 1.41421, -4.60756e-10, 1.09003e-40, 0, 1.09003e-40, 1.09003e-40, 1.09003e-40, 1.09003e-40, 1.09003e-40, 1.09003e-40, 1.09003e-40, 1.09003e-40, 1.09003e-40, 3.65045e-13, 1.09003e-40, 1.09003e-40, 1.09003e-40, 3.91294e-14, 1.09003e-40, 4.60352e-10, 1.09003e-40, 1.09003e-40, 1.09003e-40
0.349648, 0, 7.31312e-10, 1.36827e-39, 1.41421, -7.31312e-10, 1.36827e-39, 0, 1.36827e-39, 1.36827e-39, 1.36827e-39, 1.36827e-39, 1.36827e-39, 1.36827e-39, 1.36827e-39, 1.36827e-39, 1.36827e-39, 5.79674e-13, 1.36827e-39, 1.36827e-39, 1.36827e-39, 6.53291e-14, 1.36827e-39, 7.30667e-10, 1.36827e-39, 1.36827e-39, 1.36827e-39
0.35753, 0, 1.15146e-09, 1.53834e-38, 1.41421, -1.15146e-09, 1.53834e-38, 0, 1.53834e-38, 1.53834e-38, 1.53834e-38, 1.53834e-38, 1.53834e-38, 1.53834e-38, 1.53834e-38, 1.53834e-38, 1.53834e-38, 9.13244e-13, 1.53834e-38, 1.53834e-38, 1.53834e-38, 1.08582e-13, 1.53834e-38, 1.15044e-09, 1.53834e-38, 1.53834e-38, 1.53834e-38
0.365412, 0, 1.79876e-09, 5.89212e-37, 1.41421, -1.79876e-09, 5.89212e-37, 0, 5.89212e-37, 5.89212e-37, 5.89212e-37, 5.89212e-37, 5.89212e-37, 5.89212e-37, 5.89212e-37, 5.89212e-37, 5.89212e-37, 1.4277e-12, 5.89212e-37, 5.89212e-37, 5.89212e-37, 1.8003e-13, 5.89212e-37, 1.79716e-09, 5.89212e-37, 5.89212e-37, 5.89212e-37
0.373294, 0, 2.78744e-09, 4.99005e-36, 1.41421, -2.78744e-09, 4.99005e-36, 0, 4.99005e-36, 4.99005e-36, 4.99005e-36, 4.99005e-36, 4.99005e-36, 4.99005e-36, 4.99005e-36, 4.99005e-36, 4.99005e-36, 2.21438e-12, 4.99005e-36, 4.99005e-36, 4.99005e-36, 2.96938e-13, 4.99005e-36, 2.78493e-09, 4.99005e-36, 4.99005e-36, 4.99005e-36
0.381176, 0, 4.28564e-09, 3.88085e-35, 1.41421, -4.28564e-09, 3.88085e-35, 0, 3.88085e-35, 3.88085e-35, 3.88085e-35, 3.88085e-35, 3.88085e-35, 3.88085e-35, 3.88085e-35, 3.88085e-35, 3.88085e-35, 3.40826e-12, 3.88085e-35, 3.88085e-35, 3.88085e-35, 4.88223e-13, 3.88085e-35, 4.28175e-09, 3.88085e-35, 3.88085e-35, 3.88085e-35
0.389058, 0, 6.53772e-09, 2.78438e-34, 1.41421, -6.53772e-09, 2.78438e-34, 0, 2.78438e-34, 2.78438e-34, 2.78438e-34, 2.78438e-34, 2.78438e-34, 2.78438e-34, 2.78438e-34, 2.78438e-34, 2.78438e-34, 5.20609e-12, 2.78438e-34, 2.78438e-34, 2.78438e-34, 8.00584e-13, 2.78438e-34, 6.53172e-09, 2.78438e-34, 2.78438e-34, 2.78438e-34
0.39694, 0, 9.89602e-09, 1.92461e-33, 1.41421, -9.89602e-09, 1.92461e-33, 0, 1.92461e-33, 1.92461e-33, 1.92461e-33, 1.92461e-33, 1.92461e-33, 1.92461e-33, 1.92461e-33, 1.92461e-33, 1.92461e-33, 7.89278e-12, 1.92461e-33, 1.92461e-33, 1.92461e-33, 1.30988e-12, 1.92461e-33, 9.88681e-09, 1.92461e-33, 1.92461e-33, 1.92461e-33
0.404822, 0, 1.48642e-08, 1.17543e-32, 1.41421, -1.48642e-08, 1.17543e-32, 0, 1.17543e-32, 1.17543e-32, 1.17543e-32, 1.17543e-32, 1.17543e-32, 1.17543e-32, 1.17543e-32, 1.17543e-32, 1.17543e-32, 1.18776e-11, 1.17543e-32, 1.17543e-32, 1.17543e-32, 2.13931e-12, 1.17543e-32, 1.48502e-08, 1.17543e-32, 1.17543e-32, 1.17543e-32
0.412704, 0, 2.21561e-08, 6.74088e-32, 1.41421, -2.21561e-08, 6.74088e-32, 0, 6.74088e-32, 6.74088e-32, 6.74088e-32, 6.74088e-32, 6.74088e-32, 6.74088e-32, 6.74088e-32, 6.74088e-32, 6.74088e-32, 1.77442e-11, 6.74088e-32, 6.74088e-32, 6.74088e-32, 3.48899e-12, 6.74088e-32, 2.21349e-08, 6.74088e-32, 6.74088e-32, 6.74088e-32
0.420586, 0, 3.27753e-08, 3.77371e-31, 1.41421, -3.27753e-08, 3.77371e-31, 0, 3.77371e-31, 3.77371e-31, 3.77371e-31, 3.77371e-31, 3.77371e-31, 3.77371e-31, 3.77371e-31, 3.77371e-31, 3.77371e-31, 2.63186e-11, 3.77371e-31, 3.77371e-31, 3.77371e-31, 5.68383e-12, 3.77371e-31, 3.27432e-08, 3.77371e-31, 3.77371e-31, 3.77371e-31
0.428468, 0, 4.81198e-08, 2.00894e-30, 1.41421, -4.81198e-08, 2.00894e-30, 0, 2.00894e-30, 2.00894e-30, 2.00894e-30, 2.00894e-30, 2.00894e-30, 2.00894e-30, 2.00894e-30, 2.00894e-30, 2.00894e-30, 3.87612e-11, 2.00894e-30, 2.00894e-30, 2.00894e-30, 9.25092e-12, 2.00894e-30, 4.80718e-08, 2.00894e-30, 2.00894e-30, 2.00894e-30
0.43635, 0, 7.01225e-08, 1.0088e-29, 1.41421, -7.01225e-08, 1.0088e-29, 0, 1.0088e-29, 1.0088e-29, 1.0088e-29, 1.0088e-29, 1.0088e-29, 1.0088e-29, 1.0088e-29, 1.0088e-29, 1.0088e-29, 5.66915e-11, 1.0088e-29, 1.0088e-29, 1.0088e-29, 1.50443e-11, 1.0088e-29, 7.00508e-08, 1.0088e-29, 1.0088e-29, 1.0088e-29
0.444232, 0, 1.01432e-07, 4.79185e-29, 1.41421, -1.01432e-07, 4.79185e-29, 0, 4.79185e-29, 4.79185e-29, 4.79185e-29, 4.79185e-29, 4.79185e-29, 4.79185e-29, 4.79185e-29, 4.79185e-29, 4.79185e-29, 8.23537e-11, 4.79185e-29, 4.79185e-29, 4.79185e-29, 2.44451e-11, 4.79185e-29, 1.01326e-07, 4.79185e-29, 4.79185e-29, 4.79185e-29
0.452114, 0, 1.45651e-07, 2.18338e-28, 1.41421, -1.45651e-07, 2.18338e-28, 0, 2.18338e-28, 2.18338e-28, 2.18338e-28, 2.18338e-28, 2.18338e-28, 2.18338e-28, 2.18338e-28, 2.18338e-28, 2.18338e-28, 1.18837e-10, 2.18338e-28, 2.18338e-28, 2.18338e-28, 3.96797e-11, 2.18338e-28, 1.45492e-07, 2.18338e-28, 2.18338e-28, 2.18338e-28
0.459996, 0, 2.07635e-07, 9.49021e-28, 1.41421, -2.07635e-07, 9.49021e-28, 0, 9.49021e-28, 9.49021e-28, 9.49021e-28, 9.49021e-28, 9.49021e-28, 9.49021e-28, 9.49021e-28, 9.49021e-28, 9.49021e-28, 1.70369e-10, 9.49021e-28, 9.49021e-28, 9.49021e-28, 6.43248e-11, 9.49021e-28, 2.07401e-07, 9.49021e-28, 9.49021e-28, 9.49021e-28
0.467878, 0, 2.93882e-07, 3.92928e-27, 1.41421, -2.93882e-07, 3.92928e-27, 0, 3.92928e-27, 3.92928e-27, 3.92928e-27, 3.92928e-27, 3.92928e-27, 3.92928e-27, 3.92928e-27, 3.92928e-27, 3.92928e-27, 2.42693e-10, 3.92928e-27, 3.92928e-27, 3.92928e-27, 1.04098e-10, 3.92928e-27, 2.93535e-07, 3.92928e-27, 3.92928e-27, 3.92928e-27
0.47576, 0, 4.13013e-07, 1.55213e-26, 1.41421, -4.13013e-07, 1.55213e-26, 0, 1.55213e-26, 1.55213e-26, 1.55213e-26, 1.55213e-26, 1.55213e-26, 1.55213e-26, 1.55213e-26, 1.55213e-26, 1.55213e-26, 3.43572e-10, 1.55213e-26, 1.55213e-26, 1.55213e-26, 1.68092e-10, 1.55213e-26, 4.12502e-07, 1.55213e-26, 1.55213e-26, 1.55213e-26
0.483642, 0, 5.76384e-07, 5.85922e-26, 1.41421, -5.76384e-07, 5.85922e-26, 0, 5.85922e-26, 5.85922e-26, 5.85922e-26, 5.85922e-26, 5.85922e-26, 5.85922e-26, 8.30668e-13, 5.85922e-26, 5.85922e-26, 4.83432e-10, 5.85922e-26, 5.85922e-26, 5.85922e-26, 2.70665e-10, 5.85922e-26, 5.75629e-07, 5.85922e-26, 5.85922e-26, 5.85922e-26
0.491524, 0, 7.98824e-07, 2.11791e-25, 1.41421, -7.98824e-07, 2.11791e-25, 0, 2.11791e-25, 2.11791e-25, 2.11791e-25, 2.11791e-25, 2.11791e-25, 2.11791e-25, 2.87161e-12, 2.11791e-25, 2.11791e-25, 6.7619e-10, 2.11791e-25, 2.11791e-25, 2.11791e-25, 4.34332e-10, 2.11791e-25, 7.97711e-07, 2.11791e-25, 2.11791e-25, 2.11791e-25
0.499406, 0, 1.10261e-06, 7.41735e-25, 1.41421, -1.10261e-06, 1.39698e-11, 0, 3.52824e-15, 3.49567e-14, 4.21703e-10, 1.34945e-11, 9.2149e-12, 6.43649e-13, 4.57808e-11, 1.69716e-09, 7.04681e-10, 9.40338e-10, 8.49154e-13, 2.94597e-12, 1.14882e-13, 6.9411e-10, 2.40608e-15, 1.09805e-06, 7.41735e-25, 7.41735e-25, 9.86365e-12
0.507288, 0, 1.51409e-06, 2.69208e-10, 1.41421, -1.51409e-06, 3.17285e-10, 2.69208e-10, 2.6922e-10, 2.69329e-10, 1.72048e-09, 3.15649e-10, 3.00921e-10, 2.71423e-10, 4.19124e-10, 6.10989e-09, 2.69433e-09, 1.56946e-09, 2.72131e-10, 2.79347e-10, 2.70531e-10, 1.37319e-09, 2.69216e-10, 1.50164e-06, 2.69208e-10, 2.69208e-10, 3.03154e-10
0.51517, 0, 2.07076e-06, 9.17535e-10, 1.41421, -2.07076e-06, 1.04637e-09, 9.17535e-10, 9.17568e-10, 9.17858e-10, 4.8067e-09, 1.04199e-09, 1.00252e-09, 9.23471e-10, 1.31274e-09, 1.65696e-08, 7.41647e-09, 2.70545e-09, 9.25367e-10, 9.44705e-10, 9.22919e-10, 2.66391e-09, 9.17558e-10, 2.04032e-06, 9.17535e-10, 9.17535e-10, 1.0085e-09
0.523052, 0, 2.82624e-06, 2.44072e-09, 1.41421, -2.82624e-06, 2.75569e-09, 2.44072e-09, 2.4408e-09, 2.44151e-09, 1.19486e-08, 2.74497e-09, 2.64848e-09, 2.45523e-09, 3.39854e-09, 4.07056e-08, 1.83288e-08, 4.88576e-09, 2.45986e-09, 2.50714e-09, 2.45643e-09, 5.18657e-09, 2.44077e-09, 2.75526e-06, 2.44072e-09, 2.44072e-09, 2.66311e-09
0.530935, 0, 3.85971e-06, 5.93758e-09, 1.41421, -3.85971e-06, 6.67072e-09, 5.93758e-09, 5.93777e-09, 5.93942e-09, 2.80686e-08, 6.64578e-09, 6.42118e-09, 5.97136e-09, 8.15367e-09, 9.50046e-08, 4.29194e-08, 9.26327e-09, 5.98215e-09, 6.09219e-09, 5.978e-09, 1.02264e-08, 5.93771e-09, 3.69899e-06, 5.93758e-09, 5.93758e-09, 6.45523e-09
0.538817, 0, 5.29501e-06, 1.37713e-08, 1.41421, -5.29501e-06, 1.54208e-08, 1.37713e-08, 1.37718e-08, 1.37755e-08, 6.35642e-08, 1.53647e-08, 1.48594e-08, 1.38473e-08, 1.87319e-08, 2.14164e-07, 9.6977e-08, 1.82708e-08, 1.38716e-08, 1.41192e-08, 1.38686e-08, 2.04225e-08, 1.37716e-08, 4.93938e-06, 1.37713e-08, 1.37713e-08, 1.4936e-08
0.546699, 0, 7.33579e-06, 3.08964e-08, 1.41421, -7.33579e-06, 3.45052e-08, 3.08964e-08, 3.08973e-08, 3.09054e-08, 1.39836e-07, 3.43825e-08, 3.32769e-08, 3.10627e-08, 4.24223e-08, 4.69326e-07, 2.12938e-07, 3.6952e-08, 3.11158e-08, 3.16574e-08, 3.11202e-08, 4.11444e-08, 3.0897e-08, 6.56514e-06, 3.08964e-08, 3.08964e-08, 3.34445e-08
0.554581, 0, 1.03281e-05, 6.74312e-08, 1.41421, -1.03281e-05, 7.51289e-08, 6.74312e-08, 6.74332e-08, 6.74505e-08, 2.99797e-07, 7.48669e-08, 7.25088e-08, 6.77859e-08, 9.28584e-08, 1.0026e-06, 4.55723e-07, 7.55389e-08, 6.78991e-08, 6.90545e-08, 6.79296e-08, 8.30856e-08, 6.74326e-08, 8.69443e-06, 6.74312e-08, 6.74312e-08, 7.28663e-08
0.562463, 0, 1.48858e-05, 1.43501e-07, 1.41421, -1.48858e-05, 1.59527e-07, 1.43501e-07, 1.43505e-07, 1.43541e-07, 6.27265e-07, 1.58981e-07, 1.54072e-07, 1.44239e-07, 2.07035e-07, 2.09043e-06, 9.51889e-07, 1.543e-07, 1.44475e-07, 1.4688e-07, 1.4458e-07, 1.6722e-07, 1.43504e-07, 1.1489e-05, 1.43501e-07, 1.43501e-07, 1.54816e-07
0.570345, 0, 2.20799e-05, 2.98103e-07, 1.41421, -2.20799e-05, 3.30688e-07, 2.98103e-07, 2.98111e-07, 2.98184e-07, 1.28174e-06, 3.29579e-07, 3.19597e-07, 2.99604e-07, 4.42559e-07, 4.25678e-06, 1.9418e-06, 3.12414e-07, 3.00083e-07, 3.04974e-07, 3.00382e-07, 3.33743e-07, 2.98108e-07, 1.51782e-05, 2.98103e-07, 2.98103e-07, 3.2111e-07
0.578227, 0, 3.38075e-05, 6.04828e-07, 1.41421, -3.38075e-05, 6.69559e-07, 6.04828e-07, 6.04845e-07, 6.0499e-07, 2.55884e-06, 6.67357e-07, 6.47527e-07, 6.07811e-07, 9.17914e-07, 8.46879e-06, 3.87005e-06, 6.237e-07, 6.08763e-07, 6.18479e-07, 6.09527e-07, 6.57936e-07, 6.0484e-07, 2.00981e-05, 6.04828e-07, 6.04828e-07, 6.50533e-07
0.586109, 0, 5.33862e-05, 1.19894e-06, 1.41421, -5.33862e-05, 1.3246e-06, 1.19894e-06, 1.19897e-06, 1.19925e-06, 4.99226e-06, 1.32032e-06, 1.28183e-06, 1.20473e-06, 1.85698e-06, 1.64653e-05, 7.53772e-06, 1.2237e-06, 1.20658e-06, 1.22544e-06, 1.2084e-06, 1.27742e-06, 1.19896e-06, 2.67581e-05, 1.19894e-06, 1.19894e-06, 1.28766e-06
