   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_257.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0473048, 0, 1.31688e-20, 0, 1.41421, -1.31688e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31114e-23, 0, 0, 2.125e-24, 0, 1.31336e-20, 0, 0, 0
0.0551887, 0, 3.04011e-20, 0, 1.41421, -3.04011e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64396e-23, 0, 0, 4.9996e-24, 0, 3.03196e-20, 0, 0, 0
0.0630726, 0, 6.91466e-20, 0, 1.41421, -6.91466e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7386e-22, 0, 0, 1.1583e-23, 0, 6.89611e-20, 0, 0, 0
0.0709565, 0, 1.55055e-19, 0, 1.41421, -1.55055e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89863e-22, 0, 0, 2.64462e-23, 0, 1.54639e-19, 0, 0, 0
0.0788404, 0, 3.42997e-19, 0, 1.41421, -3.42997e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.62414e-22, 0, 0, 5.95465e-23, 0, 3.42075e-19, 0, 0, 0
0.0867243, 0, 7.48884e-19, 0, 1.41421, -7.48884e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88295e-21, 0, 0, 1.32301e-22, 0, 7.46869e-19, 0, 0, 0
0.0946082, 0, 1.61457e-18, 0, 1.41421, -1.61457e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05957e-21, 0, 0, 2.90214e-22, 0, 1.61022e-18, 0, 0, 0
0.102492, 0, 3.43871e-18, 0, 1.41421, -3.43871e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.64603e-21, 0, 0, 6.28819e-22, 0, 3.42944e-18, 0, 0, 0
0.110376, 0, 7.23754e-18, 0, 1.41421, -7.23754e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81975e-20, 0, 0, 1.3464e-21, 0, 7.21799e-18, 0, 0, 0
0.11826, 0, 1.50587e-17, 0, 1.41421, -1.50587e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78622e-20, 0, 0, 2.8499e-21, 0, 1.5018e-17, 0, 0, 0
0.126144, 0, 3.09824e-17, 0, 1.41421, -3.09824e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7899e-20, 0, 0, 5.96551e-21, 0, 3.08985e-17, 0, 0, 0
0.134028, 0, 6.3051e-17, 0, 1.41421, -6.3051e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58529e-19, 0, 0, 1.23529e-20, 0, 6.28802e-17, 0, 0, 0
0.141911, 0, 1.26948e-16, 0, 1.41421, -1.26948e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19183e-19, 0, 0, 2.53119e-20, 0, 1.26604e-16, 0, 0, 0
0.149795, 0, 2.5294e-16, 0, 1.41421, -2.5294e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.3596e-19, 0, 0, 5.13376e-20, 0, 2.52253e-16, 0, 0, 0
0.157679, 0, 4.98835e-16, 0, 1.41421, -4.98835e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2542e-18, 0, 0, 1.03089e-19, 0, 4.97477e-16, 0, 0, 0
0.165563, 0, 9.73928e-16, 0, 1.41421, -9.73928e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4487e-18, 0, 0, 2.05006e-19, 0, 9.71274e-16, 0, 0, 0
0.173447, 0, 1.88282e-15, 0, 1.41421, -1.88282e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73384e-18, 0, 0, 4.03827e-19, 0, 1.87768e-15, 0, 0, 0
0.181331, 0, 3.6047e-15, 0, 1.41421, -3.6047e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.06302e-18, 0, 0, 7.88119e-19, 0, 3.59485e-15, 0, 0, 0
0.189215, 0, 6.83566e-15, 0, 1.41421, -6.83566e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71862e-17, 0, 0, 1.52422e-18, 0, 6.81695e-15, 0, 0, 0
0.197099, 0, 1.2841e-14, 0, 1.41421, -1.2841e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22848e-17, 0, 0, 2.92177e-18, 0, 1.28058e-14, 0, 0, 0
0.204983, 0, 2.38994e-14, 0, 1.41421, -2.38994e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.00872e-17, 0, 0, 5.55224e-18, 0, 2.38338e-14, 0, 0, 0
0.212866, 0, 4.40751e-14, 0, 1.41421, -4.40751e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10812e-16, 0, 0, 1.04614e-17, 0, 4.39538e-14, 0, 0, 0
