   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_262.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0315269, 524, 0, 0, 22.9347, 524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0236433, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0157596, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00787603, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7.58266e-06, 0, 4.49806e-23, 0, 1.41421, -4.49806e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61047e-25, 0, 1.72754e-28, 4.08153e-27, 0, 4.46153e-23, 0, 0, 0
0.0078912, 0, 1.18063e-22, 0, 1.41421, -1.18063e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.47659e-25, 0, 4.59752e-28, 1.1005e-26, 0, 1.17104e-22, 0, 0, 0
0.0157748, 0, 3.02769e-22, 0, 1.41421, -3.02769e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43024e-24, 0, 1.19553e-27, 2.89309e-26, 0, 3.00309e-22, 0, 0, 0
0.0236584, 0, 7.60057e-22, 0, 1.41421, -7.60057e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10073e-24, 0, 3.04345e-27, 7.43276e-26, 0, 7.53878e-22, 0, 0, 0
0.031542, 0, 1.87068e-21, 0, 1.41421, -1.87068e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50153e-23, 0, 7.59677e-27, 1.86969e-25, 0, 1.85547e-21, 0, 0, 0
0.0394257, 0, 4.52007e-21, 0, 1.41421, -4.52007e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6281e-23, 0, 1.86178e-26, 4.61228e-25, 0, 4.48331e-21, 0, 0, 0
0.0473093, 0, 1.07344e-20, 0, 1.41421, -1.07344e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.6161e-23, 0, 4.48496e-26, 1.11729e-24, 0, 1.06471e-20, 0, 0, 0
0.0551929, 0, 2.50795e-20, 0, 1.41421, -2.50795e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01303e-22, 0, 1.06304e-25, 2.66081e-24, 0, 2.48754e-20, 0, 0, 0
