   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_151.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0312716, 302, 0, 0, 17.4356, 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0233854, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0154992, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00761303, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000273176, 0, 2.24354e-22, 0, 1.41421, -2.24354e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.01722e-27, 0, 2.24347e-22, 0, 0, 0
0.00815938, 0, 5.50707e-22, 0, 1.41421, -5.50707e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7592e-26, 0, 5.50689e-22, 0, 0, 0
0.0160456, 0, 1.3274e-21, 0, 1.41421, -1.3274e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3262e-26, 0, 1.32736e-21, 0, 0, 0
0.0239318, 0, 3.14536e-21, 0, 1.41421, -3.14536e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.045e-25, 0, 3.14525e-21, 0, 0, 0
0.031818, 0, 7.33404e-21, 0, 1.41421, -7.33404e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48214e-25, 0, 7.33379e-21, 0, 0, 0
0.0397042, 0, 1.68417e-20, 0, 1.41421, -1.68417e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80316e-25, 0, 1.68411e-20, 0, 0, 0
0.0475904, 0, 3.81168e-20, 0, 1.41421, -3.81168e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33658e-24, 0, 3.81155e-20, 0, 0, 0
0.0554766, 0, 8.5078e-20, 0, 1.41421, -8.5078e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03488e-24, 0, 8.50749e-20, 0, 0, 0
0.0633628, 0, 1.87386e-19, 0, 1.41421, -1.87386e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.79814e-24, 0, 1.87379e-19, 0, 0, 0
0.071249, 0, 4.0747e-19, 0, 1.41421, -4.0747e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50312e-23, 0, 4.07455e-19, 0, 0, 0
