   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_154.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.0320631, 308, 0, 0, 17.6068, 308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0241766, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0162902, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00840376, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00051733, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0073691, 0, 3.07128e-23, 0, 1.41421, -3.07128e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.32066e-28, 0, 8.58933e-27, 0, 3.07037e-23, 0, 0
0.0152555, 0, 8.02792e-23, 0, 1.41421, -8.02792e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40936e-27, 0, 2.30229e-26, 0, 8.02548e-23, 0, 0
0.023142, 0, 2.05318e-22, 0, 1.41421, -2.05318e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65309e-27, 0, 6.02791e-26, 0, 2.05254e-22, 0, 0
0.0310284, 0, 5.14611e-22, 0, 1.41421, -5.14611e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28068e-27, 0, 1.54457e-25, 0, 5.14448e-22, 0, 0
0.0389148, 0, 1.26573e-21, 0, 1.41421, -1.26573e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31398e-26, 0, 3.87952e-25, 0, 1.26532e-21, 0, 0
0.0468013, 0, 3.05849e-21, 0, 1.41421, -3.05849e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66896e-26, 0, 9.56457e-25, 0, 3.05748e-21, 0, 0
0.0546877, 0, 7.26785e-21, 0, 1.41421, -7.26785e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36597e-25, 0, 2.31721e-24, 0, 7.26539e-21, 0, 0
0.0625741, 0, 1.69983e-20, 0, 1.41421, -1.69983e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23999e-25, 0, 5.52213e-24, 0, 1.69925e-20, 0, 0
0.0704606, 0, 3.91592e-20, 0, 1.41421, -3.91592e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57089e-25, 0, 1.29558e-23, 0, 3.91455e-20, 0, 0
0.078347, 0, 8.89148e-20, 0, 1.41421, -8.89148e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74396e-24, 0, 2.99483e-23, 0, 8.88831e-20, 0, 0
0.0862334, 0, 1.99105e-19, 0, 1.41421, -1.99105e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96254e-24, 0, 6.82521e-23, 0, 1.99032e-19, 0, 0
0.0941199, 0, 4.39925e-19, 0, 1.41421, -4.39925e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88554e-24, 0, 1.53446e-22, 0, 4.39763e-19, 0, 0
0.102006, 0, 9.5955e-19, 0, 1.41421, -9.5955e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96732e-23, 0, 3.40508e-22, 0, 9.5919e-19, 0, 0
0.109893, 0, 2.06695e-18, 0, 1.41421, -2.06695e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30263e-23, 0, 7.4617e-22, 0, 2.06616e-18, 0, 0
0.117779, 0, 4.3987e-18, 0, 1.41421, -4.3987e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.29874e-23, 0, 1.61538e-21, 0, 4.397e-18, 0, 0
0.125666, 0, 9.25129e-18, 0, 1.41421, -9.25129e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98656e-22, 0, 3.45629e-21, 0, 9.24763e-18, 0, 0
0.133552, 0, 1.9235e-17, 0, 1.41421, -1.9235e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19666e-22, 0, 7.31142e-21, 0, 1.92273e-17, 0, 0
0.141438, 0, 3.95472e-17, 0, 1.41421, -3.95472e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.76908e-22, 0, 1.52964e-20, 0, 3.9531e-17, 0, 0
0.149325, 0, 8.04232e-17, 0, 1.41421, -8.04232e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81288e-21, 0, 3.16598e-20, 0, 8.03897e-17, 0, 0
0.157211, 0, 1.61804e-16, 0, 1.41421, -1.61804e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70896e-21, 0, 6.48452e-20, 0, 1.61736e-16, 0, 0
0.165098, 0, 3.2213e-16, 0, 1.41421, -3.2213e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5111e-21, 0, 1.31465e-19, 0, 3.21991e-16, 0, 0
0.172984, 0, 6.34737e-16, 0, 1.41421, -6.34737e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50597e-20, 0, 2.63891e-19, 0, 6.34458e-16, 0, 0
0.180871, 0, 1.23808e-15, 0, 1.41421, -1.23808e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98998e-20, 0, 5.24571e-19, 0, 1.23752e-15, 0, 0
0.188757, 0, 2.39093e-15, 0, 1.41421, -2.39093e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87944e-20, 0, 1.03287e-18, 0, 2.38984e-15, 0, 0
0.196643, 0, 4.59655e-15, 0, 1.41421, -4.59655e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15401e-19, 0, 2.03107e-18, 0, 4.5944e-15, 0, 0
0.20453, 0, 8.69895e-15, 0, 1.41421, -8.69895e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22506e-19, 0, 3.92262e-18, 0, 8.69481e-15, 0, 0
0.212416, 0, 1.63072e-14, 0, 1.41421, -1.63072e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25147e-19, 0, 7.50883e-18, 0, 1.62993e-14, 0, 0
0.220303, 0, 3.02843e-14, 0, 1.41421, -3.02843e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.05127e-19, 0, 1.42489e-17, 0, 3.02693e-14, 0, 0
0.228189, 0, 5.57218e-14, 0, 1.41421, -5.57218e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51138e-18, 0, 2.68085e-17, 0, 5.56934e-14, 0, 0
0.236076, 0, 1.01588e-13, 0, 1.41421, -1.01588e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81273e-18, 0, 5.00162e-17, 0, 1.01535e-13, 0, 0
0.243962, 0, 1.83528e-13, 0, 1.41421, -1.83528e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19024e-18, 0, 9.2546e-17, 0, 1.8343e-13, 0, 0
0.251849, 0, 3.28583e-13, 0, 1.41421, -3.28583e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49759e-18, 0, 1.69854e-16, 0, 3.28404e-13, 0, 0
0.259735, 0, 5.83045e-13, 0, 1.41421, -5.83045e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72375e-17, 0, 3.09279e-16, 0, 5.82718e-13, 0, 0
0.267621, 0, 1.02542e-12, 0, 1.41421, -1.02542e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10343e-17, 0, 5.58772e-16, 0, 1.02483e-12, 0, 0
0.275508, 0, 1.78761e-12, 0, 1.41421, -1.78761e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54366e-17, 0, 1.00184e-15, 0, 1.78655e-12, 0, 0
0.283394, 0, 3.08916e-12, 0, 1.41421, -3.08916e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.82707e-17, 0, 1.78285e-15, 0, 3.08728e-12, 0, 0
0.291281, 0, 5.29217e-12, 0, 1.41421, -5.29217e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72912e-16, 0, 3.14965e-15, 0, 5.28885e-12, 0, 0
0.299167, 0, 8.98824e-12, 0, 1.41421, -8.98824e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02077e-16, 0, 5.5249e-15, 0, 8.98242e-12, 0, 0
0.307054, 0, 1.51351e-11, 0, 1.41421, -1.51351e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.24109e-16, 0, 9.62482e-15, 0, 1.5125e-11, 0, 0
0.31494, 0, 2.52693e-11, 0, 1.41421, -2.52693e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.034e-16, 0, 1.66561e-14, 0, 2.52517e-11, 0, 0
0.322826, 0, 4.18325e-11, 8.26766e-44, 1.41421, -4.18325e-11, 8.26766e-44, 0, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 1.54757e-15, 8.26766e-44, 2.86404e-14, 8.26766e-44, 4.18023e-11, 8.26766e-44, 8.26766e-44
0.330713, 0, 6.86709e-11, 1.47837e-42, 1.41421, -6.86709e-11, 1.47837e-42, 0, 1.47837e-42, 1.47837e-42, 1.47837e-42, 1.47837e-42, 1.47837e-42, 1.47837e-42, 1.47837e-42, 1.47837e-42, 1.47837e-42, 1.47837e-42, 1.47837e-42, 2.63578e-15, 1.47837e-42, 4.89486e-14, 1.47837e-42, 6.86193e-11, 1.47837e-42, 1.47837e-42
