   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_49.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0754179, 0, 5.70416e-20, 0, 1.41421, -5.70416e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75794e-24, 0, 7.17518e-25, 0, 5.70391e-20, 0, 0, 0
0.0833232, 0, 1.2729e-19, 0, 1.41421, -1.2729e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97815e-24, 0, 1.63119e-24, 0, 1.27284e-19, 0, 0, 0
0.0912286, 0, 2.8028e-19, 0, 1.41421, -2.8028e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88486e-24, 0, 3.65823e-24, 0, 2.80268e-19, 0, 0, 0
0.0991339, 0, 6.09248e-19, 0, 1.41421, -6.09248e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95939e-23, 0, 8.09787e-24, 0, 6.0922e-19, 0, 0, 0
0.107039, 0, 1.3079e-18, 0, 1.41421, -1.3079e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26847e-23, 0, 1.77015e-23, 0, 1.30784e-18, 0, 0, 0
0.114945, 0, 2.77395e-18, 0, 1.41421, -2.77395e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.18916e-23, 0, 3.82279e-23, 0, 2.77382e-18, 0, 0, 0
0.12285, 0, 5.81451e-18, 0, 1.41421, -5.81451e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95562e-22, 0, 8.15933e-23, 0, 5.81424e-18, 0, 0, 0
0.130755, 0, 1.2049e-17, 0, 1.41421, -1.2049e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11558e-22, 0, 1.72182e-22, 0, 1.20484e-17, 0, 0, 0
0.13866, 0, 2.46908e-17, 0, 1.41421, -2.46908e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.56776e-22, 0, 3.59384e-22, 0, 2.46896e-17, 0, 0, 0
0.146566, 0, 5.00462e-17, 0, 1.41421, -5.00462e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76475e-21, 0, 7.42104e-22, 0, 5.00437e-17, 0, 0, 0
0.154471, 0, 1.0036e-16, 0, 1.41421, -1.0036e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59738e-21, 0, 1.51646e-21, 0, 1.00355e-16, 0, 0, 0
0.162376, 0, 1.99156e-16, 0, 1.41421, -1.99156e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.25896e-21, 0, 3.0674e-21, 0, 1.99145e-16, 0, 0, 0
0.170282, 0, 3.94324e-16, 0, 1.41421, -3.94324e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46614e-20, 0, 6.21364e-21, 0, 3.94303e-16, 0, 0, 0
0.178187, 0, 7.65921e-16, 0, 1.41421, -7.65921e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8972e-20, 0, 1.23093e-20, 0, 7.6588e-16, 0, 0, 0
0.186092, 0, 1.47312e-15, 0, 1.41421, -1.47312e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67109e-20, 0, 2.41569e-20, 0, 1.47304e-15, 0, 0, 0
0.193998, 0, 2.80592e-15, 0, 1.41421, -2.80592e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09978e-19, 0, 4.69737e-20, 0, 2.80577e-15, 0, 0, 0
