   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_62.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.033149, 124, 0, 0, 11.225, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0252507, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0173524, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00945416, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00155587, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00634241, 0, 7.44204e-25, 0, 1.41421, -7.44204e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04715e-27, 0, 0, 0, 8.80737e-29, 0, 7.40069e-25, 0, 0, 0
0.0142407, 0, 2.14256e-24, 0, 1.41421, -2.14256e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16517e-26, 0, 0, 0, 2.62153e-28, 0, 2.13065e-24, 0, 0, 0
0.022139, 0, 5.9888e-24, 0, 1.41421, -5.9888e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25682e-26, 0, 0, 0, 7.54996e-28, 0, 5.95547e-24, 0, 0, 0
0.0300373, 0, 1.63001e-23, 0, 1.41421, -1.63001e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.86427e-26, 0, 0, 0, 2.11168e-27, 0, 1.62094e-23, 0, 0, 0
0.0379355, 0, 4.33023e-23, 0, 1.41421, -4.33023e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35484e-25, 0, 0, 0, 5.75266e-27, 0, 4.30611e-23, 0, 0, 0
