   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_39.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.17998, 0, 2.59698e-14, 0, 1.41421, -2.59698e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92665e-20, 0, 1.22036e-18, 0, 2.59686e-14, 0, 0, 0
0.187887, 0, 4.73617e-14, 0, 1.41421, -4.73617e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.16474e-20, 0, 2.27473e-18, 0, 4.73594e-14, 0, 0, 0
0.195794, 0, 8.56331e-14, 0, 1.41421, -8.56331e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69089e-19, 0, 4.20671e-18, 0, 8.56287e-14, 0, 0, 0
0.203701, 0, 1.53517e-13, 0, 1.41421, -1.53517e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09449e-19, 0, 7.7195e-18, 0, 1.53509e-13, 0, 0, 0
0.211608, 0, 2.72902e-13, 0, 1.41421, -2.72902e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61817e-19, 0, 1.40582e-17, 0, 2.72888e-13, 0, 0, 0
0.219515, 0, 4.81098e-13, 0, 1.41421, -4.81098e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01202e-18, 0, 2.54112e-17, 0, 4.81071e-13, 0, 0, 0
0.227422, 0, 8.41139e-13, 0, 1.41421, -8.41139e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80896e-18, 0, 4.55964e-17, 0, 8.41092e-13, 0, 0, 0
0.235329, 0, 1.45862e-12, 0, 1.41421, -1.45862e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.209e-18, 0, 8.12277e-17, 0, 1.45854e-12, 0, 0, 0
0.243236, 0, 2.5089e-12, 0, 1.41421, -2.5089e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6503e-18, 0, 1.43693e-16, 0, 2.50875e-12, 0, 0, 0
0.251143, 0, 4.28073e-12, 0, 1.41421, -4.28073e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87653e-18, 0, 2.52445e-16, 0, 4.28047e-12, 0, 0, 0
0.25905, 0, 7.24557e-12, 0, 1.41421, -7.24557e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71411e-17, 0, 4.40518e-16, 0, 7.24511e-12, 0, 0, 0
0.266957, 0, 1.21666e-11, 0, 1.41421, -1.21666e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95429e-17, 0, 7.63641e-16, 0, 1.21658e-11, 0, 0, 0
0.274864, 0, 2.02687e-11, 0, 1.41421, -2.02687e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05755e-17, 0, 1.31528e-15, 0, 2.02674e-11, 0, 0, 0
0.28277, 0, 3.3502e-11, 0, 1.41421, -3.3502e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60214e-17, 0, 2.25126e-15, 0, 3.34996e-11, 0, 0, 0
0.290677, 0, 5.49438e-11, 0, 1.41421, -5.49438e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45399e-16, 0, 3.83003e-15, 0, 5.49398e-11, 0, 0, 0
0.298584, 0, 8.94438e-11, 0, 1.41421, -8.94438e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44751e-16, 0, 6.49013e-15, 0, 8.94371e-11, 0, 0, 0
0.306491, 0, 1.44424e-10, 9.24857e-44, 1.41421, -1.44424e-10, 9.24857e-44, 0, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 4.08923e-16, 9.24857e-44, 1.09154e-14, 9.24857e-44, 1.44412e-10, 9.24857e-44, 9.24857e-44, 9.24857e-44
0.314398, 0, 2.31415e-10, 1.64512e-42, 1.41421, -2.31415e-10, 1.64512e-42, 0, 1.64512e-42, 1.64512e-42, 1.64512e-42, 1.64512e-42, 1.64512e-42, 1.64512e-42, 1.64512e-42, 1.64512e-42, 1.64512e-42, 1.64512e-42, 1.64512e-42, 6.79631e-16, 1.64512e-42, 1.82604e-14, 1.64512e-42, 2.31397e-10, 1.64512e-42, 1.64512e-42, 1.64512e-42
0.322305, 0, 3.67981e-10, 2.44849e-41, 1.41421, -3.67981e-10, 2.44849e-41, 0, 2.44849e-41, 2.44849e-41, 2.44849e-41, 2.44849e-41, 2.44849e-41, 2.44849e-41, 2.44849e-41, 2.44849e-41, 2.44849e-41, 2.44849e-41, 2.44849e-41, 1.12405e-15, 2.44849e-41, 3.03941e-14, 2.44849e-41, 3.6795e-10, 2.44849e-41, 2.44849e-41, 2.44849e-41
0.330212, 0, 5.8071e-10, 3.20652e-40, 1.41421, -5.8071e-10, 3.20652e-40, 0, 3.20652e-40, 3.20652e-40, 3.20652e-40, 3.20652e-40, 3.20652e-40, 3.20652e-40, 3.20652e-40, 3.20652e-40, 3.20652e-40, 3.20652e-40, 3.20652e-40, 1.85083e-15, 3.20652e-40, 5.03515e-14, 3.20652e-40, 5.80657e-10, 3.20652e-40, 3.20652e-40, 3.20652e-40
0.338119, 0, 9.09513e-10, 3.75794e-39, 1.41421, -9.09513e-10, 3.75794e-39, 0, 3.75794e-39, 3.75794e-39, 3.75794e-39, 3.75794e-39, 3.75794e-39, 3.75794e-39, 3.75794e-39, 3.75794e-39, 3.75794e-39, 3.75794e-39, 3.75794e-39, 3.03542e-15, 3.75794e-39, 8.30474e-14, 3.75794e-39, 9.09427e-10, 3.75794e-39, 3.75794e-39, 3.75794e-39
0.346026, 0, 1.41381e-09, 3.97324e-38, 1.41421, -1.41381e-09, 3.97324e-38, 0, 3.97324e-38, 3.97324e-38, 3.97324e-38, 3.97324e-38, 3.97324e-38, 3.97324e-38, 3.97324e-38, 3.97324e-38, 3.97324e-38, 3.97324e-38, 3.97324e-38, 4.96073e-15, 3.97324e-38, 1.36421e-13, 3.97324e-38, 1.41367e-09, 3.97324e-38, 3.97324e-38, 3.97324e-38
0.353933, 0, 2.18136e-09, 3.80804e-37, 1.41421, -2.18136e-09, 3.80804e-37, 0, 3.80804e-37, 3.80804e-37, 3.80804e-37, 3.80804e-37, 3.80804e-37, 3.80804e-37, 3.80804e-37, 3.80804e-37, 3.80804e-37, 3.80804e-37, 3.80804e-37, 8.08298e-15, 3.80804e-37, 2.23276e-13, 3.80804e-37, 2.18112e-09, 3.80804e-37, 3.80804e-37, 3.80804e-37
0.36184, 0, 3.34064e-09, 3.33152e-36, 1.41421, -3.34064e-09, 3.33152e-36, 0, 3.33152e-36, 3.33152e-36, 3.33152e-36, 3.33152e-36, 3.33152e-36, 3.33152e-36, 3.33152e-36, 3.33152e-36, 3.33152e-36, 3.33152e-36, 3.33152e-36, 1.31375e-14, 3.33152e-36, 3.6423e-13, 3.33152e-36, 3.34027e-09, 3.33152e-36, 3.33152e-36, 3.33152e-36
0.369747, 0, 5.07837e-09, 2.67088e-35, 1.41421, -5.07837e-09, 2.67088e-35, 0, 2.67088e-35, 2.67088e-35, 2.67088e-35, 2.67088e-35, 2.67088e-35, 2.67088e-35, 2.67088e-35, 2.67088e-35, 2.67088e-35, 2.67088e-35, 2.67088e-35, 2.13101e-14, 2.67088e-35, 5.9245e-13, 2.67088e-35, 5.07775e-09, 2.67088e-35, 2.67088e-35, 2.67088e-35
0.377654, 0, 7.66348e-09, 1.9713e-34, 1.41421, -7.66348e-09, 1.9713e-34, 0, 1.9713e-34, 1.9713e-34, 1.9713e-34, 1.9713e-34, 1.9713e-34, 1.9713e-34, 1.9713e-34, 1.9713e-34, 1.9713e-34, 1.9713e-34, 1.9713e-34, 3.45134e-14, 1.9713e-34, 9.61238e-13, 1.9713e-34, 7.66248e-09, 1.9713e-34, 1.9713e-34, 1.9713e-34
0.38556, 0, 1.14804e-08, 1.36828e-33, 1.41421, -1.14804e-08, 1.36828e-33, 0, 1.36828e-33, 1.36828e-33, 1.36828e-33, 1.36828e-33, 1.36828e-33, 1.36828e-33, 1.36828e-33, 1.36828e-33, 1.36828e-33, 1.36828e-33, 1.36828e-33, 5.5834e-14, 1.36828e-33, 1.55621e-12, 1.36828e-33, 1.14788e-08, 1.36828e-33, 1.36828e-33, 1.36828e-33
0.393467, 0, 1.70741e-08, 8.31674e-33, 1.41421, -1.70741e-08, 8.31674e-33, 0, 8.31674e-33, 8.31674e-33, 8.31674e-33, 8.31674e-33, 8.31674e-33, 8.31674e-33, 8.31674e-33, 8.31674e-33, 8.31674e-33, 8.31674e-33, 8.31674e-33, 9.02534e-14, 8.31674e-33, 2.51477e-12, 8.31674e-33, 1.70715e-08, 8.31674e-33, 8.31674e-33, 8.31674e-33
0.401374, 0, 2.5211e-08, 5.07495e-32, 1.41421, -2.5211e-08, 5.07495e-32, 0, 5.07495e-32, 5.07495e-32, 5.07495e-32, 5.07495e-32, 5.07495e-32, 5.07495e-32, 5.07495e-32, 5.07495e-32, 5.07495e-32, 5.07495e-32, 5.07495e-32, 1.4581e-13, 5.07495e-32, 4.05727e-12, 5.07495e-32, 2.52068e-08, 5.07495e-32, 5.07495e-32, 5.07495e-32
0.409281, 0, 3.69606e-08, 2.77606e-31, 1.41421, -3.69606e-08, 2.77606e-31, 0, 2.77606e-31, 2.77606e-31, 2.77606e-31, 2.77606e-31, 2.77606e-31, 2.77606e-31, 2.77606e-31, 2.77606e-31, 2.77606e-31, 2.77606e-31, 2.77606e-31, 2.35465e-13, 2.77606e-31, 6.53662e-12, 2.77606e-31, 3.69538e-08, 2.77606e-31, 2.77606e-31, 2.77606e-31
0.417188, 0, 5.38031e-08, 1.47721e-30, 1.41421, -5.38031e-08, 1.47721e-30, 0, 1.47721e-30, 1.47721e-30, 1.47721e-30, 1.47721e-30, 1.47721e-30, 1.47721e-30, 1.47721e-30, 1.47721e-30, 1.47721e-30, 1.47721e-30, 1.47721e-30, 3.80096e-13, 1.47721e-30, 1.05173e-11, 1.47721e-30, 5.37922e-08, 1.47721e-30, 1.47721e-30, 1.47721e-30
