   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_138.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0630603, 0, 2.69726e-20, 0, 1.41421, -2.69726e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.8909e-22, 0, 0, 1.5183e-24, 0, 2.6182e-20, 0, 0, 0
0.0709469, 0, 6.1298e-20, 0, 1.41421, -6.1298e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79329e-21, 0, 0, 3.51298e-24, 0, 5.95012e-20, 0, 0, 0
0.0788335, 0, 1.3734e-19, 0, 1.41421, -1.3734e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0179e-21, 0, 0, 8.01057e-24, 0, 1.33314e-19, 0, 0, 0
0.0867201, 0, 3.03544e-19, 0, 1.41421, -3.03544e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88025e-21, 0, 0, 1.80141e-23, 0, 2.94646e-19, 0, 0, 0
0.0946067, 0, 6.62142e-19, 0, 1.41421, -6.62142e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93711e-20, 0, 0, 3.99743e-23, 0, 6.42731e-19, 0, 0, 0
0.102493, 0, 1.4262e-18, 0, 1.41421, -1.4262e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17236e-20, 0, 0, 8.75785e-23, 0, 1.38439e-18, 0, 0, 0
0.11038, 0, 3.10454e-18, 0, 1.41421, -3.10454e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.08235e-20, 0, 0, 1.94951e-22, 0, 3.01352e-18, 0, 0, 0
0.118267, 0, 6.51124e-18, 0, 1.41421, -6.51124e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90487e-19, 0, 0, 4.15793e-22, 0, 6.32034e-18, 0, 0, 0
0.126153, 0, 1.3503e-17, 0, 1.41421, -1.3503e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9503e-19, 0, 0, 8.76939e-22, 0, 1.3107e-17, 0, 0, 0
0.13404, 0, 2.76956e-17, 0, 1.41421, -2.76956e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.10236e-19, 0, 0, 1.82954e-21, 0, 2.68836e-17, 0, 0, 0
0.141926, 0, 5.61978e-17, 0, 1.41421, -5.61978e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64406e-18, 0, 0, 3.77681e-21, 0, 5.455e-17, 0, 0, 0
0.149813, 0, 1.12837e-16, 0, 1.41421, -1.12837e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30104e-18, 0, 0, 7.71685e-21, 0, 1.09528e-16, 0, 0, 0
0.1577, 0, 2.24234e-16, 0, 1.41421, -2.24234e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55994e-18, 0, 0, 1.56097e-20, 0, 2.17658e-16, 0, 0, 0
0.165586, 0, 4.41112e-16, 0, 1.41421, -4.41112e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29046e-17, 0, 0, 3.12677e-20, 0, 4.28176e-16, 0, 0, 0
