   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_274.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0333451, 548, 0, 0, 23.4521, 548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0254593, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0175736, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00968784, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00180209, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00608366, 0, 4.54226e-24, 0, 1.41421, -4.54226e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71906e-25, 0, 1.1255e-28, 0, 0, 4.37024e-24, 0, 0, 0
0.0139694, 0, 1.27807e-23, 0, 1.41421, -1.27807e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83697e-25, 0, 3.21268e-28, 0, 0, 1.22967e-23, 0, 0, 0
0.0218552, 2, 3.91983e-23, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4835e-24, 0, 1.00889e-27, 0, 0, 3.77138e-23, 0, 0, 0
0.0297409, 0, 1.02342e-22, 0, 1.41421, -1.02342e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87322e-24, 0, 2.66817e-27, 0, 0, 9.84659e-23, 0, 0, 0
0.0376267, 0, 2.61192e-22, 0, 1.41421, -2.61192e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.88507e-24, 0, 6.89709e-27, 0, 0, 2.513e-22, 0, 0, 0
0.0455124, 0, 6.52788e-22, 0, 1.41421, -6.52788e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47053e-23, 0, 1.74587e-26, 0, 0, 6.28065e-22, 0, 0, 0
