   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_127.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0423303, 254, 0, 0, 16, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0344296, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0265289, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0186282, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0107275, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00282685, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00507383, 0, 3.41075e-27, 0, 1.41421, -3.41075e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09846e-30, 0, 0, 0, 0, 3.40766e-27, 0, 0, 0
0.0129745, 0, 2.52923e-26, 0, 1.41421, -2.52923e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29765e-29, 0, 0, 0, 0, 2.52693e-26, 0, 0, 0
0.0208752, 0, 9.86567e-26, 0, 1.41421, -9.86567e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96236e-29, 0, 0, 0, 0, 9.8567e-26, 0, 0, 0
0.0287759, 0, 3.58487e-25, 0, 1.41421, -3.58487e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25664e-28, 0, 0, 0, 0, 3.58162e-25, 0, 0, 0
0.0366766, 0, 1.23118e-24, 0, 1.41421, -1.23118e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11845e-27, 0, 0, 0, 0, 1.23006e-24, 0, 0, 0
0.0445773, 0, 4.03517e-24, 0, 1.41421, -4.03517e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66571e-27, 0, 0, 0, 0, 4.03151e-24, 0, 0, 0
0.0524779, 0, 1.2707e-23, 0, 1.41421, -1.2707e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15435e-26, 0, 0, 0, 0, 1.26955e-23, 0, 0, 0
0.0603786, 0, 3.86399e-23, 0, 1.41421, -3.86399e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5102e-26, 0, 0, 0, 0, 3.86048e-23, 0, 0, 0
0.0682793, 0, 1.13892e-22, 0, 1.41421, -1.13892e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03464e-25, 0, 0, 0, 0, 1.13789e-22, 0, 0, 0
