   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.180909, 0, 1.00104e-13, 0, 1.41421, -1.00104e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92075e-16, 0, 0, 2.97614e-18, 0, 0, 9.97086e-14, 0, 0, 0
0.188835, 0, 1.789e-13, 0, 1.41421, -1.789e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00698e-16, 0, 0, 5.41714e-18, 0, 0, 1.78194e-13, 0, 0, 0
0.196761, 0, 3.17089e-13, 0, 1.41421, -3.17089e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24194e-15, 0, 0, 9.78397e-18, 0, 0, 3.15837e-13, 0, 0, 0
0.204687, 0, 5.57434e-13, 0, 1.41421, -5.57434e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18331e-15, 0, 0, 1.75362e-17, 0, 0, 5.55233e-13, 0, 0, 0
0.212614, 0, 9.72021e-13, 0, 1.41421, -9.72021e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80717e-15, 0, 0, 3.11947e-17, 0, 0, 9.68183e-13, 0, 0, 0
0.22054, 0, 1.68135e-12, 0, 1.41421, -1.68135e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58551e-15, 0, 0, 5.50811e-17, 0, 0, 1.67471e-12, 0, 0, 0
0.228466, 0, 2.88513e-12, 0, 1.41421, -2.88513e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13006e-14, 0, 0, 9.65497e-17, 0, 0, 2.87373e-12, 0, 0, 0
0.236392, 0, 4.91159e-12, 0, 1.41421, -4.91159e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92384e-14, 0, 0, 1.6803e-16, 0, 0, 4.89218e-12, 0, 0, 0
0.244318, 0, 8.29565e-12, 0, 1.41421, -8.29565e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24946e-14, 0, 0, 2.9038e-16, 0, 0, 8.26286e-12, 0, 0, 0
0.252244, 0, 1.39019e-11, 0, 1.41421, -1.39019e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4457e-14, 0, 0, 4.98382e-16, 0, 0, 1.38469e-11, 0, 0, 0
