   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_304.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0305135, 608, 0, 0, 24.6982, 608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0226327, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0147518, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00687088, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00101002, 0, 5.54957e-26, 0, 1.41421, -5.54957e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32505e-28, 0, 0, 9.32712e-31, 0, 2.12915e-29, 0, 5.5341e-26, 0, 0, 0
0.00889091, 0, 1.90167e-25, 0, 1.41421, -1.90167e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54042e-28, 0, 0, 3.23172e-30, 0, 7.78276e-29, 0, 1.89632e-25, 0, 0, 0
0.0167718, 0, 6.16724e-25, 0, 1.41421, -6.16724e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47246e-27, 0, 0, 1.06089e-29, 0, 2.65751e-28, 0, 6.14976e-25, 0, 0, 0
0.0246527, 0, 1.91128e-24, 0, 1.41421, -1.91128e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.56318e-27, 0, 0, 3.32998e-29, 0, 8.59721e-28, 0, 1.90582e-24, 0, 0, 0
0.0325336, 0, 5.69877e-24, 0, 1.41421, -5.69877e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36056e-26, 0, 0, 1.00597e-28, 0, 2.6598e-27, 0, 5.6824e-24, 0, 0, 0
0.0404145, 0, 1.64294e-23, 0, 1.41421, -1.64294e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9224e-26, 0, 0, 2.93902e-28, 0, 7.92154e-27, 0, 1.6382e-23, 0, 0, 0
