   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_304.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0482954, 0, 4.59715e-23, 0, 1.41421, -4.59715e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09752e-25, 0, 0, 8.3351e-28, 0, 2.28216e-26, 0, 4.58381e-23, 0, 0, 0
0.0561763, 0, 1.25217e-22, 0, 1.41421, -1.25217e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98939e-25, 0, 0, 2.30136e-27, 0, 6.38365e-26, 0, 1.24852e-22, 0, 0, 0
0.0640571, 0, 3.32795e-22, 0, 1.41421, -3.32795e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.94491e-25, 0, 0, 6.20085e-27, 0, 1.73877e-25, 0, 3.31821e-22, 0, 0, 0
0.071938, 0, 8.64704e-22, 0, 1.41421, -8.64704e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0643e-24, 0, 0, 1.63363e-26, 0, 4.62252e-25, 0, 8.62161e-22, 0, 0, 0
0.0798189, 0, 2.20006e-21, 0, 1.41421, -2.20006e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.25214e-24, 0, 0, 4.21497e-26, 0, 1.20177e-24, 0, 2.19357e-21, 0, 0, 0
0.0876998, 0, 5.49544e-21, 0, 1.41421, -5.49544e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31189e-23, 0, 0, 1.06857e-25, 0, 3.06628e-24, 0, 5.47915e-21, 0, 0, 0
0.0955807, 0, 1.34719e-20, 0, 1.41421, -1.34719e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21603e-23, 0, 0, 2.65884e-25, 0, 7.67042e-24, 0, 1.34318e-20, 0, 0, 0
0.103462, 0, 3.40095e-20, 0, 1.41421, -3.40095e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.11865e-23, 0, 0, 6.86095e-25, 0, 1.99014e-23, 0, 3.39077e-20, 0, 0, 0
0.111342, 0, 8.01153e-20, 0, 1.41421, -8.01153e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91247e-22, 0, 0, 1.64007e-24, 0, 4.77324e-23, 0, 7.98747e-20, 0, 0, 0
0.119223, 0, 1.85855e-19, 0, 1.41421, -1.85855e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43659e-22, 0, 0, 3.86146e-24, 0, 1.12694e-22, 0, 1.85295e-19, 0, 0, 0
0.127104, 0, 4.24855e-19, 0, 1.41421, -4.24855e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01417e-21, 0, 0, 8.96025e-24, 0, 2.62086e-22, 0, 4.2357e-19, 0, 0, 0
0.134985, 0, 9.5751e-19, 0, 1.41421, -9.5751e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28564e-21, 0, 0, 2.05023e-23, 0, 6.00773e-22, 0, 9.54603e-19, 0, 0, 0
0.142866, 0, 2.12855e-18, 0, 1.41421, -2.12855e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08093e-21, 0, 0, 4.62817e-23, 0, 1.35811e-21, 0, 2.12206e-18, 0, 0, 0
0.150747, 0, 4.66925e-18, 0, 1.41421, -4.66925e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11456e-20, 0, 0, 1.03117e-22, 0, 3.0292e-21, 0, 4.65497e-18, 0, 0, 0
0.158628, 0, 1.01111e-17, 0, 1.41421, -1.01111e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4135e-20, 0, 0, 2.26847e-22, 0, 6.66937e-21, 0, 1.00801e-17, 0, 0, 0
0.166509, 0, 2.16214e-17, 0, 1.41421, -2.16214e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16095e-20, 0, 0, 4.9292e-22, 0, 1.45004e-20, 0, 2.15548e-17, 0, 0, 0
0.17439, 0, 4.56714e-17, 0, 1.41421, -4.56714e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09015e-19, 0, 0, 1.05829e-21, 0, 3.11439e-20, 0, 4.55302e-17, 0, 0, 0
0.182271, 0, 9.53235e-17, 0, 1.41421, -9.53235e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27528e-19, 0, 0, 2.24569e-21, 0, 6.6102e-20, 0, 9.50276e-17, 0, 0, 0
0.190151, 0, 1.96638e-16, 0, 1.41421, -1.96638e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69349e-19, 0, 0, 4.71123e-21, 0, 1.3869e-19, 0, 1.96025e-16, 0, 0, 0
0.198032, 0, 4.01004e-16, 0, 1.41421, -4.01004e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.57131e-19, 0, 0, 9.77395e-21, 0, 2.87734e-19, 0, 3.99749e-16, 0, 0, 0
0.205913, 0, 8.08619e-16, 0, 1.41421, -8.08619e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93001e-18, 0, 0, 2.0057e-20, 0, 5.90443e-19, 0, 8.06079e-16, 0, 0, 0
0.213794, 0, 1.61265e-15, 0, 1.41421, -1.61265e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.84902e-18, 0, 0, 4.07208e-20, 0, 1.19872e-18, 0, 1.60756e-15, 0, 0, 0
0.221675, 0, 3.18143e-15, 0, 1.41421, -3.18143e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59319e-18, 0, 0, 8.18119e-20, 0, 2.40834e-18, 0, 3.17135e-15, 0, 0, 0
0.229556, 0, 6.2096e-15, 0, 1.41421, -6.2096e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48203e-17, 0, 0, 1.62685e-19, 0, 4.78939e-18, 0, 6.18983e-15, 0, 0, 0
0.237437, 0, 1.19932e-14, 0, 1.41421, -1.19932e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86235e-17, 0, 0, 3.20253e-19, 0, 9.42974e-18, 0, 1.19549e-14, 0, 0, 0
0.245318, 0, 2.29245e-14, 0, 1.41421, -2.29245e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47114e-17, 0, 0, 6.24232e-19, 0, 1.83852e-17, 0, 2.28508e-14, 0, 0, 0
0.253199, 0, 4.33728e-14, 0, 1.41421, -4.33728e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03511e-16, 0, 0, 1.20499e-18, 0, 3.55034e-17, 0, 4.32326e-14, 0, 0, 0
0.261079, 0, 8.12347e-14, 0, 1.41421, -8.12347e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93866e-16, 0, 0, 2.30397e-18, 0, 6.79187e-17, 0, 8.09706e-14, 0, 0, 0
0.26896, 0, 1.50632e-13, 0, 1.41421, -1.50632e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59475e-16, 0, 0, 4.36422e-18, 0, 1.28736e-16, 0, 1.5014e-13, 0, 0, 0
0.276841, 0, 2.76564e-13, 0, 1.41421, -2.76564e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5999e-16, 0, 0, 8.19125e-18, 0, 2.41816e-16, 0, 2.75654e-13, 0, 0, 0
0.284722, 0, 5.02819e-13, 0, 1.41421, -5.02819e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19991e-15, 0, 0, 1.52367e-17, 0, 4.50209e-16, 0, 5.01154e-13, 0, 0, 0
0.292603, 0, 9.05329e-13, 0, 1.41421, -9.05329e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16041e-15, 0, 0, 2.80943e-17, 0, 8.30989e-16, 0, 9.0231e-13, 0, 0, 0
0.300484, 0, 1.61442e-12, 0, 1.41421, -1.61442e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85251e-15, 0, 0, 5.13608e-17, 0, 1.52089e-15, 0, 1.60899e-12, 0, 0, 0
0.308365, 0, 2.85148e-12, 0, 1.41421, -2.85148e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.80456e-15, 0, 0, 9.31198e-17, 0, 2.76062e-15, 0, 2.84182e-12, 0, 0, 0
0.316246, 0, 4.98887e-12, 0, 1.41421, -4.98887e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19053e-14, 0, 0, 1.67483e-16, 0, 4.97069e-15, 0, 4.97183e-12, 0, 0, 0
0.324127, 0, 8.64649e-12, 0, 1.41421, -8.64649e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06344e-14, 0, 0, 2.98923e-16, 0, 8.88037e-15, 0, 8.61668e-12, 0, 0, 0
0.332007, 0, 1.4846e-11, 0, 1.41421, -1.4846e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54313e-14, 0, 0, 5.29625e-16, 0, 1.57458e-14, 0, 1.47943e-11, 0, 0, 0
0.339888, 0, 2.52547e-11, 2.158e-43, 1.41421, -2.52547e-11, 2.158e-43, 0, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 6.02779e-14, 2.158e-43, 2.158e-43, 9.31913e-16, 2.158e-43, 2.7717e-14, 2.158e-43, 2.51658e-11, 2.158e-43, 2.158e-43, 2.158e-43
0.347769, 0, 4.25655e-11, 3.83816e-42, 1.41421, -4.25655e-11, 3.83816e-42, 0, 3.83816e-42, 3.83816e-42, 3.83816e-42, 3.83816e-42, 3.83816e-42, 3.83816e-42, 3.83816e-42, 3.83816e-42, 3.83816e-42, 1.01608e-13, 3.83816e-42, 3.83816e-42, 1.6292e-15, 3.83816e-42, 4.84528e-14, 3.83816e-42, 4.24138e-11, 3.83816e-42, 3.83816e-42, 3.83816e-42
0.35565, 0, 7.10863e-11, 5.61879e-41, 1.41421, -7.10863e-11, 5.61879e-41, 0, 5.61879e-41, 5.61879e-41, 5.61879e-41, 5.61879e-41, 5.61879e-41, 5.61879e-41, 5.61879e-41, 5.61879e-41, 5.61879e-41, 1.69721e-13, 5.61879e-41, 5.61879e-41, 2.83133e-15, 5.61879e-41, 8.41492e-14, 5.61879e-41, 7.08296e-11, 5.61879e-41, 5.61879e-41, 5.61879e-41
0.363531, 0, 1.17662e-10, 3.25359e-39, 1.41421, -1.17662e-10, 3.25359e-39, 0, 3.25359e-39, 3.25359e-39, 3.25359e-39, 3.25359e-39, 3.25359e-39, 3.25359e-39, 3.25359e-39, 3.25359e-39, 3.25359e-39, 2.80996e-13, 3.25359e-39, 3.25359e-39, 4.90356e-15, 3.25359e-39, 1.45495e-13, 3.25359e-39, 1.17231e-10, 3.25359e-39, 3.25359e-39, 3.25359e-39
0.371412, 0, 1.9295e-10, 3.41105e-38, 1.41421, -1.9295e-10, 3.41105e-38, 0, 3.41105e-38, 3.41105e-38, 3.41105e-38, 3.41105e-38, 3.41105e-38, 3.41105e-38, 3.41105e-38, 3.41105e-38, 3.41105e-38, 4.60944e-13, 3.41105e-38, 3.41105e-38, 8.43532e-15, 3.41105e-38, 2.49736e-13, 3.41105e-38, 1.92231e-10, 3.41105e-38, 3.41105e-38, 3.41105e-38
0.379293, 0, 3.13576e-10, 3.24606e-37, 1.41421, -3.13576e-10, 3.24606e-37, 0, 3.24606e-37, 3.24606e-37, 3.24606e-37, 3.24606e-37, 3.24606e-37, 3.24606e-37, 3.24606e-37, 3.24606e-37, 3.24606e-37, 7.49424e-13, 3.24606e-37, 3.24606e-37, 1.44503e-14, 3.24606e-37, 4.26473e-13, 3.24606e-37, 3.12385e-10, 3.24606e-37, 3.24606e-37, 3.24606e-37
0.387174, 0, 5.05069e-10, 2.82348e-36, 1.41421, -5.05069e-10, 2.82348e-36, 0, 2.82348e-36, 2.82348e-36, 2.82348e-36, 2.82348e-36, 2.82348e-36, 2.82348e-36, 2.82348e-36, 2.82348e-36, 2.82348e-36, 1.20773e-12, 2.82348e-36, 2.82348e-36, 2.46669e-14, 2.82348e-36, 7.24975e-13, 2.82348e-36, 5.03112e-10, 2.82348e-36, 2.82348e-36, 2.82348e-36
0.395055, 0, 8.06305e-10, 2.25337e-35, 1.41421, -8.06305e-10, 2.25337e-35, 0, 2.25337e-35, 2.25337e-35, 2.25337e-35, 2.25337e-35, 2.25337e-35, 2.25337e-35, 2.25337e-35, 2.25337e-35, 2.25337e-35, 1.92936e-12, 2.25337e-35, 2.25337e-35, 4.19851e-14, 2.25337e-35, 1.22755e-12, 2.25337e-35, 8.03106e-10, 2.25337e-35, 2.25337e-35, 2.25337e-35
0.402935, 0, 1.27589e-09, 1.6574e-34, 1.41421, -1.27589e-09, 1.6574e-34, 0, 1.6574e-34, 1.6574e-34, 1.6574e-34, 1.6574e-34, 1.6574e-34, 1.6574e-34, 1.6574e-34, 1.6574e-34, 1.6574e-34, 3.05561e-12, 1.6574e-34, 1.6574e-34, 7.12987e-14, 1.6574e-34, 2.07163e-12, 1.6574e-34, 1.27069e-09, 1.6574e-34, 1.6574e-34, 1.6574e-34
0.410816, 0, 2.00133e-09, 1.15175e-33, 1.41421, -2.00133e-09, 1.15175e-33, 0, 1.15175e-33, 1.15175e-33, 1.15175e-33, 1.15175e-33, 1.15175e-33, 1.15175e-33, 1.15175e-33, 1.15175e-33, 1.15175e-33, 4.79804e-12, 1.15175e-33, 1.15175e-33, 1.20868e-13, 1.15175e-33, 3.48676e-12, 1.15175e-33, 1.99292e-09, 1.15175e-33, 1.15175e-33, 1.15175e-33
0.418697, 0, 3.11204e-09, 6.74316e-33, 1.41421, -3.11204e-09, 6.74316e-33, 0, 6.74316e-33, 6.74316e-33, 6.74316e-33, 6.74316e-33, 6.74316e-33, 6.74316e-33, 6.74316e-33, 6.74316e-33, 6.74316e-33, 7.47066e-12, 6.74316e-33, 6.74316e-33, 2.04636e-13, 6.74316e-33, 5.85646e-12, 6.74316e-33, 3.09851e-09, 6.74316e-33, 6.74316e-33, 6.74316e-33
0.426578, 0, 4.7976e-09, 4.01149e-32, 1.41421, -4.7976e-09, 4.01149e-32, 0, 4.01149e-32, 4.01149e-32, 4.01149e-32, 4.01149e-32, 4.01149e-32, 4.01149e-32, 4.01149e-32, 4.01149e-32, 4.01149e-32, 1.15354e-11, 4.01149e-32, 4.01149e-32, 3.4613e-13, 4.01149e-32, 9.82204e-12, 4.01149e-32, 4.7759e-09, 4.01149e-32, 4.01149e-32, 4.01149e-32
0.434459, 0, 7.33313e-09, 2.13447e-31, 1.41421, -7.33313e-09, 2.13447e-31, 0, 2.13447e-31, 2.13447e-31, 2.13447e-31, 2.13447e-31, 2.13447e-31, 2.13447e-31, 2.13447e-31, 2.13447e-31, 2.13447e-31, 1.76659e-11, 2.13447e-31, 2.13447e-31, 5.85009e-13, 2.13447e-31, 1.64564e-11, 2.13447e-31, 7.29842e-09, 2.13447e-31, 2.13447e-31, 2.13447e-31
0.44234, 0, 1.11141e-08, 1.11441e-30, 1.41421, -1.11141e-08, 1.11441e-30, 0, 1.11441e-30, 1.11441e-30, 1.11441e-30, 1.11441e-30, 1.11441e-30, 1.11441e-30, 1.11441e-30, 1.11441e-30, 1.11441e-30, 2.68367e-11, 1.11441e-30, 1.11441e-30, 9.88013e-13, 1.11441e-30, 2.75544e-11, 1.11441e-30, 1.10587e-08, 1.11441e-30, 1.11441e-30, 1.11441e-30
0.450221, 0, 1.67036e-08, 5.56825e-30, 1.41421, -1.67036e-08, 5.56825e-30, 0, 5.56825e-30, 5.56825e-30, 5.56825e-30, 5.56825e-30, 5.56825e-30, 5.56825e-30, 5.56825e-30, 5.56825e-30, 5.56825e-30, 4.04455e-11, 5.56825e-30, 5.56825e-30, 1.66718e-12, 5.56825e-30, 4.61179e-11, 5.56825e-30, 1.66154e-08, 5.56825e-30, 5.56825e-30, 5.56825e-30
0.458102, 0, 2.48968e-08, 2.63834e-29, 1.41421, -2.48968e-08, 2.63834e-29, 0, 2.63834e-29, 2.63834e-29, 2.63834e-29, 2.63834e-29, 2.63834e-29, 2.63834e-29, 2.63834e-29, 2.63834e-29, 2.63834e-29, 6.04821e-11, 2.63834e-29, 2.63834e-29, 2.80992e-12, 2.63834e-29, 7.71593e-11, 2.63834e-29, 2.47564e-08, 2.63834e-29, 2.63834e-29, 2.63834e-29
0.465983, 0, 3.68054e-08, 1.21124e-28, 1.41421, -3.68054e-08, 1.21124e-28, 0, 1.21124e-28, 1.21124e-28, 1.21124e-28, 1.21124e-28, 1.21124e-28, 1.21124e-28, 1.21124e-28, 1.21124e-28, 1.21124e-28, 8.97566e-11, 1.21124e-28, 1.21124e-28, 4.72841e-12, 1.21124e-28, 1.29029e-10, 1.21124e-28, 3.65819e-08, 1.21124e-28, 1.21124e-28, 1.21124e-28
0.473863, 0, 5.39707e-08, 5.33605e-28, 1.41421, -5.39707e-08, 5.33605e-28, 0, 5.33605e-28, 5.33605e-28, 5.33605e-28, 5.33605e-28, 5.33605e-28, 5.33605e-28, 5.33605e-28, 5.33605e-28, 5.33605e-28, 1.32209e-10, 5.33605e-28, 5.33605e-28, 7.93995e-12, 5.33605e-28, 2.15588e-10, 5.33605e-28, 5.36149e-08, 5.33605e-28, 5.33605e-28, 5.33605e-28
0.481744, 0, 7.85107e-08, 2.24542e-27, 1.41421, -7.85107e-08, 2.24542e-27, 0, 2.24542e-27, 2.24542e-27, 2.24542e-27, 2.24542e-27, 2.24542e-27, 2.24542e-27, 2.24542e-27, 2.24542e-27, 2.24542e-27, 1.93322e-10, 2.24542e-27, 2.24542e-27, 1.32967e-11, 2.24542e-27, 3.59737e-10, 2.24542e-27, 7.79444e-08, 2.24542e-27, 2.24542e-27, 2.24542e-27
0.489625, 0, 1.13312e-07, 9.02615e-27, 1.41421, -1.13312e-07, 9.02615e-27, 0, 9.02615e-27, 9.02615e-27, 9.02615e-27, 9.02615e-27, 9.02615e-27, 9.02615e-27, 9.02615e-27, 9.02615e-27, 9.02615e-27, 2.80677e-10, 9.02615e-27, 9.02615e-27, 2.21928e-11, 9.02615e-27, 5.99088e-10, 9.02615e-27, 1.1241e-07, 9.02615e-27, 9.02615e-27, 9.02615e-27
0.497506, 0, 1.62272e-07, 3.46909e-26, 1.41421, -1.62272e-07, 3.46909e-26, 0, 3.46909e-26, 3.46909e-26, 3.46909e-26, 3.46909e-26, 3.46909e-26, 3.46909e-26, 3.19822e-13, 3.46909e-26, 3.46909e-26, 4.04677e-10, 3.46909e-26, 3.46909e-26, 3.68931e-11, 3.46909e-26, 9.9498e-10, 3.46909e-26, 1.60835e-07, 3.46909e-26, 3.46909e-26, 3.46909e-26
0.505387, 0, 2.30619e-07, 1.27687e-25, 1.41421, -2.30619e-07, 1.27687e-25, 0, 1.27687e-25, 1.27687e-25, 1.27687e-25, 1.27687e-25, 1.27687e-25, 1.27687e-25, 1.14363e-12, 1.27687e-25, 1.27687e-25, 5.79514e-10, 1.27687e-25, 1.27687e-25, 6.10478e-11, 1.27687e-25, 1.64665e-09, 1.27687e-25, 2.2833e-07, 1.27687e-25, 1.27687e-25, 1.27687e-25
0.513268, 0, 3.25296e-07, 4.53936e-25, 1.41421, -3.25296e-07, 4.53936e-25, 0, 4.53936e-25, 4.53936e-25, 4.53936e-25, 4.53936e-25, 4.53936e-25, 4.53936e-25, 3.18954e-12, 4.53936e-25, 4.53936e-25, 8.24405e-10, 4.53936e-25, 4.53936e-25, 1.0049e-10, 4.53936e-25, 2.71319e-09, 4.53936e-25, 3.21655e-07, 4.53936e-25, 4.53936e-25, 4.53936e-25
0.521149, 0, 4.5739e-07, 1.73774e-10, 1.41421, -4.5739e-07, 2.03726e-10, 1.73774e-10, 1.73778e-10, 1.73821e-10, 1.73933e-10, 9.03682e-10, 1.92994e-10, 1.88239e-10, 1.97101e-10, 2.1346e-10, 1.01023e-09, 1.33902e-09, 1.74183e-10, 1.77513e-10, 3.38238e-10, 1.73774e-10, 4.62085e-09, 1.73776e-10, 4.49913e-07, 1.73774e-10, 1.73774e-10, 1.76608e-10
0.52903, 0, 6.39955e-07, 6.1231e-10, 1.41421, -6.39955e-07, 7.18767e-10, 6.1231e-10, 6.12324e-10, 6.12476e-10, 6.12874e-10, 3.20663e-09, 6.80624e-10, 6.63721e-10, 6.86013e-10, 7.53367e-10, 3.58532e-09, 2.24893e-09, 6.13762e-10, 6.256e-10, 8.79835e-10, 6.1231e-10, 7.85724e-09, 6.12317e-10, 6.24772e-07, 6.1231e-10, 6.1231e-10, 6.22381e-10
0.536911, 0, 8.92926e-07, 1.69062e-09, 1.41421, -8.92926e-07, 1.98589e-09, 1.69062e-09, 1.69065e-09, 1.69107e-09, 1.69218e-09, 8.88647e-09, 1.8801e-09, 1.83321e-09, 1.88642e-09, 2.08187e-09, 9.93686e-09, 3.97511e-09, 1.69464e-09, 1.72748e-09, 2.12288e-09, 1.69062e-09, 1.34128e-08, 1.69063e-09, 8.6176e-07, 1.69062e-09, 1.69062e-09, 1.71855e-09
0.544791, 0, 1.24616e-06, 4.26863e-09, 1.41421, -1.24616e-06, 5.01611e-09, 4.26863e-09, 4.26873e-09, 4.26979e-09, 4.27259e-09, 2.24847e-08, 4.74829e-09, 4.62961e-09, 4.75208e-09, 5.25906e-09, 2.51437e-08, 7.43813e-09, 4.27882e-09, 4.36194e-09, 4.96219e-09, 4.26863e-09, 2.30917e-08, 4.26867e-09, 1.18114e-06, 4.26863e-09, 4.26863e-09, 4.33934e-09
0.552672, 0, 1.74731e-06, 1.02637e-08, 1.41421, -1.74731e-06, 1.20638e-08, 1.02637e-08, 1.02639e-08, 1.02665e-08, 1.02732e-08, 5.41326e-08, 1.14188e-08, 1.1133e-08, 1.14062e-08, 1.26489e-08, 6.05363e-08, 1.46348e-08, 1.02882e-08, 1.04884e-08, 1.13683e-08, 1.02637e-08, 4.02416e-08, 1.02638e-08, 1.60993e-06, 1.02637e-08, 1.02637e-08, 1.0434e-08
0.560553, 0, 2.47684e-06, 2.38258e-08, 1.41421, -2.47684e-06, 2.80093e-08, 2.38258e-08, 2.38263e-08, 2.38323e-08, 2.38479e-08, 1.25777e-07, 2.65103e-08, 2.58461e-08, 2.65968e-08, 2.9369e-08, 1.40659e-07, 2.98186e-08, 2.38828e-08, 2.4348e-08, 2.5572e-08, 2.38258e-08, 7.12208e-08, 2.3826e-08, 2.18471e-06, 2.38258e-08, 2.38258e-08, 2.42215e-08
0.568434, 0, 3.57638e-06, 5.36831e-08, 1.41421, -3.57638e-06, 6.31176e-08, 5.36831e-08, 5.36843e-08, 5.36978e-08, 5.37331e-08, 2.83599e-07, 5.97373e-08, 5.82393e-08, 6.02092e-08, 6.6184e-08, 3.1716e-07, 6.18516e-08, 5.38117e-08, 5.48609e-08, 5.64223e-08, 5.36831e-08, 1.27875e-07, 5.36837e-08, 2.95655e-06, 5.36831e-08, 5.36831e-08, 5.45757e-08
0.576315, 0, 5.30631e-06, 1.17658e-07, 1.41421, -5.30631e-06, 1.38352e-07, 1.17658e-07, 1.1766e-07, 1.1769e-07, 1.17767e-07, 6.21969e-07, 1.30937e-07, 1.27651e-07, 1.35569e-07, 1.45078e-07, 6.95584e-07, 1.28728e-07, 1.1794e-07, 1.20241e-07, 1.21921e-07, 1.17658e-07, 2.32724e-07, 1.17659e-07, 3.9994e-06, 1.17658e-07, 1.17658e-07, 1.19616e-07
0.584196, 0, 8.14118e-06, 2.51094e-07, 1.41421, -8.14118e-06, 2.95292e-07, 2.51094e-07, 2.511e-07, 2.51163e-07, 2.51328e-07, 1.32818e-06, 2.79456e-07, 2.72438e-07, 2.94486e-07, 3.09657e-07, 1.48541e-06, 2.66011e-07, 2.51697e-07, 2.56612e-07, 2.57676e-07, 2.51094e-07, 4.27876e-07, 2.51097e-07, 5.42502e-06, 2.51094e-07, 2.51094e-07, 2.55275e-07
0.592077, 0, 1.29557e-05, 5.22044e-07, 1.41421, -1.29557e-05, 6.14007e-07, 5.22044e-07, 5.22056e-07, 5.22187e-07, 5.22532e-07, 2.76315e-06, 5.81057e-07, 5.66456e-07, 6.21297e-07, 6.43897e-07, 3.09029e-06, 5.42033e-07, 5.23298e-07, 5.33525e-07, 5.32132e-07, 5.22044e-07, 7.91086e-07, 5.2205e-07, 7.40868e-06, 5.22044e-07, 5.22044e-07, 5.30745e-07
