   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_249.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0321492, 498, 0, 0, 22.3607, 498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0242643, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0163794, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0084945, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000609578, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00727534, 0, 1.82189e-24, 0, 1.41421, -1.82189e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.41454e-26, 0, 0, 1.25119e-27, 0, 1.75649e-24, 0, 0, 0
0.0151603, 0, 5.23665e-24, 0, 1.41421, -5.23665e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84368e-25, 0, 0, 3.72004e-27, 0, 5.04856e-24, 0, 0, 0
0.0230452, 0, 1.46149e-23, 0, 1.41421, -1.46149e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1454e-25, 0, 0, 1.07023e-26, 0, 1.40896e-23, 0, 0, 0
0.0309301, 0, 3.97217e-23, 0, 1.41421, -3.97217e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39844e-24, 0, 0, 2.99038e-26, 0, 3.82934e-23, 0, 0, 0
0.038815, 0, 1.05383e-22, 0, 1.41421, -1.05383e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71004e-24, 0, 0, 8.13884e-26, 0, 1.01592e-22, 0, 0, 0
0.0466999, 0, 2.7344e-22, 0, 1.41421, -2.7344e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.62633e-24, 0, 0, 2.16272e-25, 0, 2.63598e-22, 0, 0, 0
0.0545848, 0, 6.95014e-22, 0, 1.41421, -6.95014e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44672e-23, 0, 0, 5.62174e-25, 0, 6.69985e-22, 0, 0, 0
0.0624698, 0, 1.73282e-21, 0, 1.41421, -1.73282e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10009e-23, 0, 0, 1.43179e-24, 0, 1.67039e-21, 0, 0, 0
0.0703547, 0, 4.24265e-21, 0, 1.41421, -4.24265e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49353e-22, 0, 0, 3.57775e-24, 0, 4.08972e-21, 0, 0, 0
0.0782396, 0, 1.02112e-20, 0, 1.41421, -1.02112e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59457e-22, 0, 0, 8.78149e-24, 0, 9.843e-21, 0, 0, 0
0.0861245, 0, 2.41798e-20, 0, 1.41421, -2.41798e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.51165e-22, 0, 0, 2.11928e-23, 0, 2.33074e-20, 0, 0, 0
0.0940094, 0, 5.63745e-20, 0, 1.41421, -5.63745e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98443e-21, 0, 0, 5.03322e-23, 0, 5.43397e-20, 0, 0, 0
0.101894, 0, 1.29498e-19, 0, 1.41421, -1.29498e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.55836e-21, 0, 0, 1.17727e-22, 0, 1.24822e-19, 0, 0, 0
0.109779, 0, 2.93252e-19, 0, 1.41421, -2.93252e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03224e-20, 0, 0, 2.71377e-22, 0, 2.82659e-19, 0, 0, 0
0.117664, 0, 6.55011e-19, 0, 1.41421, -6.55011e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30559e-20, 0, 0, 6.16871e-22, 0, 6.31338e-19, 0, 0, 0
0.125549, 0, 1.44374e-18, 0, 1.41421, -1.44374e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08175e-20, 0, 0, 1.3835e-21, 0, 1.39154e-18, 0, 0, 0
0.133434, 0, 3.14152e-18, 0, 1.41421, -3.14152e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10575e-19, 0, 0, 3.06291e-21, 0, 3.02789e-18, 0, 0, 0
0.141319, 0, 6.75097e-18, 0, 1.41421, -6.75097e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37617e-19, 0, 0, 6.69653e-21, 0, 6.50665e-18, 0, 0, 0
