   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_290.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0476851, 0, 2.52485e-22, 0, 1.41421, -2.52485e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03311e-24, 0, 8.49498e-27, 0, 0, 2.49443e-22, 0, 0, 0
0.0555668, 0, 6.44358e-22, 0, 1.41421, -6.44358e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74068e-24, 0, 2.19654e-26, 0, 0, 6.36595e-22, 0, 0, 0
0.0634485, 0, 1.61294e-21, 0, 1.41421, -1.61294e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93763e-23, 0, 5.57158e-26, 0, 0, 1.59351e-21, 0, 0, 0
0.0713302, 0, 3.96473e-21, 0, 1.41421, -3.96473e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.76283e-23, 0, 1.38799e-25, 0, 0, 3.91696e-21, 0, 0, 0
0.079212, 0, 9.57944e-21, 0, 1.41421, -9.57944e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15078e-22, 0, 3.39937e-25, 0, 0, 9.46402e-21, 0, 0, 0
0.0870937, 0, 2.27706e-20, 0, 1.41421, -2.27706e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73542e-22, 0, 8.19206e-25, 0, 0, 2.24962e-20, 0, 0, 0
0.0949754, 0, 5.32895e-20, 0, 1.41421, -5.32895e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.40166e-22, 0, 1.94403e-24, 0, 0, 5.26474e-20, 0, 0, 0
0.102857, 0, 1.22867e-19, 0, 1.41421, -1.22867e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47599e-21, 0, 4.54589e-24, 0, 0, 1.21386e-19, 0, 0, 0
0.110739, 0, 2.79257e-19, 0, 1.41421, -2.79257e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3547e-21, 0, 1.0481e-23, 0, 0, 2.75892e-19, 0, 0, 0
0.118621, 0, 6.26008e-19, 0, 1.41421, -6.26008e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.52021e-21, 0, 2.38391e-23, 0, 0, 6.18464e-19, 0, 0, 0
