   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_294.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0313242, 588, 0, 0, 24.2899, 588, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.023441, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0155578, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0076746, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000208615, 0, 8.71645e-25, 0, 1.41421, -8.71645e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16029e-28, 0, 8.71129e-25, 0, 0, 0
0.00809182, 0, 2.52521e-24, 0, 1.41421, -2.52521e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55194e-27, 0, 2.52366e-24, 0, 0, 0
0.015975, 0, 7.07956e-24, 0, 1.41421, -7.07956e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49668e-27, 0, 7.07506e-24, 0, 0, 0
0.0238582, 0, 1.92796e-23, 0, 1.41421, -1.92796e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26134e-26, 0, 1.9267e-23, 0, 0, 0
0.0317415, 0, 5.11501e-23, 0, 1.41421, -5.11501e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43791e-26, 0, 5.11158e-23, 0, 0, 0
0.0396247, 0, 1.32517e-22, 0, 1.41421, -1.32517e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.13141e-26, 0, 1.32426e-22, 0, 0, 0
0.0475079, 0, 3.35897e-22, 0, 1.41421, -3.35897e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36902e-25, 0, 3.3566e-22, 0, 0, 0
