   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_103.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.163734, 0, 3.07113e-15, 0, 1.41421, -3.07113e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33097e-17, 0, 0, 1.11597e-19, 2.31897e-19, 0, 3.05748e-15, 0, 0, 0
0.171629, 0, 5.7818e-15, 0, 1.41421, -5.7818e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50572e-17, 0, 0, 2.13906e-19, 4.45518e-19, 0, 5.75609e-15, 0, 0, 0
0.179525, 0, 1.07872e-14, 0, 1.41421, -1.07872e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67493e-17, 0, 0, 4.06466e-19, 8.4869e-19, 0, 1.07392e-14, 0, 0, 0
0.18742, 0, 1.99471e-14, 0, 1.41421, -1.99471e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.64463e-17, 0, 0, 7.6579e-19, 1.60331e-18, 0, 1.98583e-14, 0, 0, 0
0.195316, 0, 3.65619e-14, 0, 1.41421, -3.65619e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5845e-16, 0, 0, 1.43069e-18, 3.00427e-18, 0, 3.6399e-14, 0, 0, 0
0.203211, 0, 6.64347e-14, 0, 1.41421, -6.64347e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8791e-16, 0, 0, 2.65086e-18, 5.58438e-18, 0, 6.61385e-14, 0, 0, 0
0.211106, 0, 1.19679e-13, 0, 1.41421, -1.19679e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18654e-16, 0, 0, 4.87171e-18, 1.02988e-17, 0, 1.19145e-13, 0, 0, 0
0.219002, 0, 2.13762e-13, 0, 1.41421, -2.13762e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.26384e-16, 0, 0, 8.88145e-18, 1.88465e-17, 0, 2.12808e-13, 0, 0, 0
0.226897, 0, 3.78591e-13, 0, 1.41421, -3.78591e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6407e-15, 0, 0, 1.60637e-17, 3.42266e-17, 0, 3.769e-13, 0, 0, 0
0.234792, 0, 6.64915e-13, 0, 1.41421, -6.64915e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88156e-15, 0, 0, 2.88285e-17, 6.16941e-17, 0, 6.61943e-13, 0, 0, 0
0.242688, 0, 1.1581e-12, 0, 1.41421, -1.1581e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.01891e-15, 0, 0, 5.13415e-17, 1.10393e-16, 0, 1.15292e-12, 0, 0, 0
0.250583, 0, 2.0005e-12, 0, 1.41421, -2.0005e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.66978e-15, 0, 0, 9.07507e-17, 1.96116e-16, 0, 1.99154e-12, 0, 0, 0
0.258478, 0, 3.42743e-12, 0, 1.41421, -3.42743e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48541e-14, 0, 0, 1.59232e-16, 3.45951e-16, 0, 3.41207e-12, 0, 0, 0
