   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_205.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0312416, 410, 0, 0, 20.2978, 410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0233572, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0154728, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00758838, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000296016, 0, 6.76158e-26, 0, 1.41421, -6.76158e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81165e-27, 0, 0, 1.39095e-29, 0, 6.57902e-26, 0, 0, 0
0.00818041, 0, 2.30352e-25, 0, 1.41421, -2.30352e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1718e-27, 0, 0, 5.05873e-29, 0, 2.24129e-25, 0, 0, 0
0.0160648, 0, 7.42728e-25, 0, 1.41421, -7.42728e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98996e-26, 0, 0, 1.71851e-28, 0, 7.22656e-25, 0, 0, 0
0.0239492, 0, 2.28859e-24, 0, 1.41421, -2.28859e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.13167e-26, 0, 0, 5.53167e-28, 0, 2.22672e-24, 0, 0, 0
0.0318336, 0, 6.78502e-24, 0, 1.41421, -6.78502e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81785e-25, 0, 0, 1.70285e-27, 0, 6.60154e-24, 0, 0, 0
0.039718, 0, 1.9451e-23, 0, 1.41421, -1.9451e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.21129e-25, 0, 0, 5.04623e-27, 0, 1.89248e-23, 0, 0, 0
0.0476024, 0, 5.44449e-23, 0, 1.41421, -5.44449e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45867e-24, 0, 0, 1.45905e-26, 0, 5.29716e-23, 0, 0, 0
0.0554868, 0, 1.48092e-22, 0, 1.41421, -1.48092e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9676e-24, 0, 0, 4.0848e-26, 0, 1.44084e-22, 0, 0, 0
0.0633711, 0, 3.92583e-22, 0, 1.41421, -3.92583e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05178e-23, 0, 0, 1.11154e-25, 0, 3.81954e-22, 0, 0, 0
0.0712555, 0, 1.09766e-21, 0, 1.41421, -1.09766e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94073e-23, 0, 0, 3.22239e-25, 0, 1.06793e-21, 0, 0, 0
0.0791399, 0, 2.75616e-21, 0, 1.41421, -2.75616e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.38398e-23, 0, 0, 8.26361e-25, 0, 2.6815e-21, 0, 0, 0
0.0870243, 0, 6.79121e-21, 0, 1.41421, -6.79121e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81941e-22, 0, 0, 2.07735e-24, 0, 6.60719e-21, 0, 0, 0
0.0949087, 0, 1.64381e-20, 0, 1.41421, -1.64381e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40383e-22, 0, 0, 5.12557e-24, 0, 1.59925e-20, 0, 0, 0
0.102793, 0, 3.91212e-20, 0, 1.41421, -3.91212e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04807e-21, 0, 0, 1.2426e-23, 0, 3.80607e-20, 0, 0, 0
0.110677, 0, 9.16168e-20, 0, 1.41421, -9.16168e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45443e-21, 0, 0, 2.96267e-23, 0, 8.91327e-20, 0, 0, 0
0.118562, 0, 2.11273e-19, 0, 1.41421, -2.11273e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66001e-21, 0, 0, 6.95268e-23, 0, 2.05544e-19, 0, 0, 0
0.126446, 0, 4.80054e-19, 0, 1.41421, -4.80054e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28606e-20, 0, 0, 1.60714e-22, 0, 4.67033e-19, 0, 0, 0
0.134331, 0, 1.07536e-18, 0, 1.41421, -1.07536e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88087e-20, 0, 0, 3.66157e-22, 0, 1.04619e-18, 0, 0, 0
0.142215, 0, 2.37605e-18, 0, 1.41421, -2.37605e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.36534e-20, 0, 0, 8.22715e-22, 0, 2.31158e-18, 0, 0, 0
0.150099, 0, 5.18071e-18, 0, 1.41421, -5.18071e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38788e-19, 0, 0, 1.82401e-21, 0, 5.0401e-18, 0, 0, 0
0.157984, 0, 1.11514e-17, 0, 1.41421, -1.11514e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98739e-19, 0, 0, 3.99217e-21, 0, 1.08487e-17, 0, 0, 0
0.165868, 0, 2.37052e-17, 0, 1.41421, -2.37052e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35041e-19, 0, 0, 8.62948e-21, 0, 2.30616e-17, 0, 0, 0
0.173753, 0, 4.97823e-17, 0, 1.41421, -4.97823e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33361e-18, 0, 0, 1.84301e-20, 0, 4.84303e-17, 0, 0, 0
0.181637, 0, 1.03313e-16, 0, 1.41421, -1.03313e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76762e-18, 0, 0, 3.89037e-20, 0, 1.00506e-16, 0, 0, 0
0.189521, 0, 2.11935e-16, 0, 1.41421, -2.11935e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67743e-18, 0, 0, 8.11941e-20, 0, 2.06177e-16, 0, 0, 0
0.197406, 0, 4.29861e-16, 0, 1.41421, -4.29861e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15153e-17, 0, 0, 1.67593e-19, 0, 4.18178e-16, 0, 0, 0
0.20529, 0, 8.62247e-16, 0, 1.41421, -8.62247e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30979e-17, 0, 0, 3.42225e-19, 0, 8.38806e-16, 0, 0, 0
0.213175, 0, 1.71079e-15, 0, 1.41421, -1.71079e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58284e-17, 0, 0, 6.91511e-19, 0, 1.66427e-15, 0, 0, 0
0.221059, 0, 3.35822e-15, 0, 1.41421, -3.35822e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99584e-17, 0, 0, 1.38301e-18, 0, 3.26688e-15, 0, 0, 0
0.228943, 0, 6.52285e-15, 0, 1.41421, -6.52285e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74729e-16, 0, 0, 2.73831e-18, 0, 6.34539e-15, 0, 0, 0
0.236828, 0, 1.25387e-14, 0, 1.41421, -1.25387e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35872e-16, 0, 0, 5.36867e-18, 0, 1.21974e-14, 0, 0, 0
0.244712, 0, 2.38564e-14, 0, 1.41421, -2.38564e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39031e-16, 0, 0, 1.04246e-17, 0, 2.32069e-14, 0, 0, 0
0.252597, 0, 4.49323e-14, 0, 1.41421, -4.49323e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20357e-15, 0, 0, 2.00514e-17, 0, 4.37087e-14, 0, 0, 0
0.260481, 0, 8.37837e-14, 0, 1.41421, -8.37837e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24423e-15, 0, 0, 3.8212e-17, 0, 8.15013e-14, 0, 0, 0
0.268365, 0, 1.54686e-13, 0, 1.41421, -1.54686e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14337e-15, 0, 0, 7.21597e-17, 0, 1.50471e-13, 0, 0, 0
0.27625, 0, 2.828e-13, 0, 1.41421, -2.828e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57491e-15, 0, 0, 1.35054e-16, 0, 2.7509e-13, 0, 0, 0
0.284134, 0, 5.1201e-13, 0, 1.41421, -5.1201e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37143e-14, 0, 0, 2.50557e-16, 0, 4.98046e-13, 0, 0, 0
0.292019, 0, 9.18098e-13, 0, 1.41421, -9.18098e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45915e-14, 0, 0, 4.60898e-16, 0, 8.93046e-13, 0, 0, 0
0.299903, 0, 1.63058e-12, 0, 1.41421, -1.63058e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36758e-14, 0, 0, 8.40744e-16, 0, 1.58606e-12, 0, 0, 0
0.307787, 0, 2.86859e-12, 0, 1.41421, -2.86859e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.68378e-14, 0, 0, 1.52115e-15, 0, 2.79023e-12, 0, 0, 0
0.315672, 0, 4.9992e-12, 0, 1.41421, -4.9992e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33913e-13, 0, 0, 2.73038e-15, 0, 4.86256e-12, 0, 0, 0
0.323556, 0, 8.63557e-12, 0, 1.41421, -8.63557e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31335e-13, 0, 0, 4.87203e-15, 0, 8.39937e-12, 0, 0, 0
0.33144, 0, 1.47699e-11, 7.70714e-44, 1.41421, -1.47699e-11, 0, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 3.95697e-13, 7.70714e-44, 7.70714e-44, 8.61278e-15, 7.70714e-44, 1.43656e-11, 7.70714e-44, 7.70714e-44, 7.70714e-44
0.339325, 0, 2.50298e-11, 1.37187e-42, 1.41421, -2.50298e-11, 0, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 6.70643e-13, 1.37187e-42, 1.37187e-42, 1.51176e-14, 1.37187e-42, 2.4344e-11, 1.37187e-42, 1.37187e-42, 1.37187e-42
0.347209, 0, 4.20292e-11, 2.02025e-41, 1.41421, -4.20292e-11, 0, 2.02025e-41, 2.02025e-41, 2.02025e-41, 2.02025e-41, 2.02025e-41, 2.02025e-41, 2.02025e-41, 2.02025e-41, 2.02025e-41, 1.1263e-12, 2.02025e-41, 2.02025e-41, 2.63556e-14, 2.02025e-41, 4.08766e-11, 2.02025e-41, 2.02025e-41, 2.02025e-41
0.355094, 0, 6.9934e-11, 2.64138e-40, 1.41421, -6.9934e-11, 0, 2.64138e-40, 2.64138e-40, 2.64138e-40, 2.64138e-40, 2.64138e-40, 2.64138e-40, 2.64138e-40, 2.64138e-40, 2.64138e-40, 1.87449e-12, 2.64138e-40, 2.64138e-40, 4.56538e-14, 2.64138e-40, 6.80138e-11, 2.64138e-40, 2.64138e-40, 2.64138e-40
0.362978, 0, 1.15316e-10, 3.07868e-39, 1.41421, -1.15316e-10, 0, 3.07868e-39, 3.07868e-39, 3.07868e-39, 3.07868e-39, 3.07868e-39, 3.07868e-39, 3.07868e-39, 3.07868e-39, 3.07868e-39, 3.09175e-12, 3.07868e-39, 3.07868e-39, 7.86103e-14, 3.07868e-39, 1.12146e-10, 3.07868e-39, 3.07868e-39, 3.07868e-39
0.370862, 0, 1.88444e-10, 3.24151e-38, 1.41421, -1.88444e-10, 0, 3.24151e-38, 3.24151e-38, 3.24151e-38, 3.24151e-38, 3.24151e-38, 3.24151e-38, 3.24151e-38, 3.24151e-38, 3.24151e-38, 5.05421e-12, 3.24151e-38, 3.24151e-38, 1.34613e-13, 3.24151e-38, 1.83255e-10, 3.24151e-38, 3.24151e-38, 3.24151e-38
0.378747, 0, 3.05203e-10, 3.09665e-37, 1.41421, -3.05203e-10, 0, 3.09665e-37, 3.09665e-37, 3.09665e-37, 3.09665e-37, 3.09665e-37, 3.09665e-37, 3.09665e-37, 3.09665e-37, 3.09665e-37, 8.18959e-12, 3.09665e-37, 3.09665e-37, 2.29362e-13, 3.09665e-37, 2.96784e-10, 3.09665e-37, 3.09665e-37, 3.09665e-37
0.386631, 0, 4.8993e-10, 2.70695e-36, 1.41421, -4.8993e-10, 0, 2.70695e-36, 2.70695e-36, 2.70695e-36, 2.70695e-36, 2.70695e-36, 2.70695e-36, 2.70695e-36, 2.70695e-36, 2.70695e-36, 1.31542e-11, 2.70695e-36, 2.70695e-36, 3.8907e-13, 2.70695e-36, 4.76387e-10, 2.70695e-36, 2.70695e-36, 2.70695e-36
