   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_219.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.157163, 0, 7.71632e-17, 0, 1.41421, -7.71632e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79749e-19, 0, 0, 4.72364e-22, 6.9786e-21, 0, 7.6876e-17, 0, 0, 0
0.165048, 0, 1.60527e-16, 0, 1.41421, -1.60527e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.81978e-19, 0, 0, 9.9832e-22, 1.47737e-20, 0, 1.59929e-16, 0, 0, 0
0.172932, 0, 3.30172e-16, 0, 1.41421, -3.30172e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19701e-18, 0, 0, 2.08668e-21, 3.09274e-20, 0, 3.28942e-16, 0, 0, 0
0.180817, 0, 6.71556e-16, 0, 1.41421, -6.71556e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43466e-18, 0, 0, 4.31457e-21, 6.40402e-20, 0, 6.69053e-16, 0, 0, 0
0.188701, 0, 1.35104e-15, 0, 1.41421, -1.35104e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89806e-18, 0, 0, 8.82718e-21, 1.31203e-19, 0, 1.34601e-15, 0, 0, 0
0.196586, 0, 2.68896e-15, 0, 1.41421, -2.68896e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.74848e-18, 0, 0, 1.78728e-20, 2.66016e-19, 0, 2.67893e-15, 0, 0, 0
0.20447, 0, 5.29547e-15, 0, 1.41421, -5.29547e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9198e-17, 0, 0, 3.58206e-20, 5.3389e-19, 0, 5.2757e-15, 0, 0, 0
0.212355, 0, 1.03769e-14, 0, 1.41421, -1.03769e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76199e-17, 0, 0, 7.16258e-20, 1.06943e-18, 0, 1.03382e-14, 0, 0, 0
0.220239, 0, 2.00027e-14, 0, 1.41421, -2.00027e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.25162e-17, 0, 0, 1.40601e-19, 2.10253e-18, 0, 1.99279e-14, 0, 0, 0
0.228124, 0, 3.8172e-14, 0, 1.41421, -3.8172e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38385e-16, 0, 0, 2.73369e-19, 4.09466e-18, 0, 3.80292e-14, 0, 0, 0
0.236008, 0, 7.21258e-14, 0, 1.41421, -7.21258e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61476e-16, 0, 0, 5.26525e-19, 7.90046e-18, 0, 7.18559e-14, 0, 0, 0
0.243893, 0, 1.34949e-13, 0, 1.41421, -1.34949e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89226e-16, 0, 0, 1.00475e-18, 1.51048e-17, 0, 1.34444e-13, 0, 0, 0
0.251777, 0, 2.50052e-13, 0, 1.41421, -2.50052e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.065e-16, 0, 0, 1.89991e-18, 2.86207e-17, 0, 2.49115e-13, 0, 0, 0
0.259662, 0, 4.58889e-13, 0, 1.41421, -4.58889e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66358e-15, 0, 0, 3.56049e-18, 5.37542e-17, 0, 4.57168e-13, 0, 0, 0
0.267546, 0, 8.34147e-13, 0, 1.41421, -8.34147e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02398e-15, 0, 0, 6.61389e-18, 1.00088e-16, 0, 8.31016e-13, 0, 0, 0
0.275431, 0, 1.502e-12, 0, 1.41421, -1.502e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44512e-15, 0, 0, 1.218e-17, 1.84787e-16, 0, 1.49635e-12, 0, 0, 0
0.283315, 0, 2.67928e-12, 0, 1.41421, -2.67928e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.71318e-15, 0, 0, 2.22416e-17, 3.38335e-16, 0, 2.66921e-12, 0, 0, 0
0.2912, 0, 4.73504e-12, 0, 1.41421, -4.73504e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71662e-14, 0, 0, 4.02808e-17, 6.14446e-16, 0, 4.71722e-12, 0, 0, 0
0.299084, 0, 8.2911e-12, 0, 1.41421, -8.2911e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0059e-14, 0, 0, 7.23674e-17, 1.10703e-15, 0, 8.25986e-12, 0, 0, 0
0.306969, 0, 1.4385e-11, 0, 1.41421, -1.4385e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.21545e-14, 0, 0, 1.29007e-16, 1.97908e-15, 0, 1.43308e-11, 0, 0, 0
0.314853, 0, 2.47312e-11, 0, 1.41421, -2.47312e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96714e-14, 0, 0, 2.28264e-16, 3.51145e-15, 0, 2.46378e-11, 0, 0, 0
0.322738, 0, 4.21349e-11, 0, 1.41421, -4.21349e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52788e-13, 0, 0, 4.01015e-16, 6.18494e-15, 0, 4.19756e-11, 0, 0, 0
