   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_232.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0306257, 464, 0, 0, 21.587, 464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0227431, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0148605, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00697784, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000904791, 0, 7.26976e-25, 0, 1.41421, -7.26976e-25, 0, 0, 0, 0, 0, 0, 0, 0, 7.1251e-27, 0, 0, 0, 0, 7.19851e-25, 0, 0, 0
0.00878742, 0, 2.17011e-24, 0, 1.41421, -2.17011e-24, 0, 0, 0, 0, 0, 0, 0, 0, 2.12693e-26, 0, 0, 0, 0, 2.14884e-24, 0, 0, 0
0.01667, 0, 6.26634e-24, 0, 1.41421, -6.26634e-24, 0, 0, 0, 0, 0, 0, 0, 0, 6.14165e-26, 0, 0, 0, 0, 6.20493e-24, 0, 0, 0
0.0245527, 0, 1.75691e-23, 0, 1.41421, -1.75691e-23, 0, 0, 0, 0, 0, 0, 0, 0, 1.72195e-25, 0, 0, 0, 0, 1.73969e-23, 0, 0, 0
0.0324353, 0, 4.79698e-23, 0, 1.41421, -4.79698e-23, 0, 0, 0, 0, 0, 0, 0, 0, 4.70152e-25, 0, 0, 0, 0, 4.74996e-23, 0, 0, 0
0.0403179, 0, 1.27846e-22, 0, 1.41421, -1.27846e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.25302e-24, 0, 0, 0, 0, 1.26593e-22, 0, 0, 0
0.0482006, 0, 3.33231e-22, 0, 1.41421, -3.33231e-22, 0, 0, 0, 0, 0, 0, 0, 0, 3.266e-24, 0, 0, 0, 0, 3.29965e-22, 0, 0, 0
0.0560832, 0, 8.50814e-22, 0, 1.41421, -8.50814e-22, 0, 0, 0, 0, 0, 0, 0, 0, 8.33883e-24, 0, 0, 0, 0, 8.42475e-22, 0, 0, 0
0.0639658, 0, 2.13079e-21, 0, 1.41421, -2.13079e-21, 0, 0, 0, 0, 0, 0, 0, 0, 2.08839e-23, 0, 0, 0, 0, 2.10991e-21, 0, 0, 0
0.0718485, 0, 5.2404e-21, 0, 1.41421, -5.2404e-21, 0, 0, 0, 0, 0, 0, 0, 0, 5.13612e-23, 0, 0, 0, 0, 5.18904e-21, 0, 0, 0
0.0797311, 0, 1.26688e-20, 0, 1.41421, -1.26688e-20, 0, 0, 0, 0, 0, 0, 0, 0, 1.24167e-22, 0, 0, 0, 0, 1.25446e-20, 0, 0, 0
0.0876137, 0, 3.01318e-20, 0, 1.41421, -3.01318e-20, 0, 0, 0, 0, 0, 0, 0, 0, 2.95322e-22, 0, 0, 0, 0, 2.98365e-20, 0, 0, 0
0.0954963, 0, 7.05613e-20, 0, 1.41421, -7.05613e-20, 0, 0, 0, 0, 0, 0, 0, 0, 6.91572e-22, 0, 0, 0, 0, 6.98697e-20, 0, 0, 0
0.103379, 0, 1.62796e-19, 0, 1.41421, -1.62796e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.59556e-21, 0, 0, 0, 0, 1.612e-19, 0, 0, 0
0.111262, 0, 3.70263e-19, 0, 1.41421, -3.70263e-19, 0, 0, 0, 0, 0, 0, 0, 0, 3.62895e-21, 0, 0, 0, 0, 3.66634e-19, 0, 0, 0
0.119144, 0, 8.30609e-19, 0, 1.41421, -8.30609e-19, 0, 0, 0, 0, 0, 0, 0, 0, 8.1408e-21, 0, 0, 0, 0, 8.22468e-19, 0, 0, 0
0.127027, 0, 1.83866e-18, 0, 1.41421, -1.83866e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.80208e-20, 0, 0, 0, 0, 1.82064e-18, 0, 0, 0
0.134909, 0, 4.018e-18, 0, 1.41421, -4.018e-18, 0, 0, 0, 0, 0, 0, 0, 0, 3.93804e-20, 0, 0, 0, 0, 3.97862e-18, 0, 0, 0
0.142792, 0, 8.67121e-18, 0, 1.41421, -8.67121e-18, 0, 0, 0, 0, 0, 0, 0, 0, 8.49866e-20, 0, 0, 0, 0, 8.58622e-18, 0, 0, 0
0.150675, 0, 1.84867e-17, 0, 1.41421, -1.84867e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.81189e-19, 0, 0, 0, 0, 1.83056e-17, 0, 0, 0
0.158557, 0, 3.89479e-17, 0, 1.41421, -3.89479e-17, 0, 0, 0, 0, 0, 0, 0, 0, 3.81729e-19, 0, 0, 0, 0, 3.85662e-17, 0, 0, 0
0.16644, 0, 8.11096e-17, 0, 1.41421, -8.11096e-17, 0, 0, 0, 0, 0, 0, 0, 0, 7.94956e-19, 0, 0, 0, 0, 8.03146e-17, 0, 0, 0
0.174323, 0, 1.67007e-16, 0, 1.41421, -1.67007e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.63683e-18, 0, 0, 0, 0, 1.6537e-16, 0, 0, 0
0.182205, 0, 3.40069e-16, 0, 1.41421, -3.40069e-16, 0, 0, 0, 0, 0, 0, 0, 0, 3.33302e-18, 0, 0, 0, 0, 3.36736e-16, 0, 0, 0
0.190088, 0, 6.84959e-16, 0, 1.41421, -6.84959e-16, 0, 0, 0, 0, 0, 0, 0, 0, 6.71327e-18, 0, 0, 0, 0, 6.78245e-16, 0, 0, 0
0.197971, 0, 1.36493e-15, 0, 1.41421, -1.36493e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.33776e-17, 0, 0, 0, 0, 1.35155e-15, 0, 0, 0
0.205853, 0, 2.69139e-15, 0, 1.41421, -2.69139e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.63782e-17, 0, 0, 0, 0, 2.66501e-15, 0, 0, 0
0.213736, 0, 5.25214e-15, 0, 1.41421, -5.25214e-15, 0, 0, 0, 0, 0, 0, 0, 0, 5.14759e-17, 0, 0, 0, 0, 5.20067e-15, 0, 0, 0
0.221618, 0, 1.01935e-14, 0, 1.41421, -1.01935e-14, 0, 0, 0, 0, 0, 0, 0, 0, 9.99055e-17, 0, 0, 0, 0, 1.00936e-14, 0, 0, 0
0.229501, 0, 1.94794e-14, 0, 1.41421, -1.94794e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.90915e-16, 0, 0, 0, 0, 1.92885e-14, 0, 0, 0
0.237384, 0, 3.6858e-14, 0, 1.41421, -3.6858e-14, 0, 0, 0, 0, 0, 0, 0, 0, 3.61239e-16, 0, 0, 0, 0, 3.64967e-14, 0, 0, 0
0.245266, 0, 6.90616e-14, 0, 1.41421, -6.90616e-14, 0, 0, 0, 0, 0, 0, 0, 0, 6.7686e-16, 0, 0, 0, 0, 6.83847e-14, 0, 0, 0
0.253149, 0, 1.28155e-13, 0, 1.41421, -1.28155e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.25603e-15, 0, 0, 0, 0, 1.26899e-13, 0, 0, 0
0.261032, 0, 2.35542e-13, 0, 1.41421, -2.35542e-13, 0, 0, 0, 0, 0, 0, 0, 0, 2.3085e-15, 0, 0, 0, 0, 2.33233e-13, 0, 0, 0
0.268914, 0, 4.28813e-13, 0, 1.41421, -4.28813e-13, 0, 0, 0, 0, 0, 0, 0, 0, 4.20273e-15, 0, 0, 0, 0, 4.24611e-13, 0, 0, 0
0.276797, 0, 7.73342e-13, 0, 1.41421, -7.73342e-13, 0, 0, 0, 0, 0, 0, 0, 0, 7.57945e-15, 0, 0, 0, 0, 7.65763e-13, 0, 0, 0
0.284679, 0, 1.38169e-12, 0, 1.41421, -1.38169e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.35419e-14, 0, 0, 0, 0, 1.36814e-12, 0, 0, 0
0.292562, 0, 2.44576e-12, 0, 1.41421, -2.44576e-12, 0, 0, 0, 0, 0, 0, 0, 0, 2.39714e-14, 0, 0, 0, 0, 2.42179e-12, 0, 0, 0
0.300445, 0, 4.28953e-12, 0, 1.41421, -4.28953e-12, 0, 0, 0, 0, 0, 0, 0, 0, 4.20439e-14, 0, 0, 0, 0, 4.24749e-12, 0, 0, 0
0.308327, 0, 7.45459e-12, 0, 1.41421, -7.45459e-12, 0, 0, 0, 0, 0, 0, 0, 0, 7.30697e-14, 0, 0, 0, 0, 7.38152e-12, 0, 0, 0
0.31621, 0, 1.28376e-11, 0, 1.41421, -1.28376e-11, 0, 0, 0, 0, 0, 0, 0, 0, 1.25842e-13, 0, 0, 0, 0, 1.27118e-11, 0, 0, 0
0.324093, 0, 2.19085e-11, 0, 1.41421, -2.19085e-11, 0, 0, 0, 0, 0, 0, 0, 0, 2.14779e-13, 0, 0, 0, 0, 2.16937e-11, 0, 0, 0
0.331975, 0, 3.7054e-11, 1.97583e-43, 1.41421, -3.7054e-11, 0, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 3.63301e-13, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 3.66907e-11, 1.97583e-43, 1.97583e-43, 1.97583e-43
