   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_156.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0281369, 312, 0, 0, 17.72, 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0202553, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0123737, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00449215, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00338942, 0, 1.79317e-21, 0, 1.41421, -1.79317e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27138e-26, 8.72628e-26, 0, 1.79305e-21, 0, 0, 0
0.011271, 0, 4.19174e-21, 0, 1.41421, -4.19174e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.72966e-26, 2.08774e-25, 0, 4.19146e-21, 0, 0, 0
0.0191526, 0, 9.6449e-21, 0, 1.41421, -9.6449e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79808e-25, 4.91164e-25, 0, 9.64422e-21, 0, 0, 0
0.0270341, 0, 2.18751e-20, 0, 1.41421, -2.18751e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12531e-25, 1.13867e-24, 0, 2.18735e-20, 0, 0, 0
0.0349157, 0, 4.89066e-20, 0, 1.41421, -4.89066e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33134e-25, 2.6002e-24, 0, 4.8903e-20, 0, 0, 0
0.0427973, 0, 1.07855e-19, 0, 1.41421, -1.07855e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08241e-24, 5.85336e-24, 0, 1.07847e-19, 0, 0, 0
