   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_182.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0310977, 364, 0, 0, 19.1311, 364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0232129, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.015328, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00744314, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000441722, 0, 4.69255e-26, 0, 1.41421, -4.69255e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64366e-28, 0, 0, 0, 4.63611e-26, 0, 0, 0
0.00832658, 0, 1.58887e-25, 0, 1.41421, -1.58887e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9109e-27, 0, 0, 0, 1.56976e-25, 0, 0, 0
0.0162114, 0, 5.09251e-25, 0, 1.41421, -5.09251e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.12467e-27, 0, 0, 0, 5.03126e-25, 0, 0, 0
0.0240963, 0, 1.56003e-24, 0, 1.41421, -1.56003e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87622e-26, 0, 0, 0, 1.54126e-24, 0, 0, 0
0.0319812, 0, 4.65074e-24, 0, 1.41421, -4.65074e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.59337e-26, 0, 0, 0, 4.59481e-24, 0, 0, 0
0.039866, 0, 1.33545e-23, 0, 1.41421, -1.33545e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60613e-25, 0, 0, 0, 1.31939e-23, 0, 0, 0
0.0477509, 0, 4.16116e-23, 0, 1.41421, -4.16116e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00457e-25, 0, 0, 0, 4.11112e-23, 0, 0, 0
0.0556358, 0, 1.10814e-22, 0, 1.41421, -1.10814e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33274e-24, 0, 0, 0, 1.09481e-22, 0, 0, 0
0.0635206, 0, 2.88301e-22, 0, 1.41421, -2.88301e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46735e-24, 0, 0, 0, 2.84833e-22, 0, 0, 0
0.0714055, 0, 7.34091e-22, 0, 1.41421, -7.34091e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.82879e-24, 0, 0, 0, 7.25262e-22, 0, 0, 0
0.0792904, 0, 1.83211e-21, 0, 1.41421, -1.83211e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20345e-23, 0, 0, 0, 1.81008e-21, 0, 0, 0
0.0871752, 0, 4.48742e-21, 0, 1.41421, -4.48742e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39694e-23, 0, 0, 0, 4.43345e-21, 0, 0, 0
0.0950601, 0, 1.07981e-20, 0, 1.41421, -1.07981e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29867e-22, 0, 0, 0, 1.06682e-20, 0, 0, 0
0.102945, 0, 2.55509e-20, 0, 1.41421, -2.55509e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07297e-22, 0, 0, 0, 2.52437e-20, 0, 0, 0
0.11083, 0, 5.95014e-20, 0, 1.41421, -5.95014e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15614e-22, 0, 0, 0, 5.87858e-20, 0, 0, 0
0.118715, 0, 1.36465e-19, 0, 1.41421, -1.36465e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64125e-21, 0, 0, 0, 1.34824e-19, 0, 0, 0
0.1266, 0, 3.08437e-19, 0, 1.41421, -3.08437e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70952e-21, 0, 0, 0, 3.04727e-19, 0, 0, 0
0.134484, 0, 6.87395e-19, 0, 1.41421, -6.87395e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.26719e-21, 0, 0, 0, 6.79128e-19, 0, 0, 0
0.142369, 0, 1.51134e-18, 0, 1.41421, -1.51134e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81766e-20, 0, 0, 0, 1.49316e-18, 0, 0, 0
0.150254, 0, 3.27968e-18, 0, 1.41421, -3.27968e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94442e-20, 0, 0, 0, 3.24024e-18, 0, 0, 0
0.158139, 0, 7.02735e-18, 0, 1.41421, -7.02735e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.45168e-20, 0, 0, 0, 6.94283e-18, 0, 0, 0
0.166024, 0, 1.48731e-17, 0, 1.41421, -1.48731e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78876e-19, 0, 0, 0, 1.46942e-17, 0, 0, 0
0.173909, 0, 3.11031e-17, 0, 1.41421, -3.11031e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74072e-19, 0, 0, 0, 3.0729e-17, 0, 0, 0
0.181794, 0, 6.42876e-17, 0, 1.41421, -6.42876e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.73176e-19, 0, 0, 0, 6.35144e-17, 0, 0, 0
0.189678, 0, 1.31368e-16, 0, 1.41421, -1.31368e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57994e-18, 0, 0, 0, 1.29788e-16, 0, 0, 0
0.197563, 0, 2.65454e-16, 0, 1.41421, -2.65454e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19257e-18, 0, 0, 0, 2.62262e-16, 0, 0, 0
0.205448, 0, 5.30551e-16, 0, 1.41421, -5.30551e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38081e-18, 0, 0, 0, 5.2417e-16, 0, 0, 0
0.213333, 0, 1.04901e-15, 0, 1.41421, -1.04901e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26162e-17, 0, 0, 0, 1.0364e-15, 0, 0, 0
0.221218, 0, 2.05226e-15, 0, 1.41421, -2.05226e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46819e-17, 0, 0, 0, 2.02758e-15, 0, 0, 0
0.229103, 0, 3.97325e-15, 0, 1.41421, -3.97325e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7785e-17, 0, 0, 0, 3.92547e-15, 0, 0, 0
0.236988, 0, 7.61358e-15, 0, 1.41421, -7.61358e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.15657e-17, 0, 0, 0, 7.52201e-15, 0, 0, 0
0.244872, 0, 1.44416e-14, 0, 1.41421, -1.44416e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73683e-16, 0, 0, 0, 1.42679e-14, 0, 0, 0
0.252757, 0, 2.71193e-14, 0, 1.41421, -2.71193e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26152e-16, 0, 0, 0, 2.67932e-14, 0, 0, 0
0.260642, 0, 5.04228e-14, 0, 1.41421, -5.04228e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06412e-16, 0, 0, 0, 4.98164e-14, 0, 0, 0
0.268527, 0, 9.28332e-14, 0, 1.41421, -9.28332e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11646e-15, 0, 0, 0, 9.17168e-14, 0, 0, 0
0.276412, 0, 1.69259e-13, 0, 1.41421, -1.69259e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0356e-15, 0, 0, 0, 1.67223e-13, 0, 0, 0
0.284297, 0, 3.05635e-13, 0, 1.41421, -3.05635e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67576e-15, 0, 0, 0, 3.01959e-13, 0, 0, 0
0.292182, 0, 5.46638e-13, 0, 1.41421, -5.46638e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.57431e-15, 0, 0, 0, 5.40064e-13, 0, 0, 0
0.300067, 0, 9.68439e-13, 0, 1.41421, -9.68439e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16475e-14, 0, 0, 0, 9.56792e-13, 0, 0, 0
0.307951, 0, 1.7009e-12, 0, 1.41421, -1.7009e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04578e-14, 0, 0, 0, 1.68045e-12, 0, 0, 0
0.315836, 0, 2.95692e-12, 0, 1.41421, -2.95692e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55666e-14, 0, 0, 0, 2.92136e-12, 0, 0, 0
0.323721, 0, 5.09294e-12, 0, 1.41421, -5.09294e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.12638e-14, 0, 0, 0, 5.03168e-12, 0, 0, 0
0.331606, 0, 8.69154e-12, 9.24857e-44, 1.41421, -8.69154e-12, 0, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 1.04563e-13, 9.24857e-44, 9.24857e-44, 9.24857e-44, 8.58697e-12, 9.24857e-44, 9.24857e-44, 9.24857e-44
0.339491, 0, 1.46976e-11, 1.65213e-42, 1.41421, -1.46976e-11, 0, 1.65213e-42, 1.65213e-42, 1.65213e-42, 1.65213e-42, 1.65213e-42, 1.65213e-42, 1.65213e-42, 1.65213e-42, 1.65213e-42, 1.76842e-13, 1.65213e-42, 1.65213e-42, 1.65213e-42, 1.45207e-11, 1.65213e-42, 1.65213e-42, 1.65213e-42
0.347376, 0, 2.46284e-11, 2.43237e-41, 1.41421, -2.46284e-11, 0, 2.43237e-41, 2.43237e-41, 2.43237e-41, 2.43237e-41, 2.43237e-41, 2.43237e-41, 2.43237e-41, 2.43237e-41, 2.43237e-41, 2.96386e-13, 2.43237e-41, 2.43237e-41, 2.43237e-41, 2.4332e-11, 2.43237e-41, 2.43237e-41, 2.43237e-41
