   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_173.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.188518, 0, 7.81666e-16, 0, 1.41421, -7.81666e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23447e-19, 0, 4.19585e-21, 0, 0, 7.81039e-16, 0, 0, 0
0.196405, 0, 1.60157e-15, 0, 1.41421, -1.60157e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27739e-18, 0, 8.73961e-21, 0, 0, 1.60028e-15, 0, 0, 0
0.204291, 0, 3.24445e-15, 0, 1.41421, -3.24445e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58773e-18, 0, 1.80049e-20, 0, 0, 3.24185e-15, 0, 0, 0
0.212178, 0, 6.49975e-15, 0, 1.41421, -6.49975e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18409e-18, 0, 3.66952e-20, 0, 0, 6.49453e-15, 0, 0, 0
0.220064, 0, 1.28792e-14, 0, 1.41421, -1.28792e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02722e-17, 0, 7.40001e-20, 0, 0, 1.28689e-14, 0, 0, 0
0.227951, 0, 2.52461e-14, 0, 1.41421, -2.52461e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01357e-17, 0, 1.47687e-19, 0, 0, 2.52258e-14, 0, 0, 0
0.235837, 0, 4.89641e-14, 0, 1.41421, -4.89641e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.90526e-17, 0, 2.91756e-19, 0, 0, 4.89248e-14, 0, 0, 0
0.243724, 0, 9.39731e-14, 0, 1.41421, -9.39731e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49503e-17, 0, 5.70631e-19, 0, 0, 9.38976e-14, 0, 0, 0
0.25161, 0, 1.78496e-13, 0, 1.41421, -1.78496e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42363e-16, 0, 1.10516e-18, 0, 0, 1.78353e-13, 0, 0, 0
0.259497, 0, 3.35591e-13, 0, 1.41421, -3.35591e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67656e-16, 0, 2.11983e-18, 0, 0, 3.35321e-13, 0, 0, 0
0.267383, 0, 6.24588e-13, 0, 1.41421, -6.24588e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9815e-16, 0, 4.02776e-18, 0, 0, 6.24086e-13, 0, 0, 0
0.27527, 0, 1.15087e-12, 0, 1.41421, -1.15087e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.17897e-16, 0, 7.58213e-18, 0, 0, 1.14995e-12, 0, 0, 0
0.283156, 0, 2.09968e-12, 0, 1.41421, -2.09968e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67464e-15, 0, 1.41438e-17, 0, 0, 2.09799e-12, 0, 0, 0
0.291043, 0, 3.79325e-12, 0, 1.41421, -3.79325e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02541e-15, 0, 2.61506e-17, 0, 0, 3.7902e-12, 0, 0, 0
0.29893, 0, 6.78641e-12, 0, 1.41421, -6.78641e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41277e-15, 0, 4.79331e-17, 0, 0, 6.78094e-12, 0, 0, 0
