   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_7.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0339572, 14, 0, 0, 4, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0260316, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0181061, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0101805, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00225493, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00567063, 0, 2.87265e-21, 0, 1.41421, -2.87265e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30813e-23, 0, 0, 3.75262e-26, 0, 0, 2.84953e-21, 0, 0, 0
0.0135962, 0, 6.81966e-21, 0, 1.41421, -6.81966e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47949e-23, 0, 0, 8.99816e-26, 0, 0, 6.76477e-21, 0, 0, 0
0.0215218, 0, 1.59282e-20, 0, 1.41421, -1.59282e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2798e-22, 0, 0, 2.12323e-25, 0, 0, 1.58e-20, 0, 0, 0
0.0294473, 0, 3.66318e-20, 0, 1.41421, -3.66318e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94331e-22, 0, 0, 4.93437e-25, 0, 0, 3.63369e-20, 0, 0, 0
0.0373729, 0, 8.30158e-20, 0, 1.41421, -8.30158e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.67019e-22, 0, 0, 1.13027e-24, 0, 0, 8.23477e-20, 0, 0, 0
0.0452984, 0, 1.85506e-19, 0, 1.41421, -1.85506e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49051e-21, 0, 0, 2.55347e-24, 0, 0, 1.84013e-19, 0, 0, 0
0.053224, 0, 4.08979e-19, 0, 1.41421, -4.08979e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28608e-21, 0, 0, 5.69289e-24, 0, 0, 4.05687e-19, 0, 0, 0
0.0611496, 0, 8.90043e-19, 0, 1.41421, -8.90043e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15135e-21, 0, 0, 1.25318e-23, 0, 0, 8.82879e-19, 0, 0, 0
0.0690751, 0, 1.91289e-18, 0, 1.41421, -1.91289e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53697e-20, 0, 0, 2.72507e-23, 0, 0, 1.89749e-18, 0, 0, 0
0.0770007, 0, 4.06174e-18, 0, 1.41421, -4.06174e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26355e-20, 0, 0, 5.85604e-23, 0, 0, 4.02905e-18, 0, 0, 0
0.0849262, 0, 8.52401e-18, 0, 1.41421, -8.52401e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.84891e-20, 0, 0, 1.24411e-22, 0, 0, 8.4554e-18, 0, 0, 0
0.0928518, 0, 1.76859e-17, 0, 1.41421, -1.76859e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42103e-19, 0, 0, 2.61393e-22, 0, 0, 1.75436e-17, 0, 0, 0
0.100777, 0, 3.62908e-17, 0, 1.41421, -3.62908e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9159e-19, 0, 0, 5.43302e-22, 0, 0, 3.59987e-17, 0, 0, 0
0.108703, 0, 7.36662e-17, 0, 1.41421, -7.36662e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.91896e-19, 0, 0, 1.11745e-21, 0, 0, 7.30732e-17, 0, 0, 0
0.116628, 0, 1.47963e-16, 0, 1.41421, -1.47963e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18886e-18, 0, 0, 2.27491e-21, 0, 0, 1.46772e-16, 0, 0, 0
0.124554, 0, 2.94138e-16, 0, 1.41421, -2.94138e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36335e-18, 0, 0, 4.58521e-21, 0, 0, 2.91771e-16, 0, 0, 0
0.13248, 0, 5.78837e-16, 0, 1.41421, -5.78837e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.65085e-18, 0, 0, 9.15202e-21, 0, 0, 5.74177e-16, 0, 0, 0
0.140405, 0, 1.12784e-15, 0, 1.41421, -1.12784e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.06196e-18, 0, 0, 1.80931e-20, 0, 0, 1.11876e-15, 0, 0, 0
0.148331, 0, 2.1762e-15, 0, 1.41421, -2.1762e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74854e-17, 0, 0, 3.54352e-20, 0, 0, 2.15868e-15, 0, 0, 0
0.156256, 0, 4.15897e-15, 0, 1.41421, -4.15897e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34166e-17, 0, 0, 6.87629e-20, 0, 0, 4.12549e-15, 0, 0, 0
0.164182, 0, 7.92062e-15, 0, 1.41421, -7.92062e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.36406e-17, 0, 0, 1.33321e-19, 0, 0, 7.85685e-15, 0, 0, 0
0.172107, 0, 1.4845e-14, 0, 1.41421, -1.4845e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19277e-16, 0, 0, 2.53888e-19, 0, 0, 1.47255e-14, 0, 0, 0
