   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_77.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.032313, 154, 0, 0, 12.49, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0244187, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0165244, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00863006, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000735755, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00715855, 0, 1.73591e-23, 0, 1.41421, -1.73591e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40402e-28, 0, 0, 1.73589e-23, 0, 0, 0
0.0150529, 0, 4.89147e-23, 0, 1.41421, -4.89147e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02532e-28, 0, 0, 4.89143e-23, 0, 0, 0
0.0229472, 0, 1.33503e-22, 0, 1.41421, -1.33503e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11694e-27, 0, 0, 1.33502e-22, 0, 0, 0
0.0308415, 0, 3.92584e-22, 0, 1.41421, -3.92584e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37297e-27, 0, 0, 3.9258e-22, 0, 0, 0
0.0387358, 0, 1.00331e-21, 0, 1.41421, -1.00331e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.7496e-27, 0, 0, 1.0033e-21, 0, 0, 0
