   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_86.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.16455, 0, 7.37533e-16, 0, 1.41421, -7.37533e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.8623e-18, 0, 1.40432e-20, 0, 9.18519e-20, 0, 7.31564e-16, 0, 0, 0
0.172444, 0, 1.43905e-15, 0, 1.41421, -1.43905e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14383e-17, 0, 2.78869e-20, 0, 1.82612e-19, 0, 1.4274e-15, 0, 0, 0
0.180338, 0, 2.78028e-15, 0, 1.41421, -2.78028e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20989e-17, 0, 5.48523e-20, 0, 3.59646e-19, 0, 2.75776e-15, 0, 0, 0
0.188231, 0, 5.31965e-15, 0, 1.41421, -5.31965e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22828e-17, 0, 1.06886e-19, 0, 7.01794e-19, 0, 5.27655e-15, 0, 0, 0
0.196125, 0, 1.00814e-14, 0, 1.41421, -1.00814e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.01306e-17, 0, 2.06367e-19, 0, 1.3571e-18, 0, 9.99967e-15, 0, 0, 0
0.204019, 0, 1.89257e-14, 0, 1.41421, -1.89257e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50428e-16, 0, 3.94836e-19, 0, 2.6011e-18, 0, 1.87722e-14, 0, 0, 0
0.211913, 0, 3.51988e-14, 0, 1.41421, -3.51988e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79771e-16, 0, 7.48723e-19, 0, 4.94218e-18, 0, 3.49134e-14, 0, 0, 0
0.219806, 0, 6.4863e-14, 0, 1.41421, -6.4863e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15548e-16, 0, 1.40737e-18, 0, 9.3103e-18, 0, 6.43367e-14, 0, 0, 0
0.2277, 0, 1.1844e-13, 0, 1.41421, -1.1844e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.41391e-16, 0, 2.62265e-18, 0, 1.73924e-17, 0, 1.17479e-13, 0, 0, 0
0.235594, 0, 2.14327e-13, 0, 1.41421, -2.14327e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70351e-15, 0, 4.84587e-18, 0, 3.22232e-17, 0, 2.12586e-13, 0, 0, 0
0.243488, 0, 3.84383e-13, 0, 1.41421, -3.84383e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05515e-15, 0, 8.879e-18, 0, 5.92183e-17, 0, 3.8126e-13, 0, 0, 0
0.251381, 0, 6.83277e-13, 0, 1.41421, -6.83277e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43082e-15, 0, 1.61354e-17, 0, 1.07965e-16, 0, 6.77722e-13, 0, 0, 0
0.259275, 0, 1.20394e-12, 0, 1.41421, -1.20394e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.56925e-15, 0, 2.90861e-17, 0, 1.95316e-16, 0, 1.19415e-12, 0, 0, 0
0.267169, 0, 2.10291e-12, 0, 1.41421, -2.10291e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67147e-14, 0, 5.20178e-17, 0, 3.50653e-16, 0, 2.0858e-12, 0, 0, 0
0.275062, 0, 3.64145e-12, 0, 1.41421, -3.64145e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89442e-14, 0, 9.23125e-17, 0, 6.24843e-16, 0, 3.61179e-12, 0, 0, 0
0.282956, 0, 6.25154e-12, 0, 1.41421, -6.25154e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96922e-14, 0, 1.6259e-16, 0, 1.10533e-15, 0, 6.20058e-12, 0, 0, 0
0.29085, 0, 1.06411e-11, 0, 1.41421, -1.06411e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.45883e-14, 0, 2.84285e-16, 0, 1.94143e-15, 0, 1.05543e-11, 0, 0, 0
0.298744, 0, 1.79597e-11, 0, 1.41421, -1.79597e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42775e-13, 0, 4.93574e-16, 0, 3.38646e-15, 0, 1.78131e-11, 0, 0, 0
