   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_8.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0347742, 16, 0, 0, 4.24264, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.026849, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0189238, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0109985, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00307332, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00485191, 0, 1.48698e-25, 0, 1.41421, -1.48698e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02917e-27, 0, 0, 5.00457e-31, 0, 0, 1.47669e-25, 0, 0, 0
0.0127771, 0, 5.23776e-25, 0, 1.41421, -5.23776e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62514e-27, 0, 0, 1.78383e-30, 0, 0, 5.20149e-25, 0, 0, 0
0.0207024, 0, 1.74458e-24, 0, 1.41421, -1.74458e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20746e-26, 0, 0, 6.01865e-30, 0, 0, 1.7325e-24, 0, 0, 0
0.0286276, 0, 6.62408e-24, 0, 1.41421, -6.62408e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58463e-26, 0, 0, 2.34207e-29, 0, 0, 6.57821e-24, 0, 0, 0
0.0365528, 0, 1.97961e-23, 0, 1.41421, -1.97961e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37012e-25, 0, 0, 7.09384e-29, 0, 0, 1.9659e-23, 0, 0, 0
