   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_44.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.179665, 0, 4.79204e-15, 0, 1.41421, -4.79204e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.45261e-18, 0, 0, 9.52417e-21, 0, 0, 4.78258e-15, 0, 0, 0
0.18757, 0, 9.14773e-15, 0, 1.41421, -9.14773e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80444e-17, 0, 0, 1.85234e-20, 0, 0, 9.12967e-15, 0, 0, 0
0.195474, 0, 1.72952e-14, 0, 1.41421, -1.72952e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41157e-17, 0, 0, 3.56927e-20, 0, 0, 1.7261e-14, 0, 0, 0
0.203378, 0, 3.23903e-14, 0, 1.41421, -3.23903e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38914e-17, 0, 0, 6.81505e-20, 0, 0, 3.23263e-14, 0, 0, 0
0.211283, 0, 6.0094e-14, 0, 1.41421, -6.0094e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18538e-16, 0, 0, 1.28963e-19, 0, 0, 5.99753e-14, 0, 0, 0
0.219187, 0, 1.10465e-13, 0, 1.41421, -1.10465e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17896e-16, 0, 0, 2.41895e-19, 0, 0, 1.10247e-13, 0, 0, 0
0.227092, 0, 2.01205e-13, 0, 1.41421, -2.01205e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96884e-16, 0, 0, 4.49798e-19, 0, 0, 2.00807e-13, 0, 0, 0
0.234996, 0, 3.63173e-13, 0, 1.41421, -3.63173e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16375e-16, 0, 0, 8.29272e-19, 0, 0, 3.62456e-13, 0, 0, 0
0.242901, 0, 6.49667e-13, 0, 1.41421, -6.49667e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2815e-15, 0, 0, 1.5161e-18, 0, 0, 6.48384e-13, 0, 0, 0
0.250805, 0, 1.15188e-12, 0, 1.41421, -1.15188e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27215e-15, 0, 0, 2.74904e-18, 0, 0, 1.1496e-12, 0, 0, 0
0.258709, 0, 2.02439e-12, 0, 1.41421, -2.02439e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99327e-15, 0, 0, 4.94449e-18, 0, 0, 2.02039e-12, 0, 0, 0
0.266614, 0, 3.52681e-12, 0, 1.41421, -3.52681e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.95704e-15, 0, 0, 8.82316e-18, 0, 0, 3.51985e-12, 0, 0, 0
0.274518, 0, 6.09123e-12, 0, 1.41421, -6.09123e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2016e-14, 0, 0, 1.56233e-17, 0, 0, 6.0792e-12, 0, 0, 0
0.282423, 0, 1.043e-11, 0, 1.41421, -1.043e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05758e-14, 0, 0, 2.74569e-17, 0, 0, 1.04094e-11, 0, 0, 0
0.290327, 0, 1.77074e-11, 0, 1.41421, -1.77074e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4934e-14, 0, 0, 4.79033e-17, 0, 0, 1.76724e-11, 0, 0, 0
0.298232, 0, 2.98081e-11, 0, 1.41421, -2.98081e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.88112e-14, 0, 0, 8.29912e-17, 0, 0, 2.97492e-11, 0, 0, 0
0.306136, 0, 4.97563e-11, 0, 1.41421, -4.97563e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.81784e-14, 0, 0, 1.42813e-16, 0, 0, 4.96579e-11, 0, 0, 0
0.31404, 0, 8.23607e-11, 0, 1.41421, -8.23607e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62535e-13, 0, 0, 2.44182e-16, 0, 0, 8.2198e-11, 0, 0, 0
0.321945, 0, 1.35198e-10, 1.59748e-43, 1.41421, -1.35198e-10, 0, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 2.66853e-13, 1.59748e-43, 1.59748e-43, 4.1498e-16, 1.59748e-43, 1.59748e-43, 1.34931e-10, 1.59748e-43, 1.59748e-43, 1.59748e-43
0.329849, 0, 2.20102e-10, 2.88948e-42, 1.41421, -2.20102e-10, 0, 2.88948e-42, 2.88948e-42, 2.88948e-42, 2.88948e-42, 2.88948e-42, 2.88948e-42, 2.88948e-42, 2.88948e-42, 2.88948e-42, 2.88948e-42, 4.34531e-13, 2.88948e-42, 2.88948e-42, 7.01263e-16, 2.88948e-42, 2.88948e-42, 2.19667e-10, 2.88948e-42, 2.88948e-42, 2.88948e-42
0.337754, 0, 3.55384e-10, 4.3408e-41, 1.41421, -3.55384e-10, 0, 4.3408e-41, 4.3408e-41, 4.3408e-41, 4.3408e-41, 4.3408e-41, 4.3408e-41, 4.3408e-41, 4.3408e-41, 4.3408e-41, 4.3408e-41, 7.01809e-13, 4.3408e-41, 4.3408e-41, 1.17886e-15, 4.3408e-41, 4.3408e-41, 3.54681e-10, 4.3408e-41, 4.3408e-41, 4.3408e-41
0.345658, 0, 5.69134e-10, 5.73053e-40, 1.41421, -5.69134e-10, 0, 5.73053e-40, 5.73053e-40, 5.73053e-40, 5.73053e-40, 5.73053e-40, 5.73053e-40, 5.73053e-40, 5.73053e-40, 5.73053e-40, 5.73053e-40, 1.12433e-12, 5.73053e-40, 5.73053e-40, 1.97235e-15, 5.73053e-40, 5.73053e-40, 5.68007e-10, 5.73053e-40, 5.73053e-40, 5.73053e-40
0.353563, 0, 9.04055e-10, 6.76827e-39, 1.41421, -9.04055e-10, 0, 6.76827e-39, 6.76827e-39, 6.76827e-39, 6.76827e-39, 6.76827e-39, 6.76827e-39, 6.76827e-39, 6.76827e-39, 6.76827e-39, 6.76827e-39, 1.78678e-12, 6.76827e-39, 6.76827e-39, 3.28598e-15, 6.76827e-39, 6.76827e-39, 9.02265e-10, 6.76827e-39, 6.76827e-39, 6.76827e-39
