   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_342.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0302514, 684, 0, 0, 26.1916, 684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0223705, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0144896, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00660872, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00127217, 0, 7.39512e-23, 0, 1.41421, -7.39512e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11336e-25, 0, 0, 2.55856e-28, 0, 0, 7.34396e-23, 0, 0, 0
0.00915306, 0, 1.93138e-22, 0, 1.41421, -1.93138e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33545e-24, 0, 0, 6.78558e-28, 0, 0, 1.91802e-22, 0, 0, 0
0.017034, 0, 4.92848e-22, 0, 1.41421, -4.92848e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4078e-24, 0, 0, 1.75835e-27, 0, 0, 4.89439e-22, 0, 0, 0
0.0249148, 0, 1.23114e-21, 0, 1.41421, -1.23114e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.51272e-24, 0, 0, 4.46046e-27, 0, 0, 1.22262e-21, 0, 0, 0
0.0327957, 0, 3.01531e-21, 0, 1.41421, -3.01531e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08494e-23, 0, 0, 1.10943e-26, 0, 0, 2.99445e-21, 0, 0, 0
0.0406766, 0, 7.25045e-21, 0, 1.41421, -7.25045e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.01333e-23, 0, 0, 2.70926e-26, 0, 0, 7.20029e-21, 0, 0, 0
0.0485575, 0, 1.71355e-20, 0, 1.41421, -1.71355e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18483e-22, 0, 0, 6.50318e-26, 0, 0, 1.70169e-20, 0, 0, 0
0.0564384, 0, 4.19673e-20, 0, 1.41421, -4.19673e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90183e-22, 0, 0, 1.63056e-25, 0, 0, 4.16769e-20, 0, 0, 0
0.0643193, 0, 9.55478e-20, 0, 1.41421, -9.55478e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.60666e-22, 0, 0, 3.76961e-25, 0, 0, 9.48868e-20, 0, 0, 0
0.0722002, 0, 2.14543e-19, 0, 1.41421, -2.14543e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48346e-21, 0, 0, 8.59823e-25, 0, 0, 2.13059e-19, 0, 0, 0
0.0800811, 0, 4.7524e-19, 0, 1.41421, -4.7524e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28605e-21, 0, 0, 1.93497e-24, 0, 0, 4.71952e-19, 0, 0, 0
0.087962, 0, 1.03907e-18, 0, 1.41421, -1.03907e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.18463e-21, 0, 0, 4.29857e-24, 0, 0, 1.03188e-18, 0, 0, 0
0.0958429, 0, 2.24341e-18, 0, 1.41421, -2.24341e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55121e-20, 0, 0, 9.43132e-24, 0, 0, 2.22789e-18, 0, 0, 0
0.103724, 0, 4.7851e-18, 0, 1.41421, -4.7851e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30866e-20, 0, 0, 2.04458e-23, 0, 0, 4.75199e-18, 0, 0, 0
0.111605, 0, 1.00867e-17, 0, 1.41421, -1.00867e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97444e-20, 0, 0, 4.38115e-23, 0, 0, 1.00169e-17, 0, 0, 0
