   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_74.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.210417, 0, 2.04439e-14, 0, 1.41421, -2.04439e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0007e-17, 0, 0, 0, 0, 2.04239e-14, 0, 0
0.218315, 0, 3.80073e-14, 0, 1.41421, -3.80073e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71951e-17, 0, 0, 0, 0, 3.79701e-14, 0, 0
0.226213, 0, 7.00067e-14, 0, 1.41421, -7.00067e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.85106e-17, 0, 0, 0, 0, 6.99382e-14, 0, 0
0.234111, 0, 1.27768e-13, 0, 1.41421, -1.27768e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25038e-16, 0, 0, 0, 0, 1.27643e-13, 0, 0
0.242009, 0, 2.31073e-13, 0, 1.41421, -2.31073e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26135e-16, 0, 0, 0, 0, 2.30847e-13, 0, 0
0.249907, 0, 4.14151e-13, 0, 1.41421, -4.14151e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05303e-16, 0, 0, 0, 0, 4.13746e-13, 0, 0
0.257805, 0, 7.35666e-13, 0, 1.41421, -7.35666e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19955e-16, 0, 0, 0, 0, 7.34946e-13, 0, 0
0.265703, 0, 1.29522e-12, 0, 1.41421, -1.29522e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26758e-15, 0, 0, 0, 0, 1.29395e-12, 0, 0
0.273601, 0, 2.26037e-12, 0, 1.41421, -2.26037e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21217e-15, 0, 0, 0, 0, 2.25815e-12, 0, 0
0.281499, 0, 3.9103e-12, 0, 1.41421, -3.9103e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82704e-15, 0, 0, 0, 0, 3.90647e-12, 0, 0
0.289397, 0, 6.70601e-12, 0, 1.41421, -6.70601e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.56353e-15, 0, 0, 0, 0, 6.69945e-12, 0, 0
0.297295, 0, 1.14016e-11, 0, 1.41421, -1.14016e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.116e-14, 0, 0, 0, 0, 1.13904e-11, 0, 0
0.305193, 0, 1.92191e-11, 0, 1.41421, -1.92191e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88135e-14, 0, 0, 0, 0, 1.92003e-11, 0, 0
0.313091, 0, 3.21213e-11, 0, 1.41421, -3.21213e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14471e-14, 0, 0, 0, 0, 3.20899e-11, 0, 0
0.320989, 0, 5.3231e-11, 6.30584e-44, 1.41421, -5.3231e-11, 6.30584e-44, 0, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 5.21215e-14, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 5.31789e-11, 6.30584e-44, 6.30584e-44
0.328887, 0, 8.74724e-11, 1.14486e-42, 1.41421, -8.74724e-11, 1.14486e-42, 0, 1.14486e-42, 1.14486e-42, 1.14486e-42, 1.14486e-42, 1.14486e-42, 1.14486e-42, 1.14486e-42, 1.14486e-42, 8.56661e-14, 1.14486e-42, 1.14486e-42, 1.14486e-42, 1.14486e-42, 8.73868e-11, 1.14486e-42, 1.14486e-42
0.336785, 0, 1.42538e-10, 1.74784e-41, 1.41421, -1.42538e-10, 1.74784e-41, 0, 1.74784e-41, 1.74784e-41, 1.74784e-41, 1.74784e-41, 1.74784e-41, 1.74784e-41, 1.74784e-41, 1.74784e-41, 1.3963e-13, 1.74784e-41, 1.74784e-41, 1.74784e-41, 1.74784e-41, 1.42399e-10, 1.74784e-41, 1.74784e-41
0.344683, 0, 2.30338e-10, 2.34535e-40, 1.41421, -2.30338e-10, 2.34535e-40, 0, 2.34535e-40, 2.34535e-40, 2.34535e-40, 2.34535e-40, 2.34535e-40, 2.34535e-40, 2.34535e-40, 2.34535e-40, 2.25712e-13, 2.34535e-40, 2.34535e-40, 2.34535e-40, 2.34535e-40, 2.30113e-10, 2.34535e-40, 2.34535e-40
0.352581, 0, 3.69145e-10, 2.81331e-39, 1.41421, -3.69145e-10, 2.81331e-39, 0, 2.81331e-39, 2.81331e-39, 2.81331e-39, 2.81331e-39, 2.81331e-39, 2.81331e-39, 2.81331e-39, 2.81331e-39, 3.61878e-13, 2.81331e-39, 2.81331e-39, 2.81331e-39, 2.81331e-39, 3.68783e-10, 2.81331e-39, 2.81331e-39
0.360479, 0, 5.86735e-10, 3.04161e-38, 1.41421, -5.86735e-10, 3.04161e-38, 0, 3.04161e-38, 3.04161e-38, 3.04161e-38, 3.04161e-38, 3.04161e-38, 3.04161e-38, 3.04161e-38, 3.04161e-38, 5.75481e-13, 3.04161e-38, 3.04161e-38, 3.04161e-38, 3.04161e-38, 5.8616e-10, 3.04161e-38, 3.04161e-38
0.368377, 0, 9.24966e-10, 2.97755e-37, 1.41421, -9.24966e-10, 2.97755e-37, 0, 2.97755e-37, 2.97755e-37, 2.97755e-37, 2.97755e-37, 2.97755e-37, 2.97755e-37, 2.97755e-37, 2.97755e-37, 9.07803e-13, 2.97755e-37, 2.97755e-37, 2.97755e-37, 2.97755e-37, 9.24058e-10, 2.97755e-37, 2.97755e-37
0.376275, 0, 1.44633e-09, 2.65772e-36, 1.41421, -1.44633e-09, 2.65772e-36, 0, 2.65772e-36, 2.65772e-36, 2.65772e-36, 2.65772e-36, 2.65772e-36, 2.65772e-36, 2.65772e-36, 2.65772e-36, 1.42062e-12, 2.65772e-36, 2.65772e-36, 2.65772e-36, 2.65772e-36, 1.44491e-09, 2.65772e-36, 2.65772e-36
0.384173, 0, 2.24331e-09, 2.17289e-35, 1.41421, -2.24331e-09, 2.17289e-35, 0, 2.17289e-35, 2.17289e-35, 2.17289e-35, 2.17289e-35, 2.17289e-35, 2.17289e-35, 2.17289e-35, 2.17289e-35, 2.20557e-12, 2.17289e-35, 2.17289e-35, 2.17289e-35, 2.17289e-35, 2.2411e-09, 2.17289e-35, 2.17289e-35
0.392071, 0, 3.45156e-09, 1.63429e-34, 1.41421, -3.45156e-09, 1.63429e-34, 0, 1.63429e-34, 1.63429e-34, 1.63429e-34, 1.63429e-34, 1.63429e-34, 1.63429e-34, 1.63429e-34, 1.63429e-34, 3.39751e-12, 1.63429e-34, 1.63429e-34, 1.63429e-34, 1.63429e-34, 3.44816e-09, 1.63429e-34, 1.63429e-34
0.399969, 0, 5.26828e-09, 1.13672e-33, 1.41421, -5.26828e-09, 1.13672e-33, 0, 1.13672e-33, 1.13672e-33, 1.13672e-33, 1.13672e-33, 1.13672e-33, 1.13672e-33, 1.13672e-33, 1.13672e-33, 5.19324e-12, 1.13672e-33, 1.13672e-33, 1.13672e-33, 1.13672e-33, 5.26309e-09, 1.13672e-33, 1.13672e-33
0.407867, 0, 7.97761e-09, 6.78735e-33, 1.41421, -7.97761e-09, 6.78735e-33, 0, 6.78735e-33, 6.78735e-33, 6.78735e-33, 6.78735e-33, 6.78735e-33, 6.78735e-33, 6.78735e-33, 6.78735e-33, 7.87762e-12, 6.78735e-33, 6.78735e-33, 6.78735e-33, 6.78735e-33, 7.96973e-09, 6.78735e-33, 6.78735e-33
0.415765, 0, 1.19855e-08, 4.13802e-32, 1.41421, -1.19855e-08, 4.13802e-32, 0, 4.13802e-32, 4.13802e-32, 4.13802e-32, 4.13802e-32, 4.13802e-32, 4.13802e-32, 4.13802e-32, 4.13802e-32, 1.18599e-11, 4.13802e-32, 4.13802e-32, 4.13802e-32, 4.13802e-32, 1.19736e-08, 4.13802e-32, 4.13802e-32
0.423663, 0, 1.78666e-08, 2.25061e-31, 1.41421, -1.78666e-08, 2.25061e-31, 0, 2.25061e-31, 2.25061e-31, 2.25061e-31, 2.25061e-31, 2.25061e-31, 2.25061e-31, 2.25061e-31, 2.25061e-31, 1.77231e-11, 2.25061e-31, 2.25061e-31, 2.25061e-31, 2.25061e-31, 1.78489e-08, 2.25061e-31, 2.25061e-31
0.431561, 0, 2.64279e-08, 1.20065e-30, 1.41421, -2.64279e-08, 1.20065e-30, 0, 1.20065e-30, 1.20065e-30, 1.20065e-30, 1.20065e-30, 1.20065e-30, 1.20065e-30, 1.20065e-30, 1.20065e-30, 2.62925e-11, 1.20065e-30, 1.20065e-30, 1.20065e-30, 1.20065e-30, 2.64016e-08, 1.20065e-30, 1.20065e-30
0.439459, 0, 3.87921e-08, 6.11332e-30, 1.41421, -3.87921e-08, 6.11332e-30, 0, 6.11332e-30, 6.11332e-30, 6.11332e-30, 6.11332e-30, 6.11332e-30, 6.11332e-30, 6.11332e-30, 6.11332e-30, 3.87267e-11, 6.11332e-30, 6.11332e-30, 6.11332e-30, 6.11332e-30, 3.87534e-08, 6.11332e-30, 6.11332e-30
0.447357, 0, 5.65091e-08, 2.94388e-29, 1.41421, -5.65091e-08, 2.94388e-29, 0, 2.94388e-29, 2.94388e-29, 2.94388e-29, 2.94388e-29, 2.94388e-29, 2.94388e-29, 2.94388e-29, 2.94388e-29, 5.66416e-11, 2.94388e-29, 2.94388e-29, 2.94388e-29, 2.94388e-29, 5.64525e-08, 2.94388e-29, 2.94388e-29
0.455255, 0, 8.16994e-08, 1.36192e-28, 1.41421, -8.16994e-08, 1.36192e-28, 0, 1.36192e-28, 1.36192e-28, 1.36192e-28, 1.36192e-28, 1.36192e-28, 1.36192e-28, 1.36192e-28, 1.36192e-28, 8.22754e-11, 1.36192e-28, 1.36192e-28, 1.36192e-28, 1.36192e-28, 8.16171e-08, 1.36192e-28, 1.36192e-28
0.463153, 0, 1.1724e-07, 6.05477e-28, 1.41421, -1.1724e-07, 6.05477e-28, 0, 6.05477e-28, 6.05477e-28, 6.05477e-28, 6.05477e-28, 6.05477e-28, 6.05477e-28, 6.05477e-28, 6.05477e-28, 1.18707e-10, 6.05477e-28, 6.05477e-28, 6.05477e-28, 6.05477e-28, 1.17122e-07, 6.05477e-28, 6.05477e-28
0.471051, 0, 1.67005e-07, 2.57033e-27, 1.41421, -1.67005e-07, 2.57033e-27, 0, 2.57033e-27, 2.57033e-27, 2.57033e-27, 2.57033e-27, 2.57033e-27, 2.57033e-27, 2.57033e-27, 2.57033e-27, 1.70147e-10, 2.57033e-27, 2.57033e-27, 2.57033e-27, 2.57033e-27, 1.66835e-07, 2.57033e-27, 2.57033e-27
0.478949, 0, 2.36165e-07, 1.68194e-26, 1.41421, -2.36165e-07, 1.68194e-26, 0, 1.68194e-26, 1.68194e-26, 1.68194e-26, 1.68194e-26, 4.17293e-13, 1.68194e-26, 1.68194e-26, 1.68194e-26, 2.42315e-10, 1.68194e-26, 1.68194e-26, 1.68194e-26, 1.68194e-26, 2.35922e-07, 1.68194e-26, 1.68194e-26
0.486847, 0, 3.31561e-07, 6.2522e-26, 1.41421, -3.31561e-07, 6.2522e-26, 0, 6.2522e-26, 6.2522e-26, 6.2522e-26, 6.2522e-26, 1.46444e-12, 6.2522e-26, 6.2522e-26, 6.2522e-26, 3.42927e-10, 6.2522e-26, 6.2522e-26, 6.2522e-26, 6.2522e-26, 3.31216e-07, 6.2522e-26, 6.2522e-26
0.494745, 0, 4.62182e-07, 2.23688e-25, 1.41421, -4.62182e-07, 2.23688e-25, 0, 2.23688e-25, 2.23688e-25, 2.23688e-25, 2.23688e-25, 4.0046e-12, 2.23688e-25, 2.23688e-25, 2.23688e-25, 4.82343e-10, 2.23688e-25, 2.23688e-25, 2.23688e-25, 2.23688e-25, 4.61696e-07, 2.23688e-25, 2.23688e-25
0.502643, 0, 6.41106e-07, 1.13973e-10, 1.41421, -6.41106e-07, 1.42748e-10, 1.13973e-10, 1.13975e-10, 5.63763e-10, 1.26028e-10, 1.30875e-10, 1.437e-10, 2.00975e-10, 1.16516e-10, 6.80479e-10, 7.88366e-10, 1.1537e-10, 1.16116e-10, 1.13973e-10, 1.13975e-10, 6.39235e-07, 1.13973e-10, 1.13973e-10
0.510541, 0, 8.84138e-07, 4.00061e-10, 1.41421, -8.84138e-07, 5.00471e-10, 4.00061e-10, 4.00067e-10, 1.96964e-09, 4.42127e-10, 4.5904e-10, 4.9266e-10, 7.03658e-10, 4.08934e-10, 2.37693e-09, 1.33746e-09, 4.04935e-10, 4.07536e-10, 4.00061e-10, 4.00065e-10, 8.79036e-07, 4.00061e-10, 4.00061e-10
0.518439, 0, 1.21361e-06, 1.09324e-09, 1.41421, -1.21361e-06, 1.36643e-09, 1.09324e-09, 1.09325e-09, 5.3636e-09, 1.20769e-09, 1.2537e-09, 1.33507e-09, 1.91924e-09, 1.11738e-09, 6.47172e-09, 2.38874e-09, 1.1065e-09, 1.11358e-09, 1.09324e-09, 1.09325e-09, 1.20099e-06, 1.09324e-09, 1.09324e-09
