   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_266.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0327789, 532, 0, 0, 23.1084, 532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0248947, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0170104, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00912615, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00124189, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00664237, 0, 1.64627e-23, 0, 1.41421, -1.64627e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20215e-28, 0, 1.88356e-27, 0, 1.64606e-23, 0, 0, 0
0.0145266, 0, 4.42218e-23, 0, 1.41421, -4.42218e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.98309e-28, 0, 5.19758e-27, 0, 4.4216e-23, 0, 0, 0
0.0224109, 0, 1.15789e-22, 0, 1.41421, -1.15789e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58462e-27, 0, 1.39513e-26, 0, 1.15774e-22, 0, 0, 0
0.0302952, 0, 2.96235e-22, 0, 1.41421, -2.96235e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10111e-27, 0, 3.65301e-26, 0, 2.96195e-22, 0, 0, 0
0.0381794, 0, 7.41946e-22, 0, 1.41421, -7.41946e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0392e-26, 0, 9.35181e-26, 0, 7.41842e-22, 0, 0, 0
0.0460637, 0, 1.82207e-21, 0, 1.41421, -1.82207e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58237e-26, 0, 2.34504e-25, 0, 1.82181e-21, 0, 0, 0
0.053948, 0, 4.39331e-21, 0, 1.41421, -4.39331e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.30155e-26, 0, 5.7687e-25, 0, 4.39267e-21, 0, 0, 0
0.0618322, 0, 1.04123e-20, 0, 1.41421, -1.04123e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51176e-25, 0, 1.39391e-24, 0, 1.04107e-20, 0, 0, 0
0.0697165, 0, 2.42797e-20, 0, 1.41421, -2.42797e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56904e-25, 0, 3.31207e-24, 0, 2.42761e-20, 0, 0, 0
0.0776007, 0, 5.57509e-20, 0, 1.41421, -5.57509e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.29896e-25, 0, 7.74607e-24, 0, 5.57423e-20, 0, 0, 0
0.085485, 0, 1.2615e-19, 0, 1.41421, -1.2615e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90205e-24, 0, 1.78459e-23, 0, 1.26131e-19, 0, 0, 0
0.0933693, 0, 2.81467e-19, 0, 1.41421, -2.81467e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29959e-24, 0, 4.05306e-23, 0, 2.81422e-19, 0, 0, 0
0.101254, 0, 6.19607e-19, 0, 1.41421, -6.19607e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.59156e-24, 0, 9.08015e-23, 0, 6.19507e-19, 0, 0, 0
0.109138, 0, 1.34638e-18, 0, 1.41421, -1.34638e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11265e-23, 0, 2.00775e-22, 0, 1.34616e-18, 0, 0, 0
0.117022, 0, 2.88922e-18, 0, 1.41421, -2.88922e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59668e-23, 0, 4.38387e-22, 0, 2.88873e-18, 0, 0, 0
0.124906, 0, 6.12513e-18, 0, 1.41421, -6.12513e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.8834e-23, 0, 9.4564e-22, 0, 6.12409e-18, 0, 0, 0
0.132791, 0, 1.28331e-17, 0, 1.41421, -1.28331e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10077e-22, 0, 2.01602e-21, 0, 1.28309e-17, 0, 0, 0
0.140675, 0, 2.65806e-17, 0, 1.41421, -2.65806e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4157e-22, 0, 4.24936e-21, 0, 2.65759e-17, 0, 0, 0
0.148559, 0, 5.44424e-17, 0, 1.41421, -5.44424e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.18122e-22, 0, 8.85842e-21, 0, 5.44326e-17, 0, 0, 0
0.156443, 0, 1.10297e-16, 0, 1.41421, -1.10297e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88885e-21, 0, 1.82696e-20, 0, 1.10276e-16, 0, 0, 0
