   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_76.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.14034, 0, 5.58055e-17, 0, 1.41421, -5.58055e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.44914e-20, 0, 0, 5.8073e-22, 0, 1.68418e-21, 0, 5.57188e-17, 0, 0, 0
0.148237, 0, 1.14712e-16, 0, 1.41421, -1.14712e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73678e-19, 0, 0, 1.21244e-21, 0, 3.52275e-21, 0, 1.14534e-16, 0, 0, 0
0.156133, 0, 2.332e-16, 0, 1.41421, -2.332e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53072e-19, 0, 0, 2.50426e-21, 0, 7.28888e-21, 0, 2.32838e-16, 0, 0, 0
0.16403, 0, 4.68968e-16, 0, 1.41421, -4.68968e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.10032e-19, 0, 0, 5.11847e-21, 0, 1.49228e-20, 0, 4.68238e-16, 0, 0, 0
0.171926, 0, 9.33142e-16, 0, 1.41421, -9.33142e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4128e-18, 0, 0, 1.03549e-20, 0, 3.02393e-20, 0, 9.31688e-16, 0, 0, 0
0.179823, 0, 1.8375e-15, 0, 1.41421, -1.8375e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78201e-18, 0, 0, 2.07387e-20, 0, 6.06636e-20, 0, 1.83463e-15, 0, 0, 0
0.187719, 0, 3.58147e-15, 0, 1.41421, -3.58147e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.42241e-18, 0, 0, 4.11283e-20, 0, 1.2051e-19, 0, 3.57588e-15, 0, 0, 0
0.195616, 0, 6.91067e-15, 0, 1.41421, -6.91067e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04629e-17, 0, 0, 8.07782e-20, 0, 2.37108e-19, 0, 6.89989e-15, 0, 0, 0
0.203513, 0, 1.3203e-14, 0, 1.41421, -1.3203e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99895e-17, 0, 0, 1.57151e-19, 0, 4.62157e-19, 0, 1.31824e-14, 0, 0, 0
0.211409, 0, 2.49792e-14, 0, 1.41421, -2.49792e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78186e-17, 0, 0, 3.02883e-19, 0, 8.92554e-19, 0, 2.49402e-14, 0, 0, 0
0.219306, 0, 4.68049e-14, 0, 1.41421, -4.68049e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08625e-17, 0, 0, 5.784e-19, 0, 1.70828e-18, 0, 4.67317e-14, 0, 0, 0
0.227202, 0, 8.68688e-14, 0, 1.41421, -8.68688e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31519e-16, 0, 0, 1.09462e-18, 0, 3.24071e-18, 0, 8.67329e-14, 0, 0, 0
0.235099, 0, 1.59714e-13, 0, 1.41421, -1.59714e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41805e-16, 0, 0, 2.05324e-18, 0, 6.09465e-18, 0, 1.59464e-13, 0, 0, 0
0.242995, 0, 2.90918e-13, 0, 1.41421, -2.90918e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40445e-16, 0, 0, 3.8179e-18, 0, 1.13646e-17, 0, 2.90462e-13, 0, 0, 0
0.250892, 0, 5.25034e-13, 0, 1.41421, -5.25034e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.94894e-16, 0, 0, 7.03848e-18, 0, 2.10149e-17, 0, 5.24211e-13, 0, 0, 0
0.258788, 0, 9.40398e-13, 0, 1.41421, -9.40398e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42376e-15, 0, 0, 1.29055e-17, 0, 3.86676e-17, 0, 9.38923e-13, 0, 0, 0
0.266685, 0, 1.66616e-12, 0, 1.41421, -1.66616e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52258e-15, 0, 0, 2.33922e-17, 0, 7.03306e-17, 0, 1.66354e-12, 0, 0, 0
0.274581, 0, 2.9257e-12, 0, 1.41421, -2.9257e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42962e-15, 0, 0, 4.20611e-17, 0, 1.26924e-16, 0, 2.9211e-12, 0, 0, 0
0.282478, 0, 5.0919e-12, 0, 1.41421, -5.0919e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.70952e-15, 0, 0, 7.50399e-17, 0, 2.27308e-16, 0, 5.08389e-12, 0, 0, 0
0.290374, 0, 8.78403e-12, 0, 1.41421, -8.78403e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33002e-14, 0, 0, 1.32862e-16, 0, 4.04054e-16, 0, 8.77019e-12, 0, 0, 0
0.298271, 0, 1.50209e-11, 0, 1.41421, -1.50209e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27448e-14, 0, 0, 2.3352e-16, 0, 7.13019e-16, 0, 1.49972e-11, 0, 0, 0
0.306167, 0, 2.54632e-11, 0, 1.41421, -2.54632e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85595e-14, 0, 0, 4.07549e-16, 0, 1.24937e-15, 0, 2.54229e-11, 0, 0, 0
0.314064, 0, 4.27923e-11, 0, 1.41421, -4.27923e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48079e-14, 0, 0, 7.06491e-16, 0, 2.17424e-15, 0, 4.27246e-11, 0, 0, 0
0.32196, 0, 7.12982e-11, 7.56701e-44, 1.41421, -7.12982e-11, 7.56701e-44, 0, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 1.07994e-13, 7.56701e-44, 7.56701e-44, 1.21692e-15, 7.56701e-44, 3.75895e-15, 7.56701e-44, 7.11852e-11, 7.56701e-44, 7.56701e-44, 7.56701e-44
0.329857, 0, 1.17781e-10, 1.37187e-42, 1.41421, -1.17781e-10, 1.37187e-42, 0, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.78432e-13, 1.37187e-42, 1.37187e-42, 2.08361e-15, 1.37187e-42, 6.4579e-15, 1.37187e-42, 1.17594e-10, 1.37187e-42, 1.37187e-42, 1.37187e-42
0.337753, 0, 1.92918e-10, 2.06888e-41, 1.41421, -1.92918e-10, 2.06888e-41, 0, 2.06888e-41, 2.06888e-41, 2.06888e-41, 2.06888e-41, 2.06888e-41, 2.06888e-41, 2.06888e-41, 2.06888e-41, 2.06888e-41, 2.06888e-41, 2.9233e-13, 2.06888e-41, 2.06888e-41, 3.54784e-15, 2.06888e-41, 1.10286e-14, 2.06888e-41, 1.92611e-10, 2.06888e-41, 2.06888e-41, 2.06888e-41
0.34565, 0, 3.13325e-10, 2.74493e-40, 1.41421, -3.13325e-10, 2.74493e-40, 0, 2.74493e-40, 2.74493e-40, 2.74493e-40, 2.74493e-40, 2.74493e-40, 2.74493e-40, 2.74493e-40, 2.74493e-40, 2.74493e-40, 2.74493e-40, 4.74927e-13, 2.74493e-40, 2.74493e-40, 6.01052e-15, 2.74493e-40, 1.87285e-14, 2.74493e-40, 3.12826e-10, 2.74493e-40, 2.74493e-40, 2.74493e-40
0.353546, 0, 5.04622e-10, 3.25849e-39, 1.41421, -5.04622e-10, 3.25849e-39, 0, 3.25849e-39, 3.25849e-39, 3.25849e-39, 3.25849e-39, 3.25849e-39, 3.25849e-39, 3.25849e-39, 3.25849e-39, 3.25849e-39, 3.25849e-39, 7.6518e-13, 3.25849e-39, 3.25849e-39, 1.01366e-14, 3.25849e-39, 3.16383e-14, 3.25849e-39, 5.03815e-10, 3.25849e-39, 3.25849e-39, 3.25849e-39
0.361443, 0, 8.05942e-10, 3.48804e-38, 1.41421, -8.05942e-10, 3.48804e-38, 0, 3.48804e-38, 3.48804e-38, 3.48804e-38, 3.48804e-38, 3.48804e-38, 3.48804e-38, 3.48804e-38, 3.48804e-38, 3.48804e-38, 3.48804e-38, 1.22267e-12, 3.48804e-38, 3.48804e-38, 1.70271e-14, 3.48804e-38, 5.31903e-14, 3.48804e-38, 8.04649e-10, 3.48804e-38, 3.48804e-38, 3.48804e-38
0.369339, 0, 1.27653e-09, 3.38323e-37, 1.41421, -1.27653e-09, 3.38323e-37, 0, 3.38323e-37, 3.38323e-37, 3.38323e-37, 3.38323e-37, 3.38323e-37, 3.38323e-37, 3.38323e-37, 3.38323e-37, 3.38323e-37, 3.38323e-37, 1.93776e-12, 3.38323e-37, 3.38323e-37, 2.85039e-14, 3.38323e-37, 8.90352e-14, 3.38323e-37, 1.27447e-09, 3.38323e-37, 3.38323e-37, 3.38323e-37
0.377236, 0, 2.00526e-09, 2.99344e-36, 1.41421, -2.00526e-09, 2.99344e-36, 0, 2.99344e-36, 2.99344e-36, 2.99344e-36, 2.99344e-36, 2.99344e-36, 2.99344e-36, 2.99344e-36, 2.99344e-36, 2.99344e-36, 2.99344e-36, 3.04624e-12, 2.99344e-36, 2.99344e-36, 4.75811e-14, 2.99344e-36, 1.48461e-13, 2.99344e-36, 2.00201e-09, 2.99344e-36, 2.99344e-36, 2.99344e-36
0.385132, 0, 3.12422e-09, 2.42677e-35, 1.41421, -3.12422e-09, 2.42677e-35, 0, 2.42677e-35, 2.42677e-35, 2.42677e-35, 2.42677e-35, 2.42677e-35, 2.42677e-35, 2.42677e-35, 2.42677e-35, 2.42677e-35, 2.42677e-35, 4.75048e-12, 2.42677e-35, 2.42677e-35, 7.92448e-14, 2.42677e-35, 2.46717e-13, 2.42677e-35, 3.11915e-09, 2.42677e-35, 2.42677e-35, 2.42677e-35
0.393029, 0, 4.82807e-09, 1.81078e-34, 1.41421, -4.82807e-09, 1.81078e-34, 0, 1.81078e-34, 1.81078e-34, 1.81078e-34, 1.81078e-34, 1.81078e-34, 1.81078e-34, 1.81078e-34, 1.81078e-34, 1.81078e-34, 1.81078e-34, 7.34954e-12, 1.81078e-34, 1.81078e-34, 1.31746e-13, 1.81078e-34, 4.08836e-13, 1.81078e-34, 4.82018e-09, 1.81078e-34, 1.81078e-34, 1.81078e-34
0.400925, 0, 7.40092e-09, 1.26061e-33, 1.41421, -7.40092e-09, 1.26061e-33, 0, 1.26061e-33, 1.26061e-33, 1.26061e-33, 1.26061e-33, 1.26061e-33, 1.26061e-33, 1.26061e-33, 1.26061e-33, 1.26061e-33, 1.26061e-33, 1.12816e-11, 1.26061e-33, 1.26061e-33, 2.1874e-13, 1.26061e-33, 6.75885e-13, 1.26061e-33, 7.38875e-09, 1.26061e-33, 1.26061e-33, 1.26061e-33
0.408822, 0, 1.12539e-08, 7.8592e-33, 1.41421, -1.12539e-08, 7.8592e-33, 0, 7.8592e-33, 7.8592e-33, 7.8592e-33, 7.8592e-33, 7.8592e-33, 7.8592e-33, 7.8592e-33, 7.8592e-33, 7.8592e-33, 7.8592e-33, 1.71835e-11, 7.8592e-33, 7.8592e-33, 3.6282e-13, 7.8592e-33, 1.11524e-12, 7.8592e-33, 1.12353e-08, 7.8592e-33, 7.8592e-33, 7.8592e-33
0.416718, 0, 1.69769e-08, 4.88073e-32, 1.41421, -1.69769e-08, 4.88073e-32, 0, 4.88073e-32, 4.88073e-32, 4.88073e-32, 4.88073e-32, 4.88073e-32, 4.88073e-32, 4.88073e-32, 4.88073e-32, 4.88073e-32, 4.88073e-32, 2.59738e-11, 4.88073e-32, 4.88073e-32, 6.01361e-13, 4.88073e-32, 1.83746e-12, 4.88073e-32, 1.69484e-08, 4.88073e-32, 4.88073e-32, 4.88073e-32
0.424615, 0, 2.5408e-08, 2.73253e-31, 1.41421, -2.5408e-08, 2.73253e-31, 0, 2.73253e-31, 2.73253e-31, 2.73253e-31, 2.73253e-31, 2.73253e-31, 2.73253e-31, 2.73253e-31, 2.73253e-31, 2.73253e-31, 2.73253e-31, 3.8966e-11, 2.73253e-31, 2.73253e-31, 9.961e-13, 2.73253e-31, 3.02379e-12, 2.73253e-31, 2.5365e-08, 2.73253e-31, 2.73253e-31, 2.73253e-31
0.432511, 0, 3.77289e-08, 1.48004e-30, 1.41421, -3.77289e-08, 1.48004e-30, 0, 1.48004e-30, 1.48004e-30, 1.48004e-30, 1.48004e-30, 1.48004e-30, 1.48004e-30, 1.48004e-30, 1.48004e-30, 1.48004e-30, 1.48004e-30, 5.80258e-11, 1.48004e-30, 1.48004e-30, 1.64886e-12, 1.48004e-30, 4.97126e-12, 1.48004e-30, 3.76642e-08, 1.48004e-30, 1.48004e-30, 1.48004e-30
0.440408, 0, 5.559e-08, 7.60765e-30, 1.41421, -5.559e-08, 7.60765e-30, 0, 7.60765e-30, 7.60765e-30, 7.60765e-30, 7.60765e-30, 7.60765e-30, 7.60765e-30, 7.60765e-30, 7.60765e-30, 7.60765e-30, 7.60765e-30, 8.57821e-11, 7.60765e-30, 7.60765e-30, 2.72709e-12, 7.60765e-30, 8.16572e-12, 7.60765e-30, 5.54934e-08, 7.60765e-30, 7.60765e-30, 7.60765e-30
0.448304, 0, 8.12776e-08, 3.6905e-29, 1.41421, -8.12776e-08, 3.6905e-29, 0, 3.6905e-29, 3.6905e-29, 3.6905e-29, 3.6905e-29, 3.6905e-29, 3.6905e-29, 3.6905e-29, 3.6905e-29, 3.6905e-29, 3.6905e-29, 1.25914e-10, 3.6905e-29, 3.6905e-29, 4.50531e-12, 3.6905e-29, 1.34003e-11, 3.6905e-29, 8.11337e-08, 3.6905e-29, 3.6905e-29, 3.6905e-29
0.456201, 0, 1.17931e-07, 1.71566e-28, 1.41421, -1.17931e-07, 1.71566e-28, 0, 1.71566e-28, 1.71566e-28, 1.71566e-28, 1.71566e-28, 1.71566e-28, 1.71566e-28, 1.71566e-28, 1.71566e-28, 1.71566e-28, 1.71566e-28, 1.83533e-10, 1.71566e-28, 1.71566e-28, 7.43167e-12, 1.71566e-28, 2.19653e-11, 1.71566e-28, 1.17718e-07, 1.71566e-28, 1.71566e-28, 1.71566e-28
0.464097, 0, 1.69827e-07, 7.62778e-28, 1.41421, -1.69827e-07, 7.62778e-28, 0, 7.62778e-28, 7.62778e-28, 7.62778e-28, 7.62778e-28, 7.62778e-28, 7.62778e-28, 7.62778e-28, 7.62778e-28, 7.62778e-28, 7.62778e-28, 2.65697e-10, 7.62778e-28, 7.62778e-28, 1.22341e-11, 7.62778e-28, 3.59519e-11, 7.62778e-28, 1.69513e-07, 7.62778e-28, 7.62778e-28, 7.62778e-28
0.471994, 0, 2.42739e-07, 3.23187e-27, 1.41421, -2.42739e-07, 3.23187e-27, 0, 3.23187e-27, 3.23187e-27, 3.23187e-27, 3.23187e-27, 3.23187e-27, 3.23187e-27, 3.23187e-27, 3.23187e-27, 3.23187e-27, 3.23187e-27, 3.8208e-10, 3.23187e-27, 3.23187e-27, 2.00886e-11, 3.23187e-27, 5.87311e-11, 3.23187e-27, 2.42278e-07, 3.23187e-27, 3.23187e-27, 3.23187e-27
0.47989, 0, 3.444e-07, 1.30586e-26, 1.41421, -3.444e-07, 1.30586e-26, 0, 1.30586e-26, 1.30586e-26, 1.30586e-26, 1.30586e-26, 1.30586e-26, 1.30586e-26, 1.30586e-26, 1.30586e-26, 1.30586e-26, 1.30586e-26, 5.45868e-10, 1.30586e-26, 1.30586e-26, 3.28827e-11, 1.30586e-26, 9.57044e-11, 1.30586e-26, 3.43725e-07, 1.30586e-26, 1.30586e-26, 1.30586e-26
0.487787, 0, 4.85085e-07, 5.03812e-26, 1.41421, -4.85085e-07, 5.03812e-26, 0, 5.03812e-26, 5.03812e-26, 5.03812e-26, 5.03812e-26, 5.03812e-26, 5.03812e-26, 5.03812e-26, 3.40987e-12, 5.03812e-26, 5.03812e-26, 7.74912e-10, 5.03812e-26, 5.03812e-26, 5.36262e-11, 5.03812e-26, 1.55467e-10, 5.03812e-26, 4.84098e-07, 5.03812e-26, 5.03812e-26, 5.03812e-26
0.495683, 0, 6.78333e-07, 1.85942e-25, 1.41421, -6.78333e-07, 1.85942e-25, 0, 1.85942e-25, 1.85942e-25, 1.85942e-25, 1.85942e-25, 1.85942e-25, 1.85942e-25, 1.85942e-25, 1.18295e-11, 1.85942e-25, 1.85942e-25, 1.09324e-09, 1.85942e-25, 1.85942e-25, 8.70829e-11, 1.85942e-25, 2.51587e-10, 1.85942e-25, 6.76889e-07, 1.85942e-25, 1.85942e-25, 1.85942e-25
0.50358, 0, 9.4184e-07, 6.61345e-25, 1.41421, -9.4184e-07, 6.61345e-25, 0, 6.61345e-25, 6.61345e-25, 6.61345e-25, 6.61345e-25, 6.61345e-25, 6.61345e-25, 6.61345e-25, 3.19251e-11, 6.61345e-25, 6.61345e-25, 1.53297e-09, 6.61345e-25, 6.61345e-25, 1.40735e-10, 6.61345e-25, 4.05302e-10, 6.61345e-25, 9.39729e-07, 6.61345e-25, 6.61345e-25, 6.61345e-25
0.511476, 0, 1.30221e-06, 2.79713e-10, 1.41421, -1.30221e-06, 2.85505e-10, 2.79713e-10, 2.79723e-10, 2.79795e-10, 2.79742e-10, 9.62472e-10, 2.97976e-10, 2.80467e-10, 3.12879e-10, 5.18935e-10, 9.33441e-10, 1.86516e-09, 2.41661e-09, 2.82412e-10, 2.83624e-10, 5.05952e-10, 2.79764e-10, 9.29243e-10, 2.79715e-10, 1.29595e-06, 2.79713e-10, 2.79713e-10, 3.03226e-10
0.519373, 0, 1.79063e-06, 9.61284e-10, 1.41421, -1.79063e-06, 9.81264e-10, 9.61284e-10, 9.61318e-10, 9.61567e-10, 9.61382e-10, 3.3165e-09, 1.02428e-09, 9.63886e-10, 1.07569e-09, 1.69932e-09, 3.21636e-09, 6.43038e-09, 3.92275e-09, 9.70594e-10, 9.74775e-10, 1.32295e-09, 9.62375e-10, 1.9961e-09, 9.61292e-10, 1.77515e-06, 9.61284e-10, 9.61284e-10, 1.04239e-09
0.527269, 0, 2.45231e-06, 2.57589e-09, 1.41421, -2.45231e-06, 2.62954e-09, 2.57589e-09, 2.57598e-09, 2.57665e-09, 2.57615e-09, 8.89969e-09, 2.74505e-09, 2.58288e-09, 2.88308e-09, 4.47931e-09, 8.6308e-09, 1.72605e-08, 6.65676e-09, 2.60089e-09, 2.61211e-09, 3.15051e-09, 2.57968e-09, 4.21376e-09, 2.57591e-09, 2.41623e-06, 2.57589e-09, 2.57589e-09, 2.79367e-09
0.535166, 0, 3.3526e-06, 6.41711e-09, 1.41421, -3.3526e-06, 6.55102e-09, 6.41711e-09, 6.41734e-09, 6.41901e-09, 6.41777e-09, 2.22023e-08, 6.83935e-09, 6.43455e-09, 7.1839e-09, 1.10433e-08, 2.15311e-08, 4.30722e-08, 1.20091e-08, 6.47951e-09, 6.50753e-09, 7.32432e-09, 6.42836e-09, 8.9912e-09, 6.41716e-09, 3.26929e-06, 6.41711e-09, 6.41711e-09, 6.96073e-09
0.543062, 0, 4.58241e-06, 1.47763e-08, 1.41421, -4.58241e-06, 1.50848e-08, 1.47763e-08, 1.47768e-08, 1.47807e-08, 1.47778e-08, 5.11468e-08, 1.57492e-08, 1.48165e-08, 1.65431e-08, 2.54163e-08, 4.96003e-08, 9.9233e-08, 2.23966e-08, 1.49201e-08, 1.49846e-08, 1.61987e-08, 1.48035e-08, 1.87945e-08, 1.47764e-08, 4.39833e-06, 1.47763e-08, 1.47763e-08, 1.60288e-08
0.550959, 0, 6.29211e-06, 3.30729e-08, 1.41421, -6.29211e-06, 3.37638e-08, 3.30729e-08, 3.3074e-08, 3.30827e-08, 3.30763e-08, 1.14518e-07, 3.52514e-08, 3.31628e-08, 3.70292e-08, 5.81101e-08, 1.11055e-07, 2.22199e-07, 4.34007e-08, 3.33948e-08, 3.35394e-08, 3.52876e-08, 3.31363e-08, 3.92921e-08, 3.30731e-08, 5.88918e-06, 3.30729e-08, 3.30729e-08, 3.58777e-08
0.558855, 0, 8.73561e-06, 7.21216e-08, 1.41421, -8.73561e-06, 7.36289e-08, 7.21216e-08, 7.21241e-08, 7.21429e-08, 7.2129e-08, 2.49803e-07, 7.68743e-08, 7.23179e-08, 8.07527e-08, 1.40753e-07, 2.42248e-07, 4.84719e-07, 8.60437e-08, 7.2824e-08, 7.31393e-08, 7.55454e-08, 7.22648e-08, 8.16678e-08, 7.21221e-08, 7.85658e-06, 7.21216e-08, 7.21216e-08, 7.82406e-08
0.566752, 0, 1.23303e-05, 1.53393e-07, 1.41421, -1.23303e-05, 1.566e-07, 1.53393e-07, 1.53399e-07, 1.53439e-07, 1.53409e-07, 5.31448e-07, 1.63506e-07, 1.53811e-07, 1.71758e-07, 3.18779e-07, 5.15373e-07, 1.03128e-06, 1.7206e-07, 1.54888e-07, 1.55559e-07, 1.58648e-07, 1.53708e-07, 1.67922e-07, 1.53394e-07, 1.04593e-05, 1.53393e-07, 1.53393e-07, 1.66413e-07
