   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_76.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0333828, 152, 0, 0, 12.4097, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0254863, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0175898, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00969327, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00179676, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00609975, 0, 3.09618e-23, 0, 1.41421, -3.09618e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.68777e-26, 0, 0, 2.56592e-28, 0, 6.709e-28, 0, 3.0914e-23, 0, 0, 0
0.0139963, 0, 8.4147e-23, 0, 1.41421, -8.4147e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27403e-25, 0, 0, 7.06136e-28, 0, 1.87453e-27, 0, 8.4017e-23, 0, 0, 0
0.0218928, 0, 2.22645e-22, 0, 1.41421, -2.22645e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37096e-25, 0, 0, 1.89168e-27, 0, 5.08627e-27, 0, 2.22301e-22, 0, 0, 0
0.0297893, 0, 5.75022e-22, 0, 1.41421, -5.75022e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.7061e-25, 0, 0, 4.94644e-27, 0, 1.34453e-26, 0, 5.74133e-22, 0, 0, 0
0.0376858, 0, 1.45264e-21, 0, 1.41421, -1.45264e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19936e-24, 0, 0, 1.26519e-26, 0, 3.4714e-26, 0, 1.45039e-21, 0, 0, 0
0.0455823, 0, 3.59562e-21, 0, 1.41421, -3.59562e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44393e-24, 0, 0, 3.17101e-26, 0, 8.77167e-26, 0, 3.59006e-21, 0, 0, 0
0.0534788, 0, 8.7328e-21, 0, 1.41421, -8.7328e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32218e-23, 0, 0, 7.7993e-26, 0, 2.17284e-25, 0, 8.71928e-21, 0, 0, 0
0.0613753, 0, 2.08362e-20, 0, 1.41421, -2.08362e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1547e-23, 0, 0, 1.8848e-25, 0, 5.28375e-25, 0, 2.0804e-20, 0, 0, 0
0.0692718, 0, 4.88904e-20, 0, 1.41421, -4.88904e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.40221e-23, 0, 0, 4.48014e-25, 0, 1.26283e-24, 0, 4.88146e-20, 0, 0, 0
0.0771683, 0, 1.12915e-19, 0, 1.41421, -1.12915e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70959e-22, 0, 0, 1.0484e-24, 0, 2.96946e-24, 0, 1.1274e-19, 0, 0, 0
0.0850649, 0, 2.5689e-19, 0, 1.41421, -2.5689e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88941e-22, 0, 0, 2.41726e-24, 0, 6.8758e-24, 0, 2.56492e-19, 0, 0, 0
0.0929614, 0, 5.76103e-19, 0, 1.41421, -5.76103e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.72242e-22, 0, 0, 5.49512e-24, 0, 1.56898e-23, 0, 5.7521e-19, 0, 0, 0
0.100858, 0, 1.27431e-18, 0, 1.41421, -1.27431e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92936e-21, 0, 0, 1.23242e-23, 0, 3.53065e-23, 0, 1.27233e-18, 0, 0, 0
0.108754, 0, 2.78164e-18, 0, 1.41421, -2.78164e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21151e-21, 0, 0, 2.72837e-23, 0, 7.83963e-23, 0, 2.77733e-18, 0, 0, 0
0.116651, 0, 5.9949e-18, 0, 1.41421, -5.9949e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.0765e-21, 0, 0, 5.96512e-23, 0, 1.71859e-22, 0, 5.98559e-18, 0, 0, 0
0.124547, 0, 1.27615e-17, 0, 1.41421, -1.27615e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93213e-20, 0, 0, 1.28853e-22, 0, 3.72129e-22, 0, 1.27417e-17, 0, 0, 0
0.132444, 0, 2.68423e-17, 0, 1.41421, -2.68423e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06401e-20, 0, 0, 2.75105e-22, 0, 7.96241e-22, 0, 2.68006e-17, 0, 0, 0
