   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_129.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.172741, 0, 4.9269e-19, 0, 1.41421, -4.9269e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52934e-21, 0, 0, 4.02796e-24, 0, 2.87971e-24, 0, 4.89153e-19, 0, 0, 0
0.180629, 0, 1.24998e-18, 0, 1.41421, -1.24998e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.95416e-21, 0, 0, 1.03466e-23, 0, 7.45545e-24, 0, 1.24101e-18, 0, 0, 0
0.188518, 0, 3.11375e-18, 0, 1.41421, -3.11375e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23051e-20, 0, 0, 2.61029e-23, 0, 1.89405e-23, 0, 3.0914e-18, 0, 0, 0
0.196406, 0, 7.62116e-18, 0, 1.41421, -7.62116e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45935e-20, 0, 0, 6.47244e-23, 0, 4.72564e-23, 0, 7.56645e-18, 0, 0, 0
0.204295, 0, 1.83396e-17, 0, 1.41421, -1.83396e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31374e-19, 0, 0, 1.57839e-22, 0, 1.15877e-22, 0, 1.82079e-17, 0, 0, 0
0.212183, 0, 4.34138e-17, 0, 1.41421, -4.34138e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10991e-19, 0, 0, 3.78772e-22, 0, 2.79433e-22, 0, 4.31022e-17, 0, 0, 0
0.220071, 0, 1.02835e-16, 0, 1.41421, -1.02835e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.36649e-19, 0, 0, 9.1291e-22, 0, 6.76754e-22, 0, 1.02097e-16, 0, 0, 0
0.22796, 0, 2.35397e-16, 0, 1.41421, -2.35397e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68624e-18, 0, 0, 2.11949e-21, 0, 1.57703e-21, 0, 2.33708e-16, 0, 0, 0
0.235848, 0, 5.30927e-16, 0, 1.41421, -5.30927e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80323e-18, 0, 0, 4.85039e-21, 0, 3.62083e-21, 0, 5.27116e-16, 0, 0, 0
0.243737, 0, 1.18027e-15, 0, 1.41421, -1.18027e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.45473e-18, 0, 0, 1.0945e-20, 0, 8.19418e-21, 0, 1.1718e-15, 0, 0, 0
0.251625, 0, 2.5869e-15, 0, 1.41421, -2.5869e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85308e-17, 0, 0, 2.43609e-20, 0, 1.82849e-20, 0, 2.56833e-15, 0, 0, 0
0.259513, 0, 5.59178e-15, 0, 1.41421, -5.59178e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00556e-17, 0, 0, 5.34985e-20, 0, 4.02461e-20, 0, 5.55163e-15, 0, 0, 0
