   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_261.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0301356, 522, 0, 0, 22.891, 522, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0222534, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0143711, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00648886, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0013934, 0, 4.73722e-25, 0, 1.41421, -4.73722e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44829e-27, 0, 2.55178e-30, 0, 7.85129e-30, 0, 4.72264e-25, 0, 0, 0
0.00927565, 0, 1.50824e-24, 0, 1.41421, -1.50824e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61108e-27, 0, 8.23531e-30, 0, 2.60353e-29, 0, 1.50359e-24, 0, 0, 0
0.0171579, 0, 4.58431e-24, 0, 1.41421, -4.58431e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40154e-26, 0, 2.53638e-29, 0, 8.18641e-29, 0, 4.57019e-24, 0, 0, 0
0.0250402, 0, 1.34058e-23, 0, 1.41421, -1.34058e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0985e-26, 0, 7.51387e-29, 0, 2.46523e-28, 0, 1.33645e-23, 0, 0, 0
0.0329224, 0, 3.79206e-23, 0, 1.41421, -3.79206e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15933e-25, 0, 2.15288e-28, 0, 7.15775e-28, 0, 3.78037e-23, 0, 0, 0
0.0408047, 0, 1.0417e-22, 0, 1.41421, -1.0417e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18473e-25, 0, 5.99024e-28, 0, 2.01343e-27, 0, 1.03848e-22, 0, 0, 0
0.0486869, 0, 2.7875e-22, 0, 1.41421, -2.7875e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5221e-25, 0, 1.62362e-27, 0, 5.50689e-27, 0, 2.77891e-22, 0, 0, 0
0.0565692, 0, 7.28348e-22, 0, 1.41421, -7.28348e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22674e-24, 0, 4.29739e-27, 0, 1.4686e-26, 0, 7.26102e-22, 0, 0, 0
0.0644514, 0, 1.8619e-21, 0, 1.41421, -1.8619e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69229e-24, 0, 1.11292e-26, 0, 3.82745e-26, 0, 1.85616e-21, 0, 0, 0
0.0723337, 0, 4.66408e-21, 0, 1.41421, -4.66408e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42592e-23, 0, 2.82475e-26, 0, 9.76608e-26, 0, 4.64969e-21, 0, 0, 0
0.0802159, 0, 1.14644e-20, 0, 1.41421, -1.14644e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50496e-23, 0, 7.03626e-26, 0, 2.4434e-25, 0, 1.14291e-20, 0, 0, 0
0.0880982, 0, 2.76832e-20, 0, 1.41421, -2.76832e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.46343e-23, 0, 1.72211e-25, 0, 6.00199e-25, 0, 2.75978e-20, 0, 0, 0
0.0959804, 0, 6.57329e-20, 0, 1.41421, -6.57329e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00961e-22, 0, 4.14542e-25, 0, 1.44909e-24, 0, 6.553e-20, 0, 0, 0
0.103863, 0, 1.53611e-19, 0, 1.41421, -1.53611e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69626e-22, 0, 9.82296e-25, 0, 3.44199e-24, 0, 1.53137e-19, 0, 0, 0
0.111745, 0, 3.53552e-19, 0, 1.41421, -3.53552e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08089e-21, 0, 2.29301e-24, 0, 8.04994e-24, 0, 3.52461e-19, 0, 0, 0
0.119627, 0, 8.01975e-19, 0, 1.41421, -8.01975e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45183e-21, 0, 5.27657e-24, 0, 1.85508e-23, 0, 7.995e-19, 0, 0, 0
0.127509, 0, 1.79387e-18, 0, 1.41421, -1.79387e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48428e-21, 0, 1.19764e-23, 0, 4.21496e-23, 0, 1.78833e-18, 0, 0, 0
0.135392, 0, 3.95879e-18, 0, 1.41421, -3.95879e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21029e-20, 0, 2.68262e-23, 0, 9.44781e-23, 0, 3.94656e-18, 0, 0, 0
0.143274, 0, 8.62317e-18, 0, 1.41421, -8.62317e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63631e-20, 0, 5.9326e-23, 0, 2.09023e-22, 0, 8.59654e-18, 0, 0, 0
0.151156, 0, 1.85472e-17, 0, 1.41421, -1.85472e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6703e-20, 0, 1.29587e-22, 0, 4.56643e-22, 0, 1.84899e-17, 0, 0, 0
0.159038, 0, 3.94048e-17, 0, 1.41421, -3.94048e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2047e-19, 0, 2.79686e-22, 0, 9.85506e-22, 0, 3.92831e-17, 0, 0, 0
0.166921, 0, 8.27218e-17, 0, 1.41421, -8.27218e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.529e-19, 0, 5.96642e-22, 0, 2.10184e-21, 0, 8.24662e-17, 0, 0, 0
0.174803, 0, 1.71639e-16, 0, 1.41421, -1.71639e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.24738e-19, 0, 1.25842e-21, 0, 4.43145e-21, 0, 1.71108e-16, 0, 0, 0
0.182685, 0, 3.52083e-16, 0, 1.41421, -3.52083e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0764e-18, 0, 2.62493e-21, 0, 9.23913e-21, 0, 3.50995e-16, 0, 0, 0
0.190567, 0, 7.14189e-16, 0, 1.41421, -7.14189e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18343e-18, 0, 5.41631e-21, 0, 1.90536e-20, 0, 7.11981e-16, 0, 0, 0
0.19845, 0, 1.43289e-15, 0, 1.41421, -1.43289e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38064e-18, 0, 1.10581e-20, 0, 3.88778e-20, 0, 1.42846e-15, 0, 0, 0
