   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_72.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.140775, 0, 1.16235e-15, 0, 1.41421, -1.16235e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.10747e-18, 0, 0, 5.45264e-20, 0, 1.46941e-19, 0, 1.15504e-15, 0, 0
0.148671, 0, 2.14534e-15, 0, 1.41421, -2.14534e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31181e-17, 0, 0, 1.02524e-19, 0, 2.76858e-19, 0, 2.13184e-15, 0, 0
0.156567, 0, 3.92617e-15, 0, 1.41421, -3.92617e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40073e-17, 0, 0, 1.91193e-19, 0, 5.17514e-19, 0, 3.90146e-15, 0, 0
0.164463, 0, 7.12535e-15, 0, 1.41421, -7.12535e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3569e-17, 0, 0, 3.53674e-19, 0, 9.59862e-19, 0, 7.08047e-15, 0, 0
0.172359, 0, 1.28249e-14, 0, 1.41421, -1.28249e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.84195e-17, 0, 0, 6.49049e-19, 0, 1.76679e-18, 0, 1.27441e-14, 0, 0
0.180255, 0, 2.28959e-14, 0, 1.41421, -2.28959e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39999e-16, 0, 0, 1.18184e-18, 0, 3.22787e-18, 0, 2.27515e-14, 0, 0
0.188151, 0, 4.05469e-14, 0, 1.41421, -4.05469e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47926e-16, 0, 0, 2.13551e-18, 0, 5.85414e-18, 0, 4.0291e-14, 0, 0
0.196047, 0, 7.12342e-14, 0, 1.41421, -7.12342e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35563e-16, 0, 0, 3.82959e-18, 0, 1.0541e-17, 0, 7.07843e-14, 0, 0
0.203943, 0, 1.24162e-13, 0, 1.41421, -1.24162e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59189e-16, 0, 0, 6.81659e-18, 0, 1.88464e-17, 0, 1.23377e-13, 0, 0
0.211839, 0, 2.14727e-13, 0, 1.41421, -2.14727e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31295e-15, 0, 0, 1.20447e-17, 0, 3.34623e-17, 0, 2.13369e-13, 0, 0
0.219735, 0, 3.6848e-13, 0, 1.41421, -3.6848e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25308e-15, 0, 0, 2.11297e-17, 0, 5.9009e-17, 0, 3.66147e-13, 0, 0
0.227631, 0, 6.27476e-13, 0, 1.41421, -6.27476e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83674e-15, 0, 0, 3.68057e-17, 0, 1.0337e-16, 0, 6.23499e-13, 0, 0
0.235527, 0, 1.06038e-12, 0, 1.41421, -1.06038e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48385e-15, 0, 0, 6.36677e-17, 0, 1.79899e-16, 0, 1.05366e-12, 0, 0
0.243423, 0, 1.77841e-12, 0, 1.41421, -1.77841e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08745e-14, 0, 0, 1.09388e-16, 0, 3.11082e-16, 0, 1.76711e-12, 0, 0
0.251319, 0, 2.96025e-12, 0, 1.41421, -2.96025e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81017e-14, 0, 0, 1.86697e-16, 0, 5.34552e-16, 0, 2.94142e-12, 0, 0
0.259215, 0, 4.8907e-12, 0, 1.41421, -4.8907e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99075e-14, 0, 0, 3.16591e-16, 0, 9.12933e-16, 0, 4.85957e-12, 0, 0
0.267111, 0, 8.02012e-12, 0, 1.41421, -8.02012e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90473e-14, 0, 0, 5.33517e-16, 0, 1.54984e-15, 0, 7.96898e-12, 0, 0
0.275007, 0, 1.30549e-11, 0, 1.41421, -1.30549e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9844e-14, 0, 0, 8.93667e-16, 0, 2.61583e-15, 0, 1.29716e-11, 0, 0
0.282903, 0, 2.10945e-11, 0, 1.41421, -2.10945e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29027e-13, 0, 0, 1.48829e-15, 0, 4.39018e-15, 0, 2.09596e-11, 0, 0
0.290799, 0, 3.38363e-11, 0, 1.41421, -3.38363e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06993e-13, 0, 0, 2.46494e-15, 0, 7.32819e-15, 0, 3.36195e-11, 0, 0
0.298695, 0, 5.38803e-11, 0, 1.41421, -5.38803e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29669e-13, 0, 0, 4.06127e-15, 0, 1.21687e-14, 0, 5.35344e-11, 0, 0
0.306591, 0, 8.5178e-11, 1.28919e-43, 1.41421, -8.5178e-11, 1.28919e-43, 0, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 5.21281e-13, 1.28919e-43, 1.28919e-43, 6.65889e-15, 1.28919e-43, 2.01064e-14, 1.28919e-43, 8.46299e-11, 1.28919e-43, 1.28919e-43
0.314487, 0, 1.33687e-10, 2.28552e-42, 1.41421, -1.33687e-10, 2.28552e-42, 0, 2.28552e-42, 2.28552e-42, 2.28552e-42, 2.28552e-42, 2.28552e-42, 2.28552e-42, 2.28552e-42, 2.28552e-42, 2.28552e-42, 8.18382e-13, 2.28552e-42, 2.28552e-42, 1.08689e-14, 2.28552e-42, 3.30655e-14, 2.28552e-42, 1.32825e-10, 2.28552e-42, 2.28552e-42
0.322383, 0, 2.08321e-10, 3.38596e-41, 1.41421, -2.08321e-10, 3.38596e-41, 0, 3.38596e-41, 3.38596e-41, 3.38596e-41, 3.38596e-41, 3.38596e-41, 3.38596e-41, 3.38596e-41, 3.38596e-41, 3.38596e-41, 1.27571e-12, 3.38596e-41, 3.38596e-41, 1.76682e-14, 3.38596e-41, 5.4137e-14, 3.38596e-41, 2.06974e-10, 3.38596e-41, 3.38596e-41
0.330279, 0, 3.22356e-10, 2.20339e-39, 1.41421, -3.22356e-10, 2.20339e-39, 0, 2.20339e-39, 2.20339e-39, 2.20339e-39, 2.20339e-39, 2.20339e-39, 2.20339e-39, 2.20339e-39, 2.20339e-39, 2.20339e-39, 1.97494e-12, 2.20339e-39, 2.20339e-39, 2.86669e-14, 2.20339e-39, 8.84238e-14, 2.20339e-39, 3.20264e-10, 2.20339e-39, 2.20339e-39
0.338174, 0, 4.95197e-10, 2.32362e-38, 1.41421, -4.95197e-10, 2.32362e-38, 0, 2.32362e-38, 2.32362e-38, 2.32362e-38, 2.32362e-38, 2.32362e-38, 2.32362e-38, 2.32362e-38, 2.32362e-38, 2.32362e-38, 3.03549e-12, 2.32362e-38, 2.32362e-38, 4.62807e-14, 2.32362e-38, 1.43628e-13, 2.32362e-38, 4.91972e-10, 2.32362e-38, 2.32362e-38
0.34607, 0, 7.55354e-10, 2.22071e-37, 1.41421, -7.55354e-10, 2.22071e-37, 0, 2.22071e-37, 2.22071e-37, 2.22071e-37, 2.22071e-37, 2.22071e-37, 2.22071e-37, 2.22071e-37, 2.22071e-37, 2.22071e-37, 4.63324e-12, 2.22071e-37, 2.22071e-37, 7.45117e-14, 2.22071e-37, 2.32489e-13, 2.22071e-37, 7.50414e-10, 2.22071e-37, 2.22071e-37
0.353966, 0, 1.14411e-09, 1.9376e-36, 1.41421, -1.14411e-09, 1.9376e-36, 0, 1.9376e-36, 1.9376e-36, 1.9376e-36, 1.9376e-36, 1.9376e-36, 1.9376e-36, 1.9376e-36, 1.9376e-36, 1.9376e-36, 7.02341e-12, 1.9376e-36, 1.9376e-36, 1.1969e-13, 1.9376e-36, 3.75148e-13, 1.9376e-36, 1.13659e-09, 1.9376e-36, 1.9376e-36
0.361862, 0, 1.72087e-09, 1.54942e-35, 1.41421, -1.72087e-09, 1.54942e-35, 0, 1.54942e-35, 1.54942e-35, 1.54942e-35, 1.54942e-35, 1.54942e-35, 1.54942e-35, 1.54942e-35, 1.54942e-35, 1.54942e-35, 1.05742e-11, 1.54942e-35, 1.54942e-35, 1.91908e-13, 1.54942e-35, 6.03656e-13, 1.54942e-35, 1.7095e-09, 1.54942e-35, 1.54942e-35
0.369758, 0, 2.57045e-09, 1.14064e-34, 1.41421, -2.57045e-09, 1.14064e-34, 0, 1.14064e-34, 1.14064e-34, 1.14064e-34, 1.14064e-34, 1.14064e-34, 1.14064e-34, 1.14064e-34, 1.14064e-34, 1.14064e-34, 1.58128e-11, 1.14064e-34, 1.14064e-34, 3.07272e-13, 1.14064e-34, 9.68961e-13, 1.14064e-34, 2.55336e-09, 1.14064e-34, 1.14064e-34
0.377654, 0, 3.813e-09, 7.86208e-34, 1.41421, -3.813e-09, 7.86208e-34, 0, 7.86208e-34, 7.86208e-34, 7.86208e-34, 7.86208e-34, 7.86208e-34, 7.86208e-34, 7.86208e-34, 7.86208e-34, 7.86208e-34, 2.3489e-11, 7.86208e-34, 7.86208e-34, 4.9148e-13, 7.86208e-34, 1.55197e-12, 7.86208e-34, 3.78747e-09, 7.86208e-34, 7.86208e-34
0.38555, 0, 5.61749e-09, 4.60555e-33, 1.41421, -5.61749e-09, 4.60555e-33, 0, 4.60555e-33, 4.60555e-33, 4.60555e-33, 4.60555e-33, 4.60555e-33, 4.60555e-33, 4.60555e-33, 4.60555e-33, 4.60555e-33, 3.46619e-11, 4.60555e-33, 4.60555e-33, 7.85559e-13, 4.60555e-33, 2.48109e-12, 4.60555e-33, 5.57956e-09, 4.60555e-33, 4.60555e-33
0.393446, 0, 8.21967e-09, 2.75636e-32, 1.41421, -8.21967e-09, 2.75636e-32, 0, 2.75636e-32, 2.75636e-32, 2.75636e-32, 2.75636e-32, 2.75636e-32, 2.75636e-32, 2.75636e-32, 2.75636e-32, 2.75636e-32, 5.08166e-11, 2.75636e-32, 2.75636e-32, 1.25499e-12, 2.75636e-32, 3.95985e-12, 2.75636e-32, 8.16364e-09, 2.75636e-32, 2.75636e-32
0.401342, 0, 1.19461e-08, 1.46877e-31, 1.41421, -1.19461e-08, 1.46877e-31, 0, 1.46877e-31, 1.46877e-31, 1.46877e-31, 1.46877e-31, 1.46877e-31, 1.46877e-31, 1.46877e-31, 1.46877e-31, 1.46877e-31, 7.40231e-11, 1.46877e-31, 1.46877e-31, 2.00425e-12, 1.46877e-31, 6.31049e-12, 1.46877e-31, 1.18638e-08, 1.46877e-31, 1.46877e-31
0.409238, 0, 1.72456e-08, 7.68861e-31, 1.41421, -1.72456e-08, 7.68861e-31, 0, 7.68861e-31, 7.68861e-31, 7.68861e-31, 7.68861e-31, 7.68861e-31, 7.68861e-31, 7.68861e-31, 7.68861e-31, 7.68861e-31, 1.07146e-10, 7.68861e-31, 7.68861e-31, 3.19979e-12, 7.68861e-31, 1.00423e-11, 7.68861e-31, 1.71252e-08, 7.68861e-31, 7.68861e-31
0.417134, 0, 2.47305e-08, 3.84293e-30, 1.41421, -2.47305e-08, 3.84293e-30, 0, 3.84293e-30, 3.84293e-30, 3.84293e-30, 3.84293e-30, 3.84293e-30, 3.84293e-30, 3.84293e-30, 3.84293e-30, 3.84293e-30, 1.54127e-10, 3.84293e-30, 3.84293e-30, 5.10642e-12, 3.84293e-30, 1.59584e-11, 3.84293e-30, 2.45553e-08, 3.84293e-30, 3.84293e-30
0.42503, 0, 3.52305e-08, 1.81693e-29, 1.41421, -3.52305e-08, 1.81693e-29, 0, 1.81693e-29, 1.81693e-29, 1.81693e-29, 1.81693e-29, 1.81693e-29, 1.81693e-29, 1.81693e-29, 1.81693e-29, 1.81693e-29, 2.20354e-10, 1.81693e-29, 1.81693e-29, 8.14437e-12, 1.81693e-29, 2.53221e-11, 1.81693e-29, 3.49766e-08, 1.81693e-29, 1.81693e-29
0.432926, 0, 4.98607e-08, 8.29397e-29, 1.41421, -4.98607e-08, 8.29397e-29, 0, 8.29397e-29, 8.29397e-29, 8.29397e-29, 8.29397e-29, 8.29397e-29, 8.29397e-29, 8.29397e-29, 8.29397e-29, 8.29397e-29, 3.1315e-10, 8.29397e-29, 8.29397e-29, 1.29786e-11, 8.29397e-29, 4.01134e-11, 8.29397e-29, 4.94944e-08, 8.29397e-29, 8.29397e-29
0.440822, 0, 7.01098e-08, 3.63236e-28, 1.41421, -7.01098e-08, 3.63236e-28, 0, 3.63236e-28, 3.63236e-28, 3.63236e-28, 3.63236e-28, 3.63236e-28, 3.63236e-28, 3.63236e-28, 3.63236e-28, 3.63236e-28, 4.42408e-10, 3.63236e-28, 3.63236e-28, 2.06571e-11, 3.63236e-28, 6.3423e-11, 3.63236e-28, 6.95834e-08, 3.63236e-28, 3.63236e-28
0.448718, 0, 9.79512e-08, 1.51777e-27, 1.41421, -9.79512e-08, 1.51777e-27, 0, 1.51777e-27, 1.51777e-27, 1.51777e-27, 1.51777e-27, 1.51777e-27, 1.51777e-27, 1.51777e-27, 1.51777e-27, 1.51777e-27, 6.21422e-10, 1.51777e-27, 1.51777e-27, 3.2825e-11, 1.51777e-27, 1.00053e-10, 1.51777e-27, 9.71969e-08, 1.51777e-27, 1.51777e-27
0.456614, 0, 1.35982e-07, 6.05121e-27, 1.41421, -1.35982e-07, 6.05121e-27, 0, 6.05121e-27, 6.05121e-27, 6.05121e-27, 6.05121e-27, 6.05121e-27, 6.05121e-27, 6.05121e-27, 6.05121e-27, 6.05121e-27, 8.67949e-10, 6.05121e-27, 6.05121e-27, 5.20518e-11, 6.05121e-27, 1.57422e-10, 6.05121e-27, 1.34904e-07, 6.05121e-27, 6.05121e-27
0.46451, 0, 1.87595e-07, 2.30413e-26, 1.41421, -1.87595e-07, 2.30413e-26, 0, 2.30413e-26, 2.30413e-26, 2.30413e-26, 2.30413e-26, 2.30413e-26, 2.30413e-26, 4.1015e-13, 2.30413e-26, 2.30413e-26, 1.20559e-09, 2.30413e-26, 2.30413e-26, 8.23289e-11, 2.30413e-26, 2.46923e-10, 2.30413e-26, 1.8606e-07, 2.30413e-26, 2.30413e-26
0.472406, 0, 2.57195e-07, 8.393e-26, 1.41421, -2.57195e-07, 8.393e-26, 0, 8.393e-26, 8.393e-26, 8.393e-26, 8.393e-26, 8.393e-26, 8.393e-26, 1.36941e-12, 8.393e-26, 8.393e-26, 1.66553e-09, 8.393e-26, 8.393e-26, 1.2982e-10, 8.393e-26, 3.85928e-10, 8.393e-26, 2.55013e-07, 8.393e-26, 8.393e-26
0.480302, 0, 3.5046e-07, 2.94896e-25, 1.41421, -3.5046e-07, 2.94896e-25, 0, 2.94896e-25, 2.94896e-25, 2.94896e-25, 2.94896e-25, 2.94896e-25, 2.94896e-25, 3.54914e-12, 2.94896e-25, 2.94896e-25, 2.28878e-09, 2.94896e-25, 2.94896e-25, 2.03983e-10, 2.94896e-25, 6.00736e-10, 2.94896e-25, 3.47363e-07, 2.94896e-25, 2.94896e-25
0.488198, 0, 4.76612e-07, 2.49002e-10, 1.41421, -4.76612e-07, 2.78159e-10, 2.49002e-10, 2.49011e-10, 2.49078e-10, 2.49026e-10, 8.45211e-10, 2.65566e-10, 2.60247e-10, 2.76383e-10, 5.12957e-10, 9.6092e-10, 3.37803e-09, 2.49125e-10, 2.52042e-10, 5.68234e-10, 2.49002e-10, 1.17983e-09, 2.49003e-10, 4.70573e-07, 2.49002e-10, 2.49002e-10
0.496094, 0, 6.45525e-07, 8.27463e-10, 1.41421, -6.45525e-07, 9.24349e-10, 8.27463e-10, 8.27495e-10, 8.27716e-10, 8.27543e-10, 2.80857e-09, 8.82503e-10, 8.6483e-10, 9.09445e-10, 1.70454e-09, 3.19305e-09, 5.08349e-09, 8.27872e-10, 8.37566e-10, 1.3249e-09, 8.27463e-10, 2.26247e-09, 8.27466e-10, 6.3383e-07, 8.27463e-10, 8.27463e-10
0.50399, 0, 8.72155e-07, 2.13475e-09, 1.41421, -8.72155e-07, 2.38482e-09, 2.13475e-09, 2.13484e-09, 2.13541e-09, 2.13496e-09, 7.24807e-09, 2.27681e-09, 2.2312e-09, 2.33872e-09, 4.39853e-09, 8.24044e-09, 7.89488e-09, 2.13581e-09, 2.16083e-09, 2.90613e-09, 2.13475e-09, 4.33474e-09, 2.13476e-09, 8.4922e-07, 2.13475e-09, 2.13475e-09
0.511886, 0, 1.17787e-06, 5.02127e-09, 1.41421, -1.17787e-06, 5.60959e-09, 5.02127e-09, 5.02146e-09, 5.02281e-09, 5.02175e-09, 1.70512e-08, 5.35549e-09, 5.24817e-09, 5.49156e-09, 1.03472e-08, 1.93858e-08, 1.27788e-08, 5.02375e-09, 5.08262e-09, 6.21124e-09, 5.02127e-09, 8.37378e-09, 5.02129e-09, 1.13217e-06, 5.02127e-09, 5.02127e-09
0.519782, 0, 1.59504e-06, 1.12517e-08, 1.41421, -1.59504e-06, 1.25702e-08, 1.12517e-08, 1.12521e-08, 1.12552e-08, 1.12528e-08, 3.82119e-08, 1.20007e-08, 1.17602e-08, 1.22904e-08, 2.31876e-08, 4.34442e-08, 2.16489e-08, 1.12573e-08, 1.13892e-08, 1.30773e-08, 1.12517e-08, 1.63278e-08, 1.12518e-08, 1.50289e-06, 1.12517e-08, 1.12517e-08
0.527678, 0, 2.17493e-06, 2.44051e-08, 1.41421, -2.17493e-06, 2.72652e-08, 2.44051e-08, 2.4406e-08, 2.44126e-08, 2.44074e-08, 8.28876e-08, 2.60299e-08, 2.55081e-08, 2.66704e-08, 5.02966e-08, 9.42376e-08, 3.82737e-08, 2.44172e-08, 2.47033e-08, 2.71898e-08, 2.44051e-08, 3.20478e-08, 2.44052e-08, 1.98826e-06, 2.44051e-08, 2.44051e-08
0.535574, 0, 3.00247e-06, 5.15723e-08, 1.41421, -3.00247e-06, 5.76166e-08, 5.15723e-08, 5.15743e-08, 5.15881e-08, 5.15773e-08, 1.75166e-07, 5.5006e-08, 5.39035e-08, 5.67354e-08, 1.0629e-07, 1.99152e-07, 6.99842e-08, 5.15978e-08, 5.22026e-08, 5.57943e-08, 5.15723e-08, 6.29905e-08, 5.15725e-08, 2.62488e-06, 5.15723e-08, 5.15723e-08
0.54347, 0, 4.22546e-06, 1.06478e-07, 1.41421, -4.22546e-06, 1.18958e-07, 1.06478e-07, 1.06482e-07, 1.06511e-07, 1.06488e-07, 3.61673e-07, 1.13568e-07, 1.11291e-07, 1.21294e-07, 2.19459e-07, 4.112e-07, 1.30807e-07, 1.06531e-07, 1.0778e-07, 1.12839e-07, 1.06478e-07, 1.23414e-07, 1.06479e-07, 3.46433e-06, 1.06478e-07, 1.06478e-07
0.551366, 0, 6.09513e-06, 2.15075e-07, 1.41421, -6.09513e-06, 2.40286e-07, 2.15075e-07, 2.15083e-07, 2.15141e-07, 2.15096e-07, 7.30579e-07, 2.29397e-07, 2.24798e-07, 2.50444e-07, 4.433e-07, 8.30625e-07, 2.47075e-07, 2.15181e-07, 2.17704e-07, 2.24599e-07, 2.15075e-07, 2.4001e-07, 2.15076e-07, 4.58193e-06, 2.15075e-07, 2.15075e-07
0.559262, 0, 9.05317e-06, 4.25289e-07, 1.41421, -9.05317e-06, 4.75143e-07, 4.25289e-07, 4.25305e-07, 4.25419e-07, 4.2533e-07, 1.44471e-06, 4.53611e-07, 4.44517e-07, 5.0362e-07, 8.76609e-07, 1.64256e-06, 4.67186e-07, 4.25499e-07, 4.30487e-07, 4.39462e-07, 4.25289e-07, 4.6173e-07, 4.2529e-07, 6.09131e-06, 4.25289e-07, 4.25289e-07
0.567158, 0, 1.38685e-05, 8.23573e-07, 1.41421, -1.38685e-05, 9.20123e-07, 8.23573e-07, 8.23605e-07, 8.23826e-07, 8.23653e-07, 2.79782e-06, 8.78422e-07, 8.6081e-07, 9.89726e-07, 1.69761e-06, 3.18097e-06, 8.78181e-07, 8.23981e-07, 8.33641e-07, 8.44523e-07, 8.23573e-07, 8.76436e-07, 8.23576e-07, 8.16878e-06, 8.23573e-07, 8.23573e-07
0.575054, 0, 2.18675e-05, 1.56225e-06, 1.41421, -2.18675e-05, 1.74541e-06, 1.56225e-06, 1.56231e-06, 1.56273e-06, 1.5624e-06, 5.30749e-06, 1.6663e-06, 1.63289e-06, 1.90465e-06, 3.22035e-06, 6.03435e-06, 1.63311e-06, 1.56303e-06, 1.58135e-06, 1.59302e-06, 1.56225e-06, 1.63838e-06, 1.56226e-06, 1.10935e-05, 1.56225e-06, 1.56225e-06
0.58295, 0, 3.53028e-05, 2.90336e-06, 1.41421, -3.53028e-05, 3.24378e-06, 2.90336e-06, 2.90347e-06, 2.90425e-06, 2.90364e-06, 9.86418e-06, 3.09675e-06, 3.03465e-06, 3.59231e-06, 5.98506e-06, 1.12151e-05, 2.99491e-06, 2.9048e-06, 2.93886e-06, 2.94825e-06, 2.90336e-06, 3.01221e-06, 2.90337e-06, 1.5311e-05, 2.90336e-06, 2.90336e-06
0.590846, 0, 5.79413e-05, 5.28706e-06, 1.41421, -5.79413e-05, 5.90702e-06, 5.28706e-06, 5.28727e-06, 5.28868e-06, 5.28757e-06, 1.79638e-05, 5.63925e-06, 5.52616e-06, 6.65102e-06, 1.08993e-05, 2.0424e-05, 5.40486e-06, 5.28968e-06, 5.35171e-06, 5.35214e-06, 5.28706e-06, 5.44165e-06, 5.28708e-06, 2.15332e-05, 5.28706e-06, 5.28706e-06
