   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_72.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.0329362, 144, 0, 0, 12.083, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0250403, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0171443, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00924831, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00135234, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00654363, 0, 7.9337e-21, 0, 1.41421, -7.9337e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85148e-23, 0, 0, 2.7899e-25, 0, 7.34772e-25, 0, 7.88417e-21, 0, 0
0.0144396, 0, 1.74732e-20, 0, 1.41421, -1.74732e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06849e-22, 0, 0, 6.24442e-25, 0, 1.6487e-24, 0, 1.73641e-20, 0, 0
0.0223356, 0, 3.79749e-20, 0, 1.41421, -3.79749e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32216e-22, 0, 0, 1.37921e-24, 0, 3.6491e-24, 0, 3.77376e-20, 0, 0
0.0302316, 0, 8.1489e-20, 0, 1.41421, -8.1489e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98305e-22, 0, 0, 3.00794e-24, 0, 7.97236e-24, 0, 8.09797e-20, 0, 0
0.0381275, 0, 1.72745e-19, 0, 1.41421, -1.72745e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05633e-21, 0, 0, 6.48099e-24, 0, 1.72029e-23, 0, 1.71665e-19, 0, 0
0.0460235, 0, 3.61923e-19, 0, 1.41421, -3.61923e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21314e-21, 0, 0, 1.38023e-23, 0, 3.6683e-23, 0, 3.59659e-19, 0, 0
0.0539195, 0, 7.49733e-19, 0, 1.41421, -7.49733e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58457e-21, 0, 0, 2.90658e-23, 0, 7.73354e-23, 0, 7.45042e-19, 0, 0
0.0618154, 0, 1.53615e-18, 0, 1.41421, -1.53615e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.39348e-21, 0, 0, 6.05478e-23, 0, 1.6126e-22, 0, 1.52654e-18, 0, 0
0.0697114, 0, 3.11418e-18, 0, 1.41421, -3.11418e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90429e-20, 0, 0, 1.24809e-22, 0, 3.32719e-22, 0, 3.09468e-18, 0, 0
0.0776074, 0, 6.24828e-18, 0, 1.41421, -6.24828e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82076e-20, 0, 0, 2.5466e-22, 0, 6.79481e-22, 0, 6.20914e-18, 0, 0
0.0855034, 0, 1.24108e-17, 0, 1.41421, -1.24108e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.58908e-20, 0, 0, 5.1447e-22, 0, 1.37393e-21, 0, 1.2333e-17, 0, 0
0.0933993, 0, 2.44101e-17, 0, 1.41421, -2.44101e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49264e-19, 0, 0, 1.02933e-21, 0, 2.75146e-21, 0, 2.42571e-17, 0, 0
0.101295, 0, 4.75514e-17, 0, 1.41421, -4.75514e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9077e-19, 0, 0, 2.04008e-21, 0, 5.45872e-21, 0, 4.72532e-17, 0, 0
0.109191, 0, 9.17633e-17, 0, 1.41421, -9.17633e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61117e-19, 0, 0, 4.00618e-21, 0, 1.07313e-20, 0, 9.11875e-17, 0, 0
0.117087, 0, 1.75456e-16, 0, 1.41421, -1.75456e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07288e-18, 0, 0, 7.79633e-21, 0, 2.09096e-20, 0, 1.74354e-16, 0, 0
0.124983, 0, 3.32456e-16, 0, 1.41421, -3.32456e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0329e-18, 0, 0, 1.50386e-20, 0, 4.03896e-20, 0, 3.30367e-16, 0, 0
0.132879, 0, 6.24361e-16, 0, 1.41421, -6.24361e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81782e-18, 0, 0, 2.87578e-20, 0, 7.73583e-20, 0, 6.20437e-16, 0, 0
