   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_0.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.185918, 0, 3.73874e-14, 0, 1.41421, -3.73874e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22952e-19, 0, 4.26518e-18, 0, 3.73828e-14, 0, 0, 0
0.193855, 0, 6.81928e-14, 0, 1.41421, -6.81928e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.87476e-19, 0, 7.95456e-18, 0, 6.81841e-14, 0, 0, 0
0.201792, 0, 1.2329e-13, 0, 1.41421, -1.2329e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45388e-18, 0, 1.47165e-17, 0, 1.23273e-13, 0, 0, 0
0.209729, 0, 2.20968e-13, 0, 1.41421, -2.20968e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66207e-18, 0, 2.70124e-17, 0, 2.20939e-13, 0, 0, 0
0.217666, 0, 3.92636e-13, 0, 1.41421, -3.92636e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83471e-18, 0, 4.91997e-17, 0, 3.92582e-13, 0, 0, 0
0.225602, 0, 6.91738e-13, 0, 1.41421, -6.91738e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.71047e-18, 0, 8.89324e-17, 0, 6.9164e-13, 0, 0, 0
0.233539, 0, 1.20843e-12, 0, 1.41421, -1.20843e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55703e-17, 0, 1.59559e-16, 0, 1.20826e-12, 0, 0, 0
0.241476, 0, 2.09345e-12, 0, 1.41421, -2.09345e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76182e-17, 0, 2.84207e-16, 0, 2.09313e-12, 0, 0, 0
0.249413, 0, 3.59659e-12, 0, 1.41421, -3.59659e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.86197e-17, 0, 5.02635e-16, 0, 3.59604e-12, 0, 0, 0
0.25735, 0, 6.12829e-12, 0, 1.41421, -6.12829e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.49612e-17, 0, 8.82756e-16, 0, 6.12732e-12, 0, 0, 0
0.265287, 0, 1.03569e-11, 0, 1.41421, -1.03569e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47401e-16, 0, 1.53981e-15, 0, 1.03552e-11, 0, 0, 0
0.273223, 0, 1.73616e-11, 0, 1.41421, -1.73616e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53952e-16, 0, 2.66813e-15, 0, 1.73586e-11, 0, 0, 0
0.28116, 0, 2.88695e-11, 0, 1.41421, -2.88695e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34589e-16, 0, 4.59348e-15, 0, 2.88645e-11, 0, 0, 0
0.289097, 0, 4.76218e-11, 0, 1.41421, -4.76218e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.38911e-16, 0, 7.85883e-15, 0, 4.76132e-11, 0, 0, 0
0.297034, 0, 7.79306e-11, 0, 1.41421, -7.79306e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2486e-15, 0, 1.33645e-14, 0, 7.7916e-11, 0, 0, 0
0.304971, 0, 1.26522e-10, 0, 1.41421, -1.26522e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09754e-15, 0, 2.25957e-14, 0, 1.26498e-10, 0, 0, 0
0.312908, 0, 2.038e-10, 1.8357e-43, 1.41421, -2.038e-10, 0, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 3.50445e-15, 1.8357e-43, 3.79924e-14, 1.8357e-43, 2.03758e-10, 1.8357e-43, 1.8357e-43, 1.8357e-43
0.320844, 0, 3.25713e-10, 3.31687e-42, 1.41421, -3.25713e-10, 0, 3.31687e-42, 3.31687e-42, 3.31687e-42, 3.31687e-42, 3.31687e-42, 3.31687e-42, 3.31687e-42, 3.31687e-42, 3.31687e-42, 3.31687e-42, 5.82538e-15, 3.31687e-42, 6.35459e-14, 3.31687e-42, 3.25644e-10, 3.31687e-42, 3.31687e-42, 3.31687e-42
0.328781, 0, 5.16517e-10, 5.01441e-41, 1.41421, -5.16517e-10, 0, 5.01441e-41, 5.01441e-41, 5.01441e-41, 5.01441e-41, 5.01441e-41, 5.01441e-41, 5.01441e-41, 5.01441e-41, 5.01441e-41, 5.01441e-41, 9.63876e-15, 5.01441e-41, 1.05765e-13, 5.01441e-41, 5.16402e-10, 5.01441e-41, 5.01441e-41, 5.01441e-41
0.336718, 0, 8.12776e-10, 6.65791e-40, 1.41421, -8.12776e-10, 0, 6.65791e-40, 6.65791e-40, 6.65791e-40, 6.65791e-40, 6.65791e-40, 6.65791e-40, 6.65791e-40, 6.65791e-40, 6.65791e-40, 6.65791e-40, 1.58825e-14, 6.65791e-40, 1.75227e-13, 6.65791e-40, 8.12585e-10, 6.65791e-40, 6.65791e-40, 6.65791e-40
0.344655, 0, 1.26915e-09, 7.90376e-39, 1.41421, -1.26915e-09, 0, 7.90376e-39, 7.90376e-39, 7.90376e-39, 7.90376e-39, 7.90376e-39, 7.90376e-39, 7.90376e-39, 7.90376e-39, 7.90376e-39, 7.90376e-39, 2.60756e-14, 7.90376e-39, 2.89086e-13, 7.90376e-39, 1.26883e-09, 7.90376e-39, 7.90376e-39, 7.90376e-39
0.352592, 0, 1.96687e-09, 3.41241e-37, 1.41421, -1.96687e-09, 0, 3.41241e-37, 3.41241e-37, 3.41241e-37, 3.41241e-37, 3.41241e-37, 3.41241e-37, 3.41241e-37, 3.41241e-37, 3.41241e-37, 3.41241e-37, 4.27544e-14, 3.41241e-37, 4.75895e-13, 3.41241e-37, 1.96635e-09, 3.41241e-37, 3.41241e-37, 3.41241e-37
0.360529, 0, 3.0247e-09, 3.02455e-36, 1.41421, -3.0247e-09, 0, 3.02455e-36, 3.02455e-36, 3.02455e-36, 3.02455e-36, 3.02455e-36, 3.02455e-36, 3.02455e-36, 3.02455e-36, 3.02455e-36, 3.02455e-36, 6.97956e-14, 3.02455e-36, 7.7941e-13, 3.02455e-36, 3.02385e-09, 3.02455e-36, 3.02455e-36, 3.02455e-36
0.368465, 0, 4.61645e-09, 2.45529e-35, 1.41421, -4.61645e-09, 0, 2.45529e-35, 2.45529e-35, 2.45529e-35, 2.45529e-35, 2.45529e-35, 2.45529e-35, 2.45529e-35, 2.45529e-35, 2.45529e-35, 2.45529e-35, 1.13705e-13, 2.45529e-35, 1.2726e-12, 2.45529e-35, 4.61507e-09, 2.45529e-35, 2.45529e-35, 2.45529e-35
0.376402, 0, 6.99316e-09, 1.83359e-34, 1.41421, -6.99316e-09, 0, 1.83359e-34, 1.83359e-34, 1.83359e-34, 1.83359e-34, 1.83359e-34, 1.83359e-34, 1.83359e-34, 1.83359e-34, 1.83359e-34, 1.83359e-34, 1.84948e-13, 1.83359e-34, 2.07233e-12, 1.83359e-34, 6.9909e-09, 1.83359e-34, 1.83359e-34, 1.83359e-34
0.384339, 0, 1.05148e-08, 1.28534e-33, 1.41421, -1.05148e-08, 0, 1.28534e-33, 1.28534e-33, 1.28534e-33, 1.28534e-33, 1.28534e-33, 1.28534e-33, 1.28534e-33, 1.28534e-33, 1.28534e-33, 1.28534e-33, 3.00486e-13, 1.28534e-33, 3.36685e-12, 1.28534e-33, 1.05111e-08, 1.28534e-33, 1.28534e-33, 1.28534e-33
0.392276, 0, 1.56933e-08, 7.35721e-33, 1.41421, -1.56933e-08, 0, 7.35721e-33, 7.35721e-33, 7.35721e-33, 7.35721e-33, 7.35721e-33, 7.35721e-33, 7.35721e-33, 7.35721e-33, 7.35721e-33, 7.35721e-33, 4.87822e-13, 7.35721e-33, 5.45923e-12, 7.35721e-33, 1.56874e-08, 7.35721e-33, 7.35721e-33, 7.35721e-33
0.400213, 0, 2.32508e-08, 4.36723e-32, 1.41421, -2.32508e-08, 0, 4.36723e-32, 4.36723e-32, 4.36723e-32, 4.36723e-32, 4.36723e-32, 4.36723e-32, 4.36723e-32, 4.36723e-32, 4.36723e-32, 4.36723e-32, 7.91545e-13, 4.36723e-32, 8.83687e-12, 4.36723e-32, 2.32412e-08, 4.36723e-32, 4.36723e-32, 4.36723e-32
0.40815, 0, 3.41975e-08, 2.29625e-31, 1.41421, -3.41975e-08, 0, 2.29625e-31, 2.29625e-31, 2.29625e-31, 2.29625e-31, 2.29625e-31, 2.29625e-31, 2.29625e-31, 2.29625e-31, 2.29625e-31, 2.29625e-31, 1.28389e-12, 2.29625e-31, 1.42827e-11, 2.29625e-31, 3.41819e-08, 2.29625e-31, 2.29625e-31, 2.29625e-31
0.416087, 0, 4.9936e-08, 1.19651e-30, 1.41421, -4.9936e-08, 0, 1.19651e-30, 1.19651e-30, 1.19651e-30, 1.19651e-30, 1.19651e-30, 1.19651e-30, 1.19651e-30, 1.19651e-30, 1.19651e-30, 1.19651e-30, 2.08176e-12, 1.19651e-30, 2.30528e-11, 1.19651e-30, 4.99109e-08, 1.19651e-30, 1.19651e-30, 1.19651e-30
0.424023, 0, 7.23972e-08, 5.97908e-30, 1.41421, -7.23972e-08, 0, 5.97908e-30, 5.97908e-30, 5.97908e-30, 5.97908e-30, 5.97908e-30, 5.97908e-30, 5.97908e-30, 5.97908e-30, 5.97908e-30, 5.97908e-30, 3.37397e-12, 5.97908e-30, 3.71571e-11, 5.97908e-30, 7.23566e-08, 5.97908e-30, 5.97908e-30, 5.97908e-30
0.43196, 0, 1.04219e-07, 2.83193e-29, 1.41421, -1.04219e-07, 0, 2.83193e-29, 2.83193e-29, 2.83193e-29, 2.83193e-29, 2.83193e-29, 2.83193e-29, 2.83193e-29, 2.83193e-29, 2.83193e-29, 2.83193e-29, 5.46466e-12, 2.83193e-29, 5.98036e-11, 2.83193e-29, 1.04154e-07, 2.83193e-29, 2.83193e-29, 2.83193e-29
0.439897, 0, 1.48978e-07, 1.3029e-28, 1.41421, -1.48978e-07, 0, 1.3029e-28, 1.3029e-28, 1.3029e-28, 1.3029e-28, 1.3029e-28, 1.3029e-28, 1.3029e-28, 1.3029e-28, 1.3029e-28, 1.3029e-28, 8.84207e-12, 1.3029e-28, 9.60944e-11, 1.3029e-28, 1.48873e-07, 1.3029e-28, 1.3029e-28, 1.3029e-28
0.447834, 0, 2.11484e-07, 5.75676e-28, 1.41421, -2.11484e-07, 0, 5.75676e-28, 5.75676e-28, 5.75676e-28, 5.75676e-28, 5.75676e-28, 5.75676e-28, 5.75676e-28, 5.75676e-28, 5.75676e-28, 5.75676e-28, 1.42867e-11, 5.75676e-28, 1.54108e-10, 5.75676e-28, 2.11315e-07, 5.75676e-28, 5.75676e-28, 5.75676e-28
0.455771, 0, 2.98156e-07, 2.42789e-27, 1.41421, -2.98156e-07, 0, 2.42789e-27, 2.42789e-27, 2.42789e-27, 2.42789e-27, 2.42789e-27, 2.42789e-27, 2.42789e-27, 2.42789e-27, 2.42789e-27, 2.42789e-27, 2.30405e-11, 2.42789e-27, 2.46574e-10, 2.42789e-27, 2.97887e-07, 2.42789e-27, 2.42789e-27, 2.42789e-27
0.463708, 0, 4.17501e-07, 9.77116e-27, 1.41421, -4.17501e-07, 0, 9.77116e-27, 9.77116e-27, 9.77116e-27, 9.77116e-27, 9.77116e-27, 9.77116e-27, 9.77116e-27, 9.77116e-27, 9.77116e-27, 9.77116e-27, 3.70682e-11, 9.77116e-27, 3.93426e-10, 9.77116e-27, 4.1707e-07, 9.77116e-27, 9.77116e-27, 9.77116e-27
0.471644, 0, 5.80707e-07, 3.75541e-26, 1.41421, -5.80707e-07, 0, 3.75541e-26, 3.75541e-26, 3.75541e-26, 3.75541e-26, 3.75541e-26, 5.20432e-12, 3.75541e-26, 3.75541e-26, 3.75541e-26, 3.75541e-26, 5.94601e-11, 3.75541e-26, 6.2568e-10, 3.75541e-26, 5.80016e-07, 3.75541e-26, 3.75541e-26, 3.75541e-26
0.479581, 0, 8.0237e-07, 1.38063e-25, 1.41421, -8.0237e-07, 0, 1.38063e-25, 1.38063e-25, 1.38063e-25, 1.38063e-25, 1.38063e-25, 1.77179e-11, 1.38063e-25, 1.38063e-25, 1.38063e-25, 1.38063e-25, 9.50439e-11, 1.38063e-25, 9.91229e-10, 1.38063e-25, 8.01266e-07, 1.38063e-25, 1.38063e-25, 1.38063e-25
0.487518, 0, 1.10141e-06, 4.9014e-25, 1.41421, -1.10141e-06, 0, 4.9014e-25, 4.9014e-25, 4.9014e-25, 4.9014e-25, 4.9014e-25, 4.68517e-11, 4.9014e-25, 4.9014e-25, 4.9014e-25, 4.9014e-25, 1.51309e-10, 4.9014e-25, 1.56343e-09, 4.9014e-25, 1.09965e-06, 4.9014e-25, 4.9014e-25, 4.9014e-25
0.495455, 0, 1.50386e-06, 2.18002e-10, 1.41421, -1.50386e-06, 2.18002e-10, 2.18053e-10, 2.18061e-10, 7.47893e-10, 2.31187e-10, 2.4895e-10, 5.7556e-10, 2.92268e-10, 5.91897e-10, 2.20886e-10, 2.19948e-10, 4.57788e-10, 2.18119e-10, 2.67169e-09, 2.18003e-10, 1.49977e-06, 2.18002e-10, 2.18002e-10, 2.28261e-10
0.503392, 0, 2.04151e-06, 7.3589e-10, 1.41421, -2.04151e-06, 7.3589e-10, 7.36065e-10, 7.36091e-10, 2.52972e-09, 7.80527e-10, 8.40659e-10, 1.82297e-09, 9.87303e-10, 2.00163e-09, 7.45655e-10, 7.4248e-10, 1.11403e-09, 7.38814e-10, 4.56552e-09, 7.35895e-10, 2.0327e-06, 7.3589e-10, 7.3589e-10, 7.7062e-10
0.511329, 0, 2.75722e-06, 1.93342e-09, 1.41421, -2.75722e-06, 1.93342e-09, 1.93388e-09, 1.93395e-09, 6.6529e-09, 2.05086e-09, 2.20906e-09, 4.68612e-09, 2.59488e-09, 5.26353e-09, 1.95911e-09, 1.95076e-09, 2.5265e-09, 1.94311e-09, 7.8743e-09, 1.93343e-09, 2.73869e-06, 1.93342e-09, 1.93342e-09, 2.02479e-09
0.519265, 0, 3.70739e-06, 4.63238e-09, 1.41421, -3.70739e-06, 4.63238e-09, 4.63348e-09, 4.63364e-09, 1.59487e-08, 4.91397e-09, 5.2933e-09, 1.10941e-08, 6.21841e-09, 1.26173e-08, 4.69397e-09, 4.67394e-09, 5.55716e-09, 4.65843e-09, 1.37879e-08, 4.6324e-09, 3.66867e-06, 4.63238e-09, 4.63238e-09, 4.85147e-09
0.527202, 0, 4.96877e-06, 1.05704e-08, 1.41421, -4.96877e-06, 1.05704e-08, 1.05729e-08, 1.05733e-08, 3.64002e-08, 1.12132e-08, 1.2079e-08, 2.50912e-08, 1.41906e-08, 2.87961e-08, 1.0711e-08, 1.06653e-08, 1.20036e-08, 1.06342e-08, 2.4581e-08, 1.05705e-08, 4.88818e-06, 1.05704e-08, 1.05704e-08, 1.10705e-08
0.535139, 0, 6.65129e-06, 2.33265e-08, 1.41421, -6.65129e-06, 2.33265e-08, 2.3332e-08, 2.33328e-08, 8.03328e-08, 2.4745e-08, 2.66559e-08, 5.74898e-08, 3.13161e-08, 6.35506e-08, 2.36368e-08, 2.35359e-08, 2.55332e-08, 2.34743e-08, 4.46352e-08, 2.33266e-08, 6.48186e-06, 2.33265e-08, 2.33265e-08, 2.44301e-08
0.543076, 0, 8.91454e-06, 5.0091e-08, 1.41421, -8.91454e-06, 5.0091e-08, 5.01029e-08, 5.01046e-08, 1.72514e-07, 5.31373e-08, 5.72411e-08, 1.28304e-07, 6.72491e-08, 1.36474e-07, 5.07574e-08, 5.05407e-08, 5.34663e-08, 5.04208e-08, 8.22265e-08, 5.00913e-08, 8.56081e-06, 5.0091e-08, 5.0091e-08, 5.24612e-08
0.551013, 0, 1.20519e-05, 1.04955e-07, 1.41421, -1.20519e-05, 1.04955e-07, 1.0498e-07, 1.04983e-07, 3.61483e-07, 1.11338e-07, 1.19937e-07, 3.26647e-07, 1.40908e-07, 2.85963e-07, 1.06351e-07, 1.05897e-07, 1.10082e-07, 1.05669e-07, 1.53039e-07, 1.04955e-07, 1.12741e-05, 1.04955e-07, 1.04955e-07, 1.09921e-07
0.55895, 0, 1.6468e-05, 2.14845e-07, 1.41421, -1.6468e-05, 2.14845e-07, 2.14896e-07, 2.14903e-07, 7.40008e-07, 2.27913e-07, 2.45517e-07, 7.46718e-07, 2.88449e-07, 5.85404e-07, 2.17703e-07, 2.16774e-07, 2.2258e-07, 2.16351e-07, 2.86222e-07, 2.14846e-07, 1.48273e-05, 2.14845e-07, 2.14845e-07, 2.25012e-07
0.566886, 0, 2.2881e-05, 4.29951e-07, 1.41421, -2.2881e-05, 4.29951e-07, 4.30053e-07, 4.30068e-07, 1.48101e-06, 4.56105e-07, 4.91338e-07, 1.61925e-06, 5.77261e-07, 1.17159e-06, 4.35672e-07, 4.33811e-07, 4.41541e-07, 4.33053e-07, 5.35053e-07, 4.29953e-07, 1.95142e-05, 4.29951e-07, 4.29951e-07, 4.503e-07
0.574823, 0, 3.25233e-05, 8.41498e-07, 1.41421, -3.25233e-05, 8.41498e-07, 8.41698e-07, 8.41727e-07, 2.89882e-06, 8.92691e-07, 9.61655e-07, 3.39314e-06, 1.12984e-06, 2.29316e-06, 8.52696e-07, 8.49055e-07, 8.58739e-07, 8.47744e-07, 9.95025e-07, 8.41502e-07, 2.57669e-05, 8.41498e-07, 8.41498e-07, 8.81329e-07
0.58276, 0, 4.75252e-05, 1.61117e-06, 1.41421, -4.75252e-05, 1.61117e-06, 1.61155e-06, 1.6116e-06, 5.55056e-06, 1.70919e-06, 1.84125e-06, 6.92301e-06, 2.16329e-06, 4.39084e-06, 1.63261e-06, 1.62564e-06, 1.63663e-06, 1.62347e-06, 1.83367e-06, 1.61117e-06, 3.42408e-05, 1.61117e-06, 1.61117e-06, 1.68743e-06
0.590697, 0, 7.15846e-05, 3.01835e-06, 1.41421, -7.15846e-05, 3.01835e-06, 3.01906e-06, 3.01917e-06, 1.0399e-05, 3.202e-06, 3.44941e-06, 1.38246e-05, 4.05278e-06, 8.22623e-06, 3.05852e-06, 3.04546e-06, 3.0557e-06, 3.04206e-06, 3.33838e-06, 3.01836e-06, 4.59477e-05, 3.01835e-06, 3.01835e-06, 3.16124e-06
0.598634, 0, 0.000111125, 5.53373e-06, 1.41421, -0.000111125, 5.53373e-06, 5.53504e-06, 5.53524e-06, 1.90664e-05, 5.87047e-06, 6.3241e-06, 2.71417e-05, 7.43038e-06, 1.50825e-05, 5.60739e-06, 5.58344e-06, 5.58814e-06, 5.57846e-06, 5.99072e-06, 5.53376e-06, 6.24676e-05, 5.53373e-06, 5.53373e-06, 5.79573e-06
