   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_150.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0310722, 300, 0, 0, 17.3781, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0231866, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.015301, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0074154, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000470221, 0, 1.79273e-23, 0, 1.41421, -1.79273e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60328e-26, 0, 0, 6.64629e-28, 0, 1.78306e-23, 0, 0, 0
0.00835583, 0, 4.84581e-23, 0, 1.41421, -4.84581e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59579e-25, 0, 0, 1.82555e-27, 0, 4.81967e-23, 0, 0, 0
0.0162415, 0, 1.27737e-22, 0, 1.41421, -1.27737e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.84261e-25, 0, 0, 4.88737e-27, 0, 1.27048e-22, 0, 0, 0
0.0241271, 0, 3.29099e-22, 0, 1.41421, -3.29099e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76291e-24, 0, 0, 1.2783e-26, 0, 3.27324e-22, 0, 0, 0
0.0320127, 0, 8.30186e-22, 0, 1.41421, -8.30186e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44711e-24, 0, 0, 3.27255e-26, 0, 8.25706e-22, 0, 0, 0
0.0398983, 0, 2.05359e-21, 0, 1.41421, -2.05359e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10006e-23, 0, 0, 8.21355e-26, 0, 2.04251e-21, 0, 0, 0
0.0477839, 0, 4.98764e-21, 0, 1.41421, -4.98764e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67176e-23, 0, 0, 2.02371e-25, 0, 4.96072e-21, 0, 0, 0
