   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_26.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.185691, 0, 5.44342e-14, 0, 1.41421, -5.44342e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67351e-16, 0, 1.30077e-18, 0, 0, 5.36655e-14, 0, 0, 0
0.193606, 0, 9.64334e-14, 0, 1.41421, -9.64334e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35941e-15, 0, 2.35162e-18, 0, 0, 9.50716e-14, 0, 0, 0
0.201521, 0, 1.6946e-13, 0, 1.41421, -1.6946e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38885e-15, 0, 4.21903e-18, 0, 0, 1.67067e-13, 0, 0, 0
0.209435, 0, 2.95405e-13, 0, 1.41421, -2.95405e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1643e-15, 0, 7.51251e-18, 0, 0, 2.91233e-13, 0, 0, 0
0.21735, 0, 5.1087e-13, 0, 1.41421, -5.1087e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.20175e-15, 0, 1.32781e-17, 0, 0, 5.03655e-13, 0, 0, 0
0.225264, 0, 8.76543e-13, 0, 1.41421, -8.76543e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23568e-14, 0, 2.3298e-17, 0, 0, 8.64163e-13, 0, 0, 0
0.233179, 0, 1.49222e-12, 0, 1.41421, -1.49222e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10364e-14, 0, 4.05874e-17, 0, 0, 1.47114e-12, 0, 0, 0
0.241093, 0, 2.52063e-12, 0, 1.41421, -2.52063e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55351e-14, 0, 7.02125e-17, 0, 0, 2.48502e-12, 0, 0, 0
0.249008, 0, 4.22501e-12, 0, 1.41421, -4.22501e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.95651e-14, 0, 1.2063e-16, 0, 0, 4.16532e-12, 0, 0, 0
0.256922, 0, 7.02764e-12, 0, 1.41421, -7.02764e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.90819e-14, 0, 2.05868e-16, 0, 0, 6.92835e-12, 0, 0, 0
