   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0322297, 248, 0, 0, 15.8114, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0243408, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0164519, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00856303, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000674137, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00721476, 0, 2.37306e-23, 0, 1.41421, -2.37306e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50625e-25, 0, 0, 2.41043e-28, 0, 5.4081e-28, 0, 2.35792e-23, 0, 0, 0
0.0151036, 0, 6.64889e-23, 0, 1.41421, -6.64889e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22025e-25, 0, 0, 6.84756e-28, 0, 1.56715e-27, 0, 6.60646e-23, 0, 0, 0
0.0229925, 0, 1.82081e-22, 0, 1.41421, -1.82081e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15572e-24, 0, 0, 1.90553e-27, 0, 4.43629e-27, 0, 1.80919e-22, 0, 0, 0
0.0308814, 0, 4.84807e-22, 0, 1.41421, -4.84807e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07721e-24, 0, 0, 5.15311e-27, 0, 1.21647e-26, 0, 4.81713e-22, 0, 0, 0
0.0387703, 0, 1.25874e-21, 0, 1.41421, -1.25874e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9896e-24, 0, 0, 1.35845e-26, 0, 3.2437e-26, 0, 1.25071e-21, 0, 0, 0
