   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_267.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.180514, 0, 2.88156e-16, 0, 1.41421, -2.88156e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9416e-19, 0, 0, 0, 1.79138e-20, 0, 2.87344e-16, 0, 0, 0
0.188398, 0, 5.83112e-16, 0, 1.41421, -5.83112e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60706e-18, 0, 0, 0, 3.68867e-20, 0, 5.81468e-16, 0, 0, 0
0.196282, 0, 1.1672e-15, 0, 1.41421, -1.1672e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2168e-18, 0, 0, 0, 7.51619e-20, 0, 1.16391e-15, 0, 0, 0
0.204166, 0, 2.31148e-15, 0, 1.41421, -2.31148e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.37041e-18, 0, 0, 0, 1.51589e-19, 0, 2.30496e-15, 0, 0, 0
0.21205, 0, 4.52959e-15, 0, 1.41421, -4.52959e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24834e-17, 0, 0, 0, 3.02674e-19, 0, 4.5168e-15, 0, 0, 0
0.219935, 0, 8.78455e-15, 0, 1.41421, -8.78455e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42099e-17, 0, 0, 0, 5.98418e-19, 0, 8.75974e-15, 0, 0, 0
0.227819, 0, 1.6863e-14, 0, 1.41421, -1.6863e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.64737e-17, 0, 0, 0, 1.17176e-18, 0, 1.68154e-14, 0, 0, 0
0.235703, 0, 3.20454e-14, 0, 1.41421, -3.20454e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.83152e-17, 0, 0, 0, 2.27281e-18, 0, 3.19548e-14, 0, 0, 0
0.243587, 0, 6.04718e-14, 0, 1.41421, -6.04718e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66656e-16, 0, 0, 0, 4.38928e-18, 0, 6.03008e-14, 0, 0, 0
0.251471, 0, 1.1261e-13, 0, 1.41421, -1.1261e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10345e-16, 0, 0, 0, 8.35367e-18, 0, 1.12291e-13, 0, 0, 0
0.259355, 0, 2.07676e-13, 0, 1.41421, -2.07676e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.72337e-16, 0, 0, 0, 1.57577e-17, 0, 2.07088e-13, 0, 0, 0
0.26724, 0, 3.79328e-13, 0, 1.41421, -3.79328e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0454e-15, 0, 0, 0, 2.94651e-17, 0, 3.78253e-13, 0, 0, 0
0.275124, 0, 6.86284e-13, 0, 1.41421, -6.86284e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89135e-15, 0, 0, 0, 5.46264e-17, 0, 6.84338e-13, 0, 0, 0
0.283008, 0, 1.22994e-12, 0, 1.41421, -1.22994e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38965e-15, 0, 0, 0, 1.00426e-16, 0, 1.22645e-12, 0, 0, 0
0.290892, 0, 2.18366e-12, 0, 1.41421, -2.18366e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.01817e-15, 0, 0, 0, 1.83107e-16, 0, 2.17746e-12, 0, 0, 0
0.298776, 0, 3.84098e-12, 0, 1.41421, -3.84098e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0586e-14, 0, 0, 0, 3.31179e-16, 0, 3.83006e-12, 0, 0, 0
0.30666, 0, 6.69389e-12, 0, 1.41421, -6.69389e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84496e-14, 0, 0, 0, 5.94293e-16, 0, 6.67485e-12, 0, 0, 0
0.314545, 0, 1.15591e-11, 0, 1.41421, -1.15591e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18609e-14, 0, 0, 0, 1.05831e-15, 0, 1.15262e-11, 0, 0, 0
0.322429, 0, 1.97788e-11, 0, 1.41421, -1.97788e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45217e-14, 0, 0, 0, 1.87067e-15, 0, 1.97224e-11, 0, 0, 0
0.330313, 0, 3.35377e-11, 7.42688e-44, 1.41421, -3.35377e-11, 7.42688e-44, 0, 7.42688e-44, 7.42688e-44, 7.42688e-44, 7.42688e-44, 7.42688e-44, 7.42688e-44, 7.42688e-44, 7.42688e-44, 7.42688e-44, 9.24599e-14, 7.42688e-44, 7.42688e-44, 7.42688e-44, 3.28301e-15, 7.42688e-44, 3.3442e-11, 7.42688e-44, 7.42688e-44, 7.42688e-44
0.338197, 0, 5.63572e-11, 1.35365e-42, 1.41421, -5.63572e-11, 1.35365e-42, 0, 1.35365e-42, 1.35365e-42, 1.35365e-42, 1.35365e-42, 1.35365e-42, 1.35365e-42, 1.35365e-42, 1.35365e-42, 1.35365e-42, 1.55395e-13, 1.35365e-42, 1.35365e-42, 1.35365e-42, 5.72218e-15, 1.35365e-42, 5.61961e-11, 1.35365e-42, 1.35365e-42, 1.35365e-42
0.346081, 0, 9.38573e-11, 2.03679e-41, 1.41421, -9.38573e-11, 2.03679e-41, 0, 2.03679e-41, 2.03679e-41, 2.03679e-41, 2.03679e-41, 2.03679e-41, 2.03679e-41, 2.03679e-41, 2.03679e-41, 2.03679e-41, 2.58847e-13, 2.03679e-41, 2.03679e-41, 2.03679e-41, 9.90845e-15, 2.03679e-41, 9.35886e-11, 2.03679e-41, 2.03679e-41, 2.03679e-41
0.353965, 0, 1.54923e-10, 2.69491e-40, 1.41421, -1.54923e-10, 2.69491e-40, 0, 2.69491e-40, 2.69491e-40, 2.69491e-40, 2.69491e-40, 2.69491e-40, 2.69491e-40, 2.69491e-40, 2.69491e-40, 2.69491e-40, 4.27372e-13, 2.69491e-40, 2.69491e-40, 2.69491e-40, 1.70517e-14, 2.69491e-40, 1.54478e-10, 2.69491e-40, 2.69491e-40, 2.69491e-40
