   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_137.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0313736, 274, 0, 0, 16.6132, 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0234865, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0155994, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00771224, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000174882, 0, 1.41817e-23, 0, 1.41421, -1.41817e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.84386e-25, 0, 0, 1.94079e-27, 0, 1.37954e-23, 0, 0, 0
0.008062, 0, 3.77152e-23, 0, 1.41421, -3.77152e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02224e-24, 0, 0, 5.29901e-27, 0, 3.66877e-23, 0, 0, 0
0.0159491, 0, 9.79664e-23, 0, 1.41421, -9.79664e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6553e-24, 0, 0, 1.41025e-26, 0, 9.5297e-23, 0, 0, 0
0.0238362, 0, 2.49023e-22, 0, 1.41421, -2.49023e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.74952e-24, 0, 0, 3.66679e-26, 0, 2.42236e-22, 0, 0, 0
0.0317234, 0, 6.20424e-22, 0, 1.41421, -6.20424e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6816e-23, 0, 0, 9.33228e-26, 0, 6.03515e-22, 0, 0, 0
0.0396105, 0, 1.51707e-21, 0, 1.41421, -1.51707e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11186e-23, 0, 0, 2.3286e-25, 0, 1.47572e-21, 0, 0, 0
0.0474976, 0, 3.6449e-21, 0, 1.41421, -3.6449e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87908e-23, 0, 0, 5.70415e-25, 0, 3.54554e-21, 0, 0, 0
0.0553847, 0, 8.61296e-21, 0, 1.41421, -8.61296e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33443e-22, 0, 0, 1.3733e-24, 0, 8.37814e-21, 0, 0, 0
0.0632718, 0, 2.00343e-20, 0, 1.41421, -2.00343e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43003e-22, 0, 0, 3.25274e-24, 0, 1.94881e-20, 0, 0, 0
0.071159, 0, 4.59069e-20, 0, 1.41421, -4.59069e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24424e-21, 0, 0, 7.58602e-24, 0, 4.46551e-20, 0, 0, 0
0.0790461, 0, 1.03692e-19, 0, 1.41421, -1.03692e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81042e-21, 0, 0, 1.74336e-23, 0, 1.00864e-19, 0, 0, 0
0.0869332, 0, 2.3101e-19, 0, 1.41421, -2.3101e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.26116e-21, 0, 0, 3.95054e-23, 0, 2.24709e-19, 0, 0, 0
0.0948203, 0, 5.07875e-19, 0, 1.41421, -5.07875e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37651e-20, 0, 0, 8.83248e-23, 0, 4.94021e-19, 0, 0, 0
0.102707, 0, 1.10236e-18, 0, 1.41421, -1.10236e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98775e-20, 0, 0, 1.94937e-22, 0, 1.07229e-18, 0, 0, 0
0.110595, 0, 2.36325e-18, 0, 1.41421, -2.36325e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.40515e-20, 0, 0, 4.24914e-22, 0, 2.29877e-18, 0, 0, 0
0.118482, 0, 5.00585e-18, 0, 1.41421, -5.00585e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35674e-19, 0, 0, 9.15142e-22, 0, 4.86926e-18, 0, 0, 0
0.126369, 0, 1.04803e-17, 0, 1.41421, -1.04803e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84048e-19, 0, 0, 1.94818e-21, 0, 1.01943e-17, 0, 0, 0
0.134256, 0, 2.16935e-17, 0, 1.41421, -2.16935e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87957e-19, 0, 0, 4.10089e-21, 0, 2.11015e-17, 0, 0, 0
