   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_259.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.110442, 0, 6.37435e-19, 0, 1.41421, -6.37435e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37414e-21, 0, 1.13186e-23, 0, 6.3605e-19, 0, 0, 0
0.118326, 0, 1.42772e-18, 0, 1.41421, -1.42772e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07777e-21, 0, 2.57206e-23, 0, 1.42462e-18, 0, 0, 0
0.126209, 0, 3.15545e-18, 0, 1.41421, -3.15545e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.80228e-21, 0, 5.76878e-23, 0, 3.14859e-18, 0, 0, 0
0.134093, 0, 6.88451e-18, 0, 1.41421, -6.88451e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48411e-20, 0, 1.27758e-22, 0, 6.86954e-18, 0, 0, 0
0.141976, 0, 1.48334e-17, 0, 1.41421, -1.48334e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19768e-20, 0, 2.79485e-22, 0, 1.48012e-17, 0, 0, 0
0.149859, 0, 3.15729e-17, 0, 1.41421, -3.15729e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.80625e-20, 0, 6.04161e-22, 0, 3.15042e-17, 0, 0, 0
0.157743, 0, 6.64084e-17, 0, 1.41421, -6.64084e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43158e-19, 0, 1.29094e-21, 0, 6.62639e-17, 0, 0, 0
0.165626, 0, 1.38067e-16, 0, 1.41421, -1.38067e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97635e-19, 0, 2.72739e-21, 0, 1.37767e-16, 0, 0, 0
0.17351, 0, 2.83809e-16, 0, 1.41421, -2.83809e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.11813e-19, 0, 5.69894e-21, 0, 2.83191e-16, 0, 0, 0
0.181393, 0, 5.76937e-16, 0, 1.41421, -5.76937e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24371e-18, 0, 1.17801e-20, 0, 5.75681e-16, 0, 0, 0
