   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_46.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0333601, 92, 0, 0, 9.69536, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0254567, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0175532, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00964967, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00174618, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00615731, 0, 1.85716e-22, 0, 1.41421, -1.85716e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9021e-24, 0, 7.50543e-27, 0, 0, 1.82807e-22, 0, 0, 0
0.0140608, 0, 4.48015e-22, 0, 1.41421, -4.48015e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00091e-24, 0, 1.83798e-26, 0, 0, 4.40995e-22, 0, 0, 0
0.0219643, 0, 1.06235e-21, 0, 1.41421, -1.06235e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66008e-23, 0, 4.42455e-26, 0, 0, 1.0457e-21, 0, 0, 0
0.0298678, 0, 2.47854e-21, 0, 1.41421, -2.47854e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87308e-23, 0, 1.04806e-25, 0, 0, 2.4397e-21, 0, 0, 0
0.0377713, 0, 5.69435e-21, 0, 1.41421, -5.69435e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.89826e-23, 0, 2.44493e-25, 0, 0, 5.60512e-21, 0, 0, 0
0.0456748, 0, 1.28924e-20, 0, 1.41421, -1.28924e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01462e-22, 0, 5.62124e-25, 0, 0, 1.26903e-20, 0, 0, 0
0.0535783, 0, 2.87835e-20, 0, 1.41421, -2.87835e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49784e-22, 0, 1.2746e-24, 0, 0, 2.83324e-20, 0, 0, 0
0.0614817, 0, 6.34058e-20, 0, 1.41421, -6.34058e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.90808e-22, 0, 2.85196e-24, 0, 0, 6.24122e-20, 0, 0, 0
0.0693852, 0, 1.37882e-19, 0, 1.41421, -1.37882e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15461e-21, 0, 6.30045e-24, 0, 0, 1.35721e-19, 0, 0, 0
0.0772887, 0, 2.9613e-19, 0, 1.41421, -2.9613e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.62745e-21, 0, 1.37487e-23, 0, 0, 2.91488e-19, 0, 0, 0
0.0851922, 0, 6.28389e-19, 0, 1.41421, -6.28389e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.81946e-21, 0, 2.9648e-23, 0, 0, 6.1854e-19, 0, 0, 0
0.0930957, 0, 1.31797e-18, 0, 1.41421, -1.31797e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05952e-20, 0, 6.32033e-23, 0, 0, 1.29732e-18, 0, 0, 0
0.100999, 0, 2.73314e-18, 0, 1.41421, -2.73314e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27092e-20, 0, 1.33243e-22, 0, 0, 2.6903e-18, 0, 0, 0
0.108903, 0, 5.60565e-18, 0, 1.41421, -5.60565e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.7596e-20, 0, 2.77874e-22, 0, 0, 5.51778e-18, 0, 0, 0
0.116806, 0, 1.13741e-17, 0, 1.41421, -1.13741e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77736e-19, 0, 5.7342e-22, 0, 0, 1.11958e-17, 0, 0, 0
0.12471, 0, 2.28374e-17, 0, 1.41421, -2.28374e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56865e-19, 0, 1.17121e-21, 0, 0, 2.24793e-17, 0, 0, 0
0.132613, 0, 4.53846e-17, 0, 1.41421, -4.53846e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.09195e-19, 0, 2.3683e-21, 0, 0, 4.4673e-17, 0, 0, 0
0.140517, 0, 8.92886e-17, 0, 1.41421, -8.92886e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39525e-18, 0, 4.74213e-21, 0, 0, 8.78886e-17, 0, 0, 0
0.14842, 0, 1.73938e-16, 0, 1.41421, -1.73938e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.718e-18, 0, 9.40469e-21, 0, 0, 1.7121e-16, 0, 0, 0
0.156324, 0, 3.35563e-16, 0, 1.41421, -3.35563e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.24359e-18, 0, 1.84765e-20, 0, 0, 3.30301e-16, 0, 0, 0
0.164227, 0, 6.41222e-16, 0, 1.41421, -6.41222e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00199e-17, 0, 3.59649e-20, 0, 0, 6.31166e-16, 0, 0, 0
0.172131, 0, 1.22118e-15, 0, 1.41421, -1.22118e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90824e-17, 0, 6.99737e-20, 0, 0, 1.20203e-15, 0, 0, 0
0.180034, 0, 2.28866e-15, 0, 1.41421, -2.28866e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5763e-17, 0, 1.33645e-19, 0, 0, 2.25277e-15, 0, 0, 0
0.187938, 0, 4.25062e-15, 0, 1.41421, -4.25062e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64206e-17, 0, 2.5304e-19, 0, 0, 4.18394e-15, 0, 0, 0
0.195841, 0, 7.82416e-15, 0, 1.41421, -7.82416e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22261e-16, 0, 4.75018e-19, 0, 0, 7.70142e-15, 0, 0, 0
0.203745, 0, 1.42752e-14, 0, 1.41421, -1.42752e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23064e-16, 0, 8.84238e-19, 0, 0, 1.40512e-14, 0, 0, 0
0.211648, 0, 2.5818e-14, 0, 1.41421, -2.5818e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03432e-16, 0, 1.63237e-18, 0, 0, 2.54129e-14, 0, 0, 0
0.219552, 0, 4.62912e-14, 0, 1.41421, -4.62912e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23346e-16, 0, 2.98891e-18, 0, 0, 4.55649e-14, 0, 0, 0
0.227455, 0, 8.22895e-14, 0, 1.41421, -8.22895e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28586e-15, 0, 5.4288e-18, 0, 0, 8.09982e-14, 0, 0, 0
0.235359, 0, 1.45041e-13, 0, 1.41421, -1.45041e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26643e-15, 0, 9.7825e-18, 0, 0, 1.42765e-13, 0, 0, 0
0.243262, 0, 2.53495e-13, 0, 1.41421, -2.53495e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96116e-15, 0, 1.74906e-17, 0, 0, 2.49516e-13, 0, 0, 0
0.251166, 0, 4.39345e-13, 0, 1.41421, -4.39345e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.86537e-15, 0, 3.10338e-17, 0, 0, 4.32449e-13, 0, 0, 0
0.259069, 0, 7.55141e-13, 0, 1.41421, -7.55141e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18004e-14, 0, 5.46523e-17, 0, 0, 7.43286e-13, 0, 0, 0
0.266973, 0, 1.28724e-12, 0, 1.41421, -1.28724e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01159e-14, 0, 9.55426e-17, 0, 0, 1.26703e-12, 0, 0, 0
0.274876, 0, 2.17632e-12, 0, 1.41421, -2.17632e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40111e-14, 0, 1.65839e-16, 0, 0, 2.14215e-12, 0, 0, 0
0.282779, 0, 3.64957e-12, 0, 1.41421, -3.64957e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.7038e-14, 0, 2.85874e-16, 0, 0, 3.59225e-12, 0, 0, 0
0.290683, 0, 6.0707e-12, 0, 1.41421, -6.0707e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.48842e-14, 0, 4.89514e-16, 0, 0, 5.97532e-12, 0, 0, 0
0.298586, 0, 1.00169e-11, 0, 1.41421, -1.00169e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56579e-13, 0, 8.32861e-16, 0, 0, 9.85946e-12, 0, 0, 0
0.30649, 0, 1.63961e-11, 0, 1.41421, -1.63961e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5633e-13, 0, 1.40841e-15, 0, 0, 1.61384e-11, 0, 0, 0
0.314393, 0, 2.66249e-11, 1.02295e-43, 1.41421, -2.66249e-11, 0, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 4.16316e-13, 1.02295e-43, 2.36802e-15, 1.02295e-43, 1.02295e-43, 2.62062e-11, 1.02295e-43, 1.02295e-43, 1.02295e-43
