   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_140.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0318815, 280, 0, 0, 16.7929, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0239941, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0161067, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00821932, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000331924, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00755547, 0, 1.08915e-23, 0, 1.41421, -1.08915e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24919e-26, 0, 0, 1.47565e-28, 0, 8.64444e-28, 0, 1.0878e-23, 0, 0, 0
0.0154429, 0, 3.09643e-23, 0, 1.41421, -3.09643e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55142e-26, 0, 0, 4.24961e-28, 0, 2.54029e-27, 0, 3.09258e-23, 0, 0, 0
0.0233303, 0, 8.54925e-23, 0, 1.41421, -8.54925e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.80545e-26, 0, 0, 1.1887e-27, 0, 7.22519e-27, 0, 8.53861e-23, 0, 0, 0
0.0312177, 0, 2.29915e-22, 0, 1.41421, -2.29915e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63697e-25, 0, 0, 3.23909e-27, 0, 1.99639e-26, 0, 2.29628e-22, 0, 0, 0
0.0391051, 0, 6.03667e-22, 0, 1.41421, -6.03667e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.92364e-25, 0, 0, 8.61815e-27, 0, 5.37435e-26, 0, 6.02913e-22, 0, 0, 0
0.0469925, 0, 1.55042e-21, 0, 1.41421, -1.55042e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77822e-24, 0, 0, 2.24327e-26, 0, 1.41287e-25, 0, 1.54848e-21, 0, 0, 0
0.0548799, 0, 3.90138e-21, 0, 1.41421, -3.90138e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4746e-24, 0, 0, 5.72163e-26, 0, 3.63415e-25, 0, 3.89649e-21, 0, 0, 0
0.0627673, 0, 9.63137e-21, 0, 1.41421, -9.63137e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10464e-23, 0, 0, 1.43193e-25, 0, 9.16072e-25, 0, 9.61926e-21, 0, 0, 0
0.0706546, 0, 2.33537e-20, 0, 1.41421, -2.33537e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67849e-23, 0, 0, 3.52034e-25, 0, 2.26604e-24, 0, 2.33243e-20, 0, 0, 0
0.078542, 0, 5.56738e-20, 0, 1.41421, -5.56738e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38533e-23, 0, 0, 8.51028e-25, 0, 5.507e-24, 0, 5.56036e-20, 0, 0, 0
0.0864294, 0, 1.30601e-19, 0, 1.41421, -1.30601e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49788e-22, 0, 0, 2.02478e-24, 0, 1.31615e-23, 0, 1.30436e-19, 0, 0, 0
0.0943168, 0, 3.01694e-19, 0, 1.41421, -3.01694e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46016e-22, 0, 0, 4.74476e-24, 0, 3.09607e-23, 0, 3.01312e-19, 0, 0, 0
0.102204, 0, 6.86753e-19, 0, 1.41421, -6.86753e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.87644e-22, 0, 0, 1.09584e-23, 0, 7.1741e-23, 0, 6.85882e-19, 0, 0, 0
0.110092, 0, 1.54135e-18, 0, 1.41421, -1.54135e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76779e-21, 0, 0, 2.49596e-23, 0, 1.63857e-22, 0, 1.5394e-18, 0, 0, 0
0.117979, 0, 3.41269e-18, 0, 1.41421, -3.41269e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91403e-21, 0, 0, 5.60935e-23, 0, 3.69119e-22, 0, 3.40835e-18, 0, 0, 0
0.125866, 0, 7.45798e-18, 0, 1.41421, -7.45798e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.55358e-21, 0, 0, 1.24471e-22, 0, 8.20722e-22, 0, 7.44848e-18, 0, 0, 0
