   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_338.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.033158, 676, 0, 0, 26.0384, 676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0252736, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0173893, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00950502, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00162071, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0062636, 0, 5.19483e-24, 0, 1.41421, -5.19483e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.637e-26, 0, 0, 0, 0, 5.15846e-24, 0, 0, 0
0.0141479, 0, 1.47655e-23, 0, 1.41421, -1.47655e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03376e-25, 0, 0, 0, 0, 1.46621e-23, 0, 0, 0
0.0220322, 0, 4.07601e-23, 0, 1.41421, -4.07601e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8537e-25, 0, 0, 0, 0, 4.04747e-23, 0, 0, 0
0.0299165, 0, 1.09599e-22, 0, 1.41421, -1.09599e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67322e-25, 0, 0, 0, 0, 1.08831e-22, 0, 0, 0
0.0378008, 0, 2.87725e-22, 0, 1.41421, -2.87725e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01442e-24, 0, 0, 0, 0, 2.85711e-22, 0, 0, 0
0.0456851, 0, 7.389e-22, 0, 1.41421, -7.389e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.17319e-24, 0, 0, 0, 0, 7.33726e-22, 0, 0, 0
0.0535695, 0, 1.85918e-21, 0, 1.41421, -1.85918e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30165e-23, 0, 0, 0, 0, 1.84616e-21, 0, 0, 0
0.0614538, 0, 4.58954e-21, 0, 1.41421, -4.58954e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21323e-23, 0, 0, 0, 0, 4.55741e-21, 0, 0, 0
0.0693381, 0, 1.11282e-20, 0, 1.41421, -1.11282e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7911e-23, 0, 0, 0, 0, 1.10503e-20, 0, 0, 0
0.0772224, 0, 2.6529e-20, 0, 1.41421, -2.6529e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85735e-22, 0, 0, 0, 0, 2.63432e-20, 0, 0, 0
0.0851067, 0, 6.22336e-20, 0, 1.41421, -6.22336e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3571e-22, 0, 0, 0, 0, 6.17979e-20, 0, 0, 0
0.092991, 0, 1.43769e-19, 0, 1.41421, -1.43769e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00656e-21, 0, 0, 0, 0, 1.42762e-19, 0, 0, 0
0.100875, 0, 3.27286e-19, 0, 1.41421, -3.27286e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2914e-21, 0, 0, 0, 0, 3.24995e-19, 0, 0, 0
0.10876, 0, 7.34627e-19, 0, 1.41421, -7.34627e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.14327e-21, 0, 0, 0, 0, 7.29483e-19, 0, 0, 0
0.116644, 0, 1.6267e-18, 0, 1.41421, -1.6267e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13889e-20, 0, 0, 0, 0, 1.61531e-18, 0, 0, 0
0.124528, 0, 3.55509e-18, 0, 1.41421, -3.55509e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48899e-20, 0, 0, 0, 0, 3.5302e-18, 0, 0, 0
0.132413, 0, 7.83713e-18, 0, 1.41421, -7.83713e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48693e-20, 0, 0, 0, 0, 7.78226e-18, 0, 0, 0
0.140297, 0, 1.66641e-17, 0, 1.41421, -1.66641e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16669e-19, 0, 0, 0, 0, 1.65474e-17, 0, 0, 0
0.148181, 0, 3.50195e-17, 0, 1.41421, -3.50195e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45179e-19, 0, 0, 0, 0, 3.47743e-17, 0, 0, 0
0.156066, 0, 7.27553e-17, 0, 1.41421, -7.27553e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.09375e-19, 0, 0, 0, 0, 7.2246e-17, 0, 0, 0
0.16395, 0, 1.4947e-16, 0, 1.41421, -1.4947e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04647e-18, 0, 0, 0, 0, 1.48423e-16, 0, 0, 0
0.171834, 0, 3.03723e-16, 0, 1.41421, -3.03723e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12642e-18, 0, 0, 0, 0, 3.01597e-16, 0, 0, 0
0.179718, 0, 6.10558e-16, 0, 1.41421, -6.10558e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27463e-18, 0, 0, 0, 0, 6.06283e-16, 0, 0, 0
0.187603, 0, 1.21446e-15, 0, 1.41421, -1.21446e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.50266e-18, 0, 0, 0, 0, 1.20596e-15, 0, 0, 0
0.195487, 0, 2.3907e-15, 0, 1.41421, -2.3907e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67377e-17, 0, 0, 0, 0, 2.37397e-15, 0, 0, 0
0.203371, 0, 4.65823e-15, 0, 1.41421, -4.65823e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2613e-17, 0, 0, 0, 0, 4.62562e-15, 0, 0, 0
0.211256, 0, 8.98533e-15, 0, 1.41421, -8.98533e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29074e-17, 0, 0, 0, 0, 8.92242e-15, 0, 0, 0
0.21914, 0, 1.71602e-14, 0, 1.41421, -1.71602e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2014e-16, 0, 0, 0, 0, 1.704e-14, 0, 0, 0
0.227024, 0, 3.24518e-14, 0, 1.41421, -3.24518e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27198e-16, 0, 0, 0, 0, 3.22246e-14, 0, 0, 0
0.234909, 0, 6.07765e-14, 0, 1.41421, -6.07765e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.255e-16, 0, 0, 0, 0, 6.0351e-14, 0, 0, 0
0.242793, 0, 1.12734e-13, 0, 1.41421, -1.12734e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.89259e-16, 0, 0, 0, 0, 1.11945e-13, 0, 0, 0
0.250677, 0, 2.07131e-13, 0, 1.41421, -2.07131e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45013e-15, 0, 0, 0, 0, 2.0568e-13, 0, 0, 0
0.258562, 0, 3.76998e-13, 0, 1.41421, -3.76998e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63939e-15, 0, 0, 0, 0, 3.74358e-13, 0, 0, 0
0.266446, 0, 6.79793e-13, 0, 1.41421, -6.79793e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7593e-15, 0, 0, 0, 0, 6.75033e-13, 0, 0, 0
0.27433, 0, 1.21448e-12, 0, 1.41421, -1.21448e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5028e-15, 0, 0, 0, 0, 1.20598e-12, 0, 0, 0
0.282214, 0, 2.14989e-12, 0, 1.41421, -2.14989e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5052e-14, 0, 0, 0, 0, 2.13484e-12, 0, 0, 0
0.290099, 0, 3.7712e-12, 0, 1.41421, -3.7712e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64039e-14, 0, 0, 0, 0, 3.74479e-12, 0, 0, 0
0.297983, 0, 6.55559e-12, 0, 1.41421, -6.55559e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59005e-14, 0, 0, 0, 0, 6.50969e-12, 0, 0, 0
0.305867, 0, 1.12937e-11, 0, 1.41421, -1.12937e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.90799e-14, 0, 0, 0, 0, 1.12146e-11, 0, 0, 0
0.313752, 0, 1.92834e-11, 0, 1.41421, -1.92834e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35035e-13, 0, 0, 0, 0, 1.91484e-11, 0, 0, 0
0.321636, 0, 3.26343e-11, 0, 1.41421, -3.26343e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28551e-13, 0, 0, 0, 0, 3.24057e-11, 0, 0, 0
0.32952, 0, 5.47436e-11, 1.02295e-43, 1.41421, -5.47436e-11, 0, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 3.83445e-13, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 5.43602e-11, 1.02295e-43, 1.02295e-43, 1.02295e-43
0.337405, 0, 9.10297e-11, 1.87073e-42, 1.41421, -9.10297e-11, 0, 1.87073e-42, 1.87073e-42, 1.87073e-42, 1.87073e-42, 1.87073e-42, 1.87073e-42, 1.87073e-42, 1.87073e-42, 6.37725e-13, 1.87073e-42, 1.87073e-42, 1.87073e-42, 1.87073e-42, 9.0392e-11, 1.87073e-42, 1.87073e-42, 1.87073e-42
0.345289, 0, 1.50054e-10, 2.83595e-41, 1.41421, -1.50054e-10, 0, 2.83595e-41, 2.83595e-41, 2.83595e-41, 2.83595e-41, 2.83595e-41, 2.83595e-41, 2.83595e-41, 2.83595e-41, 1.05148e-12, 2.83595e-41, 2.83595e-41, 2.83595e-41, 2.83595e-41, 1.49002e-10, 2.83595e-41, 2.83595e-41, 2.83595e-41
0.353173, 0, 2.45214e-10, 3.78792e-40, 1.41421, -2.45214e-10, 0, 3.78792e-40, 3.78792e-40, 3.78792e-40, 3.78792e-40, 3.78792e-40, 3.78792e-40, 3.78792e-40, 3.78792e-40, 1.71884e-12, 3.78792e-40, 3.78792e-40, 3.78792e-40, 3.78792e-40, 2.43495e-10, 3.78792e-40, 3.78792e-40, 3.78792e-40
0.361058, 0, 3.97282e-10, 4.52515e-39, 1.41421, -3.97282e-10, 0, 4.52515e-39, 4.52515e-39, 4.52515e-39, 4.52515e-39, 4.52515e-39, 4.52515e-39, 4.52515e-39, 4.52515e-39, 2.78588e-12, 4.52515e-39, 4.52515e-39, 4.52515e-39, 4.52515e-39, 3.94496e-10, 4.52515e-39, 4.52515e-39, 4.52515e-39
0.368942, 0, 6.38166e-10, 4.87344e-38, 1.41421, -6.38166e-10, 0, 4.87344e-38, 4.87344e-38, 4.87344e-38, 4.87344e-38, 4.87344e-38, 4.87344e-38, 4.87344e-38, 4.87344e-38, 4.4773e-12, 4.87344e-38, 4.87344e-38, 4.87344e-38, 4.87344e-38, 6.33689e-10, 4.87344e-38, 4.87344e-38, 4.87344e-38
0.376826, 0, 1.01641e-09, 4.75461e-37, 1.41421, -1.01641e-09, 0, 4.75461e-37, 4.75461e-37, 4.75461e-37, 4.75461e-37, 4.75461e-37, 4.75461e-37, 4.75461e-37, 4.75461e-37, 7.13551e-12, 4.75461e-37, 4.75461e-37, 4.75461e-37, 4.75461e-37, 1.00927e-09, 4.75461e-37, 4.75461e-37, 4.75461e-37
0.384711, 0, 1.60519e-09, 4.22928e-36, 1.41421, -1.60519e-09, 0, 4.22928e-36, 4.22928e-36, 4.22928e-36, 4.22928e-36, 4.22928e-36, 4.22928e-36, 4.22928e-36, 4.22928e-36, 1.12778e-11, 4.22928e-36, 4.22928e-36, 4.22928e-36, 4.22928e-36, 1.59391e-09, 4.22928e-36, 4.22928e-36, 4.22928e-36
0.392595, 0, 2.5138e-09, 3.44588e-35, 1.41421, -2.5138e-09, 0, 3.44588e-35, 3.44588e-35, 3.44588e-35, 3.44588e-35, 3.44588e-35, 3.44588e-35, 3.44588e-35, 3.44588e-35, 1.76787e-11, 3.44588e-35, 3.44588e-35, 3.44588e-35, 3.44588e-35, 2.49612e-09, 3.44588e-35, 3.44588e-35, 3.44588e-35
0.400479, 0, 3.90398e-09, 2.58354e-34, 1.41421, -3.90398e-09, 0, 2.58354e-34, 2.58354e-34, 2.58354e-34, 2.58354e-34, 2.58354e-34, 2.58354e-34, 2.58354e-34, 2.58354e-34, 2.74881e-11, 2.58354e-34, 2.58354e-34, 2.58354e-34, 2.58354e-34, 3.87649e-09, 2.58354e-34, 2.58354e-34, 2.58354e-34
0.408363, 0, 6.0128e-09, 1.79157e-33, 1.41421, -6.0128e-09, 0, 1.79157e-33, 1.79157e-33, 1.79157e-33, 1.79157e-33, 1.79157e-33, 1.79157e-33, 1.79157e-33, 1.79157e-33, 4.23979e-11, 1.79157e-33, 1.79157e-33, 1.79157e-33, 1.79157e-33, 5.9704e-09, 1.79157e-33, 1.79157e-33, 1.79157e-33
0.416248, 0, 9.18513e-09, 2.74195e-32, 1.41421, -9.18513e-09, 0, 2.74195e-32, 2.74195e-32, 2.74195e-32, 2.74195e-32, 2.74195e-32, 2.74195e-32, 2.74195e-32, 2.74195e-32, 6.48823e-11, 2.74195e-32, 2.74195e-32, 2.74195e-32, 2.74195e-32, 9.12025e-09, 2.74195e-32, 2.74195e-32, 2.74195e-32
0.424132, 0, 1.39162e-08, 1.53197e-31, 1.41421, -1.39162e-08, 0, 1.53197e-31, 1.53197e-31, 1.53197e-31, 1.53197e-31, 1.53197e-31, 1.53197e-31, 1.53197e-31, 1.53197e-31, 9.85099e-11, 1.53197e-31, 1.53197e-31, 1.53197e-31, 1.53197e-31, 1.38177e-08, 1.53197e-31, 1.53197e-31, 1.53197e-31
0.432016, 0, 2.09138e-08, 8.30593e-31, 1.41421, -2.09138e-08, 0, 8.30593e-31, 8.30593e-31, 8.30593e-31, 8.30593e-31, 8.30593e-31, 8.30593e-31, 8.30593e-31, 8.30593e-31, 1.4842e-10, 8.30593e-31, 8.30593e-31, 8.30593e-31, 8.30593e-31, 2.07654e-08, 8.30593e-31, 8.30593e-31, 8.30593e-31
0.439901, 0, 3.11782e-08, 4.28087e-30, 1.41421, -3.11782e-08, 0, 4.28087e-30, 4.28087e-30, 4.28087e-30, 4.28087e-30, 4.28087e-30, 4.28087e-30, 4.28087e-30, 4.28087e-30, 2.2193e-10, 4.28087e-30, 4.28087e-30, 4.28087e-30, 4.28087e-30, 3.09562e-08, 4.28087e-30, 4.28087e-30, 4.28087e-30
0.447785, 0, 4.61111e-08, 2.08396e-29, 1.41421, -4.61111e-08, 0, 2.08396e-29, 2.08396e-29, 2.08396e-29, 2.08396e-29, 2.08396e-29, 2.08396e-29, 2.08396e-29, 2.08396e-29, 3.29392e-10, 2.08396e-29, 2.08396e-29, 2.08396e-29, 2.08396e-29, 4.57817e-08, 2.08396e-29, 2.08396e-29, 2.08396e-29
0.455669, 0, 6.76597e-08, 9.7097e-29, 1.41421, -6.76597e-08, 0, 9.7097e-29, 9.7097e-29, 9.7097e-29, 9.7097e-29, 9.7097e-29, 9.7097e-29, 9.7097e-29, 9.7097e-29, 4.8534e-10, 9.7097e-29, 9.7097e-29, 9.7097e-29, 9.7097e-29, 6.71743e-08, 9.7097e-29, 9.7097e-29, 9.7097e-29
0.463554, 0, 9.85049e-08, 4.3362e-28, 1.41421, -9.85049e-08, 0, 4.3362e-28, 4.3362e-28, 4.3362e-28, 4.3362e-28, 4.3362e-28, 4.3362e-28, 4.3362e-28, 4.3362e-28, 7.10038e-10, 4.3362e-28, 4.3362e-28, 4.3362e-28, 4.3362e-28, 9.77949e-08, 4.3362e-28, 4.3362e-28, 4.3362e-28
0.471438, 0, 1.42307e-07, 1.84788e-27, 1.41421, -1.42307e-07, 0, 1.84788e-27, 1.84788e-27, 1.84788e-27, 1.84788e-27, 1.84788e-27, 1.84788e-27, 1.84788e-27, 1.84788e-27, 1.03154e-09, 1.84788e-27, 1.84788e-27, 1.84788e-27, 1.84788e-27, 1.41275e-07, 1.84788e-27, 1.84788e-27, 1.84788e-27
0.479322, 0, 2.04018e-07, 7.51463e-27, 1.41421, -2.04018e-07, 0, 7.51463e-27, 7.51463e-27, 7.51463e-27, 7.51463e-27, 7.51463e-27, 7.51463e-27, 7.51463e-27, 7.51463e-27, 1.48845e-09, 7.51463e-27, 7.51463e-27, 7.51463e-27, 7.51463e-27, 2.02529e-07, 7.51463e-27, 7.51463e-27, 7.51463e-27
0.487207, 0, 2.90286e-07, 2.91903e-26, 1.41421, -2.90286e-07, 0, 2.91903e-26, 2.91903e-26, 2.91903e-26, 2.91903e-26, 2.91903e-26, 1.80451e-12, 2.91903e-26, 2.91903e-26, 2.1335e-09, 2.91903e-26, 2.91903e-26, 2.91903e-26, 2.91903e-26, 2.8815e-07, 2.91903e-26, 2.91903e-26, 2.91903e-26
0.495091, 0, 4.09956e-07, 1.08495e-25, 1.41421, -4.09956e-07, 0, 1.08495e-25, 1.08495e-25, 1.08495e-25, 1.08495e-25, 1.08495e-25, 6.38586e-12, 1.08495e-25, 1.08495e-25, 3.03829e-09, 1.08495e-25, 1.08495e-25, 1.08495e-25, 1.08495e-25, 4.06912e-07, 1.08495e-25, 1.08495e-25, 1.08495e-25
0.502975, 0, 5.74703e-07, 3.8802e-25, 1.41421, -5.74703e-07, 0, 3.8802e-25, 3.8802e-25, 3.8802e-25, 3.8802e-25, 3.8802e-25, 1.7622e-11, 3.8802e-25, 3.8802e-25, 4.29945e-09, 3.8802e-25, 3.8802e-25, 3.8802e-25, 3.8802e-25, 5.70386e-07, 3.8802e-25, 3.8802e-25, 3.8802e-25
0.510859, 0, 8.01792e-07, 9.50413e-11, 1.41421, -8.01792e-07, 9.50413e-11, 9.50597e-11, 5.38329e-10, 1.03727e-10, 9.66417e-11, 1.05256e-10, 2.24479e-10, 1.84792e-10, 1.15893e-09, 6.14168e-09, 9.59521e-11, 9.67424e-11, 9.50413e-11, 9.50422e-11, 7.93899e-07, 9.50413e-11, 9.50413e-11, 1.9176e-10
0.518744, 0, 1.11209e-06, 3.30744e-10, 1.41421, -1.11209e-06, 3.30744e-10, 3.30809e-10, 1.89069e-09, 3.61311e-10, 3.36376e-10, 3.66692e-10, 7.3643e-10, 6.4658e-10, 4.07459e-09, 8.78326e-09, 3.33949e-10, 3.36731e-10, 3.30744e-10, 3.30747e-10, 1.09719e-06, 3.30744e-10, 3.30744e-10, 6.71101e-10
0.526628, 0, 1.53535e-06, 9.01672e-10, 1.41421, -1.53535e-06, 9.01672e-10, 9.01849e-10, 5.18483e-09, 9.85599e-10, 9.17134e-10, 1.00037e-09, 1.96969e-09, 1.76887e-09, 1.11812e-08, 1.26475e-08, 9.10472e-10, 9.18108e-10, 9.01672e-10, 9.0168e-10, 1.50595e-06, 9.01672e-10, 9.01672e-10, 1.83619e-09
0.534512, 0, 2.11393e-06, 2.25168e-09, 1.41421, -2.11393e-06, 2.25168e-09, 2.25212e-09, 1.29885e-08, 2.46206e-09, 2.29044e-09, 2.4991e-09, 4.86519e-09, 4.42552e-09, 2.80199e-08, 1.84791e-08, 2.27374e-09, 2.29288e-09, 2.25168e-09, 2.2517e-09, 2.05351e-06, 2.25168e-09, 2.25168e-09, 4.59429e-09
0.542397, 0, 2.91044e-06, 5.36164e-09, 1.41421, -2.91044e-06, 5.36164e-09, 5.3627e-09, 3.09838e-08, 5.8637e-09, 5.45414e-09, 5.95207e-09, 1.14866e-08, 1.05493e-08, 6.68545e-08, 2.76527e-08, 5.41428e-09, 5.45996e-09, 5.36164e-09, 5.36169e-09, 2.78279e-06, 5.36164e-09, 5.36164e-09, 1.0952e-08
0.550281, 0, 4.02299e-06, 1.23411e-08, 1.41421, -4.02299e-06, 1.23411e-08, 1.23436e-08, 7.1402e-08, 1.34984e-08, 1.25544e-08, 1.37021e-08, 2.64266e-08, 2.42989e-08, 1.54086e-07, 4.27891e-08, 1.24625e-08, 1.25678e-08, 1.23411e-08, 1.23413e-08, 3.74973e-06, 1.23411e-08, 1.23411e-08, 2.52273e-08
0.558165, 0, 5.61451e-06, 2.76012e-08, 1.41421, -5.61451e-06, 2.76012e-08, 2.76067e-08, 1.59842e-07, 3.01924e-08, 2.80786e-08, 3.06486e-08, 6.07035e-08, 5.43755e-08, 3.44977e-07, 6.89592e-08, 2.78729e-08, 2.81087e-08, 2.76012e-08, 2.76015e-08, 5.0279e-06, 2.76012e-08, 2.76012e-08, 5.64542e-08
0.56605, 0, 7.97906e-06, 6.01136e-08, 1.41421, -7.97906e-06, 6.01136e-08, 6.01255e-08, 3.48419e-07, 6.57628e-08, 6.11544e-08, 6.67572e-08, 1.50509e-07, 1.18485e-07, 7.52041e-07, 1.15982e-07, 6.07059e-08, 6.12199e-08, 6.01136e-08, 6.01141e-08, 6.71624e-06, 6.01136e-08, 6.01136e-08, 1.23017e-07
0.573934, 0, 1.16167e-05, 1.2762e-07, 1.41421, -1.16167e-05, 1.2762e-07, 1.27646e-07, 7.40296e-07, 1.39626e-07, 1.29832e-07, 1.41739e-07, 3.45068e-07, 2.51666e-07, 1.59803e-06, 2.02678e-07, 1.28879e-07, 1.29971e-07, 1.2762e-07, 1.27622e-07, 8.9514e-06, 1.2762e-07, 1.2762e-07, 2.61297e-07
0.581818, 0, 1.74405e-05, 2.6424e-07, 1.41421, -1.74405e-05, 2.6424e-07, 2.64293e-07, 1.53407e-06, 2.89122e-07, 2.68824e-07, 2.93502e-07, 7.57905e-07, 5.21338e-07, 3.31182e-06, 3.64538e-07, 2.66849e-07, 2.69113e-07, 2.6424e-07, 2.64243e-07, 1.19287e-05, 2.6424e-07, 2.6424e-07, 5.41298e-07
0.589703, 0, 2.70955e-05, 5.33761e-07, 1.41421, -2.70955e-05, 5.33761e-07, 5.33867e-07, 3.10145e-06, 5.84074e-07, 5.43031e-07, 5.9293e-07, 1.61471e-06, 1.05363e-06, 6.69618e-06, 6.67078e-07, 5.39036e-07, 5.43614e-07, 5.33761e-07, 5.33766e-07, 1.59371e-05, 5.33761e-07, 5.33761e-07, 1.09399e-06
0.597587, 0, 4.35268e-05, 1.05212e-06, 1.41421, -4.35268e-05, 1.05212e-06, 1.05233e-06, 6.11883e-06, 1.1514e-06, 1.07042e-06, 1.16888e-06, 3.36302e-06, 2.07796e-06, 1.32121e-05, 1.22842e-06, 1.06253e-06, 1.07157e-06, 1.05212e-06, 1.05213e-06, 2.14171e-05, 1.05212e-06, 1.05212e-06, 2.1576e-06
0.605471, 0, 7.19034e-05, 2.02419e-06, 1.41421, -7.19034e-05, 2.02419e-06, 2.02459e-06, 1.17828e-05, 2.2154e-06, 2.05942e-06, 2.24906e-06, 6.84577e-06, 3.99997e-06, 2.54447e-05, 2.25615e-06, 2.04424e-06, 2.06163e-06, 2.02419e-06, 2.0242e-06, 2.90566e-05, 2.02419e-06, 2.02419e-06, 4.15336e-06
0.613355, 0, 0.000121191, 3.80169e-06, 1.41421, -0.000121191, 3.80169e-06, 3.80245e-06, 2.21505e-05, 4.16123e-06, 3.86794e-06, 4.22452e-06, 1.36859e-05, 7.5167e-06, 4.78385e-05, 4.10546e-06, 3.83939e-06, 3.87211e-06, 3.80169e-06, 3.80173e-06, 3.99411e-05, 3.80169e-06, 3.80169e-06, 7.80512e-06
0.62124, 0, 0.000206555, 6.97159e-06, 1.41421, -0.000206555, 6.97159e-06, 6.97298e-06, 4.06592e-05, 7.63169e-06, 7.09321e-06, 7.74788e-06, 2.68762e-05, 1.37922e-05, 8.78212e-05, 7.36759e-06, 7.0408e-06, 7.10086e-06, 6.97159e-06, 6.97165e-06, 5.57888e-05, 6.97159e-06, 6.97159e-06, 1.43217e-05
0.629124, 0, 0.000353113, 1.24852e-05, 1.41421, -0.000353113, 1.24852e-05, 1.24877e-05, 7.28876e-05, 1.36687e-05, 1.27032e-05, 1.38771e-05, 5.18497e-05, 2.47146e-05, 0.00015745, 1.29993e-05, 1.26093e-05, 1.2717e-05, 1.24852e-05, 1.24853e-05, 7.93066e-05, 1.24852e-05, 1.24852e-05, 2.56641e-05
0.637008, 0, 0.00060148, 2.18397e-05, 1.41421, -0.00060148, 2.18397e-05, 2.18441e-05, 0.000127629, 2.39126e-05, 2.22216e-05, 2.42775e-05, 9.82685e-05, 4.32584e-05, 0.000275732, 2.25046e-05, 2.20571e-05, 2.22457e-05, 2.18397e-05, 2.18399e-05, 0.000114683, 2.18397e-05, 2.18397e-05, 4.49213e-05
0.644893, 0, 0.00101585, 3.73231e-05, 1.41421, -0.00101585, 3.73231e-05, 3.73306e-05, 0.000218341, 4.08701e-05, 3.79766e-05, 4.14944e-05, 0.000182956, 7.39729e-05, 0.000471762, 3.81801e-05, 3.7695e-05, 3.80177e-05, 3.73231e-05, 3.73234e-05, 0.000168311, 3.73231e-05, 3.73231e-05, 7.68184e-05
0.652777, 0, 0.0016953, 6.23275e-05, 1.41421, -0.0016953, 6.23275e-05, 6.234e-05, 0.000365006, 6.82584e-05, 6.34202e-05, 6.93024e-05, 0.000334574, 0.000123609, 0.000788751, 6.34288e-05, 6.29494e-05, 6.3489e-05, 6.23275e-05, 6.23281e-05, 0.000249733, 6.23275e-05, 6.23275e-05, 0.000128367
0.660661, 0, 0.00278912, 0.000101728, 1.41421, -0.00278912, 0.000101728, 0.000101748, 0.000596391, 0.000111421, 0.000103514, 0.000113127, 0.000600834, 0.00020188, 0.00128891, 0.000103139, 0.000102744, 0.000103626, 0.000101728, 0.000101729, 0.000372861, 0.000101728, 0.000101728, 0.000209656
0.668546, 0, 0.00451709, 0.000162316, 1.41421, -0.00451709, 0.000162316, 0.000162348, 0.000952639, 0.000177802, 0.000165169, 0.000180528, 0.00105934, 0.000322329, 0.00205908, 0.000164119, 0.000163939, 0.000165349, 0.000162316, 0.000162317, 0.000557481, 0.000162316, 0.000162316, 0.000334753
0.67643, 0, 0.00719513, 0.000253247, 1.41421, -0.00719513, 0.000253247, 0.000253298, 0.00148797, 0.000277441, 0.000257705, 0.0002817, 0.00183324, 0.000503235, 0.00321655, 0.000255547, 0.000255784, 0.000257986, 0.000253247, 0.00025325, 0.000830999, 0.000253247, 0.000253247, 0.000522646
0.684314, 0, 0.0112668, 0.00038646, 1.41421, -0.0112668, 0.00038646, 0.000386538, 0.00227318, 0.00042343, 0.000393272, 0.000429938, 0.00311299, 0.000768455, 0.00491456, 0.000389384, 0.000390337, 0.000393701, 0.00038646, 0.000386464, 0.00123038, 0.00038646, 0.00038646, 0.000798119
