   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_190.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0310911, 380, 0, 0, 19.5448, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0232069, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0153227, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00743855, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00044564, 0, 1.07033e-24, 0, 1.41421, -1.07033e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45919e-27, 0, 0, 0, 8.14512e-29, 0, 1.06679e-24, 0, 0, 0
0.00832983, 0, 3.19123e-24, 0, 1.41421, -3.19123e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03137e-26, 0, 0, 0, 2.5199e-28, 0, 3.18067e-24, 0, 0, 0
0.016214, 0, 9.20338e-24, 0, 1.41421, -9.20338e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97442e-26, 0, 0, 0, 7.50742e-28, 0, 9.17288e-24, 0, 0, 0
0.0240982, 0, 2.57704e-23, 0, 1.41421, -2.57704e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.32865e-26, 0, 0, 0, 2.16434e-27, 0, 2.56849e-23, 0, 0, 0
0.0319824, 0, 7.02676e-23, 0, 1.41421, -7.02676e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27095e-25, 0, 0, 0, 6.06024e-27, 0, 7.00344e-23, 0, 0, 0
0.0398666, 0, 1.87013e-22, 0, 1.41421, -1.87013e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.044e-25, 0, 0, 0, 1.65288e-26, 0, 1.86392e-22, 0, 0, 0
0.0477508, 0, 4.86753e-22, 0, 1.41421, -4.86753e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57311e-24, 0, 0, 0, 4.40139e-26, 0, 4.85136e-22, 0, 0, 0
0.055635, 0, 1.24097e-21, 0, 1.41421, -1.24097e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01062e-24, 0, 0, 0, 1.14648e-25, 0, 1.23684e-21, 0, 0, 0
0.0635192, 0, 3.10323e-21, 0, 1.41421, -3.10323e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00291e-23, 0, 0, 0, 2.926e-25, 0, 3.09291e-21, 0, 0, 0
0.0714034, 0, 7.6202e-21, 0, 1.41421, -7.6202e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46272e-23, 0, 0, 0, 7.32646e-25, 0, 7.59484e-21, 0, 0, 0
0.0792876, 0, 1.8393e-20, 0, 1.41421, -1.8393e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.9443e-23, 0, 0, 0, 1.80189e-24, 0, 1.83317e-20, 0, 0, 0
0.0871718, 0, 4.36762e-20, 0, 1.41421, -4.36762e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41154e-22, 0, 0, 0, 4.35724e-24, 0, 4.35307e-20, 0, 0, 0
0.095056, 0, 1.02111e-19, 0, 1.41421, -1.02111e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30004e-22, 0, 0, 0, 1.03686e-23, 0, 1.01771e-19, 0, 0, 0
0.10294, 0, 2.35192e-19, 0, 1.41421, -2.35192e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.60096e-22, 0, 0, 0, 2.42987e-23, 0, 2.34408e-19, 0, 0, 0
0.110824, 0, 5.34014e-19, 0, 1.41421, -5.34014e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72583e-21, 0, 0, 0, 5.61175e-23, 0, 5.32232e-19, 0, 0, 0
0.118709, 0, 1.19588e-18, 0, 1.41421, -1.19588e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86484e-21, 0, 0, 0, 1.27798e-22, 0, 1.19189e-18, 0, 0, 0
0.126593, 0, 2.6426e-18, 0, 1.41421, -2.6426e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54033e-21, 0, 0, 0, 2.8714e-22, 0, 2.63377e-18, 0, 0, 0
0.134477, 0, 5.76454e-18, 0, 1.41421, -5.76454e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86298e-20, 0, 0, 0, 6.36825e-22, 0, 5.74527e-18, 0, 0, 0
0.142361, 0, 1.2418e-17, 0, 1.41421, -1.2418e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01323e-20, 0, 0, 0, 1.39473e-21, 0, 1.23765e-17, 0, 0, 0
0.150245, 0, 2.64264e-17, 0, 1.41421, -2.64264e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54042e-20, 0, 0, 0, 3.01771e-21, 0, 2.6338e-17, 0, 0, 0
0.15813, 0, 5.55725e-17, 0, 1.41421, -5.55725e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79597e-19, 0, 0, 0, 6.45268e-21, 0, 5.53864e-17, 0, 0, 0
0.166014, 0, 1.15514e-16, 0, 1.41421, -1.15514e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73315e-19, 0, 0, 0, 1.36402e-20, 0, 1.15127e-16, 0, 0, 0
0.173898, 0, 2.37398e-16, 0, 1.41421, -2.37398e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67212e-19, 0, 0, 0, 2.85137e-20, 0, 2.36602e-16, 0, 0, 0
0.181782, 0, 4.82485e-16, 0, 1.41421, -4.82485e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55927e-18, 0, 0, 0, 5.89605e-20, 0, 4.80867e-16, 0, 0, 0
0.189666, 0, 9.69946e-16, 0, 1.41421, -9.69946e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13461e-18, 0, 0, 0, 1.20633e-19, 0, 9.66691e-16, 0, 0, 0
0.19755, 0, 1.92909e-15, 0, 1.41421, -1.92909e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23427e-18, 0, 0, 0, 2.44266e-19, 0, 1.92261e-15, 0, 0, 0
0.205435, 0, 3.8205e-15, 0, 1.41421, -3.8205e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23467e-17, 0, 0, 0, 4.94043e-19, 0, 3.80766e-15, 0, 0, 0
0.213319, 0, 7.43478e-15, 0, 1.41421, -7.43478e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40269e-17, 0, 0, 0, 9.79538e-19, 0, 7.40978e-15, 0, 0, 0
0.221203, 0, 1.43222e-14, 0, 1.41421, -1.43222e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.62847e-17, 0, 0, 0, 1.92352e-18, 0, 1.4274e-14, 0, 0, 0
0.229087, 0, 2.7315e-14, 0, 1.41421, -2.7315e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.82728e-17, 0, 0, 0, 3.74176e-18, 0, 2.7223e-14, 0, 0, 0
0.236971, 0, 5.15815e-14, 0, 1.41421, -5.15815e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66693e-16, 0, 0, 0, 7.21159e-18, 0, 5.14076e-14, 0, 0, 0
0.244856, 0, 9.64566e-14, 0, 1.41421, -9.64566e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11711e-16, 0, 0, 0, 1.37731e-17, 0, 9.61311e-14, 0, 0, 0
0.25274, 0, 1.78633e-13, 0, 1.41421, -1.78633e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.7727e-16, 0, 0, 0, 2.60707e-17, 0, 1.78029e-13, 0, 0, 0
0.260624, 0, 3.27657e-13, 0, 1.41421, -3.27657e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05886e-15, 0, 0, 0, 4.89168e-17, 0, 3.2655e-13, 0, 0, 0
0.268508, 0, 5.95312e-13, 0, 1.41421, -5.95312e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92381e-15, 0, 0, 0, 9.09945e-17, 0, 5.93297e-13, 0, 0, 0
0.276392, 0, 1.07145e-12, 0, 1.41421, -1.07145e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46252e-15, 0, 0, 0, 1.67849e-16, 0, 1.06782e-12, 0, 0, 0
0.284277, 0, 1.91044e-12, 0, 1.41421, -1.91044e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.17387e-15, 0, 0, 0, 3.0706e-16, 0, 1.90396e-12, 0, 0, 0
0.292161, 0, 3.37489e-12, 0, 1.41421, -3.37489e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09066e-14, 0, 0, 0, 5.57199e-16, 0, 3.36343e-12, 0, 0, 0
