   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_60.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0341566, 120, 0, 0, 11.0454, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0262571, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0183576, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0104581, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00255866, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00534082, 0, 8.48966e-23, 0, 1.41421, -8.48966e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24497e-25, 0, 0, 6.07044e-28, 0, 0, 8.44715e-23, 0, 0, 0
0.0132403, 0, 2.20143e-22, 0, 1.41421, -2.20143e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10075e-24, 0, 0, 1.59469e-27, 0, 0, 2.19041e-22, 0, 0, 0
0.0211398, 0, 5.58607e-22, 0, 1.41421, -5.58607e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79313e-24, 0, 0, 4.09993e-27, 0, 0, 5.5581e-22, 0, 0, 0
0.0290393, 0, 1.38926e-21, 0, 1.41421, -1.38926e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.94653e-24, 0, 0, 1.03326e-26, 0, 0, 1.3823e-21, 0, 0, 0
0.0369388, 0, 3.3909e-21, 0, 1.41421, -3.3909e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6955e-23, 0, 0, 2.55598e-26, 0, 0, 3.37392e-21, 0, 0, 0
0.0448382, 0, 8.13197e-21, 0, 1.41421, -8.13197e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06612e-23, 0, 0, 6.21329e-26, 0, 0, 8.09125e-21, 0, 0, 0
0.0527377, 0, 1.91801e-20, 0, 1.41421, -1.91801e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.59037e-23, 0, 0, 1.48569e-25, 0, 0, 1.90841e-20, 0, 0, 0
0.0606372, 0, 4.453e-20, 0, 1.41421, -4.453e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22657e-22, 0, 0, 3.49746e-25, 0, 0, 4.4307e-20, 0, 0, 0
0.0685367, 0, 1.01841e-19, 0, 1.41421, -1.01841e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.09223e-22, 0, 0, 8.1119e-25, 0, 0, 1.01331e-19, 0, 0, 0
0.0764362, 0, 2.29587e-19, 0, 1.41421, -2.29587e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14797e-21, 0, 0, 1.85492e-24, 0, 0, 2.28437e-19, 0, 0, 0
0.0843357, 0, 5.10483e-19, 0, 1.41421, -5.10483e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5525e-21, 0, 0, 4.18431e-24, 0, 0, 5.07926e-19, 0, 0, 0
0.0922352, 0, 1.12007e-18, 0, 1.41421, -1.12007e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.60051e-21, 0, 0, 9.31621e-24, 0, 0, 1.11446e-18, 0, 0, 0
0.100135, 0, 2.42627e-18, 0, 1.41421, -2.42627e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21318e-20, 0, 0, 2.04825e-23, 0, 0, 2.41412e-18, 0, 0, 0
0.108034, 0, 5.19096e-18, 0, 1.41421, -5.19096e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59556e-20, 0, 0, 4.44873e-23, 0, 0, 5.16496e-18, 0, 0, 0
0.115934, 0, 1.09731e-17, 0, 1.41421, -1.09731e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48672e-20, 0, 0, 9.54917e-23, 0, 0, 1.09181e-17, 0, 0, 0
0.123833, 0, 2.29269e-17, 0, 1.41421, -2.29269e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14638e-19, 0, 0, 2.0266e-22, 0, 0, 2.28121e-17, 0, 0, 0
0.131733, 0, 4.736e-17, 0, 1.41421, -4.736e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36807e-19, 0, 0, 4.25335e-22, 0, 0, 4.71228e-17, 0, 0, 0
0.139632, 0, 9.67497e-17, 0, 1.41421, -9.67497e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83764e-19, 0, 0, 8.83051e-22, 0, 0, 9.6265e-17, 0, 0, 0
0.147532, 0, 1.97875e-16, 0, 1.41421, -1.97875e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.89407e-19, 0, 0, 1.84254e-21, 0, 0, 1.96884e-16, 0, 0, 0
0.155431, 0, 3.95068e-16, 0, 1.41421, -3.95068e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9754e-18, 0, 0, 3.74001e-21, 0, 0, 3.93089e-16, 0, 0, 0
