   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.196982, 0, 4.34486e-16, 0, 1.41421, -4.34486e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78381e-18, 0, 0, 0, 0, 4.30702e-16, 0, 0, 0
0.204868, 0, 8.61537e-16, 0, 1.41421, -8.61537e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.50286e-18, 0, 0, 0, 0, 8.54034e-16, 0, 0, 0
0.212754, 0, 1.69037e-15, 0, 1.41421, -1.69037e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47209e-17, 0, 0, 0, 0, 1.67565e-15, 0, 0, 0
0.22064, 0, 3.28221e-15, 0, 1.41421, -3.28221e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85836e-17, 0, 0, 0, 0, 3.25362e-15, 0, 0, 0
0.228526, 0, 6.308e-15, 0, 1.41421, -6.308e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4934e-17, 0, 0, 0, 0, 6.25307e-15, 0, 0, 0
0.236412, 0, 1.2001e-14, 0, 1.41421, -1.2001e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04512e-16, 0, 0, 0, 0, 1.18965e-14, 0, 0, 0
0.244298, 0, 2.26044e-14, 0, 1.41421, -2.26044e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96852e-16, 0, 0, 0, 0, 2.24076e-14, 0, 0, 0
0.252184, 0, 4.22638e-14, 0, 1.41421, -4.22638e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.68057e-16, 0, 0, 0, 0, 4.18957e-14, 0, 0, 0
0.26007, 0, 7.80248e-14, 0, 1.41421, -7.80248e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.79483e-16, 0, 0, 0, 0, 7.73453e-14, 0, 0, 0
0.267956, 0, 1.4266e-13, 0, 1.41421, -1.4266e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24237e-15, 0, 0, 0, 0, 1.41418e-13, 0, 0, 0
0.275842, 0, 2.58358e-13, 0, 1.41421, -2.58358e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24994e-15, 0, 0, 0, 0, 2.56108e-13, 0, 0, 0
0.283728, 0, 4.63464e-13, 0, 1.41421, -4.63464e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03618e-15, 0, 0, 0, 0, 4.59428e-13, 0, 0, 0
0.291614, 0, 8.23612e-13, 0, 1.41421, -8.23612e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.17275e-15, 0, 0, 0, 0, 8.16439e-13, 0, 0, 0
0.2995, 0, 1.45e-12, 0, 1.41421, -1.45e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26283e-14, 0, 0, 0, 0, 1.43737e-12, 0, 0, 0
0.307386, 0, 2.5292e-12, 0, 1.41421, -2.5292e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20281e-14, 0, 0, 0, 0, 2.50717e-12, 0, 0, 0
0.315272, 0, 4.37112e-12, 0, 1.41421, -4.37112e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80728e-14, 0, 0, 0, 0, 4.33305e-12, 0, 0, 0
0.323158, 0, 7.48552e-12, 0, 1.41421, -7.48552e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5205e-14, 0, 0, 0, 0, 7.42031e-12, 0, 0, 0
0.331044, 0, 1.27028e-11, 1.12104e-43, 1.41421, -1.27028e-11, 0, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.10664e-13, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.25921e-11, 1.12104e-43, 1.12104e-43, 1.12104e-43
0.338929, 0, 2.1362e-11, 2.00105e-42, 1.41421, -2.1362e-11, 0, 2.00105e-42, 2.00105e-42, 2.00105e-42, 2.00105e-42, 2.00105e-42, 2.00105e-42, 2.00105e-42, 2.00105e-42, 2.00105e-42, 2.00105e-42, 1.86132e-13, 2.00105e-42, 2.00105e-42, 2.00105e-42, 2.00105e-42, 2.11759e-11, 2.00105e-42, 2.00105e-42, 2.00105e-42
0.346815, 0, 3.56025e-11, 2.97804e-41, 1.41421, -3.56025e-11, 0, 2.97804e-41, 2.97804e-41, 2.97804e-41, 2.97804e-41, 2.97804e-41, 2.97804e-41, 2.97804e-41, 2.97804e-41, 2.97804e-41, 2.97804e-41, 3.10277e-13, 2.97804e-41, 2.97804e-41, 2.97804e-41, 2.97804e-41, 3.52922e-11, 2.97804e-41, 2.97804e-41, 2.97804e-41
0.354701, 0, 5.88076e-11, 3.90158e-40, 1.41421, -5.88076e-11, 0, 3.90158e-40, 3.90158e-40, 3.90158e-40, 3.90158e-40, 3.90158e-40, 3.90158e-40, 3.90158e-40, 3.90158e-40, 3.90158e-40, 3.90158e-40, 5.12649e-13, 3.90158e-40, 3.90158e-40, 3.90158e-40, 3.90158e-40, 5.8295e-11, 3.90158e-40, 3.90158e-40, 3.90158e-40
0.362587, 0, 9.62778e-11, 4.57583e-39, 1.41421, -9.62778e-11, 0, 4.57583e-39, 4.57583e-39, 4.57583e-39, 4.57583e-39, 4.57583e-39, 4.57583e-39, 4.57583e-39, 4.57583e-39, 4.57583e-39, 4.57583e-39, 8.39582e-13, 4.57583e-39, 4.57583e-39, 4.57583e-39, 4.57583e-39, 9.54382e-11, 4.57583e-39, 4.57583e-39, 4.57583e-39
0.370473, 0, 1.56236e-10, 4.8434e-38, 1.41421, -1.56236e-10, 0, 4.8434e-38, 4.8434e-38, 4.8434e-38, 4.8434e-38, 4.8434e-38, 4.8434e-38, 4.8434e-38, 4.8434e-38, 4.8434e-38, 4.8434e-38, 1.36305e-12, 4.8434e-38, 4.8434e-38, 4.8434e-38, 4.8434e-38, 1.54873e-10, 4.8434e-38, 4.8434e-38, 4.8434e-38
