   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_185.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.428528, 0, 3.21999e-08, 3.48305e-31, 1.41421, -3.21999e-08, 0, 3.48305e-31, 3.48305e-31, 3.48305e-31, 3.48305e-31, 3.48305e-31, 3.48305e-31, 3.48305e-31, 3.48305e-31, 3.48305e-31, 8.49619e-12, 3.48305e-31, 3.48305e-31, 4.85087e-13, 3.48305e-31, 3.48305e-31, 3.21909e-08, 3.48305e-31, 3.48305e-31, 3.48305e-31
0.43641, 0, 4.79839e-08, 1.83589e-30, 1.41421, -4.79839e-08, 0, 1.83589e-30, 1.83589e-30, 1.83589e-30, 1.83589e-30, 1.83589e-30, 1.83589e-30, 1.83589e-30, 1.83589e-30, 1.83589e-30, 1.26993e-11, 1.83589e-30, 1.83589e-30, 8.06547e-13, 1.83589e-30, 1.83589e-30, 4.79704e-08, 1.83589e-30, 1.83589e-30, 1.83589e-30
0.444291, 0, 7.09364e-08, 9.15558e-30, 1.41421, -7.09364e-08, 0, 9.15558e-30, 9.15558e-30, 9.15558e-30, 9.15558e-30, 9.15558e-30, 9.15558e-30, 9.15558e-30, 9.15558e-30, 9.15558e-30, 1.8841e-11, 9.15558e-30, 9.15558e-30, 1.34049e-12, 9.15558e-30, 9.15558e-30, 7.09163e-08, 9.15558e-30, 9.15558e-30, 9.15558e-30
0.452173, 0, 1.04042e-07, 4.32917e-29, 1.41421, -1.04042e-07, 0, 4.32917e-29, 4.32917e-29, 4.32917e-29, 4.32917e-29, 4.32917e-29, 4.32917e-29, 4.32917e-29, 4.32917e-29, 4.32917e-29, 2.77496e-11, 4.32917e-29, 4.32917e-29, 2.22634e-12, 4.32917e-29, 4.32917e-29, 1.04012e-07, 4.32917e-29, 4.32917e-29, 4.32917e-29
0.460055, 0, 1.51408e-07, 1.97134e-28, 1.41421, -1.51408e-07, 0, 1.97134e-28, 1.97134e-28, 1.97134e-28, 1.97134e-28, 1.97134e-28, 1.97134e-28, 1.97134e-28, 1.97134e-28, 1.97134e-28, 4.05798e-11, 1.97134e-28, 1.97134e-28, 3.69344e-12, 1.97134e-28, 1.97134e-28, 1.51364e-07, 1.97134e-28, 1.97134e-28, 1.97134e-28
0.467936, 0, 2.18637e-07, 8.58266e-28, 1.41421, -2.18637e-07, 0, 8.58266e-28, 8.58266e-28, 8.58266e-28, 8.58266e-28, 8.58266e-28, 8.58266e-28, 8.58266e-28, 8.58266e-28, 8.58266e-28, 5.89288e-11, 8.58266e-28, 8.58266e-28, 6.11721e-12, 8.58266e-28, 8.58266e-28, 2.18572e-07, 8.58266e-28, 8.58266e-28, 8.58266e-28
0.475818, 0, 3.13309e-07, 3.56357e-27, 1.41421, -3.13309e-07, 0, 3.56357e-27, 3.56357e-27, 3.56357e-27, 3.56357e-27, 3.56357e-27, 3.56357e-27, 3.56357e-27, 3.56357e-27, 3.56357e-27, 8.49925e-11, 3.56357e-27, 3.56357e-27, 1.01088e-11, 3.56357e-27, 3.56357e-27, 3.13214e-07, 3.56357e-27, 3.56357e-27, 3.56357e-27
0.483699, 0, 4.45586e-07, 1.4128e-26, 1.41421, -4.45586e-07, 0, 1.4128e-26, 1.4128e-26, 1.4128e-26, 1.4128e-26, 1.4128e-26, 1.4128e-26, 1.4128e-26, 1.4128e-26, 1.4128e-26, 1.2177e-10, 1.4128e-26, 1.4128e-26, 1.66571e-11, 1.4128e-26, 1.4128e-26, 4.45448e-07, 1.4128e-26, 1.4128e-26, 1.4128e-26
0.491581, 0, 6.28986e-07, 5.35554e-26, 1.41421, -6.28986e-07, 0, 5.35554e-26, 5.35554e-26, 5.35554e-26, 5.35554e-26, 5.35554e-26, 5.35554e-26, 1.24694e-12, 5.35554e-26, 5.35554e-26, 1.73329e-10, 5.35554e-26, 5.35554e-26, 2.73508e-11, 5.35554e-26, 5.35554e-26, 6.28784e-07, 5.35554e-26, 5.35554e-26, 5.35554e-26
0.499462, 0, 8.81332e-07, 1.9447e-25, 1.41421, -8.81332e-07, 0, 1.9447e-25, 1.9447e-25, 1.9447e-25, 1.9447e-25, 1.9447e-25, 1.9447e-25, 4.40732e-12, 1.9447e-25, 1.9447e-25, 2.45157e-10, 1.9447e-25, 1.9447e-25, 4.47236e-11, 1.9447e-25, 1.9447e-25, 8.81038e-07, 1.9447e-25, 1.9447e-25, 1.9447e-25
0.507344, 0, 1.22823e-06, 6.84098e-25, 1.41421, -1.22823e-06, 0, 1.06185e-15, 2.48232e-14, 4.62949e-10, 1.45949e-11, 1.50594e-11, 1.96661e-12, 6.94832e-11, 1.01528e-09, 5.65468e-10, 3.44612e-10, 2.16383e-12, 2.44885e-12, 7.27853e-11, 6.84098e-25, 1.89569e-15, 1.22565e-06, 6.84098e-25, 6.84098e-25, 1.65004e-11
0.515225, 0, 1.70129e-06, 1.80746e-10, 1.41421, -1.70129e-06, 1.80746e-10, 1.80749e-10, 1.80833e-10, 1.80942e-09, 2.32091e-10, 2.33725e-10, 1.87664e-10, 4.12999e-10, 3.75255e-09, 2.17009e-09, 6.62229e-10, 1.88358e-10, 1.89361e-10, 2.98582e-10, 1.80746e-10, 1.80752e-10, 1.69309e-06, 1.80746e-10, 1.80746e-10, 2.38795e-10
0.523107, 0, 2.34435e-06, 6.3164e-10, 1.41421, -2.34435e-06, 6.3164e-10, 6.3165e-10, 6.31879e-10, 5.10153e-09, 7.72557e-10, 7.77042e-10, 6.50628e-10, 1.25831e-09, 1.04344e-08, 6.09137e-09, 1.30037e-09, 6.52532e-10, 6.55284e-10, 8.21316e-10, 6.3164e-10, 6.31658e-10, 2.32263e-06, 6.3164e-10, 6.3164e-10, 7.90955e-10
0.530989, 0, 3.21872e-06, 1.7242e-09, 1.41421, -3.21872e-06, 1.7242e-09, 1.72423e-09, 1.7248e-09, 1.29229e-08, 2.07725e-09, 2.08849e-09, 1.77177e-09, 3.27998e-09, 2.62838e-08, 1.54028e-08, 2.64759e-09, 1.77654e-09, 1.78344e-09, 2.02762e-09, 1.7242e-09, 1.72425e-09, 3.16523e-06, 1.7242e-09, 1.7242e-09, 2.12334e-09
0.53887, 0, 4.41253e-06, 4.30378e-09, 1.41421, -4.41253e-06, 4.30378e-09, 4.30384e-09, 4.30521e-09, 3.10112e-08, 5.14575e-09, 5.17255e-09, 4.41723e-09, 7.99026e-09, 6.2875e-08, 3.69254e-08, 5.57151e-09, 4.42861e-09, 4.44505e-09, 4.78596e-09, 4.30378e-09, 4.30388e-09, 4.28615e-06, 4.30378e-09, 4.30378e-09, 5.25568e-09
0.546752, 0, 6.05944e-06, 1.02354e-08, 1.41421, -6.05944e-06, 1.02354e-08, 1.02355e-08, 1.02387e-08, 7.1754e-08, 1.21748e-08, 1.22365e-08, 1.04967e-08, 1.86803e-08, 1.4515e-07, 8.53771e-08, 1.1966e-08, 1.05229e-08, 1.05608e-08, 1.09963e-08, 1.02354e-08, 1.02356e-08, 5.76992e-06, 1.02354e-08, 1.02354e-08, 1.2428e-08
0.554633, 0, 8.37369e-06, 2.35226e-08, 1.41421, -8.37369e-06, 2.35226e-08, 2.35229e-08, 2.35299e-08, 1.61167e-07, 2.78619e-08, 2.8e-08, 2.41073e-08, 4.34251e-08, 3.25387e-07, 1.91648e-07, 2.5872e-08, 2.41659e-08, 2.42507e-08, 2.4715e-08, 2.35226e-08, 2.35231e-08, 7.72692e-06, 2.35226e-08, 2.35226e-08, 2.84285e-08
0.562515, 0, 1.17112e-05, 5.25212e-08, 1.41421, -1.17112e-05, 5.25212e-08, 5.25219e-08, 5.25373e-08, 3.52378e-07, 6.19744e-08, 6.22753e-08, 5.3795e-08, 9.71546e-08, 7.10128e-07, 4.1878e-07, 5.56931e-08, 5.39227e-08, 5.41073e-08, 5.43758e-08, 5.25212e-08, 5.25224e-08, 1.03036e-05, 5.25212e-08, 5.25212e-08, 6.32086e-08
0.570396, 0, 1.67015e-05, 1.14196e-07, 1.41421, -1.67015e-05, 1.14196e-07, 1.14198e-07, 1.1423e-07, 7.50919e-07, 1.3427e-07, 1.34908e-07, 1.16901e-07, 2.25212e-07, 1.51058e-06, 8.91919e-07, 1.18455e-07, 1.17172e-07, 1.17564e-07, 1.17059e-07, 1.14196e-07, 1.14199e-07, 1.36999e-05, 1.14196e-07, 1.14196e-07, 1.3689e-07
0.578278, 0, 2.44325e-05, 2.42037e-07, 1.41421, -2.44325e-05, 2.42037e-07, 2.4204e-07, 2.42108e-07, 1.56064e-06, 2.83607e-07, 2.8493e-07, 2.47638e-07, 4.96015e-07, 3.13384e-06, 1.85264e-06, 2.47725e-07, 2.482e-07, 2.49012e-07, 2.46424e-07, 2.42037e-07, 2.42042e-07, 1.81972e-05, 2.42037e-07, 2.42037e-07, 2.89035e-07
0.586159, 0, 3.68412e-05, 5.0033e-07, 1.41421, -3.68412e-05, 5.0033e-07, 5.00337e-07, 5.00473e-07, 3.16448e-06, 5.84321e-07, 5.86993e-07, 5.11648e-07, 1.05625e-06, 6.34301e-06, 3.75445e-06, 5.07886e-07, 5.12783e-07, 5.14423e-07, 5.07001e-07, 5.0033e-07, 5.00341e-07, 2.42064e-05, 5.0033e-07, 5.0033e-07, 5.95286e-07
0.594041, 0, 5.73364e-05, 1.00905e-06, 1.41421, -5.73364e-05, 1.00905e-06, 1.00906e-06, 1.00933e-06, 6.26179e-06, 1.17465e-06, 1.17992e-06, 1.03137e-06, 2.19069e-06, 1.25287e-05, 7.42498e-06, 1.01904e-06, 1.0336e-06, 1.03684e-06, 1.01912e-06, 1.00905e-06, 1.00907e-06, 3.23478e-05, 1.00905e-06, 1.00905e-06, 1.19627e-06
0.601923, 0, 9.18298e-05, 1.98591e-06, 1.41421, -9.18298e-05, 1.98591e-06, 1.98594e-06, 1.98645e-06, 1.20945e-05, 2.30459e-06, 2.31474e-06, 2.02885e-06, 4.42779e-06, 2.41547e-05, 1.4333e-05, 1.99904e-06, 2.03316e-06, 2.03938e-06, 2.00099e-06, 1.98591e-06, 1.98595e-06, 4.35832e-05, 1.98591e-06, 1.98591e-06, 2.3462e-06
0.609804, 0, 0.000150431, 3.81489e-06, 1.41421, -0.000150431, 3.81489e-06, 3.81493e-06, 3.8159e-06, 2.2806e-05, 4.4136e-06, 4.43265e-06, 3.89556e-06, 8.77725e-06, 4.54639e-05, 2.70116e-05, 3.83207e-06, 3.90365e-06, 3.91534e-06, 3.83729e-06, 3.81489e-06, 3.81496e-06, 5.94281e-05, 3.81489e-06, 3.81489e-06, 4.49177e-06
0.617686, 0, 0.00025002, 7.15415e-06, 1.41421, -0.00025002, 7.15415e-06, 7.15423e-06, 7.15602e-06, 4.19921e-05, 8.25245e-06, 8.2874e-06, 7.30214e-06, 1.70722e-05, 8.35563e-05, 4.97069e-05, 7.17654e-06, 7.31698e-06, 7.33843e-06, 7.18721e-06, 7.15415e-06, 7.15429e-06, 8.22835e-05, 7.15415e-06, 7.15415e-06, 8.39584e-06
0.625567, 0, 0.00041815, 1.31001e-05, 1.41421, -0.00041815, 1.31001e-05, 1.31002e-05, 1.31034e-05, 7.55136e-05, 1.50677e-05, 1.51303e-05, 1.33652e-05, 3.25953e-05, 0.000149977, 8.93349e-05, 1.31291e-05, 1.33918e-05, 1.34302e-05, 1.31485e-05, 1.31001e-05, 1.31003e-05, 0.000115939, 1.31001e-05, 1.31001e-05, 1.53246e-05
