   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_324.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0335254, 648, 0, 0, 25.4951, 648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0256403, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0177552, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00987005, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00198492, 4, 0, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0059002, 2, 1.04137e-23, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39262e-25, 0, 8.61754e-29, 0, 2.11256e-27, 0, 1.00722e-23, 0, 0, 0
0.0137853, 0, 2.96465e-23, 0, 1.41421, -2.96465e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.65829e-25, 0, 2.47927e-28, 0, 6.23362e-27, 0, 2.86742e-23, 0, 0, 0
0.0216705, 2, 8.1967e-23, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67032e-24, 0, 6.92898e-28, 0, 1.77982e-26, 0, 7.92782e-23, 0, 0, 0
0.0295556, 0, 2.20738e-22, 0, 1.41421, -2.20738e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19116e-24, 0, 1.8866e-27, 0, 4.93568e-26, 0, 2.13496e-22, 0, 0, 0
0.0374407, 0, 5.80375e-22, 0, 1.41421, -5.80375e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89072e-23, 0, 5.01608e-27, 0, 1.3333e-25, 0, 5.6133e-22, 0, 0, 0
0.0453258, 0, 1.49268e-21, 0, 1.41421, -1.49268e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.86275e-23, 0, 1.30485e-26, 0, 3.51674e-25, 0, 1.44368e-21, 0, 0, 0
0.053211, 0, 3.76133e-21, 0, 1.41421, -3.76133e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22533e-22, 0, 3.32625e-26, 0, 9.07461e-25, 0, 3.63785e-21, 0, 0, 0
0.0610961, 2, 9.29862e-21, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02921e-22, 0, 8.32031e-26, 0, 2.29451e-24, 0, 8.99332e-21, 0, 0, 0
0.0689812, 0, 2.25785e-20, 0, 1.41421, -2.25785e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.35537e-22, 0, 2.04461e-25, 0, 5.69275e-24, 0, 2.18371e-20, 0, 0, 0
0.0768664, 0, 5.39014e-20, 0, 1.41421, -5.39014e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75593e-21, 0, 4.94083e-25, 0, 1.38748e-23, 0, 5.21311e-20, 0, 0, 0
0.0847515, 0, 1.26621e-19, 0, 1.41421, -1.26621e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12488e-21, 0, 1.17513e-24, 0, 3.32536e-23, 0, 1.22462e-19, 0, 0, 0
0.0926366, 4, 2.92914e-19, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.54207e-21, 0, 2.75292e-24, 0, 7.84401e-23, 0, 2.83291e-19, 0, 0, 0
0.100522, 0, 6.67712e-19, 0, 1.41421, -6.67712e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17515e-20, 0, 6.35649e-24, 0, 1.82247e-22, 0, 6.45772e-19, 0, 0, 0
0.108407, 0, 1.50073e-18, 0, 1.41421, -1.50073e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88878e-20, 0, 1.44748e-23, 0, 4.17343e-22, 0, 1.45141e-18, 0, 0, 0
0.116292, 0, 3.32744e-18, 0, 1.41421, -3.32744e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08394e-19, 0, 3.25243e-23, 0, 9.42548e-22, 0, 3.21807e-18, 0, 0, 0
0.124177, 0, 7.28138e-18, 0, 1.41421, -7.28138e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37196e-19, 0, 7.21463e-23, 0, 2.10052e-21, 0, 7.04202e-18, 0, 0, 0
0.132062, 0, 1.57323e-17, 0, 1.41421, -1.57323e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12488e-19, 0, 1.58057e-22, 0, 4.62137e-21, 0, 1.52151e-17, 0, 0, 0
0.139947, 0, 3.42123e-17, 0, 1.41421, -3.42123e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11447e-18, 0, 3.50062e-22, 0, 1.02834e-20, 0, 3.30872e-17, 0, 0, 0
0.147833, 0, 7.19852e-17, 0, 1.41421, -7.19852e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34492e-18, 0, 7.47149e-22, 0, 2.2026e-20, 0, 6.96175e-17, 0, 0, 0
0.155718, 0, 1.49734e-16, 0, 1.41421, -1.49734e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87757e-18, 0, 1.57697e-21, 0, 4.66434e-20, 0, 1.44808e-16, 0, 0, 0
0.163603, 0, 3.07982e-16, 0, 1.41421, -3.07982e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00324e-17, 0, 3.29238e-21, 0, 9.76857e-20, 0, 2.97848e-16, 0, 0, 0
0.171488, 0, 6.26551e-16, 0, 1.41421, -6.26551e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04095e-17, 0, 6.801e-21, 0, 2.02387e-19, 0, 6.05932e-16, 0, 0, 0
0.179373, 0, 1.26097e-15, 0, 1.41421, -1.26097e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10751e-17, 0, 1.3903e-20, 0, 4.1491e-19, 0, 1.21947e-15, 0, 0, 0
0.187258, 0, 2.51105e-15, 0, 1.41421, -2.51105e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.17948e-17, 0, 2.81322e-20, 0, 8.41884e-19, 0, 2.42839e-15, 0, 0, 0
0.195143, 0, 4.94861e-15, 0, 1.41421, -4.94861e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61194e-16, 0, 5.63565e-20, 0, 1.69111e-18, 0, 4.78567e-15, 0, 0, 0
